tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
1051,35.0,3797,268,33,306,3475,1,15,553,258.33,1.123,1.395,0.109,0.049,0.087,-0.839,1.544,0.4029,2.6838,0.705,0.016,0.036,0.077,0.128,67,171,158,0,59,0,136551.27,4975.845,47339.103,27.197,2954.072,10.048,28699.756,13777.733,805.472,16251.689,13001.352,5126.793,620.677,1058.257,0.000319,-0.014932,501,0,149,9,154,145,26302,23,9,14.410
1081,36.0,3773,243,33,300,3461,1,11,657,255.86,1.125,1.396,0.113,0.050,0.086,-0.843,1.534,0.4020,2.6964,0.698,0.017,0.036,0.077,0.128,61,199,147,0,75,0,135144.25,4787.199,46995.945,46.798,2791.643,8.275,28729.059,13824.185,971.347,17084.339,13667.471,4822.505,531.088,941.910,0.000242,-0.012453,496,0,128,19,144,125,24774,13,19,35.875
1111,37.0,3702,225,33,290,3402,1,9,738,255.70,1.126,1.399,0.114,0.049,0.086,-0.847,1.539,0.4152,2.6993,0.723,0.014,0.032,0.077,0.128,58,171,178,0,82,0,130451.97,4661.553,45031.294,45.940,2863.470,8.333,28479.092,13827.500,1121.145,15469.735,12375.788,5888.623,916.200,1104.557,0.000228,-0.010036,510,0,162,16,175,159,24614,6,16,33.156
1141,38.0,3606,243,33,277,3320,1,8,811,263.69,1.127,1.403,0.116,0.049,0.085,-0.850,1.536,0.4160,2.7126,0.737,0.018,0.032,0.077,0.128,52,163,189,0,88,0,125748.12,4534.793,44172.106,71.366,2525.309,7.133,27933.372,13688.268,1267.629,14826.338,11861.070,6145.662,475.660,1006.254,0.000260,-0.009439,458,0,162,27,183,156,22701,13,27,50.583
1171,39.0,3452,232,33,271,3173,1,7,863,278.24,1.127,1.402,0.115,0.049,0.086,-0.852,1.534,0.4072,2.7233,0.730,0.022,0.032,0.077,0.130,67,196,181,0,115,0,121326.44,4284.643,42918.693,54.945,2026.664,6.843,26963.437,13087.949,1367.657,14489.174,11591.340,5716.544,696.937,949.605,0.000145,-0.009432,410,0,158,23,177,154,21883,60,23,40.376
1201,40.0,3293,239,33,256,3031,1,5,855,315.36,1.129,1.405,0.117,0.051,0.086,-0.855,1.544,0.4057,2.7212,0.741,0.016,0.032,0.077,0.133,57,157,173,0,134,0,117700.30,4102.368,41199.119,54.628,2578.789,8.416,25884.584,12493.458,1436.107,13082.757,10466.206,5076.239,599.584,875.725,0.000168,-0.008090,382,0,149,24,162,138,22182,8,24,30.789
1231,41.0,3232,241,33,259,2969,1,3,894,291.38,1.127,1.403,0.119,0.052,0.087,-0.858,1.533,0.4003,2.7201,0.732,0.008,0.036,0.077,0.133,67,129,109,0,117,0,115386.34,3890.612,39785.839,29.707,2420.980,7.331,24979.536,12021.662,1474.903,12589.115,10071.292,3536.682,739.078,750.442,0.000271,-0.009130,381,0,100,9,104,95,21661,1,9,17.129
1261,42.0,3182,238,33,263,2914,1,4,962,250.38,1.125,1.403,0.122,0.052,0.089,-0.860,1.543,0.4077,2.7369,0.754,0.015,0.034,0.077,0.132,59,141,90,0,106,0,111298.79,3862.614,37426.094,17.488,2238.392,7.561,24537.473,11782.866,1575.743,12295.625,9836.500,3541.880,816.137,680.524,0.000153,-0.007985,379,0,83,7,90,83,20256,7,7,14.634
1291,43.0,3092,197,33,265,2823,1,3,989,282.55,1.124,1.400,0.124,0.053,0.091,-0.861,1.552,0.4028,2.7368,0.777,0.008,0.031,0.077,0.132,51,144,89,0,131,0,107055.97,3975.690,35783.029,18.887,2242.253,6.528,24057.553,11514.023,1656.708,11815.061,9452.049,3514.076,260.082,654.968,0.000223,-0.006689,389,0,81,8,87,79,18791,6,8,11.186
1321,44.0,2985,227,33,263,2718,1,3,971,286.54,1.122,1.397,0.126,0.053,0.093,-0.863,1.547,0.4094,2.7413,0.777,0.004,0.033,0.077,0.132,58,128,60,0,150,0,102779.25,3845.969,33321.300,24.022,2163.746,6.704,23196.620,11086.123,1661.953,9879.455,7903.564,2251.967,730.233,565.224,0.000193,-0.005340,423,0,51,9,56,47,17254,64,9,14.249
1351,45.0,2870,224,32,262,2604,1,3,929,313.54,1.122,1.396,0.126,0.054,0.095,-0.864,1.548,0.4057,2.7536,0.808,0.011,0.034,0.077,0.132,51,134,48,0,151,0,98567.47,3763.901,31248.873,25.895,1911.315,7.403,22486.611,10731.591,1617.366,9387.761,7510.209,1693.754,407.180,436.401,0.000134,-0.003493,315,0,38,10,46,36,17107,0,10,18.479
1381,46.0,2744,238,32,269,2471,1,3,878,320.75,1.118,1.391,0.128,0.055,0.100,-0.865,1.548,0.3998,2.7737,0.808,0.011,0.036,0.077,0.129,57,138,52,0,131,0,93855.88,3681.292,29109.366,17.521,1858.576,7.546,21407.026,10196.379,1525.562,8369.863,6695.890,1897.457,392.905,426.461,0.000233,-0.005085,284,0,47,5,49,44,16828,0,5,9.477
1411,47.0,2606,202,32,274,2328,1,3,843,292.87,1.116,1.386,0.127,0.053,0.105,-0.868,1.548,0.4016,2.7731,0.805,0.011,0.036,0.078,0.129,59,138,63,0,127,0,88736.77,3580.947,28307.129,24.969,2049.557,8.474,20493.269,9770.374,1466.950,8155.147,6524.118,2662.086,504.313,504.137,0.000192,-0.006148,321,0,57,6,58,52,16167,2,6,9.913
