tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,459,9969,0,161,120,72,106,0,16.38,0.864,0.813,0.179,0.167,0.240,-0.115,1.553,0.3190,1.3367,0.833,0.447,0.185,0.100,0.008,45,0,16,0,0,0,25622.11,1487.963,6574.456,23.191,94.269,12.085,2285.193,652.289,0.000,2692.354,2153.883,796.011,1464.389,212.948,0.000088,-0.000414
61,2.0,524,8949,0,178,159,72,115,0,20.37,0.868,0.825,0.170,0.158,0.233,-0.180,1.524,0.3241,1.3827,0.859,0.455,0.179,0.101,0.008,69,0,3,0,0,0,27871.70,1593.198,6269.523,7.732,85.390,18.438,2457.857,657.061,0.000,2563.616,2050.893,187.650,1705.374,100.199,0.000108,0.001025
91,3.0,618,7929,0,194,235,70,119,0,39.24,0.879,0.859,0.155,0.141,0.219,-0.292,1.501,0.3475,1.4850,0.853,0.418,0.160,0.099,0.004,78,0,10,0,0,0,31591.64,1720.522,8598.545,12.283,63.820,20.963,2861.001,775.295,0.000,3972.759,3178.208,539.905,1530.258,110.398,0.000114,0.000109
121,4.0,783,6617,0,200,399,67,117,1,53.42,0.929,0.924,0.149,0.132,0.185,-0.432,1.499,0.3409,1.6256,0.829,0.410,0.111,0.100,-0.001,88,0,16,0,0,0,38159.93,1788.820,13632.774,18.001,153.291,20.818,3660.405,1009.513,0.164,7520.667,6016.533,684.055,1908.013,105.019,0.000092,-0.000216
151,5.0,998,5169,61,218,592,64,124,2,52.88,0.967,0.973,0.141,0.123,0.165,-0.513,1.488,0.3550,1.7555,0.822,0.381,0.081,0.103,-0.003,99,4,31,0,0,0,45759.21,1893.788,17587.477,26.503,259.964,22.603,4936.157,1511.034,3.773,10422.241,8337.793,1353.705,1796.907,222.465,0.000142,0.000107
181,6.0,1288,3444,61,238,872,59,119,6,61.70,0.988,1.015,0.125,0.124,0.145,-0.595,1.484,0.3550,1.9153,0.782,0.340,0.074,0.105,-0.007,121,16,46,0,0,0,57157.55,2055.305,25023.367,23.846,77.562,20.699,6658.042,2220.117,9.406,14596.124,11676.899,1959.451,1678.279,259.656,0.000145,-0.000359
211,7.0,1509,2249,61,258,1095,52,104,9,89.14,1.003,1.036,0.112,0.113,0.136,-0.641,1.482,0.3608,2.0067,0.763,0.322,0.065,0.104,-0.010,115,53,62,0,0,0,64582.96,2264.372,23435.975,44.295,161.162,20.904,8428.593,3169.031,13.063,14027.195,11221.757,2076.555,1550.494,276.054,0.000155,-0.001192
241,8.0,1636,1464,61,275,1234,37,90,11,106.94,1.006,1.056,0.108,0.103,0.135,-0.679,1.490,0.3664,2.0719,0.770,0.298,0.059,0.105,-0.014,131,53,79,0,4,0,67257.57,2412.489,19782.574,30.195,164.193,21.346,9469.341,3744.770,19.415,10876.564,8701.251,2840.540,918.924,382.346,0.000145,-0.001754
271,9.0,1677,991,61,294,1275,30,78,17,127.60,1.008,1.054,0.105,0.101,0.139,-0.698,1.489,0.3693,2.0886,0.760,0.265,0.051,0.105,-0.015,100,92,89,0,0,0,67168.69,2700.546,17685.163,52.619,353.503,16.784,10011.513,4217.010,26.470,9179.107,7343.285,3249.579,738.255,448.570,0.000176,-0.000123
301,10.0,1691,701,54,311,1291,24,65,22,134.26,1.007,1.057,0.105,0.092,0.143,-0.715,1.489,0.3668,2.1469,0.757,0.260,0.049,0.106,-0.014,99,109,94,0,2,0,68530.56,2941.476,19281.412,55.983,366.051,13.879,10206.407,4264.709,34.201,9168.152,7334.522,3245.884,821.928,510.235,0.000147,0.000595
331,11.0,1705,609,54,331,1298,17,59,29,132.08,1.001,1.051,0.107,0.090,0.148,-0.728,1.488,0.3698,2.1451,0.762,0.233,0.048,0.105,-0.013,91,83,77,0,5,0,67932.89,3174.631,16152.266,34.418,607.333,15.661,10258.431,4152.802,43.519,7363.529,5890.823,2439.869,1031.040,560.620,0.000116,0.000917
361,12.0,1729,672,54,364,1301,13,51,29,153.34,0.996,1.039,0.107,0.087,0.157,-0.741,1.493,0.3699,2.1312,0.743,0.228,0.052,0.105,-0.015,84,70,80,0,4,0,66953.03,3587.319,15284.498,36.579,460.308,12.396,10234.393,4142.327,46.317,7215.177,5772.142,2541.356,995.801,485.029,0.000135,0.000658
391,13.0,1761,637,54,404,1306,9,42,31,167.63,0.986,1.030,0.110,0.078,0.169,-0.752,1.488,0.3652,2.1578,0.733,0.210,0.047,0.105,-0.014,81,96,81,0,6,0,70031.63,4058.738,19726.765,27.656,435.609,12.088,10432.889,4300.584,49.767,8743.061,6994.449,2578.264,1139.287,485.158,0.000146,0.002601
421,14.0,1834,647,54,449,1342,7,36,37,174.12,0.982,1.018,0.117,0.074,0.178,-0.760,1.498,0.3757,2.1435,0.711,0.200,0.045,0.104,-0.015,84,87,80,0,2,0,73671.69,4605.567,20353.611,29.613,442.904,10.755,10606.590,4429.488,57.880,9874.003,7899.202,2720.864,1079.690,479.419,0.000171,0.005079
451,15.0,1886,622,46,492,1361,5,28,42,182.85,0.979,1.008,0.122,0.068,0.188,-0.768,1.498,0.3742,2.1515,0.693,0.171,0.044,0.104,-0.013,84,66,136,0,5,0,75912.67,5133.347,22410.556,40.757,790.437,10.073,10950.835,4566.377,65.335,10665.238,8532.191,5055.343,1621.436,951.307,0.000180,0.006987
481,16.0,1981,673,46,549,1404,4,24,51,179.72,0.977,1.000,0.131,0.065,0.198,-0.773,1.499,0.3663,2.1689,0.695,0.164,0.046,0.105,-0.012,110,65,137,0,4,0,79282.91,5888.035,23437.756,18.604,1758.432,11.549,11448.407,4809.018,75.238,12333.283,9866.626,4918.197,1135.341,1121.296,0.000205,0.005474
511,17.0,2068,743,46,606,1438,3,21,60,185.26,0.977,0.989,0.139,0.064,0.207,-0.774,1.498,0.3808,2.1648,0.669,0.152,0.042,0.104,-0.010,98,57,164,0,3,0,84009.51,6718.350,25503.947,29.661,1654.693,15.498,12046.020,4814.879,85.031,12832.037,10265.630,5536.071,1269.688,1207.269,0.000132,0.005079
541,18.0,2205,682,46,672,1517,2,14,67,171.57,0.978,0.982,0.143,0.064,0.214,-0.780,1.491,0.3802,2.1604,0.673,0.125,0.040,0.104,-0.009,118,47,194,0,5,0,90042.23,7507.724,28901.704,21.881,1847.715,17.446,12814.898,5057.047,102.668,15861.247,12688.997,6753.409,1192.381,1305.931,0.000130,0.005485
571,19.0,2367,656,46,754,1601,2,10,76,167.63,0.979,0.973,0.151,0.064,0.223,-0.781,1.493,0.3884,2.1509,0.660,0.123,0.035,0.105,-0.010,133,52,220,0,5,0,95421.41,8891.867,30205.695,25.163,2566.485,17.904,13594.246,5406.860,114.763,18166.969,14533.575,7938.820,1324.328,1731.136,0.000184,0.005974
601,20.0,2511,648,43,858,1643,1,9,77,163.44,0.972,0.955,0.160,0.066,0.237,-0.782,1.491,0.3854,2.1305,0.646,0.119,0.028,0.105,-0.010,119,42,251,0,4,0,101475.70,10011.428,32684.517,30.331,2494.609,16.691,14611.868,5802.809,121.918,18034.275,14427.420,9299.899,1393.616,1835.023,0.000220,0.006906
631,21.0,2683,656,43,978,1697,1,7,85,148.51,0.960,0.938,0.172,0.064,0.252,-0.783,1.490,0.3931,2.1064,0.635,0.099,0.024,0.105,-0.009,142,48,287,0,3,0,106689.02,11458.172,33474.966,28.371,2986.397,17.190,15578.351,5934.392,127.402,20883.868,16707.094,10648.121,1277.238,2005.910,0.000252,0.008510
661,22.0,2801,703,43,1095,1699,1,6,105,134.33,0.948,0.918,0.184,0.060,0.269,-0.784,1.501,0.3922,2.1247,0.633,0.098,0.022,0.105,-0.008,132,55,323,0,8,0,108799.32,13062.198,32185.625,26.930,5236.009,20.579,16243.875,6161.011,145.520,20650.741,16520.593,12514.980,1117.291,2851.628,0.000267,0.005014
691,23.0,2984,770,43,1249,1728,1,6,125,143.14,0.935,0.894,0.206,0.061,0.287,-0.784,1.497,0.3967,2.0959,0.610,0.077,0.018,0.104,-0.009,153,48,343,0,6,0,113823.22,15114.433,35136.275,30.468,5570.775,21.461,16887.772,6308.142,173.749,23723.581,18978.865,12911.514,1126.915,3104.468,0.000241,0.003280
721,24.0,3196,768,43,1406,1786,1,3,168,139.65,0.929,0.881,0.245,0.065,0.301,-0.783,1.503,0.3979,2.0533,0.599,0.066,0.017,0.105,-0.009,182,51,400,0,2,0,117915.51,17241.090,37761.447,45.910,9259.541,24.752,17908.456,6539.827,231.434,27663.736,22130.989,15135.666,963.279,4644.749,0.000179,0.002208
751,25.0,3389,790,40,1529,1858,0,2,200,129.01,0.934,0.875,0.291,0.069,0.308,-0.780,1.503,0.4000,2.0344,0.588,0.052,0.011,0.104,-0.010,195,40,427,0,9,0,119453.40,19317.848,37263.017,41.691,13033.503,25.304,19558.605,6885.476,284.078,28505.724,22804.580,16257.413,618.651,5779.298,0.000229,-0.000505
781,26.0,3610,750,40,1612,1996,0,2,253,127.21,0.947,0.877,0.343,0.074,0.305,-0.773,1.506,0.4021,1.9744,0.585,0.027,0.010,0.104,-0.013,206,36,432,0,8,0,120436.40,20787.979,38766.744,42.150,15986.453,29.102,21508.778,7234.799,346.012,30545.558,24436.447,16329.874,470.117,6615.173,0.000212,-0.002706
811,27.0,3841,789,40,1685,2155,0,1,353,123.38,0.961,0.885,0.395,0.079,0.301,-0.767,1.507,0.4023,1.9476,0.599,0.015,0.007,0.103,-0.016,190,42,390,0,12,0,120699.59,22664.716,38299.381,26.248,18350.616,31.277,23530.735,7922.512,476.407,29723.665,23778.932,15546.000,196.359,7110.408,0.000165,-0.003373
841,28.0,4142,736,40,1717,2424,0,1,486,128.23,0.985,0.906,0.429,0.082,0.286,-0.764,1.509,0.4041,1.9229,0.615,0.009,0.007,0.103,-0.019,172,47,238,0,17,0,125812.60,24221.349,38147.429,17.150,18489.606,29.292,26227.421,8850.251,666.208,27128.141,21702.514,9389.389,266.382,6447.641,0.000236,-0.004821
871,29.0,4469,631,40,1740,2728,0,1,686,116.58,1.007,0.928,0.454,0.088,0.271,-0.763,1.510,0.4071,1.9115,0.612,0.006,0.006,0.104,-0.021,165,61,191,0,31,0,131408.62,25229.054,40347.350,11.843,18387.585,28.649,29244.916,9761.533,920.884,27695.327,22156.262,7981.983,362.537,6181.306,0.000200,-0.006403
