tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,458,10693,0,157,103,82,116,1,14.25,0.861,0.825,0.231,0.194,0.230,-0.067,1.529,0.3488,1.3755,0.812,0.369,0.209,0.100,0.004,47,0,24,0,0,0,24985.75,1313.250,6936.597,23.501,386.724,12.783,2332.625,595.341,0.124,3006.334,2405.067,1183.442,1232.550,494.646,0.000078,-0.000700
61,2.0,498,9443,0,165,111,77,145,1,21.98,0.874,0.834,0.229,0.183,0.221,-0.103,1.522,0.3441,1.4450,0.855,0.424,0.204,0.101,0.011,60,0,16,0,0,0,26639.45,1365.176,6743.117,15.889,99.268,24.941,2480.725,606.205,1.865,2151.765,1721.412,780.604,1954.510,216.220,0.000151,-0.001894
91,3.0,587,8016,0,169,141,74,203,1,29.22,0.895,0.877,0.203,0.177,0.195,-0.153,1.518,0.3470,1.6385,0.891,0.426,0.175,0.104,0.025,61,0,11,0,0,0,30722.59,1449.066,9170.068,8.224,97.726,20.958,2832.326,720.136,1.865,3893.335,3114.668,522.460,1495.150,193.611,0.000121,-0.002693
121,4.0,725,6593,0,177,202,73,273,1,39.00,0.907,0.939,0.179,0.165,0.169,-0.201,1.519,0.3461,1.8746,0.844,0.412,0.130,0.106,0.039,79,4,8,0,0,0,35488.79,1511.088,11047.881,6.507,115.265,26.135,3446.653,969.129,1.865,5865.007,4692.006,392.911,1634.380,181.341,0.000082,-0.003118
151,5.0,946,4913,35,189,310,68,379,2,53.53,0.912,1.013,0.145,0.154,0.143,-0.246,1.523,0.3519,2.1796,0.833,0.381,0.099,0.108,0.053,99,8,7,0,0,0,43408.71,1555.757,16155.745,16.360,80.647,27.759,4331.839,1519.135,1.971,9036.528,7229.223,362.292,1648.509,136.891,0.000108,-0.002786
181,6.0,1169,3328,35,198,465,65,441,4,64.81,0.903,1.063,0.110,0.140,0.125,-0.277,1.517,0.3434,2.3290,0.817,0.364,0.080,0.109,0.060,75,19,42,0,0,0,50141.77,1694.742,18425.853,33.378,95.935,25.117,5665.432,2360.547,3.714,10714.787,8571.830,1595.324,1333.660,319.283,0.000181,-0.001661
211,7.0,1348,2087,35,210,594,55,489,5,87.18,0.888,1.107,0.097,0.129,0.116,-0.300,1.518,0.3484,2.5654,0.828,0.357,0.069,0.109,0.070,73,29,54,0,0,0,55452.35,1780.163,17793.998,52.006,8.538,19.412,6451.309,3224.690,7.812,9660.572,7728.458,1829.293,721.763,148.601,0.000134,-0.000731
241,8.0,1495,1190,35,219,721,43,512,8,106.54,0.868,1.138,0.080,0.114,0.110,-0.324,1.522,0.3482,2.7654,0.786,0.347,0.056,0.108,0.080,97,48,39,0,0,0,58943.40,1874.450,16711.021,49.852,60.450,16.683,7175.233,3928.309,11.146,8501.301,6801.041,1408.012,651.247,270.066,0.000155,-0.000423
271,9.0,1489,920,35,231,728,36,494,13,129.26,0.863,1.139,0.075,0.107,0.115,-0.331,1.524,0.3401,2.8225,0.797,0.325,0.056,0.108,0.082,92,64,57,0,0,0,56961.18,2005.067,10376.893,41.539,28.469,14.786,7343.518,3738.749,17.531,4261.017,3408.814,1790.323,489.244,174.153,0.000120,0.000336
301,10.0,1438,945,30,249,704,27,458,16,147.47,0.848,1.134,0.070,0.097,0.125,-0.340,1.514,0.3420,2.8619,0.776,0.321,0.053,0.107,0.083,76,73,63,0,1,0,53985.21,2171.960,8433.119,34.356,73.571,10.586,7014.838,3566.464,26.039,3047.985,2438.388,1729.356,443.015,226.088,0.000106,0.000770
331,11.0,1418,899,30,258,710,19,431,15,164.66,0.834,1.135,0.068,0.088,0.130,-0.348,1.512,0.3335,2.9187,0.753,0.314,0.055,0.107,0.086,65,74,40,0,3,0,53466.07,2395.625,10204.635,31.088,45.634,11.329,6745.064,3554.284,26.210,3452.405,2761.924,1244.376,715.458,174.615,0.000145,0.001377
361,12.0,1443,761,30,283,731,12,417,18,189.43,0.816,1.135,0.066,0.082,0.139,-0.358,1.517,0.3313,3.0297,0.745,0.290,0.053,0.107,0.090,65,78,37,0,2,0,55496.97,2536.350,13024.972,26.054,49.164,11.193,6623.780,3734.434,25.246,4950.034,3960.027,1286.023,674.600,222.389,0.000148,0.002674
391,13.0,1501,726,30,310,778,9,404,19,204.75,0.807,1.139,0.064,0.080,0.145,-0.367,1.508,0.3458,3.1177,0.746,0.271,0.051,0.107,0.093,63,53,35,0,4,0,57924.59,2870.946,13086.615,25.742,22.105,10.658,6682.764,3817.534,30.608,5300.577,4240.461,1184.147,647.270,133.248,0.000133,0.004455
421,14.0,1561,801,30,346,813,6,396,19,215.97,0.797,1.136,0.060,0.078,0.153,-0.373,1.511,0.3545,3.2021,0.696,0.251,0.046,0.107,0.095,61,58,31,0,4,0,60256.67,3219.638,12858.993,25.826,26.980,10.499,6824.620,3878.886,33.549,5457.861,4366.288,1122.212,714.139,107.396,0.000121,0.004890
451,15.0,1629,818,26,373,852,5,399,22,208.19,0.798,1.131,0.057,0.075,0.158,-0.375,1.512,0.3460,3.1825,0.719,0.244,0.045,0.108,0.096,82,46,45,0,2,0,63880.80,3642.767,14524.700,28.945,62.213,11.269,7034.542,4055.273,32.899,5867.310,4693.848,1394.232,717.005,164.867,0.000134,0.004465
481,16.0,1773,809,26,419,940,5,409,29,200.76,0.792,1.134,0.056,0.069,0.164,-0.379,1.508,0.3497,3.2090,0.699,0.232,0.045,0.108,0.096,53,37,22,0,1,0,69194.15,4067.960,16103.355,11.201,88.706,9.783,7466.879,4288.498,41.053,7227.361,5781.889,613.352,780.726,233.188,0.000163,0.003642
511,17.0,1933,814,26,463,1032,3,435,40,213.87,0.793,1.139,0.055,0.066,0.166,-0.382,1.512,0.3448,3.2464,0.680,0.214,0.043,0.108,0.096,66,31,34,0,1,0,75059.93,4624.140,18047.123,26.083,122.615,9.846,8111.357,4743.101,55.887,8221.403,6577.122,1106.247,852.301,318.396,0.000112,0.003160
