tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,490,11265,0,161,145,80,104,1,11.47,0.881,0.808,0.229,0.226,0.226,-0.127,1.533,0.3143,1.3059,0.791,0.366,0.191,0.102,-0.013,45,0,36,0,0,0,26868.50,1370.657,10253.727,92.579,153.602,10.346,2371.661,612.975,0.135,4826.311,3861.049,2061.530,1810.246,458.004,0.000127,0.000927
61,2.0,659,9562,0,173,298,73,115,2,21.34,0.889,0.914,0.245,0.257,0.194,-0.295,1.530,0.3204,1.7402,0.811,0.399,0.158,0.090,-0.024,67,0,37,0,0,0,34014.95,1406.561,15712.012,58.934,77.057,15.472,3143.182,833.012,2.111,7897.813,6318.250,1973.846,2252.931,246.418,0.000152,0.001669
91,3.0,1111,7000,0,176,739,65,131,6,30.03,0.885,1.065,0.232,0.278,0.145,-0.462,1.525,0.3262,2.2503,0.827,0.438,0.114,0.073,-0.041,72,0,60,0,0,0,52276.04,1497.996,33267.262,56.854,176.272,19.413,4942.353,1551.214,4.337,19146.803,15317.442,2701.323,3089.856,442.578,0.000133,0.001238
121,4.0,1659,4240,0,181,1252,65,161,6,35.49,0.876,1.142,0.186,0.271,0.123,-0.522,1.532,0.3167,2.5475,0.828,0.431,0.081,0.065,-0.048,132,12,111,0,0,0,71407.01,1541.301,41133.601,51.786,111.475,33.490,8129.338,2664.546,8.499,24289.135,19431.309,4220.328,3160.341,554.837,0.000176,-0.000400
151,5.0,1899,2433,72,189,1471,63,176,8,48.90,0.861,1.162,0.160,0.248,0.119,-0.539,1.532,0.3243,2.6384,0.819,0.407,0.065,0.062,-0.046,117,24,221,0,0,0,74691.54,1613.991,29835.261,124.316,172.538,28.264,10163.411,3724.191,8.854,17063.648,13650.918,8088.574,1964.354,926.928,0.000117,-0.001370
181,6.0,2107,844,72,199,1696,56,156,10,74.29,0.823,1.178,0.121,0.214,0.117,-0.563,1.541,0.3213,2.7817,0.806,0.367,0.062,0.059,-0.046,85,63,268,0,3,0,78154.98,1715.388,32083.263,150.565,308.783,20.806,11130.769,4995.128,11.870,18698.204,14958.564,8298.325,1180.536,1129.504,0.000108,-0.000675
211,7.0,1954,474,72,210,1562,45,137,10,91.01,0.814,1.168,0.113,0.203,0.125,-0.572,1.546,0.3116,2.8221,0.816,0.343,0.057,0.059,-0.046,87,80,286,0,2,0,68402.29,1836.994,16319.910,109.333,241.533,14.652,10665.548,4831.249,14.637,7695.291,6156.233,9232.947,520.084,1215.408,0.000131,0.000952
241,8.0,1740,493,72,223,1376,33,108,12,119.14,0.808,1.156,0.109,0.195,0.135,-0.580,1.544,0.3130,2.8533,0.800,0.314,0.057,0.059,-0.045,70,92,212,0,1,0,59144.38,1991.563,10699.043,85.250,287.358,13.770,9560.556,4275.836,12.755,3236.865,2589.492,6153.460,450.071,933.721,0.000163,0.002417
271,9.0,1564,604,72,230,1218,22,94,15,134.82,0.802,1.142,0.112,0.194,0.146,-0.590,1.544,0.3075,2.8593,0.794,0.313,0.051,0.059,-0.047,66,80,188,0,1,0,53023.75,2130.238,10833.015,84.008,176.115,10.663,8397.177,3650.998,16.892,3325.815,2660.652,5381.442,393.316,662.891,0.000107,0.002619
301,10.0,1467,678,60,247,1115,20,85,13,142.68,0.795,1.122,0.113,0.186,0.159,-0.595,1.540,0.3071,2.8512,0.782,0.283,0.055,0.060,-0.048,70,81,141,0,4,0,50802.38,2279.492,12649.663,59.576,257.241,7.516,7625.578,3368.691,18.552,4446.447,3557.158,4126.135,573.183,608.676,0.000076,0.002185
331,11.0,1396,710,60,258,1053,12,73,15,173.38,0.789,1.111,0.120,0.185,0.169,-0.609,1.542,0.3085,2.8879,0.756,0.267,0.066,0.059,-0.049,66,110,101,0,0,0,52504.06,2428.046,15095.478,51.699,69.906,8.887,7232.422,3321.144,17.287,5045.834,4036.667,3124.235,802.469,366.820,0.000150,0.003115
361,12.0,1449,751,60,279,1095,9,66,18,173.97,0.781,1.103,0.119,0.184,0.174,-0.621,1.545,0.3059,2.8968,0.755,0.290,0.065,0.058,-0.047,83,53,89,0,2,0,56191.21,2607.290,16812.364,43.498,178.816,10.418,7045.658,3188.927,18.551,6956.698,5565.358,2873.002,877.367,381.155,0.000193,0.002267
391,13.0,1483,860,60,299,1120,6,58,15,180.28,0.778,1.098,0.124,0.193,0.181,-0.631,1.544,0.3045,2.9331,0.753,0.284,0.067,0.057,-0.050,66,38,112,0,1,0,58621.37,3003.709,16550.766,47.236,241.004,9.089,7232.275,3156.782,21.363,6528.925,5223.140,3689.610,1213.362,552.376,0.000121,0.001538
421,14.0,1590,966,60,333,1198,5,54,17,169.62,0.783,1.097,0.120,0.196,0.188,-0.637,1.537,0.3064,2.9255,0.723,0.267,0.064,0.056,-0.052,75,32,128,0,0,0,63669.79,3363.993,19867.978,42.548,312.336,8.982,7517.636,3347.301,20.416,9687.327,7749.862,3772.906,980.705,649.676,0.000104,0.001635
451,15.0,1729,872,49,367,1305,3,54,20,170.59,0.786,1.103,0.119,0.202,0.190,-0.644,1.533,0.3073,2.9429,0.712,0.245,0.054,0.055,-0.054,60,34,150,0,1,0,69818.20,3757.619,23949.891,53.586,414.058,7.296,8280.451,3786.335,26.848,11747.332,9397.866,5293.358,1141.615,734.609,0.000114,0.002241
481,16.0,1860,914,49,411,1399,2,48,20,166.45,0.791,1.105,0.116,0.199,0.195,-0.649,1.528,0.3040,2.9578,0.693,0.246,0.050,0.055,-0.055,78,30,160,0,1,0,74609.75,4357.630,22959.280,52.220,219.484,7.493,9036.863,4246.167,27.336,11832.801,9466.241,4967.228,1273.775,659.650,0.000157,0.002712
511,17.0,2030,930,49,460,1523,1,46,26,173.21,0.792,1.104,0.114,0.191,0.199,-0.652,1.528,0.3044,2.9917,0.655,0.207,0.057,0.054,-0.053,92,40,144,0,1,0,81707.99,4926.964,25766.001,36.630,263.356,10.882,9795.479,4472.662,30.752,12825.019,10260.015,4239.655,1812.861,714.935,0.000198,0.004651
541,18.0,2211,842,49,521,1644,1,45,33,143.59,0.784,1.091,0.116,0.178,0.205,-0.655,1.527,0.3059,2.9893,0.672,0.192,0.049,0.054,-0.050,98,39,206,0,1,0,88175.82,5602.329,29575.825,55.352,963.182,8.616,10611.735,4933.935,41.428,15323.430,12258.744,6935.962,1714.089,1463.844,0.000109,0.004694
571,19.0,2390,767,49,600,1743,1,46,47,136.32,0.787,1.079,0.126,0.174,0.215,-0.656,1.524,0.3075,2.9662,0.640,0.175,0.051,0.055,-0.050,102,29,226,0,1,0,93766.09,6503.062,28827.800,56.500,816.412,9.798,11406.008,5387.947,56.672,15759.632,12607.706,7195.109,1326.184,1273.249,0.000152,0.003835
601,20.0,2558,857,45,680,1828,1,49,57,157.87,0.779,1.068,0.135,0.174,0.224,-0.660,1.516,0.3076,2.9692,0.615,0.162,0.051,0.055,-0.049,98,29,229,0,2,0,99914.29,7406.864,30585.334,78.332,949.941,9.246,12275.889,5677.763,76.992,15357.413,12285.930,7925.239,1548.675,1346.289,0.000294,0.004630
631,21.0,2718,789,45,767,1898,1,52,56,147.73,0.785,1.061,0.138,0.177,0.234,-0.664,1.517,0.3113,2.9487,0.613,0.141,0.044,0.055,-0.049,90,33,308,0,4,0,106159.99,8504.584,33840.064,92.388,1014.329,11.386,13218.470,5970.924,87.803,18425.018,14740.015,9975.592,1672.033,1581.508,0.000257,0.005440
661,22.0,2872,838,45,894,1928,1,49,74,158.39,0.779,1.035,0.139,0.175,0.251,-0.667,1.523,0.3077,2.9194,0.578,0.126,0.044,0.055,-0.048,120,49,301,0,2,0,110647.59,9825.518,32365.384,81.091,1138.950,11.821,14058.351,6169.112,105.160,18092.318,14473.855,10324.719,1576.828,1931.768,0.000178,0.006410
691,23.0,3079,780,45,1035,1993,1,50,103,136.88,0.777,1.015,0.136,0.164,0.266,-0.666,1.518,0.3103,2.9231,0.563,0.117,0.047,0.056,-0.046,106,49,270,0,4,0,120219.91,11243.974,35328.841,76.100,1077.928,13.572,14781.064,6261.823,136.217,19349.772,15479.818,8618.829,1891.974,1516.724,0.000238,0.005296
721,24.0,3299,778,45,1175,2076,1,47,138,155.89,0.771,0.996,0.139,0.157,0.279,-0.664,1.516,0.3100,2.9005,0.551,0.111,0.039,0.056,-0.042,123,46,322,0,5,0,127920.19,12471.510,35937.456,74.104,1540.640,12.744,15760.408,6616.094,196.160,21106.743,16885.395,10452.499,1530.400,2005.890,0.000180,0.005413
751,25.0,3475,765,44,1346,2077,2,50,189,158.57,0.768,0.973,0.143,0.151,0.297,-0.661,1.516,0.3140,2.8902,0.545,0.102,0.039,0.058,-0.037,129,52,409,0,6,0,133759.45,14360.932,37560.674,94.614,2303.037,15.726,16634.814,6963.273,271.223,23256.788,18605.431,12951.806,2084.920,2619.559,0.000178,0.006826
781,26.0,3667,718,44,1551,2060,2,54,275,143.43,0.766,0.946,0.152,0.154,0.319,-0.661,1.516,0.3162,2.8628,0.543,0.088,0.036,0.060,-0.033,134,38,445,0,14,0,138789.94,16719.417,38743.734,147.074,3644.607,17.485,17431.150,7189.227,411.061,25211.608,20169.286,15245.008,1929.936,3331.038,0.000205,0.006209
811,27.0,3801,763,44,1775,1975,1,50,396,130.17,0.748,0.903,0.157,0.142,0.345,-0.658,1.516,0.3154,2.8445,0.524,0.080,0.036,0.061,-0.025,152,37,450,0,11,0,143060.00,18836.267,36546.863,121.476,3761.049,16.085,17922.848,7045.421,598.996,22621.786,18097.429,15847.973,1613.701,3681.249,0.000167,0.005695
