tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
10531,351.0,1520,317,35,574,946,0,0,56,262.64,1.369,1.171,1.907,0.392,0.366,-0.959,1.987,0.3137,1.4864,0.696,0.000,0.001,0.176,-0.073,132,173,51,4,7,0,47559.09,9020.025,30613.705,0.180,5775.137,49.136,33347.052,4116.097,81.485,9722.870,7778.296,2261.239,231.212,504.116,0.000237,-0.079598
10561,352.0,1414,304,35,566,848,0,0,56,272.32,1.333,1.146,1.847,0.388,0.383,-0.958,1.990,0.3108,1.5114,0.687,0.002,0.004,0.176,-0.071,120,163,78,3,6,0,42924.10,8666.566,27076.131,0.219,5634.783,45.229,30732.687,3781.703,81.246,8462.871,6770.297,3316.023,129.905,643.768,0.000135,-0.079194
10591,353.0,1353,326,35,561,792,0,0,45,248.09,1.312,1.127,1.801,0.377,0.393,-0.961,1.992,0.3126,1.4954,0.707,0.000,0.004,0.174,-0.072,118,141,44,3,7,0,39144.27,8184.803,24002.115,0.205,4954.744,48.939,28338.666,3507.942,76.279,7900.107,6320.086,1884.618,123.967,455.460,0.000135,-0.078705
10621,354.0,1297,300,35,550,747,0,0,38,322.98,1.295,1.118,1.771,0.356,0.400,-0.961,1.993,0.3153,1.5151,0.688,0.000,0.004,0.174,-0.072,133,127,43,5,9,0,36200.43,7751.025,23557.669,0.162,4655.621,47.515,26941.082,3343.715,58.558,7561.514,6049.211,1825.915,145.814,425.305,0.000144,-0.080008
10651,355.0,1185,323,33,535,650,0,0,25,368.15,1.251,1.082,1.695,0.335,0.421,-0.960,1.997,0.3158,1.5340,0.726,0.000,0.002,0.171,-0.075,121,154,39,6,10,0,32679.48,7352.694,19743.326,0.164,3828.640,59.855,24446.576,3025.088,46.389,5710.285,4568.228,1538.325,69.674,349.023,0.000126,-0.079636
10681,356.0,1150,302,33,527,623,0,0,24,368.25,1.240,1.074,1.670,0.320,0.426,-0.960,1.999,0.3155,1.5101,0.721,0.000,0.005,0.171,-0.076,120,111,28,4,1,0,32353.49,7103.486,20353.944,0.095,4107.754,49.429,22166.440,2690.112,32.925,6417.057,5133.645,1086.831,196.854,326.943,0.000113,-0.079552
10711,357.0,1095,312,33,518,577,0,0,26,373.52,1.217,1.058,1.636,0.315,0.437,-0.959,1.999,0.3123,1.5147,0.712,0.000,0.000,0.169,-0.078,109,114,28,7,0,0,30775.39,6830.677,17945.236,0.097,3803.904,55.837,21229.051,2581.062,33.553,5500.499,4400.399,1061.362,71.329,277.650,0.000150,-0.080339
10741,358.0,1075,277,33,517,558,0,0,20,387.84,1.205,1.048,1.616,0.317,0.442,-0.959,2.000,0.3120,1.5034,0.714,0.000,0.002,0.167,-0.079,143,108,16,4,4,0,29696.85,6499.622,17458.773,0.092,3763.062,57.373,20174.116,2488.239,32.633,6380.285,5104.228,690.749,135.944,239.292,0.000129,-0.080082
10771,359.0,1019,315,33,510,509,0,0,12,393.26,1.174,1.026,1.571,0.305,0.458,-0.960,2.004,0.3134,1.5141,0.706,0.000,0.004,0.165,-0.080,126,96,20,7,3,0,27653.31,6389.081,15130.153,0.033,3202.214,61.545,19147.605,2346.361,23.715,4081.566,3265.253,810.492,201.400,216.916,0.000105,-0.080130
10801,360.0,985,330,33,508,477,0,0,13,399.04,1.150,1.009,1.529,0.300,0.471,-0.960,1.999,0.3134,1.4921,0.716,0.000,0.006,0.165,-0.081,108,105,10,2,0,0,27189.41,6260.174,15137.642,0.014,3168.503,55.595,18047.739,2165.878,17.892,4765.062,3812.050,363.370,101.484,212.356,0.000110,-0.079980
10831,361.0,973,361,33,505,468,0,0,9,434.37,1.144,1.006,1.516,0.286,0.475,-0.962,2.000,0.3136,1.5055,0.713,0.002,0.002,0.165,-0.083,128,91,8,5,3,0,27654.41,6234.616,15124.454,0.032,3175.973,46.236,17108.380,2026.228,16.072,5427.819,4342.255,405.681,77.090,175.088,0.000080,-0.079541
10861,362.0,993,385,33,504,489,0,0,9,413.77,1.161,1.020,1.550,0.277,0.465,-0.963,2.002,0.3146,1.5193,0.700,0.002,0.002,0.164,-0.085,117,61,18,1,2,0,28217.10,6129.756,15866.869,0.018,3368.461,55.139,17275.337,2062.587,14.580,5932.984,4746.387,596.563,85.732,212.564,0.000145,-0.078102
10891,363.0,1013,360,33,501,512,0,0,10,428.24,1.178,1.043,1.579,0.277,0.456,-0.962,1.999,0.3146,1.5223,0.717,0.002,0.004,0.166,-0.084,128,78,9,5,3,0,29451.95,6294.579,17184.305,0.042,3598.433,44.373,18025.181,2131.990,18.461,6612.520,5290.016,424.430,113.457,208.049,0.000094,-0.077334
10921,364.0,1033,380,33,498,535,0,0,10,391.25,1.197,1.064,1.607,0.290,0.446,-0.963,2.002,0.3164,1.5280,0.708,0.002,0.004,0.168,-0.083,124,84,11,2,2,0,30198.59,6550.455,17511.106,0.042,3887.271,53.992,18691.055,2286.535,14.685,6913.050,5530.440,435.425,303.824,200.831,0.000176,-0.075372
10951,365.0,1056,453,34,497,559,0,0,12,353.61,1.215,1.081,1.640,0.291,0.439,-0.964,2.002,0.3132,1.5292,0.728,0.004,0.002,0.169,-0.084,122,75,14,5,1,0,30977.75,6651.117,18242.796,0.012,3695.600,41.883,19435.000,2337.551,18.881,6805.840,5444.672,526.004,219.731,216.433,0.000112,-0.075104
10981,366.0,1109,401,34,501,608,0,0,13,334.54,1.244,1.114,1.690,0.286,0.425,-0.965,1.999,0.3159,1.5339,0.720,0.002,0.002,0.170,-0.081,141,89,8,2,1,0,34480.56,6975.624,21703.877,0.013,4198.565,47.744,20291.986,2483.250,18.850,8835.832,7068.665,273.305,153.022,189.119,0.000117,-0.075829
11011,367.0,1144,417,34,502,642,0,0,16,293.52,1.264,1.137,1.725,0.293,0.416,-0.965,1.996,0.3169,1.5598,0.703,0.002,0.003,0.171,-0.081,127,87,19,5,4,0,35626.69,7102.993,21706.902,0.093,4417.709,41.347,21912.207,2745.019,24.495,8592.275,6873.820,838.750,160.440,264.496,0.000153,-0.076311
11041,368.0,1189,481,34,500,689,0,0,15,311.90,1.294,1.168,1.773,0.302,0.403,-0.965,1.995,0.3191,1.5621,0.710,0.002,0.004,0.172,-0.080,120,100,16,3,1,0,37945.19,7377.097,24115.827,0.069,4398.820,46.480,23125.718,2970.799,24.685,9694.458,7755.567,655.125,208.619,250.654,0.000096,-0.076219
11071,369.0,1260,446,34,507,753,0,0,18,249.88,1.322,1.198,1.819,0.316,0.390,-0.964,1.996,0.3207,1.5724,0.710,0.002,0.004,0.174,-0.079,123,100,31,2,0,0,41718.85,7837.730,27902.282,0.083,4817.970,44.954,24680.684,3187.957,26.761,11724.831,9379.865,1160.804,225.329,339.934,0.000116,-0.075528
11101,370.0,1324,508,34,513,811,0,0,19,192.12,1.346,1.220,1.852,0.314,0.381,-0.964,1.996,0.3211,1.6064,0.710,0.002,0.002,0.177,-0.078,127,101,34,1,0,0,45873.33,8330.453,30534.618,0.067,5500.918,39.866,26570.679,3491.201,29.726,11590.999,9272.799,1617.485,278.794,404.578,0.000202,-0.075006
11131,371.0,1444,421,34,521,923,0,0,23,164.88,1.386,1.256,1.921,0.321,0.361,-0.963,1.992,0.3208,1.5750,0.701,0.008,0.003,0.180,-0.074,131,95,21,1,1,0,51101.73,8842.416,33909.901,0.096,6054.844,37.846,29341.433,3880.871,29.111,13710.313,10968.250,781.024,428.533,320.978,0.000180,-0.074780
11161,372.0,1530,411,34,524,1006,0,0,22,207.46,1.415,1.281,1.983,0.333,0.348,-0.964,1.990,0.3197,1.5871,0.693,0.000,0.003,0.181,-0.074,132,110,51,2,4,0,53902.48,9347.199,35754.368,0.219,6550.720,42.788,32050.802,4213.006,36.561,14694.909,11755.927,2324.437,226.010,511.244,0.000118,-0.074795
11191,373.0,1600,488,34,530,1070,0,0,28,192.76,1.431,1.296,2.007,0.329,0.340,-0.964,1.989,0.3236,1.5789,0.693,0.000,0.001,0.180,-0.074,119,135,43,2,3,0,57122.32,9812.923,37938.081,0.210,6415.358,42.494,34457.124,4558.788,40.195,14680.970,11744.776,1746.550,326.913,465.606,0.000198,-0.074184
11221,374.0,1727,382,34,547,1180,0,0,26,124.45,1.454,1.322,2.027,0.324,0.329,-0.964,1.994,0.3198,1.5688,0.677,0.000,0.002,0.180,-0.072,133,155,38,0,7,0,63032.90,10327.835,44018.016,0.157,7457.131,37.298,37181.673,4989.672,43.255,18685.336,14948.269,1668.711,329.365,485.688,0.000175,-0.073799
11251,375.0,1846,408,34,555,1291,0,0,23,115.41,1.477,1.343,2.080,0.326,0.317,-0.965,1.995,0.3241,1.5989,0.678,0.000,0.002,0.181,-0.075,156,116,60,0,6,0,68200.81,10929.755,46873.750,0.244,7793.750,43.146,40312.168,5454.226,38.122,17449.972,13959.978,2602.834,191.509,546.984,0.000149,-0.073541
11281,376.0,1968,383,34,562,1406,0,0,22,146.12,1.502,1.366,2.125,0.329,0.306,-0.965,1.994,0.3265,1.5925,0.673,0.002,0.001,0.183,-0.073,150,168,46,1,2,0,73829.74,11578.500,51292.552,0.294,8263.296,42.878,44457.481,5991.265,35.225,19748.328,15798.663,1906.844,373.067,528.869,0.000151,-0.074329
11311,377.0,2081,357,34,580,1501,0,0,24,122.36,1.514,1.376,2.153,0.338,0.301,-0.966,1.990,0.3271,1.5673,0.662,0.002,0.003,0.185,-0.075,150,195,45,2,2,0,77664.38,12343.670,52614.784,0.282,9324.165,42.799,47595.016,6461.379,34.741,20445.311,16356.249,1975.309,400.505,568.085,0.000201,-0.074316
11341,378.0,2144,346,34,591,1553,0,0,34,150.01,1.518,1.380,2.162,0.336,0.299,-0.967,1.990,0.3220,1.6029,0.678,0.000,0.003,0.185,-0.074,155,221,73,1,1,0,80092.49,13115.216,54489.120,0.317,9664.968,42.567,49845.656,6783.126,39.421,20756.939,16605.552,3155.616,520.759,680.572,0.000158,-0.074751
11371,379.0,2249,392,34,597,1652,0,0,39,143.55,1.534,1.395,2.196,0.336,0.292,-0.967,1.987,0.3239,1.5751,0.680,0.002,0.002,0.185,-0.075,169,201,65,0,5,0,85143.12,14224.523,58842.436,0.194,10814.098,42.257,52338.539,7106.701,56.576,21872.175,17497.740,2937.006,474.444,728.820,0.000220,-0.073306
11401,380.0,2370,350,35,610,1760,0,0,35,115.96,1.546,1.408,2.218,0.346,0.287,-0.966,1.982,0.3187,1.5980,0.666,0.002,0.001,0.186,-0.076,132,236,75,0,7,0,90309.39,14739.478,63271.429,0.196,11540.843,45.480,55851.154,7608.635,57.434,25483.216,20386.573,3034.326,429.888,766.758,0.000226,-0.073113
11431,381.0,2446,313,35,611,1835,0,0,36,184.91,1.557,1.421,2.231,0.353,0.282,-0.965,1.983,0.3205,1.5859,0.662,0.000,0.003,0.186,-0.076,135,237,89,3,7,0,93780.56,15249.832,65174.810,0.240,11347.488,41.130,58454.953,7987.401,52.071,24070.628,19256.503,4187.697,543.830,913.634,0.000221,-0.072746
11461,382.0,2503,327,35,619,1884,0,0,36,128.56,1.560,1.425,2.250,0.364,0.280,-0.965,1.980,0.3182,1.5917,0.660,0.002,0.005,0.185,-0.076,165,239,115,0,5,0,98133.69,15780.105,69512.924,0.409,11805.418,49.368,60561.978,8226.573,56.477,24294.970,19435.976,5371.476,795.118,1069.697,0.000199,-0.073131
