tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,521,12954,0,156,184,82,99,0,8.22,0.846,0.801,0.208,0.267,0.209,-0.221,1.505,0.3467,1.3518,0.856,0.538,0.164,0.094,-0.014,46,0,23,0,0,0,28875.94,1421.604,11175.302,20.471,51.924,16.601,2437.463,613.762,0.000,5175.670,4140.536,1068.185,1705.630,138.627,0.000127,-0.001523
61,2.0,689,11321,0,163,336,76,114,1,12.88,0.862,0.862,0.194,0.427,0.172,-0.375,1.504,0.3419,1.5251,0.842,0.534,0.129,0.086,-0.034,70,0,90,0,0,0,35107.90,1420.629,17777.212,20.195,196.394,21.142,3260.024,873.021,0.148,9044.469,7235.575,3505.091,2880.774,658.122,0.000171,-0.003128
91,3.0,1002,9143,0,168,637,69,128,2,20.52,0.842,0.943,0.168,0.640,0.131,-0.507,1.497,0.3477,1.8256,0.845,0.530,0.106,0.075,-0.064,67,0,177,0,0,0,46229.45,1485.528,29329.584,39.084,149.736,21.501,4658.343,1360.629,2.309,17431.951,13945.561,6538.383,2801.731,884.853,0.000193,-0.005384
121,4.0,1570,5849,0,168,1175,65,162,5,25.76,0.857,1.019,0.150,0.817,0.096,-0.592,1.497,0.3460,2.1061,0.861,0.482,0.071,0.070,-0.081,109,5,359,0,0,0,67777.66,1515.731,54023.984,74.457,432.331,22.440,7617.832,2539.172,4.596,33255.360,26604.288,12810.675,2821.547,1621.073,0.000184,-0.007060
151,5.0,1907,3097,60,172,1539,57,139,13,40.94,0.876,1.037,0.127,0.866,0.086,-0.635,1.502,0.3408,2.1740,0.846,0.448,0.058,0.070,-0.084,117,18,535,0,0,0,75866.16,1533.282,51297.925,118.248,534.108,19.691,11399.150,3737.426,12.140,32420.385,25936.309,18768.564,2150.879,2308.720,0.000176,-0.006849
181,6.0,1994,1627,60,177,1654,44,119,23,53.31,0.873,1.044,0.112,0.892,0.084,-0.659,1.506,0.3421,2.2416,0.873,0.390,0.052,0.074,-0.081,116,39,463,0,1,0,73518.98,1658.109,35667.252,80.703,570.841,18.944,12971.725,4524.911,24.865,21100.142,16880.114,14949.468,1073.857,1988.386,0.000172,-0.007006
211,7.0,1851,1056,60,181,1541,35,94,23,77.30,0.859,1.045,0.101,0.907,0.088,-0.670,1.505,0.3368,2.2859,0.858,0.354,0.047,0.071,-0.087,108,74,401,0,5,0,64808.95,1728.372,23287.798,93.281,712.202,15.628,12604.730,4559.150,35.070,12033.858,9627.087,11972.897,604.014,1636.853,0.000169,-0.005638
241,8.0,1705,836,60,186,1417,21,81,20,88.93,0.853,1.041,0.093,0.912,0.094,-0.685,1.500,0.3369,2.3159,0.842,0.339,0.041,0.070,-0.090,97,114,310,0,3,0,58553.68,1813.389,20349.196,76.456,589.408,16.014,11500.273,4454.115,31.738,10100.939,8080.752,8748.856,578.085,1161.051,0.000077,-0.005694
271,9.0,1494,827,60,195,1228,15,56,17,111.21,0.855,1.028,0.092,0.908,0.105,-0.693,1.496,0.3400,2.3168,0.846,0.328,0.035,0.071,-0.087,92,114,296,0,4,0,52467.84,1935.641,17805.700,50.572,776.070,11.548,10309.166,3943.133,25.246,7531.229,6024.983,8386.458,533.611,1173.894,0.000094,-0.006336
301,10.0,1389,920,46,200,1133,9,47,21,117.65,0.868,1.020,0.090,0.849,0.113,-0.705,1.495,0.3385,2.3055,0.834,0.305,0.034,0.073,-0.084,95,90,216,0,2,0,51329.21,2083.331,19010.921,36.417,457.513,13.009,9302.070,3512.527,23.327,7765.310,6212.248,6413.605,461.079,1003.627,0.000139,-0.005363
