tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,428,8403,0,157,95,77,99,0,14.08,0.829,0.780,0.192,0.177,0.254,-0.050,1.552,0.3433,1.2624,0.780,0.427,0.159,0.103,-0.006,25,0,24,0,0,0,23275.06,1378.627,4728.072,46.804,107.434,9.988,2078.551,618.131,0.000,1854.646,1483.717,1298.364,1101.260,382.145,0.000089,0.000436
61,2.0,446,7738,0,165,112,72,97,0,24.33,0.840,0.773,0.178,0.181,0.254,-0.104,1.545,0.3435,1.2683,0.780,0.485,0.153,0.104,0.001,55,0,27,0,0,0,23103.75,1414.442,4125.258,46.069,32.432,15.599,2157.797,581.843,0.000,1833.034,1466.427,1445.858,910.681,294.291,0.000104,0.000912
91,3.0,468,7299,0,168,123,71,106,0,28.08,0.851,0.771,0.166,0.176,0.247,-0.131,1.544,0.3489,1.3115,0.819,0.476,0.143,0.104,0.005,57,1,12,0,0,0,23129.66,1450.398,3339.276,15.312,88.464,23.347,2233.890,573.243,0.000,1411.807,1129.445,540.354,881.526,267.708,0.000111,0.000989
121,4.0,526,6722,0,180,170,69,107,0,35.42,0.850,0.789,0.151,0.149,0.235,-0.223,1.542,0.3504,1.3921,0.814,0.433,0.130,0.108,0.014,66,0,8,0,0,0,25008.25,1552.476,5547.734,12.812,43.170,26.484,2417.965,598.942,0.000,2455.330,1964.264,278.670,1262.683,185.105,0.000072,0.000885
151,5.0,603,6047,63,187,237,68,111,0,43.20,0.847,0.808,0.139,0.118,0.217,-0.313,1.550,0.3506,1.6533,0.786,0.412,0.130,0.109,0.019,87,5,16,0,0,0,28020.89,1669.201,8224.707,17.895,25.358,31.909,2722.348,678.798,0.000,3658.512,2926.810,739.344,1707.077,319.888,0.000103,0.000321
181,6.0,724,5389,63,201,351,63,109,1,60.40,0.836,0.840,0.116,0.097,0.199,-0.435,1.564,0.3364,1.8129,0.742,0.378,0.138,0.115,0.022,86,14,9,0,0,0,32301.46,1703.816,10790.854,5.694,32.288,30.996,3143.158,937.490,0.097,5261.716,4209.373,232.045,2633.810,220.850,0.000093,0.000664
211,7.0,1053,4185,63,212,684,58,99,1,81.16,0.809,0.934,0.101,0.064,0.155,-0.614,1.576,0.3299,2.2644,0.774,0.373,0.106,0.126,0.023,107,30,20,0,0,0,45463.96,1825.994,23502.964,22.025,11.705,29.434,4042.719,1229.104,1.455,13588.159,10870.527,822.810,3195.967,178.793,0.000108,0.001019
241,8.0,1488,2922,63,227,1116,52,93,1,96.81,0.795,0.993,0.102,0.049,0.129,-0.709,1.586,0.3279,2.5378,0.756,0.366,0.087,0.133,0.022,114,22,25,0,0,0,60746.64,1948.769,28433.530,6.553,0.000,23.180,5816.996,1835.856,1.455,17058.821,13647.057,781.984,3177.752,80.366,0.000171,0.002519
271,9.0,1798,2001,63,252,1424,37,85,4,128.31,0.777,1.024,0.106,0.042,0.122,-0.759,1.583,0.3338,2.7284,0.727,0.333,0.080,0.136,0.023,105,38,57,0,0,0,70113.43,2163.952,24739.497,38.378,0.269,19.951,7609.197,2478.797,1.783,13960.728,11168.583,1656.033,2846.671,190.411,0.000094,0.002949
301,10.0,2150,1180,55,271,1773,32,74,5,128.40,0.750,1.061,0.102,0.039,0.114,-0.790,1.591,0.3261,2.8906,0.717,0.314,0.072,0.139,0.022,97,50,58,0,1,0,79895.16,2415.235,26535.564,85.723,2.884,16.343,8789.298,3457.297,5.312,15420.439,12336.351,1835.178,1947.112,136.504,0.000109,0.001964
331,11.0,2439,689,55,300,2047,26,66,8,124.35,0.729,1.085,0.109,0.038,0.113,-0.812,1.603,0.3318,3.0026,0.677,0.293,0.057,0.141,0.022,95,79,71,0,1,0,83790.42,2564.579,23147.061,79.404,52.140,12.448,10266.095,5529.667,8.526,14704.610,11763.688,1907.388,1098.284,144.903,0.000265,0.004395
361,12.0,2508,553,55,324,2107,21,56,17,133.34,0.716,1.088,0.108,0.038,0.117,-0.823,1.597,0.3350,3.0807,0.673,0.281,0.053,0.141,0.022,80,130,74,0,0,0,82730.59,2949.173,17878.969,85.935,75.373,12.393,10841.665,6161.165,20.223,9124.249,7299.399,1965.173,890.666,270.177,0.000194,0.006110
391,13.0,2486,494,55,351,2071,15,49,24,125.83,0.711,1.085,0.102,0.037,0.125,-0.831,1.599,0.3336,3.1199,0.686,0.271,0.052,0.142,0.021,78,143,99,0,3,0,82128.79,3366.667,16870.404,67.043,93.868,11.245,10817.256,4953.768,36.941,7510.288,6008.230,2573.824,735.638,286.423,0.000170,0.007002
421,14.0,2512,471,55,400,2058,9,45,25,141.60,0.705,1.074,0.096,0.035,0.136,-0.837,1.605,0.3429,3.1312,0.659,0.233,0.047,0.142,0.021,76,146,99,0,4,0,83853.00,3780.116,18363.610,50.360,89.886,10.586,10652.517,4428.146,43.827,9189.478,7351.583,2322.326,916.789,268.376,0.000141,0.007106
451,15.0,2523,477,45,452,2024,7,40,29,162.27,0.698,1.066,0.093,0.033,0.149,-0.844,1.612,0.3393,3.1639,0.633,0.212,0.044,0.142,0.019,69,155,100,0,1,0,86309.73,4338.471,19157.739,92.290,63.750,9.003,10623.279,4676.889,48.087,8947.909,7158.327,2970.032,755.045,268.859,0.000170,0.008535
481,16.0,2631,467,45,508,2078,7,38,34,165.25,0.694,1.061,0.090,0.032,0.158,-0.848,1.607,0.3401,3.2026,0.629,0.189,0.044,0.142,0.021,77,98,90,0,4,0,90292.03,5050.338,20699.654,54.813,113.582,7.706,10758.059,5265.699,53.166,10146.722,8117.377,2444.281,878.289,393.670,0.000131,0.008110
511,17.0,2760,466,45,597,2121,7,35,41,194.64,0.691,1.048,0.084,0.032,0.173,-0.851,1.608,0.3521,3.2201,0.600,0.164,0.044,0.142,0.021,79,98,96,0,2,0,95018.04,5963.075,21625.223,88.334,270.282,8.593,11141.581,5342.270,63.655,10908.361,8726.689,2771.139,1085.780,364.524,0.000183,0.006464
541,18.0,2881,497,45,677,2168,6,30,50,184.88,0.691,1.033,0.087,0.032,0.185,-0.859,1.612,0.3460,3.2222,0.608,0.158,0.044,0.143,0.020,65,108,118,0,5,0,100356.79,6860.439,23287.801,96.665,367.377,7.104,11622.846,5352.301,76.828,11960.406,9568.325,3700.028,1349.844,412.222,0.000179,0.005210
571,19.0,3105,432,45,779,2292,6,28,59,194.74,0.693,1.023,0.084,0.032,0.195,-0.864,1.611,0.3449,3.2195,0.595,0.144,0.039,0.143,0.021,81,90,123,0,4,0,109303.52,8074.723,26819.599,62.004,348.621,7.548,12289.745,5700.784,83.613,15051.747,12041.397,3065.859,1470.439,388.811,0.000245,0.001705
601,20.0,3309,469,43,917,2361,6,25,82,193.35,0.689,1.005,0.080,0.033,0.211,-0.868,1.617,0.3501,3.2305,0.565,0.137,0.035,0.142,0.019,74,99,136,0,7,0,116055.84,9387.699,25587.571,88.090,188.135,6.060,13136.972,6097.935,108.140,14902.154,11921.723,4118.349,1291.896,577.311,0.000275,-0.001171
631,21.0,3526,504,43,1074,2428,5,19,102,196.45,0.684,0.987,0.078,0.034,0.229,-0.876,1.625,0.3489,3.1916,0.556,0.122,0.036,0.142,0.018,94,101,190,0,5,0,124014.13,10972.334,28191.762,112.242,692.097,7.532,13918.783,6359.387,136.331,17243.088,13794.470,5411.591,1355.778,687.555,0.000147,-0.001203
661,22.0,3758,486,43,1247,2491,3,17,118,210.60,0.679,0.968,0.079,0.031,0.247,-0.881,1.626,0.3508,3.2270,0.529,0.113,0.040,0.141,0.020,100,109,217,0,3,0,133996.58,12780.599,30500.160,95.462,835.545,8.947,14621.236,6367.780,159.295,18806.850,15045.480,6168.978,1476.697,838.426,0.000166,-0.001602
691,23.0,4045,482,43,1446,2581,2,16,158,203.63,0.679,0.947,0.080,0.034,0.263,-0.883,1.630,0.3502,3.1723,0.516,0.107,0.037,0.140,0.021,110,99,213,0,14,0,145361.30,14652.672,31810.789,67.987,1075.435,9.855,15543.945,6643.642,205.440,20736.112,16588.890,6224.263,1507.106,895.104,0.000176,-0.002600
721,24.0,4344,482,43,1679,2647,2,16,225,170.60,0.676,0.922,0.081,0.035,0.281,-0.885,1.633,0.3600,3.1639,0.492,0.096,0.036,0.139,0.022,109,84,260,0,11,0,155614.66,16839.951,32275.024,82.119,1727.291,11.656,16813.194,6903.752,294.259,22035.604,17628.483,7811.042,1352.228,1362.140,0.000233,-0.003580
751,25.0,4639,478,37,1961,2660,2,16,314,175.21,0.668,0.893,0.084,0.037,0.305,-0.885,1.627,0.3607,3.1348,0.487,0.090,0.038,0.138,0.023,121,98,309,0,12,0,164291.41,19258.333,32176.117,132.610,2424.669,16.349,17734.402,7098.362,401.366,23776.679,19021.344,9806.106,1493.301,1601.440,0.000299,-0.006971
781,26.0,4968,438,37,2256,2698,2,12,416,212.59,0.660,0.869,0.085,0.037,0.325,-0.889,1.629,0.3652,3.1009,0.490,0.078,0.045,0.137,0.023,143,76,340,0,12,0,175758.47,22737.415,34658.496,85.449,3602.401,20.454,18702.427,7325.857,543.935,25411.881,20329.505,10746.274,1483.599,2129.817,0.000253,-0.008706
811,27.0,5252,456,37,2601,2639,3,9,603,176.57,0.649,0.838,0.090,0.040,0.351,-0.890,1.629,0.3739,3.0732,0.483,0.070,0.036,0.135,0.025,144,82,434,0,19,0,184294.64,26522.101,32905.109,94.069,5195.160,19.449,19617.320,7565.160,758.322,27350.528,21880.423,13425.052,1703.659,2445.498,0.000227,-0.008429
