tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,496,10717,0,151,143,83,119,0,9.71,0.895,0.812,0.208,0.206,0.216,-0.115,1.498,0.3200,1.2960,0.846,0.497,0.194,0.103,0.001,33,0,14,0,0,0,27917.29,1359.179,9693.604,15.854,3.825,8.185,2463.230,659.015,0.000,4290.434,3432.347,737.169,1608.063,214.801,0.000080,0.000012
61,2.0,541,9331,0,162,173,83,123,0,19.57,0.907,0.822,0.203,0.205,0.212,-0.153,1.486,0.3266,1.3099,0.850,0.549,0.190,0.103,0.002,53,0,35,0,0,0,29897.49,1405.167,8378.245,27.543,21.706,18.724,2829.018,720.395,0.000,3270.627,2616.502,1541.032,1899.194,186.998,0.000159,-0.000139
91,3.0,648,7903,0,168,262,83,135,1,27.85,0.945,0.877,0.192,0.238,0.189,-0.226,1.477,0.3240,1.3755,0.852,0.536,0.150,0.098,0.009,58,0,32,0,0,0,33997.12,1474.074,11369.957,23.070,52.216,22.855,3395.941,874.792,0.115,5904.374,4723.499,1513.378,1623.500,178.873,0.000179,0.001251
121,4.0,786,6272,0,172,384,79,151,2,32.08,0.981,0.929,0.191,0.237,0.169,-0.299,1.479,0.3230,1.4819,0.866,0.517,0.111,0.099,0.018,76,3,47,0,0,0,39718.64,1505.553,15791.709,30.445,85.126,23.449,4338.209,1076.963,1.837,8051.486,6441.189,2018.658,2220.803,339.420,0.000165,0.003230
151,5.0,957,4641,52,176,535,75,171,5,39.60,1.013,0.979,0.195,0.242,0.151,-0.355,1.477,0.3203,1.5739,0.826,0.500,0.096,0.100,0.024,86,12,50,0,0,0,46408.61,1572.091,17740.029,20.265,38.945,23.394,5499.048,1402.770,3.763,9972.398,7977.919,2040.271,1342.361,359.720,0.000187,0.005148
181,6.0,1143,3350,52,186,714,68,175,6,62.88,1.028,1.019,0.192,0.238,0.141,-0.408,1.480,0.3252,1.6774,0.840,0.457,0.078,0.100,0.034,109,21,39,0,0,0,52614.07,1641.105,18482.731,24.795,71.043,27.227,7130.571,1845.315,10.267,10433.647,8346.918,1565.337,987.408,317.546,0.000160,0.005787
211,7.0,1262,2345,52,203,829,59,171,4,98.96,1.033,1.039,0.186,0.242,0.140,-0.437,1.484,0.3212,1.7761,0.828,0.399,0.067,0.100,0.037,95,34,77,0,2,0,54422.89,1808.442,17211.375,62.909,110.650,24.767,8366.437,2358.546,10.234,9767.557,7814.046,3253.907,798.999,532.274,0.000128,0.004973
241,8.0,1345,1513,52,210,927,44,164,5,110.75,1.041,1.056,0.182,0.243,0.138,-0.468,1.478,0.3261,1.8343,0.810,0.386,0.061,0.100,0.043,121,66,72,0,0,0,56737.25,1948.948,18471.301,31.841,186.442,21.551,9166.815,2847.173,8.766,9533.938,7627.151,2734.214,814.443,659.532,0.000111,0.005060
271,9.0,1385,975,52,222,973,35,155,8,118.28,1.038,1.070,0.180,0.248,0.140,-0.484,1.481,0.3350,1.9373,0.783,0.347,0.049,0.099,0.045,111,64,91,0,0,0,56051.66,2075.374,16461.271,35.697,492.119,20.929,9640.146,3235.518,12.722,8274.827,6619.862,3524.145,523.505,666.932,0.000134,0.004861
301,10.0,1341,769,48,236,953,24,128,8,139.10,1.035,1.074,0.182,0.247,0.148,-0.501,1.480,0.3325,1.9771,0.791,0.318,0.047,0.099,0.047,104,83,95,0,1,0,53084.98,2275.537,13216.234,34.543,755.435,18.481,9534.738,3203.429,15.411,5696.084,4556.867,3245.732,660.155,694.311,0.000131,0.004432
