tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,500,10285,0,157,156,89,98,0,10.96,0.863,0.829,0.219,0.161,0.223,-0.149,1.523,0.3380,1.4086,0.779,0.414,0.149,0.109,-0.005,50,0,23,0,0,0,26817.57,1396.802,8707.122,51.375,95.307,14.902,2329.625,568.398,0.000,4529.604,3623.683,1170.547,1322.763,415.090,0.000073,0.000014
61,2.0,760,8614,0,169,404,89,98,0,13.33,0.904,0.983,0.177,0.124,0.162,-0.399,1.515,0.3420,1.8051,0.817,0.450,0.120,0.121,-0.019,51,0,22,0,0,0,37674.79,1355.675,18550.808,21.551,0.737,22.566,3149.051,865.501,0.000,11024.202,8819.362,757.507,1946.278,147.637,0.000102,-0.000587
91,3.0,1331,6115,0,172,972,87,100,0,20.32,0.935,1.151,0.135,0.104,0.104,-0.581,1.512,0.3364,2.2466,0.850,0.436,0.087,0.135,-0.034,85,1,54,0,0,0,60543.34,1426.426,39333.308,102.058,61.253,18.669,5374.160,1968.508,0.000,24396.392,19517.114,2399.050,3124.241,248.002,0.000112,-0.000506
121,4.0,2231,2862,0,177,1864,86,104,2,26.43,0.972,1.248,0.105,0.092,0.073,-0.663,1.507,0.3581,2.5067,0.832,0.429,0.054,0.142,-0.042,78,2,94,0,0,0,94353.27,1491.949,61667.139,87.858,74.998,18.975,9768.439,4523.861,0.232,39529.407,31623.526,4072.202,2695.460,470.941,0.000206,0.001140
151,5.0,2762,687,53,184,2398,79,101,5,50.23,0.998,1.283,0.095,0.088,0.065,-0.688,1.511,0.3615,2.5989,0.856,0.386,0.038,0.142,-0.043,93,8,189,0,0,0,105492.82,1563.799,46978.354,175.197,239.638,17.178,14523.004,7362.687,3.828,29586.855,23669.485,6945.983,1987.662,837.266,0.000207,0.000922
181,6.0,2689,390,53,196,2323,74,96,9,83.54,0.998,1.282,0.093,0.087,0.069,-0.693,1.524,0.3575,2.6359,0.795,0.352,0.030,0.142,-0.042,66,77,214,0,2,0,89489.93,1632.309,16297.592,222.362,185.872,14.641,16227.172,8217.847,8.898,8713.268,6970.614,6830.658,372.850,755.074,0.000154,0.000904
211,7.0,2412,240,53,205,2067,58,82,3,112.21,0.987,1.276,0.089,0.082,0.076,-0.700,1.529,0.3609,2.6304,0.822,0.317,0.031,0.141,-0.043,57,182,204,0,6,0,75426.49,1698.452,13838.758,122.287,115.790,10.592,15008.210,7648.259,9.426,4442.683,3554.147,5239.172,213.330,716.006,0.000115,0.001053
241,8.0,2091,262,53,215,1761,45,70,6,128.65,0.978,1.262,0.086,0.083,0.087,-0.703,1.531,0.3559,2.6270,0.805,0.298,0.030,0.141,-0.042,38,248,152,0,0,0,64753.13,1793.090,11846.377,66.711,167.008,11.168,13061.419,6447.705,5.264,3132.296,2505.837,3462.018,238.982,537.693,0.000131,-0.000007
271,9.0,1791,338,53,222,1479,33,57,8,154.78,0.969,1.245,0.082,0.083,0.099,-0.708,1.530,0.3470,2.6368,0.800,0.324,0.031,0.141,-0.042,34,223,144,0,2,0,56856.88,1856.752,11346.588,108.063,37.638,7.669,11137.067,5413.543,9.220,2733.102,2186.482,3481.805,294.071,325.324,0.000148,-0.000298
301,10.0,1586,421,50,231,1287,23,45,12,179.66,0.957,1.228,0.080,0.088,0.111,-0.718,1.530,0.3521,2.6099,0.810,0.325,0.039,0.141,-0.041,41,213,83,0,1,0,54878.35,2044.163,13669.775,55.281,140.496,7.428,9515.941,4529.644,16.940,3591.946,2873.557,2150.084,402.590,414.164,0.000120,-0.000686
331,11.0,1481,475,50,242,1189,16,34,11,193.13,0.952,1.220,0.074,0.088,0.121,-0.728,1.524,0.3477,2.6842,0.807,0.314,0.038,0.141,-0.041,44,145,87,0,1,0,55289.65,2168.639,15216.806,82.952,243.855,5.237,8537.810,4051.458,15.535,5094.051,4075.241,2667.201,462.590,303.693,0.000146,-0.001596
361,12.0,1485,484,50,261,1181,13,30,10,200.59,0.947,1.215,0.073,0.083,0.128,-0.735,1.529,0.3629,2.7090,0.775,0.299,0.035,0.141,-0.042,50,80,76,0,1,0,58340.38,2389.266,17477.217,92.008,93.181,6.106,8230.157,4001.270,16.980,6304.812,5043.850,2471.085,587.196,340.112,0.000109,-0.001790
391,13.0,1568,527,50,282,1249,13,24,12,202.93,0.947,1.220,0.074,0.078,0.131,-0.744,1.531,0.3608,2.7260,0.747,0.262,0.036,0.142,-0.042,60,53,58,0,1,0,62728.52,2572.127,18629.095,90.015,121.674,7.271,8463.265,4106.789,15.627,7650.157,6120.126,1879.838,599.090,308.452,0.000123,-0.001701
421,14.0,1712,567,50,305,1375,12,20,14,217.83,0.956,1.229,0.074,0.079,0.130,-0.751,1.532,0.3625,2.7567,0.751,0.246,0.034,0.142,-0.042,67,50,51,0,0,0,68252.47,2917.170,20747.743,48.109,214.023,9.030,9156.516,4481.121,20.144,9860.873,7888.698,1426.788,782.262,350.074,0.000167,-0.000787
451,15.0,1863,520,41,334,1505,7,17,20,226.79,0.958,1.234,0.072,0.076,0.130,-0.760,1.535,0.3632,2.8087,0.740,0.240,0.033,0.142,-0.042,71,47,59,0,0,0,75249.02,3358.443,23750.254,113.547,119.008,7.245,10055.950,4944.755,26.701,10185.787,8148.630,2230.895,759.254,170.983,0.000147,-0.000142
