tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,477,10366,0,159,132,89,97,0,9.26,0.850,0.788,0.227,0.172,0.235,-0.100,1.532,0.3338,1.3527,0.811,0.415,0.154,0.105,-0.004,51,0,19,0,0,0,25474.62,1405.810,7151.709,40.041,103.489,15.114,2288.799,551.783,0.000,3429.608,2743.687,1034.587,1486.954,449.511,0.000103,-0.000038
61,2.0,590,9108,0,169,232,89,100,0,11.89,0.853,0.866,0.201,0.150,0.202,-0.246,1.528,0.3314,1.6095,0.831,0.432,0.133,0.112,-0.010,52,0,16,0,0,0,29672.74,1424.571,10020.895,4.944,41.000,23.180,2617.534,617.136,0.000,4701.458,3761.166,634.829,2240.292,202.209,0.000089,0.000697
91,3.0,889,7475,0,171,528,89,101,1,18.18,0.862,1.028,0.167,0.124,0.139,-0.455,1.527,0.3360,2.0184,0.884,0.433,0.113,0.126,-0.024,70,0,26,0,0,0,42022.27,1476.712,21531.229,38.698,10.192,19.966,3557.848,1061.240,0.141,11908.498,9526.799,1291.099,2235.198,169.877,0.000097,0.000815
121,4.0,1689,4499,0,180,1319,85,105,3,26.66,0.851,1.222,0.114,0.091,0.083,-0.610,1.522,0.3404,2.5532,0.841,0.433,0.082,0.148,-0.052,81,2,72,0,0,0,72419.52,1532.609,50228.358,71.165,14.479,19.906,6057.107,2533.810,2.773,31748.706,25398.965,2644.754,3477.362,369.345,0.000122,0.000500
151,5.0,2596,1586,63,184,2228,82,102,5,40.78,0.851,1.295,0.094,0.078,0.060,-0.664,1.523,0.3371,2.8389,0.847,0.413,0.043,0.153,-0.062,88,6,131,0,0,0,98938.31,1592.270,56656.872,168.926,129.727,17.400,10654.990,5609.705,6.987,38246.642,30597.314,5084.798,2277.376,616.083,0.000165,-0.000807
181,6.0,2905,507,63,200,2533,79,93,6,65.83,0.843,1.308,0.088,0.073,0.059,-0.676,1.520,0.3362,2.9451,0.787,0.375,0.032,0.152,-0.063,63,29,158,0,1,0,99271.91,1667.865,28784.279,188.234,113.812,14.867,13690.954,7354.216,10.926,17911.942,14329.554,4610.503,585.139,472.658,0.000107,-0.001119
211,7.0,2868,344,63,208,2513,62,85,14,98.39,0.835,1.312,0.082,0.069,0.061,-0.686,1.525,0.3285,2.8804,0.829,0.361,0.029,0.152,-0.063,46,81,123,0,1,0,87219.69,1760.712,13464.190,155.010,115.338,11.166,14078.308,7760.441,15.683,6023.117,4818.494,3622.669,267.567,482.844,0.000155,-0.001751
241,8.0,2652,252,63,224,2306,50,72,18,119.37,0.823,1.303,0.079,0.067,0.068,-0.690,1.524,0.3345,2.9440,0.791,0.344,0.026,0.150,-0.062,49,239,102,0,3,0,77456.24,1858.030,13084.010,102.335,78.456,8.514,13320.572,7404.111,24.321,4508.810,3607.048,2569.273,243.949,343.831,0.000104,-0.002091
271,9.0,2350,304,63,233,2016,36,65,28,141.14,0.815,1.290,0.076,0.068,0.076,-0.696,1.526,0.3344,2.9921,0.793,0.326,0.028,0.149,-0.063,40,268,115,0,4,0,69213.62,1987.889,11888.325,103.101,20.875,10.020,11837.094,6571.651,32.940,3024.548,2419.638,2607.779,276.696,290.871,0.000156,-0.003667
301,10.0,2105,345,54,239,1789,26,51,22,163.09,0.808,1.283,0.075,0.067,0.084,-0.703,1.527,0.3295,3.0176,0.801,0.326,0.028,0.149,-0.063,35,233,98,0,8,0,65052.35,2119.118,13664.681,115.872,97.808,7.104,10353.353,5705.228,36.055,3467.416,2773.933,2544.590,313.965,414.264,0.000154,-0.005377
