tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,432,8406,0,158,99,77,98,0,13.39,0.832,0.782,0.190,0.173,0.252,-0.061,1.551,0.3409,1.2632,0.775,0.424,0.161,0.103,-0.006,26,0,23,0,0,0,23459.01,1378.820,4833.204,44.322,107.434,10.027,2079.313,618.493,0.000,1984.569,1587.656,1177.492,1124.624,371.442,0.000089,0.000491
61,2.0,448,7757,0,165,109,73,101,1,23.07,0.842,0.775,0.183,0.176,0.254,-0.086,1.551,0.3456,1.2499,0.791,0.485,0.155,0.103,-0.002,56,0,21,0,0,0,23488.83,1414.885,4313.477,39.340,43.970,15.625,2164.253,579.879,0.075,1513.939,1211.151,1108.120,1280.077,302.683,0.000106,0.001214
91,3.0,469,7241,0,166,122,72,109,1,29.32,0.859,0.771,0.177,0.166,0.246,-0.113,1.551,0.3531,1.2633,0.820,0.500,0.139,0.104,0.001,66,1,17,0,0,0,23432.11,1454.752,3989.154,22.676,82.975,25.647,2281.389,572.624,1.123,1663.522,1330.817,852.981,1117.007,365.483,0.000094,0.001610
121,4.0,525,6624,0,177,163,71,114,1,35.24,0.867,0.780,0.169,0.147,0.236,-0.177,1.550,0.3574,1.3401,0.805,0.458,0.132,0.106,0.011,80,0,5,0,0,0,25238.41,1532.167,5376.369,7.091,32.398,28.984,2460.937,595.253,1.123,2364.050,1891.240,259.741,1188.600,130.856,0.000111,0.001359
151,5.0,588,5968,50,181,223,70,114,2,44.92,0.882,0.799,0.152,0.119,0.218,-0.253,1.557,0.3393,1.4569,0.794,0.453,0.125,0.108,0.020,81,6,13,0,0,0,27773.57,1610.438,7292.842,13.471,8.156,31.359,2800.269,667.633,1.198,3319.478,2655.583,565.626,1522.220,160.751,0.000065,0.001542
181,6.0,653,5357,50,199,270,64,120,3,60.06,0.886,0.797,0.137,0.106,0.218,-0.301,1.554,0.3363,1.4590,0.759,0.407,0.123,0.107,0.026,91,14,15,0,0,0,30160.76,1690.825,7658.652,16.807,18.526,26.768,3151.829,835.452,2.675,3714.629,2971.703,663.227,1344.747,238.235,0.000117,0.001188
211,7.0,789,4485,50,208,403,58,120,3,78.48,0.886,0.841,0.121,0.089,0.192,-0.407,1.562,0.3393,1.6740,0.747,0.399,0.122,0.110,0.038,95,24,7,0,0,0,36904.12,1763.763,13317.252,4.499,24.634,29.076,3596.406,900.252,3.322,6452.151,5161.721,266.941,2209.544,75.269,0.000129,0.001765
241,8.0,982,3548,50,218,594,50,120,4,101.10,0.866,0.893,0.105,0.075,0.167,-0.497,1.565,0.3380,1.9373,0.774,0.404,0.103,0.110,0.052,106,32,27,0,0,0,44657.62,1892.785,17048.666,23.581,1.276,24.421,4411.517,1148.983,3.617,9234.245,7387.396,962.312,2663.933,174.319,0.000146,0.003070
271,9.0,1134,2910,50,240,737,38,119,5,137.24,0.869,0.914,0.098,0.079,0.159,-0.550,1.576,0.3419,2.0268,0.755,0.371,0.084,0.112,0.058,121,29,39,0,0,0,49152.23,2095.136,14705.059,19.009,49.595,23.839,5239.569,1398.856,4.541,8234.651,6587.721,1740.415,2090.683,203.594,0.000090,0.003752
301,10.0,1387,2037,42,255,993,30,109,5,128.57,0.860,0.959,0.087,0.083,0.142,-0.607,1.574,0.3403,2.1882,0.761,0.353,0.079,0.115,0.063,109,29,70,0,1,0,58873.26,2347.560,21565.985,51.575,78.967,21.523,6161.643,1805.248,5.422,12797.912,10238.330,2110.741,1358.297,243.163,0.000115,0.004591
