tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,450,7763,0,160,101,76,113,0,16.38,0.863,0.803,0.286,0.157,0.238,-0.042,1.544,0.3352,1.3323,0.821,0.406,0.100,0.102,-0.002,40,0,13,0,0,0,23820.49,1368.648,3768.853,23.666,35.657,16.403,2360.269,827.198,0.000,2277.844,1822.275,701.823,315.590,204.204,0.000093,-0.000313
61,2.0,522,6948,0,172,147,75,128,1,22.00,0.890,0.828,0.293,0.149,0.220,-0.135,1.535,0.3347,1.3983,0.806,0.453,0.086,0.102,-0.014,56,0,3,0,0,0,25740.06,1439.169,5757.061,12.398,85.088,18.492,2662.267,839.430,0.131,3080.370,2464.296,190.430,813.036,167.687,0.000098,-0.001060
91,3.0,629,5949,0,178,233,72,146,2,37.71,0.918,0.862,0.292,0.156,0.195,-0.241,1.534,0.3283,1.5332,0.816,0.444,0.078,0.101,-0.028,81,1,11,0,0,0,29711.36,1517.392,8746.170,26.584,7.793,22.892,3248.868,894.337,2.082,4905.883,3924.706,501.859,653.733,36.791,0.000135,-0.001655
121,4.0,773,4772,0,185,360,69,159,2,39.38,0.937,0.909,0.262,0.166,0.171,-0.326,1.531,0.3328,1.6926,0.832,0.432,0.080,0.102,-0.045,84,2,22,0,1,0,35525.28,1573.338,12879.739,3.987,38.718,23.255,4020.187,1154.221,3.253,6862.226,5489.781,1045.552,858.743,188.747,0.000114,-0.001043
151,5.0,1031,3372,79,200,586,67,178,3,47.77,0.973,0.949,0.219,0.224,0.145,-0.420,1.534,0.3368,1.8312,0.812,0.400,0.066,0.104,-0.063,76,14,27,0,0,0,45014.81,1694.626,20020.840,14.983,86.893,22.348,5375.043,1674.643,3.531,12461.172,9968.938,1168.061,1331.786,195.618,0.000116,-0.001210
181,6.0,1303,1914,79,210,845,61,187,3,60.49,0.994,0.984,0.180,0.240,0.126,-0.485,1.540,0.3299,1.9812,0.826,0.395,0.055,0.105,-0.078,117,31,40,0,0,0,55081.02,1843.679,24286.122,16.696,73.590,24.242,7324.306,2351.136,5.853,14370.414,11496.331,1728.798,1547.230,248.886,0.000147,-0.000236
211,7.0,1449,1083,79,225,991,48,185,4,87.53,0.991,0.994,0.159,0.242,0.122,-0.523,1.541,0.3216,2.0473,0.811,0.391,0.052,0.107,-0.086,132,35,49,0,0,0,57943.94,1996.244,17473.873,18.063,27.147,26.444,8716.278,3035.106,6.013,9464.579,7571.664,1826.305,867.001,281.637,0.000125,-0.000486
241,8.0,1407,840,79,238,989,30,150,5,124.24,0.983,0.986,0.140,0.246,0.130,-0.558,1.541,0.3312,2.0835,0.795,0.382,0.042,0.108,-0.089,105,75,97,0,1,0,52852.64,2142.511,10448.109,35.650,169.088,23.451,9070.539,3390.655,10.329,5353.870,4283.096,3292.513,373.656,509.101,0.000140,-0.000856
271,9.0,1309,808,79,248,913,16,132,7,131.01,0.967,0.974,0.129,0.224,0.141,-0.576,1.543,0.3315,2.0776,0.783,0.383,0.040,0.109,-0.091,96,110,63,0,0,0,47633.89,2302.291,7740.038,35.705,92.602,15.471,8268.618,3789.872,11.758,3004.044,2403.236,1742.327,520.794,362.607,0.000131,-0.001916
301,10.0,1211,730,65,267,824,10,110,9,151.80,0.942,0.959,0.113,0.215,0.159,-0.589,1.551,0.3296,2.1153,0.787,0.356,0.042,0.111,-0.092,76,139,55,0,0,0,45465.34,2581.300,9409.351,9.230,108.471,12.076,7509.951,3854.158,15.454,3863.552,3090.841,1344.138,467.244,204.773,0.000116,-0.001813
331,11.0,1155,671,65,295,765,6,89,6,160.86,0.924,0.939,0.105,0.220,0.179,-0.607,1.555,0.3352,2.1426,0.769,0.336,0.041,0.112,-0.093,93,130,41,0,4,0,45390.37,2951.970,10495.750,3.919,176.062,11.859,6892.847,3362.143,13.378,4749.917,3799.933,1439.962,553.733,314.567,0.000184,-0.002405
361,12.0,1148,702,65,328,746,0,74,8,179.23,0.909,0.922,0.098,0.222,0.196,-0.626,1.560,0.3351,2.1804,0.768,0.302,0.043,0.114,-0.092,83,87,42,0,1,0,46720.54,3427.864,10126.145,15.926,115.111,14.437,6611.617,2788.836,11.623,4804.268,3843.414,1193.423,518.052,155.362,0.000096,-0.002970
391,13.0,1213,706,65,382,776,0,55,10,197.81,0.900,0.903,0.098,0.203,0.214,-0.652,1.568,0.3343,2.1881,0.759,0.288,0.042,0.114,-0.095,93,69,34,0,1,0,50385.45,4122.092,12013.850,2.356,134.052,13.714,6564.811,2603.624,14.656,6523.719,5218.976,1109.029,714.199,162.323,0.000132,-0.003610
421,14.0,1287,702,65,433,801,0,53,14,189.43,0.893,0.886,0.101,0.192,0.227,-0.664,1.575,0.3411,2.1758,0.724,0.254,0.042,0.114,-0.096,96,49,36,0,0,0,55523.55,4872.697,13268.107,1.887,175.494,14.596,6910.307,2529.734,18.123,6184.625,4947.700,1136.199,988.310,184.993,0.000105,-0.003613
451,15.0,1422,688,58,506,866,0,50,15,184.99,0.887,0.870,0.098,0.190,0.238,-0.678,1.574,0.3448,2.1683,0.699,0.225,0.037,0.115,-0.097,90,43,40,0,1,0,61057.42,5571.329,14404.493,2.483,225.455,14.607,7354.499,2723.487,19.644,8413.590,6730.872,1412.225,1001.346,250.509,0.000205,-0.003233
481,16.0,1553,753,58,575,931,0,47,26,178.41,0.885,0.858,0.097,0.183,0.247,-0.687,1.576,0.3458,2.1562,0.692,0.202,0.030,0.115,-0.098,114,36,54,0,1,0,65847.96,6449.726,14706.633,2.658,569.371,15.026,8140.171,3208.932,29.107,8605.889,6884.712,1721.306,1169.291,378.496,0.000133,-0.003620
511,17.0,1758,724,58,690,1028,0,40,30,183.89,0.875,0.842,0.095,0.188,0.261,-0.701,1.575,0.3445,2.1759,0.657,0.184,0.032,0.117,-0.099,109,36,60,0,1,0,72749.50,7612.576,17774.815,3.393,663.060,16.594,8946.149,3747.063,44.251,11416.773,9133.418,1935.502,1092.766,440.154,0.000167,-0.004514
541,18.0,1950,719,58,810,1101,0,39,36,174.57,0.865,0.823,0.095,0.179,0.277,-0.712,1.591,0.3451,2.1772,0.629,0.167,0.029,0.117,-0.099,123,40,78,0,1,0,78997.94,8860.687,18040.877,3.879,905.948,16.228,9958.957,4098.309,56.619,11763.159,9410.527,2590.396,1043.394,556.700,0.000189,-0.004798
571,19.0,2120,730,58,928,1158,0,34,47,175.37,0.854,0.804,0.096,0.178,0.291,-0.723,1.585,0.3526,2.1671,0.623,0.159,0.030,0.118,-0.099,139,54,80,0,4,0,87116.22,10385.177,19468.031,4.817,614.804,17.027,10742.540,4283.787,72.142,11689.848,9351.878,2720.193,1133.790,449.321,0.000193,-0.004403
601,20.0,2366,593,50,1104,1234,0,28,57,174.45,0.840,0.780,0.099,0.163,0.309,-0.740,1.587,0.3494,2.1465,0.614,0.143,0.032,0.119,-0.099,136,61,106,0,2,0,97518.00,12309.027,23291.547,6.118,719.114,19.089,11686.554,4404.530,89.283,15655.224,12524.180,3588.557,1718.215,586.734,0.000169,-0.004706
631,21.0,2654,640,50,1348,1280,0,26,81,204.87,0.814,0.751,0.101,0.155,0.334,-0.750,1.586,0.3579,2.1477,0.576,0.118,0.033,0.120,-0.099,149,57,104,0,4,0,106865.59,14669.330,21306.448,6.103,1049.573,22.945,12733.642,4684.425,115.235,16243.277,12994.622,3745.945,1448.310,658.082,0.000213,-0.004371
661,22.0,2962,588,50,1607,1333,0,22,118,184.73,0.796,0.724,0.103,0.147,0.355,-0.761,1.586,0.3598,2.1345,0.570,0.115,0.030,0.121,-0.100,153,54,123,0,4,0,117470.30,17741.203,22753.767,5.526,1779.302,19.362,13889.602,4909.899,174.251,17763.537,14210.830,4767.073,1714.815,887.440,0.000193,-0.003974
691,23.0,3287,570,50,1901,1368,1,17,153,159.24,0.773,0.694,0.107,0.139,0.378,-0.770,1.584,0.3550,2.1210,0.560,0.100,0.030,0.122,-0.100,166,64,149,0,9,0,129655.08,21039.922,23699.246,9.556,2356.566,20.184,14916.670,5351.562,227.922,19745.450,15796.360,5481.711,1608.469,1028.520,0.000288,-0.002593
721,24.0,3687,600,50,2261,1415,1,10,205,182.01,0.755,0.665,0.110,0.134,0.401,-0.783,1.583,0.3586,2.0818,0.516,0.088,0.032,0.123,-0.100,171,49,172,0,8,0,142685.58,24344.525,23913.813,8.159,2840.092,25.774,16285.770,5846.437,289.218,22547.963,18038.371,5544.341,1588.579,1172.067,0.000241,-0.001309
751,25.0,4098,517,47,2658,1432,1,7,278,167.79,0.735,0.637,0.112,0.121,0.424,-0.793,1.579,0.3660,2.0496,0.494,0.085,0.031,0.124,-0.098,172,87,153,0,12,0,158420.92,27658.729,25210.201,13.309,3690.783,31.571,17569.941,5865.837,389.518,23587.236,18869.789,5586.064,1764.934,1253.155,0.000183,-0.001029
781,26.0,4505,557,47,3068,1429,1,7,397,167.68,0.713,0.613,0.115,0.111,0.445,-0.800,1.578,0.3728,2.0570,0.489,0.083,0.032,0.125,-0.098,202,58,200,0,22,0,173328.20,31569.187,24261.730,7.102,4393.919,31.629,18847.890,5853.342,541.217,24278.882,19423.106,7684.200,1550.827,1597.480,0.000249,-0.000636
811,27.0,5107,530,47,3602,1499,0,6,627,187.48,0.697,0.594,0.118,0.103,0.461,-0.812,1.579,0.3674,2.0396,0.466,0.074,0.032,0.126,-0.097,227,61,179,0,18,0,192498.03,35720.617,27011.225,7.958,5520.452,35.409,20534.460,5968.832,795.054,30286.782,24229.426,6977.394,1486.143,1750.731,0.000191,0.000422
841,28.0,5671,508,47,4135,1533,0,3,980,163.93,0.682,0.576,0.121,0.095,0.477,-0.821,1.578,0.3725,2.0118,0.453,0.070,0.031,0.126,-0.097,250,53,217,0,31,0,211286.33,40477.672,25858.206,5.859,6760.009,42.816,22439.774,6066.557,1230.202,30577.169,24461.735,8275.580,1322.501,2103.390,0.000372,0.003914
871,29.0,5999,539,47,4526,1470,1,2,1476,184.46,0.664,0.555,0.124,0.090,0.494,-0.826,1.578,0.3760,2.0005,0.451,0.097,0.084,0.127,-0.096,282,43,230,0,43,0,231880.89,45713.759,25181.141,8.113,9760.494,50.594,24024.273,6351.369,1901.887,22847.395,18277.916,9003.569,1683.438,2774.443,0.000385,0.001211
901,30.0,6000,592,41,4701,1296,1,2,2116,188.18,0.643,0.533,0.125,0.083,0.512,-0.832,1.580,0.3760,1.9843,0.454,0.174,0.211,0.128,-0.094,270,37,219,0,58,0,251645.70,48844.878,25368.470,8.049,13208.873,60.492,23599.847,6188.873,2781.870,11257.269,9005.815,10545.389,5580.022,3509.127,0.000400,-0.002657
931,31.0,5997,580,41,4859,1136,0,2,2745,184.69,0.623,0.514,0.127,0.080,0.529,-0.841,1.581,0.3753,1.9896,0.458,0.229,0.337,0.128,-0.092,297,28,188,0,82,0,268367.81,51358.281,26311.912,7.141,15396.530,67.791,22796.865,5921.407,3782.111,10398.518,8318.814,11216.818,11421.313,3736.999,0.000458,-0.003076
961,32.0,5996,593,41,4960,1034,0,2,3350,214.38,0.609,0.501,0.129,0.074,0.539,-0.840,1.582,0.3766,1.9709,0.457,0.277,0.427,0.128,-0.091,251,17,136,0,71,0,281843.38,52665.381,24701.614,7.858,17135.463,68.810,22178.966,5554.821,4778.391,8086.885,6469.508,9612.952,16109.313,4047.476,0.000573,-0.008955
991,33.0,5998,646,41,5059,937,0,2,3789,212.10,0.596,0.489,0.130,0.069,0.550,-0.842,1.583,0.3787,1.9441,0.467,0.304,0.483,0.129,-0.090,266,6,156,0,86,0,291035.59,54131.195,24389.842,9.816,16477.064,70.325,21562.518,5265.282,5607.437,9036.382,7229.105,12668.288,18300.998,4126.817,0.000349,-0.012671
1021,34.0,5996,701,41,5145,850,0,1,4132,252.46,0.583,0.478,0.132,0.067,0.559,-0.846,1.585,0.3798,1.9436,0.463,0.330,0.559,0.130,-0.089,271,6,104,0,90,0,300280.53,55031.235,23025.595,7.041,17731.482,84.176,21067.036,5011.778,6265.452,6692.362,5353.890,10442.907,20619.876,4073.401,0.000485,-0.016960
1051,35.0,5998,747,41,5210,787,0,1,4383,280.04,0.574,0.470,0.132,0.064,0.567,-0.846,1.586,0.3796,1.9276,0.466,0.355,0.614,0.130,-0.088,283,3,91,0,92,0,308186.41,55680.413,21707.263,6.858,17198.271,91.256,20693.813,4596.548,6773.461,6302.576,5042.061,10074.980,22327.520,3761.832,0.000514,-0.023322
1081,36.0,5999,758,41,5277,721,0,1,4490,287.77,0.565,0.463,0.133,0.063,0.574,-0.847,1.587,0.3823,1.9222,0.471,0.370,0.647,0.130,-0.087,307,4,79,0,85,0,313878.75,55853.562,22633.155,4.616,18830.366,100.185,20355.350,4192.104,7098.991,5753.346,4602.677,9169.551,26871.220,3961.100,0.000402,-0.023870
1111,37.0,5999,775,41,5315,683,0,1,4461,321.61,0.559,0.458,0.134,0.061,0.578,-0.848,1.588,0.3805,1.9042,0.462,0.392,0.697,0.131,-0.087,274,3,59,0,78,0,321316.69,55334.528,21737.257,3.330,18103.620,98.099,20051.925,3922.648,7254.561,4654.040,3723.232,7780.679,25964.950,3731.618,0.000587,-0.020414
