tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual
31,1.0,548,12893,0,157,208,82,101,0,8.31,0.843,0.814,0.201,0.293,0.200,-0.260,1.506,0.3421,1.3658,0.868,0.541,0.148,0.091,-0.017,39,0,16,0,0,0,30036.85,1431.460,12293.337,20.004,62.242,16.550,2464.038,622.683,0.000,5917.025,4733.620,832.933,1746.976,115.277,0.000127,-0.001580
61,2.0,838,10872,0,163,488,78,109,0,11.77,0.828,0.896,0.161,0.537,0.148,-0.481,1.501,0.3400,1.6512,0.869,0.558,0.108,0.081,-0.045,64,0,125,0,0,0,41471.16,1477.707,25822.839,33.787,173.061,20.248,3618.634,1031.787,0.000,14325.163,11460.131,4336.469,3345.060,703.038,0.000175,-0.003256
91,3.0,1445,7833,0,168,1094,72,111,2,19.67,0.808,0.991,0.131,0.729,0.104,-0.628,1.507,0.3509,1.9555,0.877,0.518,0.105,0.068,-0.063,89,0,197,0,0,0,64574.73,1541.013,46933.606,48.503,274.316,22.981,6238.506,1962.779,0.213,27668.741,22134.993,6861.263,3977.449,845.595,0.000114,-0.003469
121,4.0,2184,3993,0,173,1851,59,101,3,31.11,0.817,1.053,0.120,0.855,0.083,-0.693,1.509,0.3484,2.1908,0.871,0.451,0.080,0.064,-0.065,115,6,465,0,0,0,89369.64,1570.219,68085.496,55.254,775.502,22.450,10922.570,3873.749,3.277,42183.054,33746.444,15520.530,4178.868,1980.450,0.000147,-0.003997
151,5.0,2453,1645,39,176,2143,50,84,8,43.33,0.842,1.078,0.116,0.840,0.079,-0.704,1.510,0.3514,2.2866,0.843,0.386,0.062,0.066,-0.058,122,23,546,0,0,0,91552.48,1611.724,48590.337,77.747,776.052,27.178,14631.460,5247.384,5.494,29838.202,23870.562,17221.617,2930.413,2092.951,0.000158,-0.005204
181,6.0,2367,877,39,185,2066,41,75,15,72.94,0.843,1.091,0.114,0.764,0.084,-0.705,1.501,0.3342,2.3527,0.871,0.346,0.043,0.068,-0.054,104,74,442,0,0,0,78620.19,1754.135,25357.474,66.732,793.270,23.280,15527.316,5868.052,20.970,15157.627,12126.102,13069.806,753.475,1839.494,0.000146,-0.005005
211,7.0,2016,698,39,191,1734,33,58,25,88.26,0.841,1.081,0.109,0.731,0.093,-0.708,1.500,0.3489,2.3315,0.866,0.325,0.038,0.070,-0.054,92,153,410,0,2,0,63849.27,1861.195,16575.372,37.087,627.415,13.258,13680.975,5225.718,37.119,7721.875,6177.500,11130.050,204.907,1421.433,0.000198,-0.004419
241,8.0,1735,653,39,196,1470,23,46,22,114.75,0.842,1.069,0.106,0.692,0.104,-0.715,1.501,0.3420,2.3399,0.844,0.306,0.039,0.072,-0.054,67,173,279,0,6,0,56144.68,1971.420,16000.686,43.063,794.454,9.985,11436.301,4529.763,41.003,6369.899,5095.919,7246.648,205.917,986.146,0.000092,-0.003477
271,9.0,1543,698,39,198,1301,10,34,20,132.49,0.843,1.058,0.100,0.679,0.113,-0.728,1.506,0.3369,2.3751,0.849,0.308,0.040,0.073,-0.051,60,141,212,0,3,0,53728.94,2056.829,17614.209,22.914,762.717,8.988,10023.373,4061.834,37.383,6084.537,4867.629,5655.747,327.651,786.801,0.000115,-0.003494
301,10.0,1473,772,32,205,1238,4,26,26,134.87,0.841,1.052,0.096,0.672,0.119,-0.741,1.502,0.3435,2.3882,0.853,0.337,0.043,0.074,-0.051,51,105,171,0,3,0,54027.98,2204.530,18700.236,27.551,586.991,7.367,9098.750,3702.995,42.014,7744.581,6195.665,4991.280,560.071,689.244,0.000146,-0.004400
331,11.0,1532,778,32,214,1293,4,21,25,150.85,0.841,1.058,0.090,0.679,0.120,-0.746,1.506,0.3380,2.4089,0.850,0.346,0.049,0.073,-0.052,69,72,125,0,4,0,58991.39,2404.646,22296.804,13.784,425.131,7.936,9013.118,3721.931,46.559,9701.814,7761.451,3738.122,726.428,565.298,0.000158,-0.005772
361,12.0,1575,891,32,232,1323,4,16,26,153.01,0.851,1.057,0.087,0.664,0.125,-0.750,1.502,0.3462,2.4692,0.843,0.323,0.048,0.075,-0.045,72,60,175,0,3,0,61522.16,2603.772,23253.430,19.312,457.946,7.126,9390.428,3986.211,43.578,10507.168,8405.735,5939.371,1119.832,764.897,0.000188,-0.006712
391,13.0,1665,953,32,250,1402,2,11,26,134.88,0.857,1.059,0.088,0.641,0.127,-0.755,1.509,0.3499,2.5255,0.813,0.252,0.051,0.077,-0.042,65,42,188,0,3,0,65121.48,2849.374,25573.071,9.881,1242.272,6.990,9781.475,4174.817,42.847,12119.968,9695.975,6013.930,1424.623,971.312,0.000158,-0.008362
421,14.0,1806,938,32,262,1536,2,6,28,123.18,0.860,1.067,0.086,0.667,0.125,-0.762,1.502,0.3470,2.5358,0.785,0.263,0.040,0.077,-0.043,72,50,224,0,1,0,69426.56,3116.553,29001.064,28.625,1044.915,6.017,10488.048,4578.627,48.616,15510.306,12408.245,7308.990,1242.129,1072.694,0.000095,-0.009081
451,15.0,1920,856,28,282,1632,2,4,26,124.00,0.874,1.071,0.086,0.645,0.125,-0.763,1.506,0.3542,2.5795,0.755,0.262,0.040,0.079,-0.042,83,52,254,0,4,0,75832.89,3354.659,33163.278,23.350,850.335,7.671,11448.237,5157.248,42.487,16038.561,12830.849,8092.029,1077.523,1109.718,0.000163,-0.011694
481,16.0,2041,756,28,305,1731,1,4,29,115.85,0.888,1.075,0.084,0.636,0.128,-0.767,1.502,0.3691,2.5818,0.760,0.289,0.045,0.079,-0.043,81,58,288,0,1,0,82533.88,3758.728,36151.648,18.215,1111.738,11.962,12286.083,5656.821,47.632,17817.412,14253.930,8974.141,1464.235,1235.213,0.000170,-0.013656
