tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,species_pass_tick,species_pass_organisms,species_pass_near_other,species_pass_drifting,species_pass_isolated
31,1.0,444,11342,0,139,140,79,86,1,11.36,0.862,0.805,0.223,0.170,0.215,-0.147,1.524,0.3220,1.2318,0.801,0.468,0.207,0.104,-0.009,32,0,45,0,0,0,25819.14,1273.208,8781.188,71.322,28.915,11.466,2296.212,652.104,0.136,3175.830,2540.664,2414.454,1410.463,249.373,0.000124,-0.001627,24,0,30,15,33,24,3472,9,15,32.809,672,93,60,6,0,45,9,667,143,135,1,0,132,2,2157,436,1,4971.763,4061.289,3.012,1.329,19.360,404.260,111.954,19.739,38,9,0,9,0,147,1754,411,4,4395.502,2425.604,8.693,3.357,10.097,408.103,127.176,23.754,23,8,0,8,0,103,1561,330,5,3688.330,1230.108,9.408,0.746,0.000,347.918,99.321,9.330,5,3,0,3,0,36,1019,249,2,2766.063,505.481,1.001,0.000,3.202,240.527,62.178,6.337,1,5,0,5,0,30,1343,282,3,2900.309,197.275,1.639,17.005,0.150,298.787,84.111,6.674,0,3,0,3,0,31,1143,205,0,2955.000,24.015,0.000,16.076,0.000,222.711,62.888,3.948,0,2,0,2,0,27,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0
61,2.0,584,9659,0,147,266,78,93,2,20.94,0.899,0.861,0.231,0.152,0.178,-0.290,1.516,0.3225,1.3859,0.832,0.476,0.169,0.109,-0.029,46,0,27,0,0,0,31294.57,1257.890,12734.532,25.891,46.637,16.016,2767.243,803.129,2.158,6387.190,5109.752,1227.077,2281.163,184.679,0.000127,-0.002236,16,0,22,5,18,16,4578,0,5,7.462,626,62,48,0,0,43,5,754,158,134,8,0,114,12,3059,488,2,7586.626,6211.491,20.048,0.343,0.000,561.410,184.116,28.851,84,7,0,7,0,224,2801,556,4,8680.240,4729.395,18.022,4.170,3.432,672.070,203.045,40.706,59,8,0,8,0,212,1628,280,2,2839.235,996.185,1.675,2.780,1.736,377.932,99.681,11.080,6,3,0,3,0,150,1048,196,2,2350.503,402.022,4.228,11.135,2.294,245.994,58.304,13.009,4,2,0,2,0,92,1264,198,6,2331.564,146.482,2.664,0.000,0.000,282.805,71.504,1.379,0,1,0,1,0,34,1065,163,0,2290.000,19.202,0.000,0.000,0.000,210.197,51.895,1.485,0,1,0,1,0,46,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
91,3.0,753,8051,0,139,439,76,99,3,28.17,0.926,0.921,0.211,0.132,0.139,-0.397,1.508,0.3298,1.5505,0.859,0.489,0.114,0.111,-0.038,57,1,30,0,0,0,37030.16,1274.898,15016.513,32.050,176.493,22.507,3733.226,1178.234,3.965,7809.578,6247.662,1255.658,2610.307,244.570,0.000109,-0.003002,27,0,20,10,29,19,6755,2,10,23.933,617,59,45,0,0,42,3,806,150,109,3,0,105,1,4928,632,6,9521.408,7694.330,58.335,0.257,3.764,924.921,321.245,53.906,98,9,0,9,0,188,5259,600,14,10411.703,5864.809,108.011,5.883,18.561,1188.929,393.933,68.331,91,6,0,6,0,146,1853,226,4,2381.242,836.951,9.104,1.118,1.607,451.771,109.962,13.147,6,3,1,2,0,221,1055,157,1,2056.770,366.856,1.001,0.859,0.000,250.760,55.312,1.895,1,1,0,1,0,18,1280,171,0,1825.000,123.595,0.000,0.000,0.000,291.330,71.511,0.860,0,1,0,1,0,81,1021,115,0,1580.000,11.403,0.000,0.000,0.000,200.377,46.938,2.183,0,1,0,1,0,62,0,2,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
121,4.0,1095,5923,0,143,779,73,100,3,33.60,0.946,0.984,0.166,0.108,0.108,-0.496,1.508,0.3389,1.7968,0.838,0.448,0.096,0.112,-0.053,76,4,41,0,0,0,50180.41,1261.457,27642.863,28.669,321.872,25.134,5212.144,1757.007,5.086,15065.913,12052.731,2004.039,3398.337,392.939,0.000107,-0.002557,58,0,39,2,39,37,10795,16,2,6.349,605,63,49,2,0,41,6,826,129,107,7,0,96,4,8510,1002,20,18231.059,14671.199,167.746,0.327,0.000,1639.412,621.799,100.843,189,20,2,18,0,733,9023,992,18,20371.254,11799.939,135.779,10.172,3.161,1947.870,579.954,111.841,186,14,2,12,0,516,1939,196,0,2065.000,756.886,0.000,6.263,3.188,475.511,119.817,10.441,6,3,0,3,0,28,1019,108,0,1195.000,212.994,0.000,0.000,0.000,244.343,52.587,2.214,0,3,0,3,0,252,1260,103,3,1076.933,77.350,2.167,0.000,0.000,287.115,67.871,2.346,0,0,0,0,0,0,992,98,1,1509.663,13.987,0.009,5.557,0.000,196.366,44.609,4.783,0,3,0,3,0,335,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0
151,5.0,1537,3525,55,144,1222,72,99,3,45.30,0.949,1.032,0.134,0.094,0.087,-0.554,1.506,0.3239,1.9934,0.838,0.417,0.078,0.113,-0.060,86,16,79,0,0,0,65400.62,1260.039,35720.526,58.914,363.472,24.562,7463.944,2701.177,5.086,21011.892,16809.514,3394.472,3546.019,506.194,0.000154,-0.003307,62,0,77,2,63,62,16773,20,2,3.165,571,108,106,14,0,87,5,871,201,188,7,0,173,8,14277,1149,18,23026.911,18357.936,213.576,0.969,0.000,2708.045,1058.266,153.417,287,46,4,42,0,1836,14879,1270,18,27855.193,16225.432,132.686,10.940,2.443,3127.429,968.283,162.940,241,39,7,32,0,1633,2064,162,3,2138.808,791.826,4.693,4.721,0.000,497.351,124.761,12.457,5,4,2,2,0,353,950,98,0,910.000,187.057,0.000,1.440,0.723,230.501,49.519,2.636,1,3,3,0,0,365,1260,92,3,906.554,68.193,0.460,7.060,0.000,286.669,63.793,5.035,0,0,0,0,0,0,926,61,0,1052.500,6.931,0.000,30.620,0.000,187.344,42.429,19.761,0,1,0,1,0,147,0,0,0,0,2,0,0,2,0,0,0,0,151,1537,1482,0,0
181,6.0,1915,1640,55,144,1620,64,87,7,61.61,0.940,1.043,0.116,0.083,0.077,-0.600,1.500,0.3366,2.1072,0.884,0.417,0.059,0.116,-0.068,111,31,161,0,0,0,74965.34,1293.592,36184.838,116.760,414.311,25.710,10305.818,3940.243,6.923,21997.088,17597.670,6130.667,2468.785,778.612,0.000184,-0.005734,109,0,158,3,139,137,23311,60,3,8.677,568,118,115,19,0,89,7,728,227,217,43,0,174,0,22524,1159,31,26055.402,20636.700,295.304,1.389,0.000,4239.709,1742.022,230.180,340,70,9,61,0,3972,21266,1116,14,25356.616,14998.302,98.957,11.852,6.269,4480.002,1423.769,205.802,226,98,15,83,0,4953,1873,64,4,1056.169,398.794,6.107,34.435,2.378,451.540,104.437,27.742,1,11,3,8,0,934,889,39,0,362.500,70.188,0.000,2.670,0.000,225.311,45.855,3.542,0,2,2,0,0,319,1185,50,0,410.000,30.979,0.000,34.499,0.000,285.524,58.331,19.457,0,4,1,3,0,628,841,33,0,405.000,1.642,0.000,23.238,0.030,178.696,35.342,7.005,0,4,1,3,0,665,0,0,0,0,0,0,0,0,0,0,0,0,151,1537,1482,0,0
211,7.0,2012,985,55,140,1745,54,73,10,89.40,0.917,1.050,0.113,0.074,0.075,-0.622,1.501,0.3260,2.1934,0.877,0.371,0.049,0.116,-0.072,91,71,157,0,0,0,71619.66,1392.737,20255.163,72.004,497.209,19.476,11191.177,4671.839,13.792,11897.665,9518.132,5277.031,765.741,766.465,0.000107,-0.005915,70,0,155,2,135,133,25022,29,2,6.701,469,75,75,13,0,59,3,628,219,212,30,0,181,1,28094,717,23,16221.354,12689.685,326.794,1.087,4.959,5096.135,2288.815,263.970,212,102,20,82,0,6634,22627,531,16,12333.351,7215.026,160.821,15.514,1.742,4676.808,1593.214,227.462,110,95,25,70,0,7522,1696,38,0,565.000,217.557,0.000,18.079,0.000,387.782,99.758,16.383,1,10,9,1,0,1950,784,17,0,180.000,39.010,0.000,9.353,0.000,192.904,39.151,13.692,0,5,5,0,0,999,1083,24,1,272.293,15.311,2.151,20.305,0.000,258.699,49.941,15.318,0,6,5,1,0,1149,717,12,1,215.445,1.557,0.023,0.964,0.000,143.928,26.106,2.103,0,4,3,1,0,781,0,0,0,0,0,0,0,0,0,0,0,0,151,1537,1482,0,0
241,8.0,2107,547,55,146,1849,46,66,11,119.81,0.898,1.061,0.108,0.068,0.075,-0.641,1.502,0.3274,2.2692,0.828,0.336,0.043,0.117,-0.070,94,95,71,0,1,0,70470.28,1384.679,18926.882,58.309,491.322,14.725,11421.572,5045.233,16.815,9757.396,7805.917,2089.953,570.935,423.269,0.000167,-0.006349,68,0,70,1,44,43,26001,8,1,0.743,398,97,97,14,0,82,1,497,151,143,19,0,119,5,31120,665,34,15579.184,12230.569,347.509,0.209,0.000,5566.403,2710.005,209.179,170,75,40,35,0,8028,22913,467,17,10981.060,6454.090,129.251,4.305,0.743,4642.287,1703.824,171.805,85,76,41,34,1,8516,1472,23,2,437.445,167.262,7.026,2.446,0.000,320.650,91.688,8.251,0,3,3,0,0,695,629,13,7,188.935,35.620,4.680,14.697,0.000,151.225,28.968,13.571,0,4,3,1,0,903,917,9,0,120.000,7.338,0.000,31.186,0.000,209.490,39.656,14.511,0,4,4,0,0,921,599,4,0,30.000,0.294,0.000,4.723,0.000,108.103,18.650,1.055,0,4,4,0,0,903,0,0,0,0,0,0,0,0,0,0,0,0,151,1537,1482,0,0
271,9.0,2039,436,55,142,1805,35,57,13,134.87,0.889,1.065,0.102,0.065,0.075,-0.654,1.503,0.3228,2.3276,0.865,0.324,0.035,0.118,-0.069,90,147,75,0,1,0,66662.99,1449.015,15648.140,50.381,434.541,11.113,11337.579,4988.242,18.404,5976.190,4780.952,2661.515,309.886,443.960,0.000111,-0.007119,67,0,69,6,65,59,26527,1,6,21.119,322,34,34,4,0,28,2,498,145,131,13,1,117,0,32492,545,31,12935.224,10221.625,288.596,0.604,0.000,5791.306,2790.990,190.395,110,111,75,36,0,13006,22538,376,23,9105.299,5290.704,140.478,7.952,18.507,4458.362,1630.104,165.528,41,84,54,30,0,10307,1357,19,0,282.500,113.216,0.000,3.175,2.613,295.308,85.009,8.441,1,5,3,2,0,1033,535,6,12,87.017,11.696,5.439,10.778,0.000,125.733,25.272,9.517,0,5,4,1,0,1320,720,4,0,30.000,1.629,0.000,6.752,0.000,160.027,29.096,5.774,0,6,5,0,1,1506,477,5,0,55.000,0.413,0.000,0.000,0.000,78.008,13.106,0.091,0,5,5,0,0,1292,0,0,0,0,0,0,0,0,0,0,0,0,151,1537,1482,0,0
301,10.0,1937,446,48,147,1715,27,48,11,149.62,0.886,1.063,0.093,0.062,0.079,-0.666,1.501,0.3263,2.3495,0.838,0.320,0.032,0.119,-0.069,74,139,83,0,4,0,63350.30,1523.950,14634.460,37.569,702.612,14.312,10740.933,4743.747,16.740,4741.839,3793.471,2377.173,173.170,508.532,0.000115,-0.007946,76,0,81,2,77,75,24541,1,2,13.705,210,14,14,5,0,3,6,373,83,82,10,2,70,0,32069,567,36,13269.637,10284.732,479.063,0.742,9.833,5753.690,2759.646,185.062,91,108,63,43,2,14158,20645,307,35,7476.330,4224.636,214.672,7.694,0.000,4038.789,1504.534,124.615,26,99,62,35,2,14164,1159,17,4,236.815,82.125,8.442,5.358,3.872,252.975,69.024,7.836,0,8,6,2,0,1849,420,7,0,105.000,22.375,0.000,2.300,0.000,97.735,22.199,1.789,0,1,0,1,0,301,549,2,0,50.000,2.523,0.000,5.953,0.000,116.440,20.869,4.868,0,6,6,0,0,1695,361,2,0,15.000,0.032,0.000,1.816,0.000,52.152,6.783,0.821,0,2,2,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,301,1937,1937,0,0
