tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,species_pass_tick,species_pass_organisms,species_pass_near_other,species_pass_drifting,species_pass_isolated
31,1.0,493,10562,0,153,143,97,100,0,14.33,0.908,0.873,0.155,0.147,0.219,-0.085,1.595,0.3190,1.4100,0.784,0.425,0.153,0.097,0.013,39,0,33,0,0,0,27685.04,1388.320,9951.707,87.173,30.630,9.951,2498.361,725.935,0.000,4948.157,3958.526,1753.428,1002.060,156.758,0.000137,-0.000706,19,0,25,8,11,5,3653,0,8,14.830,949,130,94,16,3,75,0,840,248,189,7,1,179,2,1644,330,2,3879.335,3301.473,3.890,0.016,9.335,365.691,116.922,9.829,28,3,0,3,0,24,1979,387,10,6615.338,3504.175,21.911,0.425,0.000,402.132,119.116,21.360,46,9,0,9,0,142,1505,369,1,4462.543,1538.871,4.168,4.590,5.189,331.833,102.090,11.744,13,3,0,3,0,54,1312,376,0,4920.000,903.443,0.000,6.894,0.000,316.324,92.958,11.314,7,3,0,3,0,26,1416,263,1,3518.010,225.738,0.443,36.557,0.301,286.825,85.681,13.755,0,4,0,4,0,63,1621,260,5,2973.586,35.136,0.217,23.861,0.006,373.289,90.044,9.043,0,3,0,3,0,26,1,2,1,0,8,2,0,4,3,0,0,0,0,0,0,0,0
61,2.0,623,9053,0,159,240,96,128,0,19.65,0.954,0.952,0.136,0.121,0.189,-0.194,1.580,0.3201,1.5803,0.835,0.453,0.121,0.090,0.024,67,0,19,0,0,0,32665.30,1400.760,11711.492,16.366,109.446,17.050,3109.313,957.338,0.000,6184.971,4947.977,1020.704,1566.727,257.275,0.000107,-0.000499,69,0,16,3,14,13,5050,34,3,3.790,931,69,63,2,0,54,7,1135,479,411,3,4,404,0,2206,273,4,4200.487,3593.706,16.694,0.188,0.000,502.679,170.453,11.965,37,11,0,11,0,234,3286,493,9,10154.628,5226.298,24.741,1.576,0.000,696.306,228.971,54.034,79,3,0,3,0,106,2095,363,12,5349.404,2013.272,21.604,1.690,2.034,481.549,161.132,19.540,22,0,0,0,0,0,1339,231,7,2606.017,428.630,15.593,1.809,1.490,326.600,96.279,5.875,1,0,0,0,0,0,1379,212,3,2770.328,185.814,0.229,2.557,0.265,290.116,82.117,3.641,1,0,0,0,0,0,1533,162,0,1547.500,15.448,0.000,4.756,0.000,352.791,74.177,2.105,0,2,0,2,0,95,0,0,0,0,8,0,0,3,0,0,0,0,0,0,0,0,0
91,3.0,837,7314,0,157,401,97,182,1,27.16,1.004,1.044,0.119,0.105,0.153,-0.287,1.574,0.3128,1.7321,0.822,0.439,0.090,0.084,0.035,69,0,44,0,0,0,40363.12,1465.709,17651.217,50.933,112.121,20.276,4278.222,1497.217,0.146,10818.821,8655.057,1941.384,1248.956,340.356,0.000156,-0.000902,59,0,37,7,26,24,7582,0,7,7.512,865,99,86,11,4,66,5,1606,680,591,9,0,582,0,3557,300,1,5140.239,4469.178,1.909,0.175,3.741,825.892,300.543,36.851,64,10,0,10,0,65,5878,735,14,17009.500,8731.075,65.167,1.622,0.000,1259.716,471.339,99.259,132,18,0,18,0,667,3153,515,24,9472.176,3657.005,39.141,4.728,2.835,746.089,243.787,30.414,52,8,0,8,0,248,1370,206,13,2609.523,475.559,3.742,3.888,0.000,333.128,92.015,8.573,4,1,0,1,0,72,1408,146,5,1786.648,132.472,2.058,26.541,0.809,295.952,79.596,13.413,1,0,0,0,0,0,1500,111,2,1089.416,12.065,0.103,6.467,0.126,345.367,65.274,6.928,0,0,0,0,0,0,0,0,0,0,17,0,0,10,0,0,0,0,0,0,0,0,0
121,4.0,1130,5155,0,160,636,89,245,1,40.53,1.031,1.147,0.101,0.086,0.129,-0.375,1.574,0.3276,1.9367,0.826,0.394,0.070,0.083,0.047,85,6,63,0,0,0,51851.85,1463.562,25946.841,57.797,266.465,19.629,5963.098,2257.049,2.194,15151.141,12120.913,2545.156,1657.594,524.144,0.000177,-0.000671,67,0,60,3,46,45,10797,10,3,1.512,856,149,133,14,5,109,5,2406,1293,1202,9,0,1190,3,5599,516,4,10421.962,8954.361,19.995,0.217,0.000,1334.284,533.209,29.265,128,11,4,7,0,1010,9395,977,17,23224.717,11551.328,146.263,9.998,0.000,2006.852,784.371,154.511,168,37,0,37,0,1541,4920,626,21,12497.680,4827.985,60.171,6.406,0.922,1195.175,395.340,56.454,59,9,0,9,0,369,1426,188,15,2106.141,363.845,5.772,1.976,0.000,341.206,88.718,12.985,1,1,0,1,0,64,1356,89,0,1052.500,67.833,0.000,25.107,0.589,287.033,71.411,11.428,0,5,1,4,0,546,1447,78,0,742.500,10.607,0.000,12.581,0.000,327.568,60.229,8.548,0,3,1,2,0,310,0,0,0,0,23,0,0,10,0,0,0,0,0,0,0,0,0
151,5.0,1603,2511,75,166,1079,84,274,2,53.51,1.062,1.227,0.090,0.076,0.107,-0.458,1.574,0.3330,2.1067,0.800,0.349,0.047,0.081,0.060,108,17,76,0,0,0,69792.84,1537.837,38682.955,71.515,465.122,24.036,8729.260,3588.367,2.338,23868.452,19094.762,3103.661,1497.221,656.775,0.000128,-0.000099,92,0,75,1,54,54,15033,0,1,0.153,776,118,99,17,2,78,2,3312,1623,1513,25,1,1483,4,10794,927,18,20347.643,16945.917,234.334,0.074,0.000,2640.252,1149.115,56.741,254,15,7,8,0,816,14469,1317,17,31580.355,15800.610,143.157,12.621,0.000,3133.675,1275.160,185.446,230,43,6,37,0,2274,6469,662,46,14272.226,5621.870,83.308,12.146,0.000,1573.860,537.932,82.604,74,26,0,26,0,967,1455,95,0,887.500,149.082,0.000,2.599,0.000,349.823,90.961,18.966,0,2,0,2,0,288,1201,61,10,1170.826,60.570,4.156,42.000,0.153,250.884,64.207,14.416,0,3,2,1,0,369,1365,49,1,430.787,4.963,0.168,1.922,0.000,295.772,54.202,6.264,0,2,1,1,0,257,0,1,0,1,19,0,0,37,0,0,0,0,151,1603,1528,0,0
181,6.0,1878,847,75,172,1328,79,299,4,71.60,1.073,1.250,0.081,0.063,0.101,-0.487,1.565,0.3386,2.1983,0.819,0.267,0.047,0.081,0.064,117,35,113,0,0,0,75639.19,1559.391,30960.708,132.903,927.358,23.101,11932.567,5187.485,4.571,17887.959,14310.367,4037.531,1263.107,803.807,0.000187,0.000933,153,0,107,6,59,57,19136,1,6,4.706,783,141,118,40,5,46,26,3842,1901,1813,27,0,1783,3,16721,750,61,18061.792,14328.464,515.759,0.000,0.000,4176.452,1844.313,66.897,193,51,14,37,0,3940,20466,1058,49,26001.976,13117.602,355.294,13.725,3.525,4513.307,1974.927,244.280,178,63,11,52,0,3812,7474,367,39,8578.558,3366.825,54.540,10.506,0.000,1861.418,655.846,87.322,40,18,5,13,0,1473,1333,32,3,352.437,60.812,1.580,9.243,0.637,325.303,83.825,27.240,0,5,3,2,0,753,1138,22,0,217.500,14.955,0.000,57.615,0.544,247.173,57.724,25.294,0,2,0,2,0,330,1310,35,0,490.000,7.575,0.000,37.107,0.000,287.317,48.726,16.406,0,3,2,1,0,503,0,0,0,0,16,0,0,8,0,0,0,0,151,1603,1528,0,0
211,7.0,1839,445,75,167,1334,68,270,6,99.39,1.075,1.255,0.078,0.058,0.100,-0.509,1.579,0.3337,2.2203,0.835,0.246,0.042,0.080,0.066,100,68,111,0,0,0,66688.67,1633.548,14090.972,113.034,1002.940,21.539,12519.523,5468.717,5.695,6031.433,4825.147,4196.620,450.776,940.456,0.000146,-0.000158,183,0,104,7,72,68,18820,23,7,3.811,691,146,133,22,2,79,28,3705,1673,1579,30,0,1539,10,18646,304,59,7591.000,5841.685,526.219,0.056,0.000,4672.185,2008.739,61.836,67,38,19,19,0,3547,21341,500,54,12860.855,6291.902,388.491,15.274,2.008,4729.713,2181.403,224.549,56,83,23,60,0,7023,7419,204,42,4761.510,1864.954,70.930,11.093,1.396,1835.680,645.166,82.135,14,27,11,16,0,2375,1171,16,0,207.500,32.262,0.000,14.536,0.000,280.570,69.992,20.797,0,12,5,7,0,2130,1038,8,0,165.000,12.019,0.000,49.375,0.408,226.505,49.711,19.593,0,4,2,2,0,740,1186,10,5,103.639,0.716,0.251,18.889,0.000,248.874,41.415,9.540,0,7,7,0,0,1403,0,0,0,0,1,0,0,5,0,0,0,0,151,1603,1528,0,0
241,8.0,1719,361,75,163,1259,54,243,12,120.62,1.067,1.254,0.076,0.054,0.102,-0.520,1.582,0.3362,2.2522,0.833,0.196,0.043,0.081,0.067,83,114,91,0,0,0,58109.65,1646.080,11628.785,88.119,801.207,18.906,11964.022,5299.047,14.040,3551.844,2841.475,2969.764,224.905,759.861,0.000094,0.000505,183,0,85,6,57,54,18594,37,6,11.374,608,80,79,19,0,26,34,3438,1465,1376,29,0,1340,7,18420,270,43,6971.969,5445.793,363.774,0.103,8.050,4621.104,1978.891,69.662,44,82,40,42,0,7682,20452,392,63,10305.037,4942.705,378.761,8.396,0.000,4545.336,2149.504,196.991,36,71,40,31,0,7893,6992,124,39,3047.630,1177.316,52.290,8.182,1.377,1727.974,612.569,79.764,1,24,13,11,0,3031,815,10,0,110.000,19.889,0.000,17.777,1.679,181.975,45.318,24.013,0,6,6,0,0,1251,921,4,1,90.808,4.008,0.825,30.282,0.269,198.098,43.616,14.502,0,5,5,0,0,1136,958,6,0,45.000,0.418,0.000,12.004,0.000,185.266,33.243,2.694,0,9,8,1,0,2077,0,0,0,0,2,0,0,0,0,0,0,0,151,1603,1528,0,0
271,9.0,1568,376,75,156,1154,43,215,15,144.12,1.064,1.248,0.075,0.050,0.105,-0.527,1.586,0.3388,2.2637,0.843,0.186,0.042,0.080,0.067,54,156,65,0,3,0,52130.73,1643.814,11447.420,54.403,729.570,12.852,10946.679,4846.934,22.457,3122.821,2498.257,1880.335,143.192,660.397,0.000146,0.000513,128,0,55,10,41,36,18080,4,10,7.569,533,86,62,16,0,32,14,2974,1196,1106,12,0,1087,7,17255,262,25,6647.835,5280.495,294.093,0.106,2.775,4321.456,1849.786,64.621,36,84,66,17,1,10202,18936,388,55,10191.780,4925.572,378.722,5.437,0.000,4205.786,1971.288,166.400,31,87,55,30,2,11076,6189,129,38,3100.188,1210.990,48.246,3.383,3.203,1519.003,564.130,66.663,3,29,22,7,0,5094,660,6,1,73.291,11.933,1.607,1.738,0.682,142.850,35.531,6.421,0,3,3,0,0,753,770,2,1,42.703,1.820,0.468,24.072,0.910,159.559,33.654,14.594,0,6,6,0,0,1493,701,9,4,147.075,1.868,0.290,12.098,0.000,127.392,24.972,5.466,0,5,4,1,0,1276,0,0,0,0,1,0,0,0,0,0,0,0,151,1603,1528,0,0
301,10.0,1418,412,60,153,1050,34,181,15,163.52,1.060,1.240,0.076,0.047,0.109,-0.538,1.589,0.3501,2.2805,0.813,0.183,0.048,0.080,0.068,55,163,57,0,3,0,48757.23,1588.642,12413.009,58.932,661.361,7.544,9930.957,4292.373,23.004,3061.573,2449.258,1763.157,290.090,522.181,0.000133,-0.001630,115,0,50,7,31,25,16679,4,7,8.369,496,54,52,17,0,18,17,2584,934,872,11,0,857,4,15871,314,45,7982.705,6339.252,365.311,0.105,0.000,3989.530,1680.253,36.806,39,86,72,13,1,12549,17304,392,43,9955.309,4910.054,258.326,6.088,4.053,3848.470,1749.145,147.643,25,84,55,27,2,12695,5329,118,15,2821.506,1124.359,30.712,1.143,3.717,1296.553,495.463,49.564,5,32,22,10,0,5832,567,8,1,82.105,15.413,1.113,5.770,0.599,121.633,26.840,11.960,0,5,5,0,0,1442,632,8,7,99.471,6.021,1.140,22.299,0.000,127.980,28.461,7.899,0,3,3,0,0,863,514,4,0,30.000,0.362,0.000,15.159,0.000,91.856,16.483,1.768,0,6,6,0,0,1690,0,0,0,0,0,0,0,2,0,0,0,0,301,1418,1418,27,0
