tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,species_pass_tick,species_pass_organisms,species_pass_near_other,species_pass_drifting,species_pass_isolated,ticks_all_plant_aq0,ticks_deep_plant_aq0,ticks_shallow_plant_aq0,ticks_all_plant_aq1,ticks_deep_plant_aq1,ticks_shallow_plant_aq1,ticks_all_plant_aq2,ticks_deep_plant_aq2,ticks_shallow_plant_aq2,ticks_all_plant_aq3,ticks_deep_plant_aq3,ticks_shallow_plant_aq3,ticks_all_consumer_aq0,ticks_deep_consumer_aq0,ticks_shallow_consumer_aq0,ticks_all_consumer_aq1,ticks_deep_consumer_aq1,ticks_shallow_consumer_aq1,ticks_all_consumer_aq2,ticks_deep_consumer_aq2,ticks_shallow_consumer_aq2,ticks_all_consumer_aq3,ticks_deep_consumer_aq3,ticks_shallow_consumer_aq3,water_movement_plant_deep,water_movement_plant_shallow,water_movement_consumer_deep,water_movement_consumer_shallow,crossings_plant,crossings_consumer,new_region_events,food_spawned_deep,food_spawned_shallow,food_spawned_land,food_eaten,food_eaten_deep,food_eaten_shallow,plant_on_deep,plant_on_shallow,plant_on_sand,plant_on_grass,plant_on_forest,plant_on_rock,grazer_on_deep,grazer_on_shallow,grazer_on_sand,grazer_on_grass,grazer_on_forest,grazer_on_rock,omnivore_on_deep,omnivore_on_shallow,omnivore_on_sand,omnivore_on_grass,omnivore_on_forest,omnivore_on_rock,hunter_on_deep,hunter_on_shallow,hunter_on_sand,hunter_on_grass,hunter_on_forest,hunter_on_rock,plant_in_r0,plant_in_r1,plant_in_r2,plant_in_r3,plant_in_r4,plant_in_r5,plant_in_rother,plant_in_rminor,grazer_in_r0,grazer_in_r1,grazer_in_r2,grazer_in_r3,grazer_in_r4,grazer_in_r5,grazer_in_rother,grazer_in_rminor,omnivore_in_r0,omnivore_in_r1,omnivore_in_r2,omnivore_in_r3,omnivore_in_r4,omnivore_in_r5,omnivore_in_rother,omnivore_in_rminor,hunter_in_r0,hunter_in_r1,hunter_in_r2,hunter_in_r3,hunter_in_r4,hunter_in_r5,hunter_in_rother,hunter_in_rminor,region_sep,region_null,region_species,region_confined,region_confined_null,biome_sep,biome_null,biome_species,biome_confined,biome_confined_null
31,1.0,466,8826,0,152,148,80,86,0,8.94,0.868,0.805,0.200,0.215,0.227,-0.136,1.509,0.3200,1.3570,0.816,0.447,0.115,0.101,-0.001,51,0,16,0,0,0,24316.82,1329.799,6098.138,33.678,19.290,15.197,2271.418,1684.581,0.000,3184.446,2547.556,905.161,689.954,110.157,0.000070,0.000167,21,0,14,2,10,8,3300,15,2,6.364,672,72,55,4,0,46,5,618,65,32,5,1,26,0,1887,235,0,2777.500,2280.858,0.000,0.128,4.231,417.260,279.459,18.301,25,2,0,2,0,21,1959,324,1,4393.959,2454.927,2.636,0.622,0.000,401.030,447.628,10.979,27,6,0,6,0,19,1292,122,0,1527.500,470.622,0.000,2.475,2.133,277.971,264.017,3.923,5,1,0,1,0,9,1233,190,0,2457.500,449.671,0.000,4.994,0.000,254.241,175.034,2.956,2,2,0,2,0,7,1329,160,3,2207.067,156.325,0.352,0.000,0.000,271.879,192.611,2.153,1,3,0,3,0,58,1209,118,2,1787.729,20.829,0.000,19.096,0.000,238.901,205.071,6.718,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2048,0,35,2245,4,59,0,0,0,0,0,0,4815,740,432,4094,464,348,0,0,0,0,0,0,0.170,1.457,622.192,101.118,0,3,0,79,30,147,1239,164,94,1,7,40,40,42,22,53,12,13,38,11,21,23,11,16,12,13,11,19,10,13,22,7,9,69,39,23,13,0,0,0,0,36,16,22,8,1,0,0,0,24,14,7,6,1,0,0,0,25,12,12,2,0,0,0,0,0.4667,0.4667,1,0,0,0.2403,0.2403,1,0,0
61,2.0,509,7950,0,155,186,78,90,1,27.12,0.891,0.813,0.203,0.241,0.216,-0.195,1.504,0.3272,1.3663,0.853,0.542,0.107,0.104,0.000,64,2,16,0,0,0,24184.06,1336.807,5837.281,22.687,69.597,17.330,2602.959,2558.000,0.115,2454.665,1963.732,695.586,831.603,150.339,0.000090,0.000171,26,0,10,6,6,6,3540,0,6,1.555,646,78,57,4,3,48,2,686,87,83,2,1,80,0,2342,216,6,2983.459,2352.860,44.755,0.031,0.000,549.845,437.809,5.473,25,3,0,3,0,111,2648,303,0,3917.500,2206.246,0.000,0.552,0.000,529.607,830.865,11.387,19,3,1,2,0,151,1404,120,9,1620.339,496.135,9.546,1.442,0.000,307.249,440.985,6.197,6,2,1,1,0,115,1287,143,4,2177.726,433.129,13.604,0.000,1.243,272.259,251.247,1.394,2,2,0,2,0,105,1201,134,7,1921.007,112.563,1.692,2.416,0.173,247.111,216.569,4.138,0,2,0,2,0,93,1170,125,0,1655.000,16.444,0.000,16.691,0.139,231.260,243.941,13.281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2368,49,208,2311,101,86,0,0,0,0,0,0,5579,1983,517,4473,1509,375,0,0,0,0,0,0,10.147,5.749,1595.571,115.426,0,26,0,71,23,143,1113,391,104,10,12,40,38,33,22,65,14,27,53,15,12,40,9,14,7,13,7,28,8,12,11,9,10,62,40,19,12,0,0,0,0,34,30,35,4,4,0,0,0,18,12,6,5,0,0,0,0,20,11,7,3,1,0,0,0,0.4149,0.4149,1,0,0,0.2809,0.2809,1,0,0
91,3.0,540,7092,0,156,211,75,98,1,45.86,0.906,0.814,0.184,0.258,0.208,-0.228,1.504,0.3234,1.3345,0.877,0.500,0.099,0.105,0.001,54,17,13,0,0,0,24082.78,1387.232,6349.518,12.954,160.872,19.701,2848.720,2772.709,1.725,2458.976,1967.181,470.979,1136.544,128.512,0.000098,0.000858,31,0,10,3,8,7,3701,5,3,5.562,623,63,55,2,4,49,0,671,86,73,1,0,72,0,2758,178,13,2528.678,1931.411,107.928,0.004,5.301,677.906,601.628,8.366,14,6,5,1,0,419,3154,388,6,5151.832,2896.300,31.684,1.397,0.000,632.255,676.149,21.426,29,8,4,4,0,441,1458,144,3,2433.551,770.811,16.363,0.000,0.000,328.727,500.777,6.544,9,7,5,2,0,470,1294,161,0,2292.500,454.619,0.000,1.568,0.000,278.716,350.150,1.899,2,1,1,0,0,73,1189,106,2,1592.550,85.410,0.669,3.073,0.194,245.316,246.206,3.810,2,1,1,0,0,83,1126,101,2,1395.186,11.617,0.154,1.351,0.067,223.948,233.818,5.753,0,4,1,3,0,320,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2313,272,254,2335,215,47,0,0,0,0,0,0,6072,2612,440,4907,1726,565,0,0,0,0,0,0,40.783,5.990,1815.798,119.567,0,26,0,96,24,162,1140,444,134,22,13,40,31,30,20,66,29,55,35,20,6,62,7,5,7,12,5,33,8,8,10,10,6,55,37,18,11,0,0,0,0,36,40,29,4,7,0,0,0,19,6,3,1,0,0,0,0,17,10,4,1,2,0,0,0,0.4233,0.4233,1,0,0,0.3389,0.3389,1,0,0
121,4.0,585,6199,0,156,273,62,94,1,67.35,0.896,0.816,0.190,0.259,0.195,-0.307,1.507,0.3220,1.3763,0.835,0.494,0.089,0.103,0.000,72,38,20,0,0,0,24953.94,1373.623,8582.922,17.958,114.238,20.644,3086.760,3146.945,1.725,3936.370,3149.096,673.260,1230.672,176.713,0.000082,0.001198,31,0,16,4,13,10,3900,0,4,8.009,522,55,54,2,0,51,1,669,76,72,4,6,62,0,3116,217,15,3493.459,2703.035,83.671,0.046,0.000,787.867,794.735,17.037,26,13,10,3,0,1167,4054,499,8,7822.731,4366.841,28.099,1.848,7.958,780.511,948.862,26.213,65,15,8,7,0,1067,1577,138,0,2505.000,843.749,0.000,0.000,0.000,345.100,463.202,1.875,7,8,6,2,0,774,1318,138,1,1878.371,365.675,0.604,3.169,0.000,285.791,337.165,6.140,1,5,2,3,0,450,1118,85,1,1199.801,72.376,0.125,0.000,0.000,231.234,224.717,0.650,0,5,4,1,0,523,971,68,6,829.948,3.416,1.739,4.886,0.052,191.409,187.511,6.336,0,8,8,0,0,889,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2284,493,249,2408,280,191,0,0,0,0,0,0,6895,2912,821,5259,2352,561,0,0,0,0,0,0,62.517,7.919,2135.851,173.989,0,40,0,111,28,163,1195,473,151,30,14,37,28,29,18,114,32,45,45,31,6,46,8,9,15,12,4,30,7,7,7,6,5,52,36,15,9,0,0,0,0,39,43,35,2,8,0,0,0,16,7,12,2,3,0,0,0,10,7,3,2,3,0,0,0,0.3849,0.3849,1,0,0,0.3761,0.3761,1,0,0
151,5.0,625,5293,55,154,341,53,77,1,83.79,0.888,0.818,0.178,0.273,0.185,-0.374,1.498,0.3271,1.4439,0.838,0.506,0.087,0.102,0.002,71,60,40,0,0,0,27103.07,1315.634,11445.762,55.073,70.566,21.307,3200.972,3942.984,1.725,5370.635,4296.508,1575.897,722.289,149.342,0.000141,0.000877,12,0,35,5,31,26,4120,0,5,24.173,393,40,40,7,0,33,0,626,123,118,2,5,107,4,3363,252,6,4487.880,3508.520,51.946,0.320,8.136,850.138,1040.298,21.332,37,23,22,1,0,2571,5637,604,3,11802.481,6520.366,15.431,5.148,16.036,1011.422,1711.721,21.594,93,39,11,28,0,1962,1489,147,1,2715.058,904.438,0.813,0.000,0.000,307.162,413.808,4.451,6,12,9,3,0,1016,1135,108,1,1678.455,346.645,2.174,3.925,0.000,243.996,251.312,4.236,0,11,9,2,0,1446,978,73,1,1162.205,70.309,0.202,0.000,0.000,197.119,196.891,0.581,0,4,4,0,0,465,746,48,0,570.000,10.498,0.000,21.508,0.000,137.128,130.772,11.090,0,5,4,1,0,691,0,0,0,0,0,0,0,0,0,0,0,0,151,625,570,0,0,2196,556,175,2416,480,112,0,0,0,0,0,0,8092,4039,893,5256,2843,400,0,0,0,0,0,0,73.093,5.828,3003.153,174.622,2,18,0,109,45,219,1279,651,155,37,11,35,27,26,18,195,35,33,47,27,4,39,5,7,11,9,6,27,4,6,8,5,3,50,34,14,8,0,0,0,0,17,39,38,1,16,0,0,0,13,5,10,2,3,0,0,0,8,5,3,4,2,0,0,0,0.5640,0.4082,7,0,0,0.4821,0.5017,11,0,0
181,6.0,686,4472,55,155,427,35,69,1,97.42,0.886,0.822,0.174,0.313,0.175,-0.458,1.494,0.3213,1.5619,0.835,0.503,0.085,0.103,0.001,81,60,31,0,0,0,30151.89,1324.959,12635.729,20.883,40.948,23.382,3529.708,4509.296,1.725,5935.071,4748.056,1036.451,507.842,160.708,0.000126,-0.000044,14,0,28,3,28,25,4045,2,3,9.242,285,35,33,3,0,27,3,450,134,131,0,0,130,1,4137,323,0,6062.500,4873.177,0.000,0.281,3.748,1103.436,1162.299,28.140,51,17,11,6,0,1421,7346,561,6,11312.551,6383.462,21.401,4.514,5.494,1269.771,2442.899,23.069,85,35,19,16,0,2561,1289,129,1,2516.037,928.103,2.827,0.000,0.000,263.909,339.196,5.820,10,12,7,5,0,1434,852,88,1,1348.742,287.399,5.893,0.000,0.000,192.042,167.946,0.482,2,6,6,0,0,990,743,46,2,709.983,52.535,0.763,0.000,0.000,137.232,119.065,1.674,0,11,11,0,0,1716,565,24,2,187.770,2.597,0.080,6.846,0.000,96.436,80.191,6.840,0,7,6,1,0,1172,0,0,0,0,0,0,0,2,0,0,0,0,151,625,570,0,0,2154,522,258,2474,556,280,0,0,0,0,0,0,8917,4496,860,6015,3091,542,0,0,0,0,0,0,71.200,9.792,3459.188,208.864,1,29,6,126,29,233,1209,578,119,37,23,30,22,23,20,217,40,46,102,18,4,29,6,4,19,6,5,16,2,7,3,5,2,47,33,9,6,0,0,0,0,13,34,50,38,35,0,0,0,15,5,10,2,2,0,0,0,6,5,2,3,1,0,0,0,0.6475,0.3039,7,2,0,0.4086,0.4276,9,0,0
211,7.0,792,3620,55,161,551,24,56,2,103.39,0.901,0.835,0.159,0.355,0.164,-0.528,1.494,0.3161,1.6736,0.817,0.484,0.067,0.107,0.003,91,75,49,0,0,0,33979.26,1369.369,16417.978,13.070,135.882,22.527,4027.463,5531.953,1.812,9198.412,7358.730,1874.799,429.251,268.086,0.000095,-0.000828,20,0,47,2,49,47,4346,5,2,6.172,253,19,19,0,2,17,0,337,145,143,0,0,142,1,5535,433,6,9124.783,7399.483,71.463,0.479,0.000,1509.644,1260.332,37.659,95,35,16,19,0,2267,8964,659,8,14360.746,8181.757,41.584,6.419,6.172,1502.754,3301.411,28.440,118,55,30,25,0,3845,1212,69,1,1355.099,487.641,10.290,0.000,0.000,231.111,437.599,7.922,6,11,8,3,0,1562,688,69,0,972.500,202.359,0.000,0.000,0.000,161.201,199.223,0.313,1,8,8,0,0,1536,546,22,0,270.000,18.837,0.000,0.000,0.000,93.181,75.754,1.523,0,5,5,0,0,1001,378,11,0,82.500,1.044,0.000,0.000,0.000,57.339,38.091,0.000,0,6,6,0,0,1194,0,0,0,0,0,0,0,1,0,0,0,0,151,625,570,0,0,2262,695,214,2483,657,257,0,0,0,0,0,0,9705,5191,1006,7618,3447,721,0,0,0,0,0,0,85.321,7.578,4208.769,247.848,3,53,8,135,48,264,1299,574,125,50,10,30,26,26,19,238,66,26,138,68,15,22,2,3,16,7,6,9,3,4,1,6,1,51,30,10,9,1,0,0,0,36,35,37,113,26,0,0,0,24,5,2,0,1,0,0,0,6,3,1,1,1,0,0,0,0.5543,0.3564,9,1,0,0.4548,0.4184,10,0,0
241,8.0,908,2775,55,159,678,16,55,2,88.61,0.914,0.867,0.142,0.376,0.148,-0.558,1.488,0.3161,1.7535,0.823,0.465,0.053,0.108,0.006,95,52,60,0,0,0,36637.20,1449.155,17847.749,26.186,397.624,20.166,4699.174,6353.432,3.039,9014.183,7211.346,2413.651,1005.681,387.336,0.000110,-0.000488,81,0,55,5,60,55,4625,29,5,21.684,142,10,2,0,1,0,1,290,81,80,0,1,79,0,7033,401,39,8952.345,7193.856,257.984,0.283,0.000,1943.675,1947.359,44.926,83,38,10,28,0,1731,11217,743,9,17143.799,9669.394,65.280,4.218,21.684,1839.181,3626.802,39.274,136,53,26,27,0,3946,1069,87,2,1856.365,594.340,5.769,0.000,0.000,194.134,253.661,3.864,4,5,5,0,0,584,604,64,1,1335.409,279.894,8.168,0.000,0.000,144.872,217.422,1.140,2,3,3,0,0,604,384,13,1,193.336,14.416,0.765,0.000,0.000,64.426,52.525,0.658,0,4,4,0,0,898,225,6,0,45.000,0.387,0.000,0.000,0.000,31.310,24.780,0.030,0,4,4,0,0,919,0,0,0,0,1,0,0,0,0,0,0,0,151,625,570,0,0,2331,812,143,2544,664,224,0,0,0,0,0,0,11315,5211,1284,9217,3487,908,0,0,0,0,0,0,83.290,5.620,4309.410,374.533,3,79,4,138,57,302,1342,482,166,49,14,26,25,25,20,297,70,49,150,92,20,15,0,7,10,8,15,8,0,3,1,3,1,49,25,11,10,1,0,0,0,100,46,37,112,16,0,0,0,26,7,4,1,2,0,0,0,3,3,1,0,1,0,0,0,0.4886,0.4393,8,0,0,0.4285,0.4572,10,0,0
271,9.0,953,2164,55,156,720,11,66,2,107.07,0.896,0.890,0.129,0.369,0.142,-0.557,1.489,0.3244,1.8959,0.845,0.442,0.050,0.105,0.007,76,91,43,0,0,0,36609.02,1478.388,14959.401,25.258,500.864,19.280,5218.798,7510.403,3.039,6670.116,5336.093,1498.839,568.660,357.468,0.000156,-0.000288,64,0,37,6,43,37,4773,0,6,18.010,30,2,2,0,2,0,0,445,189,187,0,0,187,0,7824,240,43,5112.745,3779.457,380.284,0.103,3.598,2177.959,2311.144,29.390,33,44,38,6,0,5026,13356,754,17,17468.890,9918.059,90.626,7.145,14.412,2126.563,4470.674,50.874,127,74,43,31,0,6634,1215,97,2,2355.372,876.862,14.748,0.000,0.000,232.127,315.833,10.195,12,4,4,0,0,530,639,67,2,1491.267,317.791,15.206,0.000,0.000,152.268,143.307,0.064,3,0,0,0,0,0,286,11,0,187.500,17.496,0.000,0.000,0.000,48.406,20.522,0.844,0,2,2,0,0,498,126,1,0,7.500,0.078,0.000,0.000,0.000,17.097,11.660,0.000,0,3,3,0,0,789,0,0,0,0,0,0,0,0,0,0,0,0,151,625,570,0,0,2352,851,181,2377,684,249,0,0,0,0,0,0,12245,5572,1253,11201,4193,984,0,0,0,0,0,0,90.655,7.851,4714.163,383.640,2,95,2,203,44,326,1184,450,133,57,10,22,24,24,19,273,98,53,94,100,102,21,6,8,11,12,8,3,0,3,1,3,1,48,22,12,7,0,0,0,0,210,52,21,56,10,0,0,0,27,8,4,0,0,0,0,0,3,3,1,0,1,0,0,0,0.5433,0.5557,6,0,0,0.4252,0.4081,10,0,0
301,10.0,993,1644,40,154,756,9,74,3,117.21,0.876,0.911,0.124,0.357,0.135,-0.552,1.482,0.3334,1.9897,0.835,0.383,0.039,0.102,0.011,68,98,45,0,0,0,36126.70,1498.651,15193.360,47.410,535.100,16.784,5191.937,7985.286,3.139,6878.646,5502.917,1788.834,423.762,453.060,0.000123,0.000764,86,0,36,9,45,36,5096,0,9,36.354,0,0,0,0,0,0,0,714,352,340,12,0,327,0,7244,207,47,4726.272,3432.645,383.868,0.012,0.000,2014.202,2394.919,4.967,31,44,44,0,0,5093,14752,682,15,16558.971,9438.170,108.122,4.059,32.671,2237.327,4740.807,51.045,115,70,47,23,0,7145,1418,218,3,5244.641,2131.567,38.037,6.985,3.683,276.906,417.079,25.281,29,14,2,12,0,740,668,34,0,675.000,144.455,0.000,0.000,0.000,157.691,174.909,0.165,1,4,3,1,0,658,238,7,21,215.965,11.464,5.072,0.000,0.000,41.074,17.772,0.000,0,2,2,0,0,570,60,0,0,0.000,0.000,0.000,0.000,0.000,6.697,4.985,0.000,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,301,993,993,5,0,2348,864,174,2291,774,213,0,0,0,0,0,0,12572,5079,1431,11808,4459,909,0,0,0,0,0,0,102.575,7.709,4705.175,377.262,4,80,4,202,59,380,1161,407,85,57,11,18,30,19,19,316,73,44,124,99,100,27,5,10,7,22,3,2,0,3,2,2,0,43,23,10,5,5,0,0,0,240,46,19,55,7,0,0,0,27,10,4,1,0,0,0,0,2,3,1,0,1,0,0,0,0.5969,0.6335,6,1,0,0.4136,0.4062,9,0,0
