tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,species_pass_tick,species_pass_organisms,species_pass_near_other,species_pass_drifting,species_pass_isolated,ticks_all_plant_aq0,ticks_deep_plant_aq0,ticks_shallow_plant_aq0,ticks_all_plant_aq1,ticks_deep_plant_aq1,ticks_shallow_plant_aq1,ticks_all_plant_aq2,ticks_deep_plant_aq2,ticks_shallow_plant_aq2,ticks_all_plant_aq3,ticks_deep_plant_aq3,ticks_shallow_plant_aq3,ticks_all_consumer_aq0,ticks_deep_consumer_aq0,ticks_shallow_consumer_aq0,ticks_all_consumer_aq1,ticks_deep_consumer_aq1,ticks_shallow_consumer_aq1,ticks_all_consumer_aq2,ticks_deep_consumer_aq2,ticks_shallow_consumer_aq2,ticks_all_consumer_aq3,ticks_deep_consumer_aq3,ticks_shallow_consumer_aq3,water_movement_plant_deep,water_movement_plant_shallow,water_movement_consumer_deep,water_movement_consumer_shallow,crossings_plant,crossings_consumer,new_region_events,food_spawned_deep,food_spawned_shallow,food_spawned_land,food_eaten,food_eaten_deep,food_eaten_shallow,plant_on_deep,plant_on_shallow,plant_on_sand,plant_on_grass,plant_on_forest,plant_on_rock,grazer_on_deep,grazer_on_shallow,grazer_on_sand,grazer_on_grass,grazer_on_forest,grazer_on_rock,omnivore_on_deep,omnivore_on_shallow,omnivore_on_sand,omnivore_on_grass,omnivore_on_forest,omnivore_on_rock,hunter_on_deep,hunter_on_shallow,hunter_on_sand,hunter_on_grass,hunter_on_forest,hunter_on_rock,plant_in_r0,plant_in_r1,plant_in_r2,plant_in_r3,plant_in_r4,plant_in_r5,plant_in_rother,plant_in_rminor,grazer_in_r0,grazer_in_r1,grazer_in_r2,grazer_in_r3,grazer_in_r4,grazer_in_r5,grazer_in_rother,grazer_in_rminor,omnivore_in_r0,omnivore_in_r1,omnivore_in_r2,omnivore_in_r3,omnivore_in_r4,omnivore_in_r5,omnivore_in_rother,omnivore_in_rminor,hunter_in_r0,hunter_in_r1,hunter_in_r2,hunter_in_r3,hunter_in_r4,hunter_in_r5,hunter_in_rother,hunter_in_rminor,region_sep,region_null,region_species,region_confined,region_confined_null,biome_sep,biome_null,biome_species,biome_confined,biome_confined_null
31,1.0,440,8817,0,147,113,98,82,0,9.87,0.840,0.809,0.212,0.158,0.235,-0.046,1.534,0.3471,1.3499,0.836,0.531,0.133,0.105,-0.001,51,0,15,0,0,0,24104.18,1368.371,5612.988,23.281,28.857,16.729,2228.208,1371.106,0.000,1984.738,1587.790,794.595,1164.228,129.371,0.000090,-0.000500,21,0,9,6,12,7,3497,9,6,14.899,683,57,31,0,0,26,5,760,88,69,5,0,64,0,1883,321,3,3118.300,2577.547,9.980,0.308,7.558,412.484,357.599,21.418,22,0,0,0,0,0,1285,192,1,2318.793,1268.540,2.130,0.779,2.805,255.744,160.021,4.832,5,0,0,0,0,0,1376,202,1,2482.300,875.187,1.841,2.813,3.419,302.103,186.035,2.970,3,2,0,2,0,4,1161,182,2,2670.788,426.747,1.398,4.482,1.117,248.149,140.226,5.627,3,4,0,4,0,63,1477,206,3,2051.418,130.636,2.596,0.000,0.000,308.109,219.414,2.346,0,1,0,1,0,2,1550,316,2,3935.978,29.917,0.034,0.000,0.000,320.590,209.408,1.112,0,2,0,2,0,31,1,0,1,0,3,1,0,0,1,0,0,0,0,0,0,0,0,2206,0,38,2022,1,46,0,0,0,0,0,0,4297,537,361,4435,455,247,0,0,0,0,0,0,0.065,1.840,484.177,79.827,0,4,0,78,13,159,1535,191,153,1,10,30,90,9,7,27,10,12,50,5,9,16,10,9,40,3,4,28,7,16,38,4,5,51,40,28,17,0,0,0,0,23,32,7,14,0,0,0,0,29,10,7,10,0,0,0,0,24,19,8,12,0,0,0,0,0.3837,0.3837,1,0,0,0.4955,0.4955,1,0,0
61,2.0,467,7878,0,155,135,95,82,1,24.43,0.841,0.806,0.206,0.153,0.233,-0.107,1.525,0.3462,1.3803,0.861,0.561,0.160,0.106,-0.001,53,0,15,0,0,0,23675.64,1395.083,4691.495,15.723,2.996,19.445,2316.595,2009.507,0.120,1569.965,1255.972,735.024,1077.839,77.756,0.000101,-0.001272,3,0,13,2,10,9,3812,0,2,1.598,649,16,8,1,0,7,0,757,142,119,8,0,100,11,2397,287,0,2922.500,2396.345,0.000,0.419,0.000,498.148,549.934,16.211,26,6,0,6,0,235,1335,169,0,1705.000,920.740,0.000,0.977,0.000,267.327,216.339,2.363,2,1,0,1,0,48,1397,189,1,1964.996,683.926,1.760,4.495,0.785,306.355,323.018,14.097,2,1,0,1,0,49,1074,148,1,1938.476,302.432,0.699,4.698,0.813,228.914,201.434,3.677,1,2,0,2,0,37,1427,109,1,1138.064,70.866,0.538,0.000,0.000,299.751,284.401,0.461,0,2,0,2,0,79,1455,202,0,2565.000,19.624,0.000,3.536,0.000,303.016,318.214,0.824,0,1,0,1,0,46,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2318,76,161,2207,133,117,0,0,0,0,0,0,4458,1541,522,4627,1267,398,0,0,0,0,0,0,15.077,5.288,1234.674,113.446,0,27,0,95,13,161,1208,421,109,13,7,27,93,6,9,56,14,10,41,3,11,31,7,8,30,4,2,41,6,10,31,2,5,51,39,27,18,0,0,0,0,18,27,5,15,0,0,0,0,24,5,5,10,0,0,0,0,18,16,5,9,0,0,0,0,0.3801,0.3801,1,0,0,0.4176,0.4176,1,0,0
91,3.0,472,7147,0,156,154,88,74,4,47.57,0.836,0.814,0.198,0.136,0.231,-0.175,1.527,0.3475,1.4067,0.868,0.558,0.158,0.106,-0.004,49,12,19,0,0,0,22717.22,1419.101,4525.487,24.580,54.269,18.863,2366.743,2463.793,2.171,1345.779,1076.623,860.048,823.083,142.593,0.000123,-0.001625,24,0,16,3,15,12,3924,1,3,6.009,617,41,37,3,2,26,6,638,43,17,8,0,9,0,2955,349,8,3809.336,3042.620,33.315,0.147,0.000,599.160,844.231,20.959,30,6,1,5,0,330,1284,87,0,897.500,476.847,0.000,1.270,3.745,256.047,260.930,2.987,2,7,3,4,0,501,1335,148,2,1620.536,546.670,7.023,5.734,2.264,291.743,363.803,9.571,0,5,3,2,0,359,1011,75,11,809.632,122.574,12.056,1.312,0.000,212.086,190.385,2.617,0,3,1,2,0,234,1378,126,1,1283.435,87.840,0.184,10.108,0.000,286.988,317.323,3.008,0,3,2,1,0,238,1411,179,1,2779.938,22.269,0.001,0.000,0.000,295.580,352.752,2.738,0,4,2,2,0,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2345,217,96,2326,189,204,0,0,0,0,0,0,4617,2394,345,4757,1692,383,0,0,0,0,0,0,30.433,5.279,1763.426,92.879,2,27,0,98,17,194,1040,413,88,16,13,27,86,6,8,49,22,12,59,3,9,32,11,9,19,2,1,35,8,9,28,2,6,48,41,22,16,0,0,0,0,21,23,12,27,0,0,0,0,17,3,3,8,0,0,0,0,19,14,5,7,0,0,0,0,0.3671,0.3671,1,0,0,0.4068,0.4068,1,0,0
121,4.0,496,6369,0,158,196,71,71,5,67.29,0.833,0.827,0.173,0.113,0.223,-0.296,1.520,0.3432,1.4935,0.867,0.544,0.136,0.105,-0.006,58,24,13,0,0,0,23257.71,1429.616,6588.053,21.079,15.616,17.305,2391.754,2471.328,7.464,2308.528,1846.823,470.272,1638.650,57.086,0.000100,-0.001382,7,0,9,4,7,6,4357,2,4,11.251,522,45,18,3,0,12,3,508,42,30,3,0,27,0,4044,520,1,6527.617,5231.098,2.238,0.064,8.085,785.396,1116.818,41.388,52,8,6,2,0,646,1190,104,0,1077.500,576.776,0.000,0.202,0.000,226.728,224.095,1.728,1,3,3,0,0,336,1257,143,0,1335.000,457.879,0.000,1.391,0.000,272.985,342.321,4.167,2,2,2,0,0,219,905,45,2,440.392,74.173,2.763,0.000,3.165,192.016,187.657,4.178,0,3,1,2,0,308,1205,119,2,1148.400,80.827,0.338,2.707,0.000,246.534,207.078,2.320,0,7,4,3,0,732,1178,85,0,1215.000,10.735,0.000,5.464,0.000,239.119,225.576,1.693,0,10,8,2,0,1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2345,309,161,2365,319,205,0,0,0,0,0,0,4769,2202,341,5010,1711,442,0,0,0,0,0,0,52.549,6.860,1687.863,100.657,1,39,0,87,19,194,1078,453,93,26,13,24,78,3,14,86,10,47,46,2,5,38,5,5,21,1,1,21,4,13,26,2,5,48,36,20,15,0,0,0,0,30,17,31,22,0,0,0,0,15,3,6,4,0,0,0,0,16,14,8,8,0,0,0,0,0.3720,0.3720,1,0,0,0.3448,0.3448,1,0,0
151,5.0,545,5568,51,167,256,59,63,5,82.66,0.833,0.856,0.145,0.091,0.214,-0.412,1.528,0.3396,1.6696,0.794,0.521,0.124,0.107,-0.007,61,34,4,0,2,0,24957.40,1416.196,7372.095,7.966,71.836,20.768,2497.706,3027.890,7.632,3415.985,2732.788,150.639,601.660,127.846,0.000143,-0.000456,51,0,3,1,3,2,5033,37,1,5.019,396,52,30,1,0,29,0,431,59,48,0,0,48,0,5575,596,7,7624.508,6011.158,48.669,0.000,0.000,1029.991,1909.299,65.766,79,16,14,1,1,1653,1179,117,4,1077.344,598.382,14.453,0.326,5.019,227.388,230.760,2.081,0,3,2,1,0,375,1152,137,0,1482.500,521.932,0.000,0.000,0.000,245.688,285.706,0.507,0,4,3,0,1,496,793,46,1,364.536,65.275,0.346,0.000,0.000,161.192,123.097,0.996,0,4,4,0,0,527,1053,95,0,905.000,58.650,0.000,0.000,0.000,212.462,144.737,0.901,0,4,3,1,0,528,897,100,2,1459.226,13.442,0.201,2.621,0.000,175.638,132.112,2.704,0,8,8,0,0,1085,0,0,0,0,0,0,0,0,0,0,0,0,151,545,494,0,0,2434,441,188,2452,456,238,0,0,0,0,0,0,5763,2744,507,4886,1926,404,0,0,0,0,0,0,70.398,6.213,2134.033,115.296,2,31,0,112,26,197,1136,456,120,30,20,32,67,3,15,142,19,23,67,2,3,30,6,3,22,1,1,21,8,6,17,2,5,51,31,18,17,0,0,0,0,53,14,14,14,0,0,0,0,13,5,5,4,0,0,0,0,12,12,2,4,0,0,0,0,0.5817,0.4673,9,0,0,0.4805,0.4562,16,1,0
181,6.0,635,4712,51,177,365,40,53,6,94.05,0.832,0.912,0.123,0.086,0.197,-0.554,1.523,0.3430,1.8706,0.833,0.475,0.107,0.108,-0.008,69,54,12,0,0,0,28503.87,1560.671,12145.214,17.367,125.597,20.114,2849.614,4478.830,11.088,5943.432,4754.746,621.973,909.653,116.935,0.000089,-0.000482,22,0,11,1,10,9,6598,3,1,5.795,283,14,14,2,0,12,0,427,92,75,0,0,75,0,7863,896,6,13866.326,11025.208,77.311,0.680,0.000,1432.553,3380.699,105.344,141,33,24,9,0,2001,1247,116,11,1157.363,599.299,46.304,0.000,5.795,259.018,284.289,1.387,4,3,3,0,0,511,1046,72,1,893.659,314.624,1.118,0.000,0.000,228.544,228.165,2.055,0,6,4,2,0,899,692,41,0,377.500,66.230,0.000,0.000,0.000,141.244,112.364,0.666,0,4,4,0,0,666,791,70,1,708.081,47.125,0.245,0.000,0.000,161.260,123.680,0.500,0,11,11,0,0,1770,726,53,0,817.500,9.420,0.000,10.892,0.000,143.817,112.435,1.467,0,8,8,0,0,1394,0,0,0,0,0,0,0,0,0,0,0,0,151,545,494,0,0,2577,446,190,2595,484,353,0,0,0,0,0,0,7519,4376,541,4846,2193,393,0,0,0,0,0,0,60.534,9.272,3537.084,140.764,8,37,9,130,33,265,1284,640,112,32,15,32,78,4,16,220,21,32,86,4,2,29,1,7,13,2,1,16,4,4,11,0,5,56,35,22,17,0,0,0,0,69,20,13,22,0,0,0,0,13,5,2,3,0,0,0,0,9,8,1,2,0,0,0,0,0.6145,0.5290,8,0,0,0.5208,0.4641,14,0,0
211,7.0,735,3830,51,186,475,23,51,9,108.96,0.821,0.969,0.101,0.085,0.181,-0.653,1.531,0.3482,2.1396,0.821,0.468,0.102,0.107,-0.012,65,74,21,0,1,0,33137.84,1664.241,15741.984,9.310,139.181,18.061,3228.241,6114.420,11.248,7385.118,5908.095,921.443,800.198,228.999,0.000132,0.000600,37,0,20,1,21,20,9006,18,1,7.780,192,1,0,0,0,0,0,332,65,59,1,0,58,0,11207,1042,12,18034.785,14502.144,108.547,1.144,7.780,1987.887,5070.576,207.164,177,64,45,19,0,4133,1228,108,3,1329.256,761.252,6.065,0.000,0.000,246.213,309.451,1.499,5,8,7,1,0,1033,958,72,3,867.444,303.710,9.753,0.386,0.000,208.188,172.774,3.394,4,2,1,0,1,381,562,28,1,322.689,55.495,1.293,0.000,0.000,113.418,89.803,0.167,0,4,4,0,0,776,520,46,0,555.000,34.818,0.000,0.000,0.000,93.549,75.581,0.079,0,7,7,0,0,1337,379,13,0,220.000,2.694,0.000,0.000,0.000,73.267,53.775,0.000,0,10,10,0,0,1949,0,0,0,0,0,0,0,0,0,0,0,0,151,545,494,0,0,2690,514,205,2716,472,348,23,23,0,0,0,0,9751,5776,673,5103,2389,400,0,0,0,0,0,0,60.918,6.443,4906.972,190.165,3,60,6,147,36,285,1350,592,94,34,18,32,80,6,16,201,39,20,194,20,1,23,4,2,19,1,2,9,3,2,8,0,1,58,36,23,17,0,0,0,0,75,101,27,32,0,0,0,0,13,7,1,3,0,0,0,0,8,2,1,0,0,0,0,0,0.6571,0.4867,10,1,0,0.5326,0.4661,13,0,0
241,8.0,956,2829,51,196,698,18,44,10,98.79,0.830,1.027,0.085,0.080,0.154,-0.716,1.520,0.3454,2.3301,0.793,0.423,0.086,0.106,-0.014,80,52,43,0,1,0,40422.89,1841.562,21787.487,49.859,177.543,14.633,4016.921,6790.361,15.076,11920.257,9536.206,1681.423,1298.834,207.195,0.000104,0.001302,19,0,36,7,38,31,12939,2,7,34.618,150,24,13,5,4,4,0,363,103,103,3,0,100,0,16398,1285,14,25200.936,20415.419,169.849,1.267,34.618,2833.069,5671.342,332.644,286,70,36,34,0,4390,1322,128,1,1609.660,994.653,1.481,0.209,0.000,248.092,322.737,15.707,14,7,6,1,0,1105,976,57,2,531.871,179.889,6.179,1.772,0.000,209.879,176.291,10.099,0,3,2,1,0,679,455,23,0,225.000,39.139,0.000,0.000,0.000,90.355,64.997,0.000,0,4,3,0,1,909,391,10,0,110.000,8.758,0.000,0.000,0.000,59.322,38.446,0.878,0,3,3,0,0,664,217,2,0,50.000,0.751,0.000,11.992,0.000,39.905,17.371,5.431,0,2,2,0,0,459,0,0,0,0,0,0,0,0,0,0,0,0,151,545,494,0,0,2814,580,215,2953,549,403,30,22,8,0,0,0,12998,4472,911,6761,3276,572,0,0,0,0,0,0,63.821,8.937,4415.366,274.230,2,43,5,190,41,335,1567,470,113,45,24,30,78,7,12,269,58,36,263,15,57,20,5,2,14,2,1,10,0,1,6,1,0,56,35,22,14,0,0,0,0,105,137,78,51,0,0,0,0,11,5,1,2,0,0,0,0,6,1,1,0,0,0,0,0,0.5907,0.3912,8,0,0,0.5338,0.4560,13,0,0
271,9.0,1141,2000,51,204,890,11,36,9,98.89,0.829,1.069,0.080,0.067,0.139,-0.757,1.516,0.3433,2.4691,0.817,0.382,0.079,0.105,-0.016,119,78,38,0,2,0,44753.92,1930.942,22707.353,21.623,578.030,13.865,4987.128,9979.254,16.135,11253.255,9002.605,1432.587,1394.396,268.729,0.000107,0.001317,77,0,36,2,38,36,16888,18,2,18.361,86,7,7,0,0,7,0,368,134,129,2,0,127,0,22767,1268,58,27455.558,22048.187,536.090,1.112,18.361,3877.582,8799.015,401.995,290,94,58,35,1,6755,1304,79,1,799.853,459.720,10.168,0.855,0.000,240.700,325.223,14.998,2,6,6,0,0,548,829,17,0,232.500,84.411,0.000,1.295,0.000,175.017,172.585,10.157,0,6,4,1,1,1519,362,9,0,120.000,21.862,0.000,0.000,0.000,70.217,63.379,0.091,0,2,2,0,0,514,299,3,0,22.500,1.476,0.000,0.000,0.000,41.299,30.975,0.409,0,4,4,0,0,1023,148,1,0,7.500,0.001,0.000,0.000,0.000,28.994,12.026,0.000,0,3,3,0,0,781,0,0,0,0,0,0,0,0,0,0,0,0,151,545,494,0,0,2815,782,331,3155,668,353,30,0,11,0,0,0,16934,6644,1533,8775,4647,806,0,0,0,0,0,0,79.243,10.113,6634.633,472.207,4,103,0,191,43,352,1415,602,107,51,28,27,79,7,12,466,78,118,211,4,13,19,5,2,9,1,0,6,1,0,4,0,0,60,32,22,11,0,0,0,0,87,105,85,69,0,0,0,0,7,3,0,2,0,0,0,0,3,0,1,0,0,0,0,0,0.6092,0.4163,9,1,0,0.5170,0.5157,14,0,0
301,10.0,1226,1402,46,217,970,8,31,13,90.93,0.823,1.091,0.077,0.071,0.138,-0.775,1.520,0.3431,2.5649,0.794,0.341,0.067,0.104,-0.015,110,171,43,0,0,0,44456.29,2072.100,22025.140,12.287,639.170,17.901,5684.506,13713.688,18.859,11051.365,8841.092,1309.585,1195.769,274.480,0.000138,0.000286,51,0,41,2,43,41,19917,7,2,10.127,44,0,0,0,0,0,0,374,110,110,0,0,110,0,27489,1166,41,26611.173,21397.926,627.554,1.131,10.127,4648.174,12502.483,464.955,281,199,158,41,0,15821,1205,70,1,772.346,460.741,1.618,1.029,0.000,217.043,349.392,8.304,3,5,5,0,0,820,682,13,0,167.500,61.425,0.000,0.000,0.000,139.316,144.336,7.320,0,5,5,0,0,1320,330,9,1,138.527,24.062,0.229,0.000,0.000,62.743,46.281,0.341,0,0,0,0,0,0,213,2,1,58.833,1.935,0.488,0.000,0.000,28.276,23.019,0.000,0,2,2,0,0,575,84,1,0,7.500,0.053,0.000,0.000,0.000,15.143,7.706,0.000,0,1,1,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,301,1226,1226,10,0,2929,879,392,3289,767,495,30,0,0,0,0,0,20074,11437,1468,9929,5354,908,0,0,0,0,0,0,90.504,13.020,10648.964,508.162,6,174,1,222,52,422,1294,656,75,61,29,26,87,5,9,540,81,107,226,14,2,17,2,1,10,1,0,5,0,0,3,0,0,67,32,20,8,0,0,0,0,115,53,37,144,0,0,0,0,7,1,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0.5565,0.4054,6,0,0,0.5931,0.5165,14,2,0
