tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,species_pass_tick,species_pass_organisms,species_pass_near_other,species_pass_drifting,species_pass_isolated,ticks_all_plant_aq0,ticks_deep_plant_aq0,ticks_shallow_plant_aq0,ticks_all_plant_aq1,ticks_deep_plant_aq1,ticks_shallow_plant_aq1,ticks_all_plant_aq2,ticks_deep_plant_aq2,ticks_shallow_plant_aq2,ticks_all_plant_aq3,ticks_deep_plant_aq3,ticks_shallow_plant_aq3,ticks_all_consumer_aq0,ticks_deep_consumer_aq0,ticks_shallow_consumer_aq0,ticks_all_consumer_aq1,ticks_deep_consumer_aq1,ticks_shallow_consumer_aq1,ticks_all_consumer_aq2,ticks_deep_consumer_aq2,ticks_shallow_consumer_aq2,ticks_all_consumer_aq3,ticks_deep_consumer_aq3,ticks_shallow_consumer_aq3,water_movement_plant_deep,water_movement_plant_shallow,water_movement_consumer_deep,water_movement_consumer_shallow,crossings_plant,crossings_consumer,new_region_events,food_spawned_deep,food_spawned_shallow,food_spawned_land,food_eaten,food_eaten_deep,food_eaten_shallow,plant_on_deep,plant_on_shallow,plant_on_sand,plant_on_grass,plant_on_forest,plant_on_rock,grazer_on_deep,grazer_on_shallow,grazer_on_sand,grazer_on_grass,grazer_on_forest,grazer_on_rock,omnivore_on_deep,omnivore_on_shallow,omnivore_on_sand,omnivore_on_grass,omnivore_on_forest,omnivore_on_rock,hunter_on_deep,hunter_on_shallow,hunter_on_sand,hunter_on_grass,hunter_on_forest,hunter_on_rock,plant_in_r0,plant_in_r1,plant_in_r2,plant_in_r3,plant_in_r4,plant_in_r5,plant_in_rother,plant_in_rminor,grazer_in_r0,grazer_in_r1,grazer_in_r2,grazer_in_r3,grazer_in_r4,grazer_in_r5,grazer_in_rother,grazer_in_rminor,omnivore_in_r0,omnivore_in_r1,omnivore_in_r2,omnivore_in_r3,omnivore_in_r4,omnivore_in_r5,omnivore_in_rother,omnivore_in_rminor,hunter_in_r0,hunter_in_r1,hunter_in_r2,hunter_in_r3,hunter_in_r4,hunter_in_r5,hunter_in_rother,hunter_in_rminor,region_sep,region_null,region_species,region_confined,region_confined_null,biome_sep,biome_null,biome_species,biome_confined,biome_confined_null
31,1.0,439,9621,0,157,98,81,103,0,11.82,0.832,0.766,0.225,0.154,0.246,-0.042,1.548,0.3165,1.2996,0.775,0.350,0.156,0.100,-0.010,40,0,17,0,0,0,23252.74,1342.882,4363.433,34.779,10.959,10.687,2197.490,1264.183,0.000,1958.008,1566.406,940.976,728.703,124.057,0.000093,0.000011,10,0,11,6,10,5,3257,3,6,14.530,670,78,36,1,3,32,0,691,102,71,7,0,61,3,1662,182,0,1907.500,1595.917,0.000,0.100,4.311,333.429,222.894,5.984,9,0,0,0,0,0,1222,237,0,2547.500,1385.257,0.000,0.546,3.917,244.257,151.781,4.316,4,3,0,3,0,30,1589,189,0,1557.500,511.653,0.000,2.254,4.714,332.525,202.253,7.525,6,1,0,1,0,9,1511,273,4,2482.811,410.863,5.537,12.794,1.588,328.599,219.538,6.354,7,5,0,5,0,74,1085,130,2,1605.890,99.267,1.543,0.000,0.000,217.061,129.354,4.597,0,0,0,0,0,0,1443,152,1,1442.236,15.046,0.049,4.556,0.000,339.060,225.925,2.273,0,2,0,2,0,17,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2361,18,77,1986,7,56,0,0,0,0,0,0,4743,339,223,3745,385,246,24,19,4,0,0,0,2.012,2.673,279.061,53.513,0,5,0,90,11,165,1269,91,62,3,8,12,27,71,36,24,8,7,16,27,16,16,7,6,23,34,17,18,4,4,13,30,12,60,53,31,2,0,0,0,0,36,18,12,0,0,0,0,0,34,27,18,1,0,0,0,0,26,20,12,1,0,0,0,0,0.4444,0.4444,1,0,0,0.3690,0.3690,1,0,0
61,2.0,441,8991,0,157,99,81,104,0,26.06,0.827,0.763,0.228,0.155,0.243,-0.050,1.550,0.3151,1.2836,0.775,0.427,0.158,0.102,-0.010,62,1,16,0,0,0,21789.48,1256.371,3236.543,36.076,13.393,17.266,2223.524,1599.009,0.000,640.421,512.337,845.156,1103.347,93.126,0.000128,-0.000850,7,0,6,10,8,2,3479,0,10,20.661,652,108,75,3,0,72,0,664,98,90,1,0,89,0,1761,146,0,1725.000,1438.753,0.000,0.000,14.181,346.306,261.137,9.851,5,3,0,3,0,134,1196,160,3,1576.867,842.151,5.149,0.944,3.855,242.729,194.116,4.075,1,1,0,1,0,57,1605,142,2,1162.530,389.441,3.299,0.000,0.000,334.718,264.812,3.689,2,1,0,1,0,33,1492,182,1,1732.619,304.329,4.022,2.775,2.140,330.784,293.622,7.052,0,1,1,0,0,53,1054,74,1,885.396,54.706,0.922,2.705,0.428,209.178,179.105,3.703,0,1,0,1,0,37,1380,136,0,1510.000,13.387,0.000,8.992,0.057,324.979,274.666,5.116,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2581,97,127,2079,90,195,0,0,0,0,0,0,4608,967,316,3850,1131,350,30,30,0,0,0,0,14.052,5.722,805.146,66.714,0,22,0,85,22,172,909,202,103,13,13,12,23,58,38,29,3,7,19,25,16,31,12,2,18,28,13,28,2,5,14,22,10,50,47,32,2,0,0,0,0,34,21,11,1,0,0,0,0,27,22,12,0,0,0,0,0,23,17,11,0,0,0,0,0,0.4323,0.4323,1,0,0,0.3016,0.3016,1,0,0
91,3.0,447,8408,0,159,115,75,98,0,44.76,0.821,0.765,0.218,0.147,0.244,-0.117,1.539,0.3214,1.2400,0.829,0.428,0.149,0.104,-0.007,72,8,12,0,0,0,20986.88,1362.027,3495.086,14.431,20.347,22.009,2223.810,1774.110,0.000,973.275,778.620,408.191,960.559,112.830,0.000108,0.000008,16,0,8,4,4,4,3654,2,4,0.137,624,64,22,4,0,18,0,584,47,42,1,0,41,0,1972,183,0,2282.500,1950.196,0.000,0.005,0.000,381.706,319.298,13.937,19,3,1,2,0,242,1170,131,0,1175.000,652.893,0.000,0.466,0.000,236.901,233.055,5.079,0,0,0,0,0,0,1625,154,8,1199.982,404.855,9.807,0.845,0.000,335.242,274.843,3.132,1,3,1,2,0,234,1394,165,0,1447.500,252.824,0.000,0.000,0.000,310.129,331.080,0.706,0,4,3,1,0,270,1028,78,5,941.065,60.462,2.970,0.000,0.000,201.948,169.731,0.557,0,1,0,1,0,69,1332,119,1,1126.240,9.957,0.135,12.978,0.137,313.046,298.027,11.130,0,5,3,2,0,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2726,227,216,2039,307,95,0,0,0,0,0,0,4459,1286,258,4032,1566,412,30,30,0,0,0,0,35.528,6.018,1044.708,66.641,1,15,0,99,16,191,889,268,61,22,9,11,24,56,37,50,11,5,7,28,14,36,5,2,16,27,12,31,2,5,8,17,12,49,47,30,2,0,0,0,0,28,19,6,1,0,0,0,0,28,20,8,1,0,0,0,0,19,17,6,0,0,0,0,0,0.4413,0.4413,1,0,0,0.3110,0.3110,1,0,0
121,4.0,444,7832,0,163,132,62,87,0,66.89,0.815,0.750,0.196,0.121,0.252,-0.204,1.541,0.3248,1.1808,0.811,0.417,0.167,0.104,-0.012,68,26,9,0,0,0,20642.00,1400.986,4195.643,5.559,47.656,21.285,2197.705,1803.080,0.000,1167.313,933.850,272.341,1387.836,52.636,0.000085,-0.000349,10,0,6,3,4,4,3958,0,3,0.361,539,33,20,2,1,17,0,527,52,51,2,0,49,0,2522,246,4,3084.681,2518.989,41.497,0.000,0.000,480.304,504.509,11.726,23,6,5,1,0,540,1178,164,2,1695.067,938.003,4.584,0.116,0.000,238.601,238.847,1.685,0,0,0,0,0,0,1502,142,0,1082.500,370.888,0.000,2.971,0.000,316.349,225.838,3.806,2,9,7,2,0,966,1295,116,2,1067.126,190.846,0.726,0.000,0.318,282.732,275.227,1.175,0,4,4,0,0,407,959,91,2,1043.165,67.688,0.849,2.110,0.000,187.049,154.471,3.411,0,3,1,2,0,302,1100,74,0,660.000,7.146,0.000,0.000,0.043,245.107,257.997,2.116,0,10,9,1,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2763,404,254,2045,341,133,0,0,0,0,0,0,4206,1492,387,4320,1780,394,30,30,0,0,0,0,49.629,7.365,1090.020,77.877,0,26,0,101,20,197,894,328,109,26,16,13,23,52,33,57,11,11,13,17,23,29,10,3,12,21,12,30,4,2,4,16,6,44,47,29,1,0,0,0,0,22,18,24,0,0,0,0,0,29,11,8,0,0,0,0,0,12,12,4,0,0,0,0,0,0.4100,0.4100,1,0,0,0.3198,0.3198,1,0,0
151,5.0,431,7413,71,174,132,46,79,0,88.18,0.796,0.726,0.168,0.109,0.276,-0.282,1.546,0.3169,1.1751,0.804,0.374,0.163,0.104,-0.011,65,39,5,0,0,0,20165.87,1435.485,3543.952,13.587,96.215,22.352,2078.651,1730.276,0.000,1076.004,860.804,201.429,1174.536,69.062,0.000118,-0.001784,16,0,2,3,2,0,4151,6,3,10.065,413,15,13,2,0,11,0,480,61,61,0,0,61,0,2884,235,5,2746.488,2245.283,83.441,0.000,6.528,543.940,609.902,13.950,13,6,6,0,0,620,1094,103,0,1052.500,559.702,0.000,0.000,3.509,215.006,226.126,1.869,0,7,7,0,0,944,1377,120,1,907.105,321.961,2.819,0.000,0.000,289.519,197.207,3.438,3,6,6,0,0,849,1111,115,1,1132.542,204.616,1.674,0.000,0.000,238.619,245.680,1.084,1,6,6,0,0,755,838,60,3,765.311,49.964,1.858,0.000,0.000,158.847,143.893,0.367,0,6,6,0,0,814,778,68,0,685.000,6.682,0.000,3.522,0.028,158.774,148.301,1.490,0,10,8,2,0,1358,0,0,0,0,0,0,0,0,0,0,0,0,151,431,360,0,0,2949,600,292,2129,355,179,0,0,0,0,0,0,3860,1666,320,4192,1684,283,30,22,8,0,0,0,64.294,8.750,1055.866,55.376,2,15,0,104,16,223,762,343,51,38,13,11,26,52,34,54,13,17,10,17,21,29,8,1,14,14,13,19,9,3,5,5,5,47,50,26,0,0,0,0,0,22,12,31,0,0,0,0,0,24,10,8,0,0,0,0,0,7,6,5,0,0,0,0,0,0.6341,0.4380,4,1,0,0.4252,0.3883,11,0,0
181,6.0,464,6964,71,180,181,34,69,0,103.93,0.801,0.755,0.142,0.092,0.268,-0.420,1.549,0.3171,1.3025,0.771,0.372,0.165,0.109,-0.007,78,35,9,0,0,0,21892.68,1495.309,5999.674,15.504,122.722,18.372,2107.413,1844.456,0.000,2982.644,2386.115,323.942,781.813,129.523,0.000104,-0.003018,63,0,7,2,5,4,4824,48,2,4.409,423,22,6,3,0,3,0,482,50,40,1,0,39,0,3629,340,4,5804.340,4653.752,41.947,0.153,4.386,695.954,877.928,21.927,66,15,11,4,0,1970,962,131,2,1155.134,608.624,7.422,0.000,0.000,189.782,212.991,0.453,0,2,2,0,0,303,1262,112,1,846.482,282.998,2.572,0.455,0.000,252.581,205.469,1.270,2,4,4,0,0,643,1007,99,8,1180.265,215.894,3.681,0.000,0.000,229.033,204.140,0.821,0,8,7,1,0,1375,664,59,0,705.000,53.105,0.000,1.758,0.000,121.699,101.238,0.937,0,7,5,2,0,1181,553,42,0,350.000,2.475,0.000,8.728,0.024,113.823,61.027,4.771,0,5,5,0,0,828,0,0,0,0,0,0,0,0,0,0,0,0,151,431,360,0,0,3085,852,210,2191,434,92,0,0,0,0,0,0,3375,1493,329,4672,1989,419,30,12,18,0,0,0,85.965,5.309,1151.638,75.847,1,19,5,143,24,239,855,399,80,48,11,8,35,48,30,84,16,14,15,25,27,34,4,1,10,10,10,13,3,2,5,5,6,45,52,24,0,0,0,0,0,21,31,28,1,0,0,0,0,18,7,6,0,0,0,0,0,8,6,4,0,0,0,0,0,0.5217,0.4435,5,0,0,0.4628,0.3948,12,0,0
211,7.0,588,6241,71,184,317,26,61,0,120.79,0.853,0.842,0.115,0.068,0.230,-0.577,1.547,0.3171,1.5641,0.806,0.359,0.129,0.121,0.010,77,31,10,0,0,0,27750.90,1587.783,12294.070,4.093,145.682,20.143,2455.248,2606.048,0.000,6616.416,5293.133,424.939,1100.485,117.726,0.000091,-0.003957,20,0,7,3,7,7,6470,0,3,0.696,341,26,0,0,0,0,0,394,66,50,2,0,48,0,6008,714,8,13859.073,11011.916,123.400,0.390,0.000,1148.175,1719.201,43.612,157,20,13,7,0,2053,930,107,6,1079.663,570.944,15.773,0.000,0.000,189.716,198.207,0.022,1,2,2,0,0,377,1202,122,2,943.189,313.013,4.272,3.007,0.000,236.775,210.407,2.602,0,2,2,0,0,363,815,97,2,1101.628,207.787,0.809,0.000,0.000,192.139,145.837,1.550,0,6,6,0,0,1222,477,30,2,378.693,22.325,1.429,0.000,0.696,88.249,72.894,2.647,0,4,4,0,0,781,416,26,0,247.500,1.024,0.000,0.000,0.000,83.565,44.585,0.164,0,4,4,0,0,780,0,0,0,0,0,0,0,0,0,0,0,0,151,431,360,0,0,3142,1045,162,2275,513,207,0,0,0,0,0,0,2910,1293,183,6863,2870,497,75,57,2,0,0,0,100.452,6.493,1501.220,82.594,1,15,7,156,22,261,1162,465,98,56,14,8,30,42,34,119,18,7,55,100,18,30,8,0,4,10,9,11,0,2,4,5,4,44,48,22,0,0,0,0,0,22,120,38,0,0,0,0,0,13,7,2,1,0,0,0,0,7,5,3,0,0,0,0,0,0.6545,0.5411,6,1,0,0.4782,0.3982,13,0,0
241,8.0,845,5161,71,194,586,14,51,0,137.59,0.917,0.918,0.102,0.052,0.189,-0.702,1.534,0.3105,1.8182,0.743,0.330,0.097,0.134,0.021,93,46,27,0,0,0,37512.10,1670.250,22634.082,22.202,406.076,19.205,3701.585,5054.541,0.000,13424.732,10739.785,1214.174,1676.760,233.325,0.000092,-0.003574,50,0,22,5,27,22,11116,0,5,20.250,248,14,12,0,0,12,0,429,125,110,1,0,108,1,12460,1197,44,26705.426,21124.633,377.638,1.339,18.350,2489.864,4108.324,117.437,305,40,20,20,0,2329,1042,122,2,1510.640,881.516,24.111,0.113,0.000,222.426,263.488,3.738,6,2,2,0,0,448,1093,109,1,822.167,279.994,1.865,0.500,1.899,208.941,193.605,2.483,3,9,7,2,0,1760,594,81,2,1053.187,197.771,1.842,0.000,0.000,133.456,126.354,4.541,1,5,5,0,0,1111,328,24,1,465.949,29.621,0.621,0.000,0.000,57.760,33.800,0.609,0,5,5,0,0,1113,244,20,0,185.000,0.937,0.000,0.000,0.000,45.316,19.276,0.030,0,7,7,0,0,1571,0,0,0,0,0,0,0,0,0,0,0,0,151,431,360,0,0,3352,1215,189,2352,658,183,0,0,0,0,0,0,3723,1216,142,11847,5693,901,191,119,19,0,0,0,117.506,6.995,3044.763,184.323,1,18,6,142,43,337,1602,655,94,63,17,9,29,46,30,308,26,6,11,227,8,26,1,3,5,11,5,3,1,2,1,5,2,44,49,21,0,0,0,0,0,27,209,14,2,0,0,0,0,14,4,2,4,0,0,0,0,2,4,3,1,0,0,0,0,0.6927,0.7060,5,2,0,0.4759,0.4950,10,0,0
271,9.0,1163,3920,71,205,904,10,44,1,101.36,0.930,0.957,0.105,0.040,0.160,-0.746,1.526,0.3128,1.9006,0.775,0.322,0.073,0.141,0.027,114,62,42,0,0,0,46541.66,1793.168,30009.595,9.954,330.351,21.996,5348.002,9786.047,0.116,16725.050,13380.041,1526.711,2516.086,261.184,0.000118,-0.003116,51,0,40,2,42,40,17252,3,2,6.379,198,21,21,0,0,21,0,329,79,77,3,0,73,1,20815,1575,42,35829.452,28321.918,303.819,1.770,2.173,4154.823,8678.046,182.591,400,87,51,36,0,4144,1294,133,2,2074.895,1250.266,6.667,0.660,0.000,281.198,419.303,6.553,8,3,2,1,0,202,943,73,2,551.657,194.299,1.506,1.145,4.206,171.499,177.832,3.299,0,2,2,0,0,366,445,29,0,392.500,79.644,0.000,0.000,0.000,102.332,92.764,2.780,1,6,4,2,0,1282,266,14,2,141.255,7.961,1.710,0.000,0.000,44.274,21.966,0.954,0,1,0,1,0,267,121,9,0,120.000,0.696,0.000,0.000,0.000,19.467,6.640,0.000,0,3,3,0,0,784,0,0,0,0,0,0,0,0,0,0,0,0,151,431,360,0,0,3520,1297,322,2502,726,147,0,0,0,0,0,0,4492,1720,270,19120,12168,1019,272,250,13,0,0,0,127.337,8.350,7603.382,250.168,3,10,3,191,33,411,1876,972,114,69,16,12,24,49,35,572,51,8,19,247,7,22,3,1,4,11,3,2,2,1,2,2,1,47,50,23,0,0,0,0,0,34,202,13,32,0,0,0,0,11,5,1,2,0,0,0,0,2,2,2,0,0,0,0,0,0.6938,0.6219,6,1,0,0.5239,0.5392,10,0,0
301,10.0,1526,2281,54,214,1271,7,34,3,74.98,0.928,0.991,0.110,0.037,0.140,-0.769,1.524,0.3038,1.9828,0.773,0.290,0.057,0.147,0.026,123,158,50,0,0,0,58859.38,2014.796,39789.778,28.345,436.242,19.410,7153.627,13441.109,1.971,22406.245,17924.996,2084.606,1994.426,358.221,0.000167,-0.001061,82,0,46,4,50,46,23932,26,4,26.163,111,27,18,0,0,15,3,253,52,48,0,0,48,0,30793,2001,54,46487.331,37227.985,400.726,1.213,26.163,5919.574,12215.236,256.741,529,182,141,41,0,10397,1719,185,0,3417.500,2233.271,0.000,0.969,0.000,377.450,526.342,10.219,29,9,4,5,0,663,790,48,0,377.500,124.290,0.000,0.000,0.000,141.221,122.326,0.376,0,8,8,0,0,2263,359,47,2,662.103,121.296,2.336,0.000,0.000,84.676,79.226,0.881,0,2,2,0,0,571,209,5,0,107.500,6.947,0.000,0.000,0.000,33.472,23.299,1.417,0,2,2,0,0,571,41,0,0,0.000,0.000,0.000,0.000,0.000,6.160,1.503,0.000,0,1,1,0,0,282,0,0,0,0,0,0,0,0,0,0,0,0,301,1526,1526,0,0,3581,1453,265,2642,686,173,0,0,0,0,0,0,4563,2339,372,29043,15809,2243,305,281,6,0,0,0,133.560,6.851,9910.157,482.625,6,26,5,206,42,426,2313,916,206,78,7,14,27,51,37,645,107,13,46,403,57,19,0,1,5,6,3,4,0,1,1,1,0,51,55,23,0,0,0,0,0,143,316,14,46,0,0,0,0,8,5,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0.6716,0.5668,6,1,0,0.5522,0.5574,11,0,0
