tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
10021,334.0,1694,955,20,568,1065,61,0,7,63.26,1.894,1.508,2.107,0.702,0.361,-0.857,1.354,0.3565,1.5496,0.694,0.025,0.010,0.159,0.019,151,164,644,0,0,0,86284.66,11338.389,71158.459,27250.493,3091.100,23.992,46327.684,10058.508,6.787,46199.746,36959.798,26941.743,5246.298,11953.506,0.000228,0.048133,311,0,589,55,18,17,3826,2,6,20.331
10051,335.0,1596,1159,21,524,1022,50,0,4,63.81,1.898,1.505,2.174,0.684,0.352,-0.871,1.345,0.3502,1.5481,0.713,0.025,0.007,0.161,0.024,154,175,624,0,4,0,80320.02,11366.750,63166.056,25357.230,2663.702,23.262,45564.079,9792.786,8.697,40851.591,32681.273,25373.297,4625.314,12320.185,0.000240,0.049507,282,0,550,74,21,18,3519,5,15,175.062
10081,336.0,1656,1026,21,506,1109,41,0,7,65.03,1.901,1.523,2.176,0.656,0.329,-0.891,1.374,0.3458,1.5220,0.733,0.030,0.012,0.165,0.041,146,167,528,0,0,0,84988.44,10898.578,71331.593,22397.410,1649.215,23.810,44999.492,9442.729,8.417,43942.394,35153.915,22785.015,4524.122,9410.916,0.000205,0.050771,175,0,479,49,4,4,3538,5,3,1.662
10111,337.0,1628,1006,21,502,1090,36,0,11,64.31,1.901,1.526,2.282,0.669,0.327,-0.897,1.377,0.3434,1.5456,0.730,0.040,0.004,0.167,0.042,149,181,557,0,2,0,81864.24,10849.241,65533.594,22824.957,1994.217,23.371,46259.212,10329.539,11.814,41330.330,33064.265,22576.512,5023.315,9865.523,0.000256,0.048458,219,0,506,51,15,15,3828,15,5,4.031
10141,338.0,1595,1028,21,469,1105,21,0,9,79.00,1.905,1.543,2.337,0.647,0.309,-0.918,1.391,0.3488,1.4800,0.719,0.034,0.011,0.169,0.056,131,192,469,0,2,0,80818.92,10145.637,64735.433,19133.783,2398.628,19.771,45914.886,10063.916,15.624,36695.654,29356.524,18642.757,4401.265,8682.597,0.000186,0.047134,255,0,421,48,11,11,3426,12,2,1.163
10171,339.0,1606,809,21,428,1164,14,0,6,73.97,1.908,1.563,2.328,0.614,0.284,-0.927,1.400,0.3505,1.4903,0.709,0.035,0.012,0.172,0.070,136,201,424,0,3,0,80460.71,9319.071,65339.317,17299.395,2125.931,22.775,46445.529,9457.881,14.061,37178.640,29742.913,16959.084,4018.818,7984.893,0.000172,0.047762,266,0,385,39,15,15,3203,8,2,3.085
10201,340.0,1557,666,22,400,1150,7,0,5,74.24,1.915,1.574,2.382,0.604,0.275,-0.937,1.379,0.3458,1.4790,0.735,0.040,0.008,0.174,0.072,135,195,449,0,3,0,77267.62,8612.525,62736.845,17841.937,1594.082,24.861,46373.220,8824.663,7.454,34980.681,27984.545,17573.375,4141.585,8467.959,0.000280,0.047242,176,0,397,52,11,10,3167,0,4,51.520
10231,341.0,1518,606,22,328,1181,9,0,8,91.71,1.917,1.596,2.400,0.555,0.244,-0.936,1.389,0.3462,1.4891,0.747,0.030,0.008,0.180,0.093,143,200,336,0,0,0,73563.32,7379.435,58073.543,12588.542,2014.750,25.835,45206.540,9570.851,7.496,28964.320,23171.457,12230.347,2839.827,6097.903,0.000301,0.048628,215,0,294,42,10,9,3547,8,4,6.262
10261,342.0,1443,556,22,278,1158,7,0,7,96.79,1.918,1.608,2.419,0.536,0.227,-0.937,1.404,0.3352,1.4586,0.752,0.029,0.006,0.184,0.105,115,221,285,0,3,0,68844.62,6291.801,53397.079,10607.864,1178.031,22.362,43900.429,8625.233,9.304,25351.048,20280.839,10217.473,1975.414,5217.384,0.000230,0.050526,152,0,249,36,10,9,3434,10,3,40.321
10291,343.0,1344,495,22,210,1129,5,0,2,96.49,1.915,1.621,2.354,0.490,0.195,-0.941,1.407,0.3362,1.4515,0.770,0.033,0.007,0.189,0.123,88,245,257,0,4,0,64857.38,4953.612,52458.683,9346.236,1372.286,19.554,41323.669,8258.480,6.369,23753.829,19003.063,8948.210,2621.712,4836.572,0.000203,0.052959,233,0,221,36,10,9,3483,76,4,32.687
10321,344.0,1306,441,22,164,1135,7,0,2,99.23,1.914,1.637,2.260,0.443,0.171,-0.939,1.442,0.3315,1.4987,0.740,0.012,0.003,0.194,0.134,110,206,201,0,0,0,63586.93,3577.125,49705.822,7502.415,1053.587,18.798,38234.359,7104.615,2.627,21471.442,17177.154,7457.223,1086.455,3876.244,0.000329,0.054023,131,0,174,27,7,5,3477,14,2,69.048
10351,345.0,1264,377,21,156,1105,3,0,4,97.94,1.914,1.635,2.201,0.435,0.166,-0.945,1.434,0.3476,1.5029,0.741,0.032,0.003,0.195,0.135,114,183,185,0,0,0,58937.45,2955.695,43788.125,7412.856,854.750,21.009,36533.006,6689.252,2.833,18990.275,15192.221,7206.727,1326.248,3250.033,0.000138,0.054319,91,0,171,14,5,5,3115,7,1,0.085
10381,346.0,1196,368,21,140,1053,3,0,6,103.80,1.909,1.636,2.094,0.435,0.162,-0.945,1.444,0.3328,1.5148,0.764,0.029,0.001,0.197,0.136,77,219,164,0,1,0,56370.97,2577.037,42736.404,6158.472,663.178,14.482,34144.970,6426.815,5.012,18352.212,14681.770,5993.974,847.516,2949.660,0.000197,0.054141,61,0,151,13,6,6,2851,0,0,0.000
