tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,458,10789,0,151,117,87,103,0,13.81,0.865,0.789,0.170,0.168,0.229,-0.068,1.529,0.3202,1.3121,0.816,0.444,0.189,0.096,-0.007,44,0,42,0,0,0,25430.97,1380.840,8030.250,821.248,18.200,12.407,2216.303,655.921,0.000,3821.861,3057.489,933.558,1758.588,1539.607,0.000116,-0.000554,35,0,34,8,16,13,3414,14,8,112.897
61,2.0,501,9541,0,151,148,87,115,0,21.30,0.898,0.805,0.158,0.152,0.210,-0.114,1.533,0.3293,1.3650,0.820,0.503,0.186,0.093,-0.005,66,0,25,0,0,0,27486.48,1335.383,8504.999,440.227,70.536,17.593,2447.511,658.576,0.000,2917.026,2333.621,512.462,2950.929,1072.213,0.000070,-0.000589,45,0,21,4,11,9,3927,29,4,40.827
91,3.0,592,8318,0,152,231,86,123,1,25.38,0.946,0.847,0.139,0.135,0.183,-0.196,1.529,0.3201,1.4783,0.802,0.507,0.168,0.085,-0.003,86,0,10,0,0,0,31138.29,1315.332,10101.168,173.434,211.877,20.468,2855.280,789.204,0.105,4353.004,3482.404,226.433,2772.460,424.044,0.000107,-0.001014,99,0,7,3,4,4,5382,83,3,19.491
121,4.0,705,7109,0,151,331,82,141,1,37.36,0.989,0.887,0.122,0.119,0.159,-0.260,1.527,0.3251,1.5893,0.842,0.517,0.134,0.078,0.000,72,4,17,0,0,0,35347.53,1346.060,11496.667,230.066,144.603,22.889,3611.968,1106.964,1.577,5826.277,4661.022,278.288,1998.541,700.957,0.000137,-0.001805,22,0,14,3,10,8,7801,1,3,55.822
151,5.0,897,5625,47,162,498,79,158,4,50.99,1.037,0.931,0.099,0.103,0.140,-0.321,1.529,0.3221,1.7145,0.806,0.457,0.106,0.068,0.006,90,7,23,0,0,0,42719.95,1424.462,17303.590,180.468,175.029,20.659,4584.942,1612.480,1.924,9663.341,7730.673,188.854,2245.060,970.165,0.000118,-0.001726,30,0,20,3,18,18,11332,0,3,6.119
181,6.0,1177,3688,47,166,771,77,163,5,63.41,1.086,0.986,0.079,0.082,0.116,-0.376,1.528,0.3261,1.8548,0.802,0.398,0.091,0.057,0.008,98,21,43,0,1,0,54335.20,1442.697,27761.478,415.109,555.508,21.598,6260.349,2675.411,6.602,15377.832,12302.266,403.295,3275.141,2307.675,0.000135,-0.002178,104,0,40,3,31,30,16573,44,3,79.999
211,7.0,1428,2088,47,165,1020,72,171,5,84.75,1.115,1.031,0.073,0.069,0.102,-0.406,1.524,0.3317,1.9848,0.814,0.364,0.074,0.052,0.012,122,26,67,0,1,0,61176.71,1508.746,26760.216,586.608,714.152,21.088,8340.180,4225.473,6.836,15354.342,12283.474,601.878,2842.835,2925.984,0.000170,-0.001401,107,0,61,6,50,45,23491,5,6,115.140
241,8.0,1497,1321,47,159,1116,61,161,5,99.06,1.128,1.056,0.069,0.062,0.096,-0.424,1.527,0.3249,2.0705,0.850,0.340,0.064,0.049,0.013,126,62,80,0,0,0,60728.16,1575.166,18376.895,631.795,600.846,19.731,9518.383,4438.253,8.026,9571.035,7656.828,615.305,1267.564,3270.669,0.000140,-0.001199,157,0,74,6,66,61,27986,54,6,112.632
271,9.0,1456,905,47,163,1099,45,149,8,130.08,1.129,1.066,0.068,0.058,0.099,-0.440,1.526,0.3300,2.1000,0.828,0.313,0.062,0.047,0.015,125,79,119,0,0,0,56756.79,1616.356,15239.153,873.279,608.085,20.152,9667.246,4323.364,8.747,6903.296,5522.637,834.374,1080.675,4405.095,0.000075,-0.001120,160,0,114,5,103,98,29013,72,5,107.284
301,10.0,1386,733,43,160,1055,37,134,7,145.51,1.134,1.076,0.067,0.054,0.101,-0.449,1.530,0.3272,2.1471,0.819,0.287,0.060,0.045,0.013,117,120,77,0,2,0,54356.10,1677.907,13920.212,520.757,514.615,17.231,9350.098,4241.476,13.624,5748.615,4598.892,493.276,614.325,2657.046,0.000111,-0.000526,133,0,68,9,68,59,28335,73,9,183.413
331,11.0,1282,736,43,158,979,26,119,8,140.36,1.132,1.078,0.064,0.055,0.104,-0.460,1.540,0.3257,2.1485,0.821,0.272,0.064,0.045,0.014,101,94,117,0,0,0,50486.37,1746.471,13098.234,831.770,540.902,13.907,8642.643,4165.938,13.443,4783.306,3826.645,815.329,609.173,4343.020,0.000160,-0.000373,193,0,109,8,104,96,26141,112,8,180.175
361,12.0,1228,679,43,154,947,24,103,12,166.07,1.131,1.083,0.063,0.053,0.107,-0.464,1.556,0.3139,2.1574,0.815,0.221,0.068,0.044,0.015,71,67,97,0,1,0,49266.75,1754.707,14155.157,726.610,588.850,11.145,8195.030,4020.424,16.074,4848.230,3878.584,696.642,647.127,3311.154,0.000166,-0.000007,198,0,81,16,88,74,25000,117,14,240.416
391,13.0,1192,712,43,161,918,23,90,12,157.01,1.133,1.084,0.064,0.052,0.112,-0.470,1.566,0.3056,2.1676,0.787,0.224,0.070,0.043,0.015,85,60,106,0,2,0,49431.24,1852.934,15582.956,596.632,559.025,10.197,7951.203,3864.036,18.544,5879.866,4703.893,581.886,520.488,3755.896,0.000169,-0.001394,232,0,102,4,91,88,24177,150,4,67.961
421,14.0,1213,694,43,167,943,18,85,12,178.84,1.138,1.087,0.066,0.047,0.113,-0.478,1.565,0.3114,2.1823,0.780,0.216,0.070,0.042,0.015,77,46,88,0,2,0,51273.30,1976.736,16943.461,818.231,566.334,11.496,7843.342,3827.156,21.227,6948.216,5558.573,804.171,709.205,3301.627,0.000124,-0.001841,228,0,83,5,67,62,24032,149,5,75.358
