tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
4171,139.0,3468,135,16,174,3294,0,0,92,163.59,0.972,1.910,0.617,0.148,0.131,-0.949,1.539,0.4036,4.1728,0.642,0.011,0.035,0.220,-0.141,128,251,36,0,19,0,116474.41,2520.859,55137.904,7.275,1213.895,17.304,25560.151,18181.028,132.510,20595.619,16476.495,992.493,1082.132,159.536,0.000185,0.007394,177,0,33,3,36,33,4631,0,3,7.186
4201,140.0,3693,133,18,175,3518,0,0,130,173.79,0.976,1.917,0.616,0.148,0.130,-0.950,1.543,0.4032,4.2081,0.673,0.006,0.034,0.221,-0.143,104,295,46,0,22,0,121872.76,2736.363,56867.713,16.678,1504.123,14.691,27310.658,19453.402,161.700,23303.237,18642.590,1327.667,1096.419,211.914,0.000213,0.008529,207,0,37,9,46,37,4779,0,9,16.582
4231,141.0,3871,150,18,187,3684,0,0,172,164.24,0.979,1.917,0.614,0.146,0.131,-0.950,1.554,0.3962,4.1508,0.693,0.000,0.033,0.221,-0.145,100,346,56,0,26,0,127383.82,3016.127,60407.019,4.303,1483.975,17.115,29029.299,20583.614,209.872,24236.326,19389.061,1963.181,996.355,286.803,0.000248,0.008876,216,0,54,2,56,54,5190,0,2,4.178
4261,142.0,4038,109,18,196,3842,0,0,222,171.38,0.982,1.915,0.611,0.147,0.131,-0.950,1.551,0.3974,4.1283,0.686,0.010,0.035,0.221,-0.144,111,340,65,0,33,0,133508.86,3311.744,63816.960,15.727,1871.116,15.151,30391.712,21770.267,270.317,24248.571,19398.858,2333.025,1081.023,323.330,0.000194,0.009147,252,0,58,7,65,58,5494,0,7,15.604
4291,143.0,4195,118,18,217,3978,0,0,269,197.11,0.984,1.913,0.610,0.146,0.134,-0.950,1.566,0.4135,4.1571,0.664,0.005,0.034,0.220,-0.145,100,333,62,0,53,0,138675.31,3611.332,64170.925,6.347,1688.750,16.535,31720.296,22486.165,337.623,24138.269,19310.615,2047.083,898.651,304.688,0.000257,0.010148,241,0,57,5,62,57,5661,0,5,6.230
4321,144.0,4305,131,18,231,4074,0,0,323,158.82,0.988,1.909,0.609,0.146,0.136,-0.951,1.560,0.4105,4.1103,0.647,0.009,0.035,0.220,-0.143,92,396,64,0,54,0,144665.73,3769.132,66495.852,13.247,2067.955,14.587,32764.415,23204.346,408.056,25183.303,20146.643,1758.401,813.006,302.928,0.000178,0.011020,319,0,58,6,64,58,5880,0,6,13.106
4351,145.0,4440,127,18,240,4200,0,0,402,189.08,0.991,1.909,0.611,0.146,0.136,-0.951,1.554,0.4206,4.1532,0.656,0.004,0.034,0.220,-0.145,108,360,110,0,59,0,147664.05,4078.007,68090.364,20.795,2455.768,15.563,33916.279,24050.221,486.665,26630.373,21304.299,3651.700,1244.495,515.410,0.000233,0.010255,383,0,101,9,110,101,6080,0,9,20.444
4381,146.0,4535,121,18,234,4301,0,0,465,196.21,0.998,1.911,0.612,0.147,0.135,-0.951,1.558,0.4363,4.0517,0.653,0.013,0.031,0.220,-0.145,116,396,98,0,87,0,152584.08,4288.601,70262.215,50.915,2212.271,14.705,34921.751,24573.254,603.190,27244.043,21795.235,2793.474,983.070,358.151,0.000193,0.010645,351,0,73,25,98,73,6072,0,25,50.717
4411,147.0,4612,125,18,249,4363,0,0,569,176.23,1.003,1.905,0.615,0.147,0.136,-0.951,1.548,0.4312,4.0703,0.611,0.012,0.037,0.220,-0.145,112,362,119,0,108,0,156097.05,4538.398,71574.728,23.019,2499.167,19.510,35928.713,25133.164,716.131,26976.172,21580.938,3812.874,1115.327,521.732,0.000192,0.009365,382,0,110,9,119,110,5820,0,9,22.679
4441,148.0,4742,120,18,251,4491,0,0,736,201.94,1.009,1.902,0.613,0.148,0.136,-0.952,1.551,0.4436,4.0391,0.648,0.008,0.035,0.221,-0.146,90,331,136,0,110,0,161068.62,4683.014,75225.804,35.437,2726.451,17.804,36798.786,25393.962,915.523,28648.872,22919.098,4458.716,1080.926,594.990,0.000203,0.009008,454,0,120,16,136,120,5527,9,16,35.257
