tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,454,7795,0,161,110,90,93,0,14.00,0.854,0.798,0.186,0.166,0.248,-0.039,1.549,0.3295,1.2996,0.816,0.447,0.102,0.104,-0.014,43,0,15,0,0,0,24030.95,1457.124,4783.797,52.736,22.736,12.500,2269.880,889.194,0.000,2575.354,2060.283,766.599,1042.241,86.748,0.000116,0.001623,15,0,13,2,3,3,3063,4,2,1.224
61,2.0,480,7271,0,168,126,88,98,0,22.75,0.859,0.810,0.181,0.158,0.246,-0.075,1.546,0.3305,1.2771,0.794,0.470,0.112,0.103,-0.013,50,0,9,0,0,0,24225.00,1505.401,4000.761,19.544,67.617,16.779,2367.976,902.828,0.000,1300.876,1040.701,401.351,1228.421,170.898,0.000107,0.002451,93,0,6,3,3,3,3224,78,3,0.605
91,3.0,559,6539,0,172,203,85,99,1,37.14,0.880,0.871,0.158,0.144,0.224,-0.216,1.548,0.3296,1.4326,0.803,0.459,0.103,0.101,-0.004,58,1,10,0,0,0,26789.41,1553.587,6935.116,10.233,95.094,18.350,2639.101,893.194,0.144,3532.345,2825.876,571.725,983.717,140.174,0.000130,0.002872,49,0,8,2,6,6,3916,20,2,0.257
121,4.0,726,5503,0,176,365,83,102,2,51.12,0.919,0.974,0.132,0.113,0.192,-0.376,1.552,0.3340,1.7054,0.790,0.438,0.084,0.097,0.007,71,7,27,0,0,0,33337.57,1609.425,13103.542,20.685,100.220,21.038,3450.817,1176.972,2.240,8131.871,6505.497,924.942,825.046,179.100,0.000117,0.003356,57,0,22,5,17,16,6075,8,5,8.141
151,5.0,1049,3949,62,189,669,81,110,4,51.99,0.949,1.091,0.106,0.089,0.157,-0.512,1.555,0.3250,2.0539,0.750,0.413,0.074,0.095,0.018,108,8,32,0,0,0,46177.49,1657.262,23535.909,10.604,120.974,22.424,4815.724,1853.438,3.732,14500.637,11600.510,1129.460,1440.434,220.940,0.000128,0.004159,44,0,31,1,28,28,9328,20,1,0.125
181,6.0,1666,1881,62,197,1292,75,102,12,63.21,0.923,1.200,0.077,0.076,0.118,-0.654,1.552,0.3168,2.4915,0.763,0.330,0.053,0.086,0.033,103,18,56,0,0,0,66154.39,1778.452,39783.252,56.006,743.714,22.609,7581.638,3873.389,10.382,26346.069,21076.855,2320.336,2187.198,398.658,0.000163,0.005976,86,0,52,4,39,37,16360,26,4,13.532
211,7.0,2043,683,62,199,1690,62,92,20,87.92,0.911,1.248,0.069,0.070,0.104,-0.710,1.553,0.3198,2.6628,0.771,0.337,0.034,0.084,0.043,125,42,72,0,2,0,72496.49,1884.093,29475.938,32.791,730.506,19.460,10667.313,6236.757,26.455,18750.037,15000.030,2673.202,1235.935,461.054,0.000142,0.006614,89,0,66,6,69,63,24238,1,6,13.348
241,8.0,2045,345,62,204,1706,50,85,36,86.92,0.901,1.248,0.064,0.066,0.104,-0.730,1.551,0.3171,2.6784,0.758,0.294,0.029,0.084,0.045,116,103,110,0,3,0,64687.27,2005.845,16100.552,67.270,1046.038,20.831,11450.386,8237.684,55.899,8175.079,6540.063,3578.512,407.795,617.591,0.000134,0.007642,132,0,105,5,89,85,26206,15,5,17.070
271,9.0,1863,231,62,208,1553,37,65,38,112.82,0.887,1.236,0.065,0.060,0.111,-0.745,1.546,0.3248,2.6883,0.742,0.255,0.022,0.083,0.046,116,214,113,0,9,0,55305.84,2100.834,11762.271,71.932,1216.014,16.713,10658.322,8006.674,67.173,5617.386,4493.909,2665.152,188.145,607.531,0.000136,0.007541,160,0,109,4,87,83,24846,53,4,8.848
301,10.0,1675,182,55,211,1388,26,50,30,134.46,0.867,1.222,0.063,0.060,0.120,-0.769,1.541,0.3143,2.7441,0.740,0.237,0.023,0.083,0.047,80,251,81,0,15,0,50349.06,2268.721,12319.135,38.027,1089.290,14.366,9349.340,6337.484,55.100,5684.737,4547.790,2076.672,139.129,487.989,0.000096,0.007831,182,0,75,6,65,61,22040,77,6,7.237
