tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,477,10444,0,154,145,86,92,0,13.52,0.846,0.830,0.197,0.159,0.219,-0.144,1.583,0.3041,1.3900,0.804,0.435,0.142,0.104,-0.007,52,0,23,0,0,0,25879.64,1356.306,8284.045,58.349,28.219,11.701,2270.501,626.696,0.000,3710.185,2968.148,1193.062,1862.612,109.653,0.000136,0.000064,13,0,18,5,7,5,3407,0,5,5.008
61,2.0,613,9089,0,160,276,84,93,1,26.77,0.860,0.934,0.176,0.138,0.181,-0.329,1.582,0.3013,1.7180,0.796,0.406,0.132,0.117,-0.023,71,0,16,0,0,0,30908.54,1348.156,12496.709,28.756,63.202,21.250,2697.337,710.779,0.075,5716.993,4573.594,976.432,3174.906,141.807,0.000120,0.001091,20,0,7,9,3,1,3767,3,9,8.780
91,3.0,983,7364,0,165,640,81,97,1,33.82,0.874,1.115,0.137,0.116,0.128,-0.537,1.571,0.2994,2.1696,0.799,0.382,0.095,0.141,-0.046,76,0,18,0,0,0,44492.38,1376.520,24256.966,49.110,129.676,21.692,3969.482,1337.047,1.119,14614.687,11691.750,815.946,2923.209,129.007,0.000150,0.002968,23,0,17,1,4,4,4804,0,1,0.037
121,4.0,1762,4631,0,166,1420,81,95,2,40.12,0.837,1.298,0.096,0.100,0.087,-0.675,1.563,0.3010,2.8711,0.805,0.307,0.062,0.171,-0.062,107,4,67,0,0,0,71416.28,1364.924,47616.481,66.279,302.346,21.502,6883.947,3169.774,1.223,30263.622,24210.898,3095.374,2530.408,390.334,0.000212,0.003499,36,0,56,11,55,46,8018,3,11,36.880
151,5.0,2659,1712,49,161,2331,72,95,4,51.38,0.823,1.386,0.076,0.091,0.069,-0.729,1.561,0.3128,3.0358,0.780,0.292,0.044,0.186,-0.065,96,11,159,0,0,0,97539.70,1327.327,57767.482,93.439,374.541,18.527,11077.475,6062.131,3.474,37885.047,30308.038,5834.089,1849.883,660.774,0.000198,0.002190,46,0,147,12,133,126,12321,0,12,16.816
181,6.0,2914,470,49,159,2599,64,92,4,62.08,0.806,1.412,0.070,0.089,0.068,-0.749,1.562,0.3001,3.1816,0.803,0.226,0.025,0.192,-0.067,85,44,328,0,0,0,92541.88,1327.613,33029.211,111.023,1264.898,13.846,14419.778,8589.659,6.160,21895.600,17516.481,10071.219,620.310,1379.420,0.000127,0.002841,127,0,319,9,293,286,14388,3,9,15.128
211,7.0,2710,281,49,157,2423,52,78,7,92.58,0.795,1.412,0.066,0.085,0.070,-0.757,1.558,0.3058,3.1878,0.804,0.166,0.022,0.193,-0.068,48,124,270,0,0,0,77122.45,1336.441,14688.429,95.166,753.412,6.771,13867.654,8250.569,8.902,6672.032,5337.625,7087.095,80.948,909.889,0.000201,0.004463,93,0,261,9,235,228,13450,0,9,16.412
241,8.0,2460,221,49,152,2198,43,67,7,118.53,0.792,1.414,0.062,0.084,0.072,-0.761,1.553,0.3067,3.2050,0.804,0.158,0.020,0.193,-0.068,47,206,163,0,1,0,67026.39,1314.986,14246.419,55.875,856.900,5.958,12610.913,7443.499,12.485,4269.536,3415.629,4065.323,71.417,655.800,0.000120,0.004773,112,0,154,9,142,137,11627,10,9,16.855
271,9.0,2146,302,49,149,1912,32,53,10,143.93,0.786,1.409,0.060,0.082,0.077,-0.769,1.551,0.3085,3.1730,0.810,0.141,0.022,0.193,-0.069,33,246,162,0,1,0,58570.45,1321.860,13012.289,70.888,666.399,4.337,11138.348,6518.857,14.657,3398.888,2719.110,3918.157,27.506,563.670,0.000152,0.004060,103,0,156,6,136,131,10190,18,6,14.678
301,10.0,1944,369,41,152,1732,24,36,11,158.22,0.786,1.404,0.057,0.074,0.081,-0.781,1.554,0.3106,3.1489,0.813,0.158,0.026,0.193,-0.069,29,212,122,0,0,0,55233.67,1372.947,15195.900,42.876,669.656,4.242,9781.659,5612.836,18.074,4679.047,3743.238,3095.556,16.753,487.821,0.000139,0.002963,132,0,122,0,104,104,9356,60,0,0.000
