tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,488,9921,0,149,156,90,93,1,10.59,0.900,0.812,0.188,0.179,0.219,-0.185,1.543,0.3043,1.3730,0.823,0.456,0.145,0.100,0.006,49,0,22,0,0,0,26990.02,1398.013,9427.785,28.198,70.725,15.508,2411.481,726.771,0.155,4421.289,3537.031,1092.554,1956.334,108.046,0.000092,0.000115,16,0,13,9,15,10,3335,0,9,21.539
61,2.0,619,8643,0,155,275,88,101,2,19.68,0.967,0.851,0.179,0.184,0.188,-0.361,1.536,0.3172,1.4740,0.875,0.516,0.129,0.098,0.021,59,0,22,0,0,0,32584.43,1398.455,13011.575,38.024,34.611,21.874,3073.808,870.072,2.502,6615.056,5292.045,1045.012,2384.412,154.828,0.000116,0.000117,19,0,16,6,16,10,3590,9,6,19.549
91,3.0,896,7041,0,165,536,86,109,2,29.10,1.030,0.921,0.153,0.158,0.152,-0.536,1.531,0.3207,1.6253,0.856,0.461,0.111,0.097,0.036,91,1,17,0,0,0,44141.87,1498.591,23971.897,22.171,129.420,23.100,4561.287,1372.193,4.957,12641.508,10113.207,894.719,4443.647,130.110,0.000179,-0.001425,41,0,16,1,12,11,5014,18,1,6.548
121,4.0,1322,5067,0,169,944,85,124,2,34.59,1.061,1.001,0.139,0.140,0.119,-0.626,1.537,0.3096,1.8097,0.800,0.414,0.076,0.098,0.037,129,2,36,0,0,0,59213.51,1552.522,33141.157,33.555,313.034,26.790,7195.256,2475.564,4.957,19388.706,15510.965,1821.971,3944.646,335.457,0.000170,-0.000365,41,0,32,4,32,29,6750,3,4,18.248
151,5.0,1851,2894,71,171,1471,84,125,2,49.96,1.066,1.073,0.121,0.123,0.096,-0.674,1.540,0.3201,1.9818,0.795,0.363,0.064,0.099,0.035,134,31,51,0,0,0,77036.34,1519.165,41626.958,38.282,792.351,29.828,10460.665,4084.132,4.957,25090.408,20072.326,2093.321,3293.670,406.744,0.000143,-0.000019,78,0,46,5,38,35,9649,0,5,10.248
181,6.0,2138,1593,71,175,1765,75,123,5,84.64,1.045,1.100,0.119,0.109,0.087,-0.690,1.531,0.3217,2.1145,0.790,0.280,0.047,0.099,0.037,133,77,81,0,0,0,79944.26,1608.570,29316.086,61.146,1389.497,25.436,13299.948,5872.515,8.420,17743.042,14194.434,3103.062,1619.982,625.360,0.000180,0.000804,165,0,79,2,65,63,14274,41,2,7.210
211,7.0,2204,801,71,181,1851,60,112,6,104.89,1.018,1.110,0.115,0.101,0.086,-0.707,1.539,0.3275,2.2016,0.787,0.215,0.046,0.099,0.042,105,130,107,0,0,0,77863.93,1702.392,24373.526,71.145,1395.204,19.451,13935.668,6454.505,11.603,11606.385,9285.108,3380.426,1497.298,626.612,0.000121,-0.000039,199,0,103,4,87,83,13805,43,4,20.547
241,8.0,2152,386,71,182,1823,43,104,11,115.67,1.003,1.109,0.112,0.100,0.086,-0.722,1.541,0.3310,2.2557,0.817,0.170,0.042,0.099,0.045,116,173,95,0,1,0,73425.55,1847.453,19717.083,79.724,1265.612,20.349,13702.330,6289.164,16.975,8584.924,6867.939,3117.054,703.948,536.183,0.000107,0.000828,154,0,91,4,65,61,13707,5,4,10.924
271,9.0,2064,306,71,184,1747,38,95,13,133.34,0.994,1.109,0.108,0.098,0.088,-0.729,1.544,0.3250,2.2754,0.835,0.158,0.041,0.099,0.048,113,145,64,0,0,0,68162.06,1983.728,15332.667,37.179,879.710,15.763,13032.000,5905.263,24.057,4840.659,3872.527,2032.293,257.864,397.455,0.000079,0.001085,140,0,63,1,52,51,13889,12,1,2.537
301,10.0,1959,395,60,190,1662,28,79,14,163.87,0.987,1.106,0.101,0.093,0.094,-0.747,1.556,0.3345,2.3077,0.832,0.179,0.040,0.099,0.051,92,175,42,0,3,0,63447.38,2195.130,13949.946,13.402,827.410,11.928,12295.857,5618.637,24.033,4574.151,3659.321,1242.270,413.867,363.664,0.000123,0.002034,118,0,39,3,40,37,12615,0,3,9.434
