tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,506,10807,0,153,168,78,107,0,10.83,0.868,0.835,0.214,0.131,0.207,-0.178,1.530,0.3163,1.4136,0.845,0.405,0.176,0.108,0.005,39,0,23,0,0,0,28061.80,1338.775,10075.410,41.554,95.298,12.843,2320.128,669.957,0.000,4882.072,3905.658,1180.248,1302.794,137.833,0.000141,0.002040,30,0,14,9,14,9,3098,21,9,11.508,531,59,34,4,2,24,4
61,2.0,652,9219,0,159,305,75,113,1,26.11,0.915,0.914,0.200,0.135,0.175,-0.320,1.535,0.3123,1.6400,0.840,0.459,0.132,0.109,-0.003,62,0,23,0,0,0,33981.07,1344.268,13543.468,34.188,130.100,20.315,3130.250,1018.708,0.145,6920.708,5536.566,1168.204,2133.227,167.988,0.000097,0.001753,22,0,20,3,15,13,3938,0,3,6.518,449,73,51,3,0,48,0
91,3.0,862,7417,0,162,514,69,117,2,34.15,0.967,0.997,0.185,0.140,0.145,-0.431,1.534,0.3183,1.7638,0.800,0.438,0.117,0.108,-0.014,77,1,46,0,0,0,43147.42,1334.502,20602.626,70.819,197.043,20.725,4146.942,1468.704,2.250,10720.273,8576.218,2212.270,2551.374,315.998,0.000078,0.002093,31,0,43,3,23,21,5082,0,3,6.808,411,35,34,9,0,25,0
121,4.0,1393,4804,0,172,1038,69,114,2,37.13,1.011,1.124,0.147,0.128,0.111,-0.536,1.548,0.3125,2.1467,0.786,0.390,0.079,0.115,-0.018,86,5,74,0,0,0,63295.46,1370.310,39933.119,43.782,338.053,20.861,6780.420,2652.840,3.233,25160.208,20128.166,3325.121,2861.561,543.953,0.000146,0.001923,59,0,70,4,66,62,8801,17,4,13.764,376,25,21,0,3,17,1
151,5.0,1771,2305,75,160,1438,62,111,3,49.13,1.024,1.195,0.134,0.123,0.096,-0.573,1.526,0.3330,2.3495,0.812,0.363,0.065,0.120,-0.016,87,18,252,0,0,0,75134.25,1423.325,44197.969,90.641,420.880,23.592,10123.723,4510.368,3.998,26222.169,20977.735,9852.759,2894.037,1243.828,0.000138,0.002054,79,0,234,18,245,231,14942,2,18,55.501,392,65,53,2,0,50,1
181,6.0,1896,1128,75,150,1587,52,107,1,72.15,1.022,1.227,0.127,0.118,0.091,-0.584,1.517,0.3336,2.4173,0.829,0.320,0.053,0.125,-0.013,94,36,205,0,2,0,71947.57,1395.325,26031.019,59.406,657.519,19.072,12012.026,5836.348,2.995,14711.364,11769.092,7321.182,1465.154,1092.460,0.000177,0.003860,79,0,191,14,192,182,17845,1,14,28.852,327,93,71,2,3,65,1
211,7.0,1834,559,75,151,1546,40,97,4,99.31,1.007,1.236,0.125,0.116,0.093,-0.593,1.520,0.3420,2.4971,0.818,0.258,0.045,0.126,-0.011,73,92,186,0,0,0,64402.65,1428.077,18468.820,63.680,831.395,17.828,11963.367,6119.574,2.081,8501.655,6801.324,6134.636,537.546,1047.959,0.000166,0.005070,112,0,178,8,176,168,18285,5,8,23.498,274,50,42,4,0,38,0
241,8.0,1688,422,75,145,1427,33,83,4,121.22,0.985,1.245,0.124,0.111,0.095,-0.598,1.520,0.3455,2.5663,0.838,0.255,0.043,0.131,-0.008,53,133,141,0,1,0,56240.35,1496.909,13426.059,51.272,538.037,9.445,11062.624,5566.679,5.056,5050.703,4040.563,4564.234,180.045,747.762,0.000209,0.006706,89,0,131,10,128,120,18202,12,10,23.196,241,44,44,2,0,42,0
271,9.0,1526,457,75,144,1289,21,72,5,153.09,0.978,1.245,0.119,0.107,0.100,-0.609,1.520,0.3460,2.5850,0.833,0.215,0.037,0.132,-0.007,53,141,112,0,1,0,50095.64,1530.817,12030.569,60.520,537.752,10.160,9916.207,5024.093,8.557,3655.134,2924.107,3389.846,121.403,575.493,0.000199,0.008149,63,0,105,7,91,85,17244,0,7,18.084,212,22,22,6,0,16,0
301,10.0,1412,602,59,153,1187,16,56,9,157.54,0.966,1.237,0.121,0.104,0.110,-0.617,1.531,0.3263,2.6198,0.808,0.216,0.037,0.133,-0.005,50,112,108,0,0,0,46450.40,1661.775,12401.489,32.457,486.189,9.250,8943.704,4546.081,9.648,4159.483,3327.587,2780.665,111.269,517.695,0.000156,0.009445,74,0,105,3,92,89,16417,5,3,5.945,184,16,16,7,0,9,0
