tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
8731,291.0,3388,44,35,1600,1788,0,0,1797,436.84,1.060,1.036,0.329,0.041,0.400,-0.972,1.981,0.3646,2.5756,0.610,0.000,0.004,0.122,-0.045,57,67,91,0,186,0,97222.28,20358.469,21984.592,106.502,11596.835,29.391,29620.467,10587.417,3018.756,8121.740,6497.392,3530.752,92.474,525.541,0.000251,0.030143,2653,0,40,51,91,40,21320,31,51,106.474,0,0,0,0,0,0,0
8761,292.0,3235,60,35,1577,1658,0,0,1651,405.85,1.044,1.017,0.332,0.042,0.411,-0.974,1.984,0.3630,2.5940,0.639,0.001,0.005,0.123,-0.050,67,71,59,1,159,0,92192.88,19786.692,19873.541,57.012,10601.793,37.513,27870.556,9785.417,2762.949,6472.139,5177.711,2476.414,83.461,473.419,0.000136,0.030721,2450,0,30,29,59,30,20530,54,28,56.618,0,0,0,0,0,0,0
8791,293.0,3105,47,35,1568,1537,0,0,1531,423.50,1.025,0.995,0.337,0.043,0.425,-0.974,1.982,0.3627,2.5505,0.636,0.001,0.005,0.124,-0.055,79,55,62,1,171,0,87233.57,18923.967,18166.879,48.962,9707.758,33.876,26248.685,8940.284,2528.034,7180.540,5744.432,2474.727,57.721,413.565,0.000147,0.031270,2296,0,36,26,62,36,20034,18,26,48.943,0,0,0,0,0,0,0
8821,294.0,2961,53,35,1543,1418,0,0,1401,426.83,1.005,0.973,0.340,0.043,0.437,-0.974,1.986,0.3642,2.5458,0.632,0.001,0.004,0.125,-0.060,79,72,62,1,137,0,81705.72,17782.621,15614.339,59.585,9128.537,44.488,24729.580,8209.983,2306.205,5887.621,4710.097,2047.351,87.033,426.721,0.000175,0.032763,2120,0,27,35,62,27,19458,49,35,59.566,0,0,0,0,0,0,0
8851,295.0,2831,71,37,1531,1300,0,0,1258,420.50,0.983,0.950,0.344,0.043,0.453,-0.974,1.982,0.3621,2.5234,0.631,0.001,0.004,0.126,-0.065,86,71,58,0,133,0,76931.40,16888.807,14784.470,42.292,8750.645,44.032,23011.033,7540.804,2069.247,5988.176,4790.541,2281.045,11.581,378.548,0.000200,0.035504,1988,0,30,28,58,30,18822,45,28,42.269,0,0,0,0,0,0,0
8881,296.0,2703,48,37,1511,1192,0,0,1158,444.45,0.961,0.928,0.349,0.042,0.467,-0.974,1.982,0.3591,2.5419,0.621,0.001,0.004,0.126,-0.072,68,71,49,0,113,0,74104.64,16219.626,14061.663,64.961,8682.131,36.583,21530.228,7032.453,1861.006,4732.375,3785.900,1420.547,84.698,297.599,0.000183,0.037057,1801,0,17,32,49,17,18127,12,31,64.817,0,0,0,0,0,0,0
8911,297.0,2604,40,37,1491,1113,0,0,1071,474.97,0.944,0.911,0.352,0.041,0.477,-0.974,1.986,0.3579,2.5365,0.628,0.001,0.004,0.127,-0.076,72,63,26,0,100,0,71381.47,15459.193,12443.243,26.094,7638.045,40.276,20384.659,6528.219,1713.043,4181.049,3344.839,841.610,85.882,262.085,0.000120,0.037199,1756,0,10,16,26,10,17621,30,16,25.916,0,0,0,0,0,0,0
8941,298.0,2522,60,37,1470,1052,0,0,991,503.76,0.932,0.899,0.355,0.042,0.486,-0.974,1.982,0.3581,2.5685,0.639,0.001,0.004,0.127,-0.080,99,53,38,0,80,0,68763.35,15219.118,11527.493,38.663,7162.881,49.112,19303.034,6008.766,1573.831,3866.064,3092.851,1371.794,96.504,276.242,0.000189,0.036518,1650,0,13,25,38,13,17305,48,25,38.421,0,0,0,0,0,0,0
8971,299.0,2477,63,37,1465,1012,0,0,905,538.22,0.922,0.891,0.358,0.042,0.493,-0.974,1.984,0.3612,2.5491,0.643,0.001,0.006,0.128,-0.083,95,44,30,0,84,0,66679.09,14771.276,11222.523,32.696,6685.566,46.412,18622.213,5706.874,1435.821,4952.856,3962.285,1057.595,77.989,219.705,0.000122,0.037510,1483,0,8,22,30,8,17032,23,21,30.427,0,0,0,0,0,0,0
9001,300.0,2428,70,38,1456,972,0,0,850,556.17,0.911,0.881,0.358,0.043,0.499,-0.973,1.985,0.3570,2.5378,0.648,0.001,0.005,0.128,-0.086,91,58,30,0,69,0,66338.46,15094.381,11571.489,34.249,6640.647,48.345,18065.897,5503.580,1298.374,4749.678,3799.743,981.080,7.013,234.863,0.000178,0.038326,1472,0,8,22,30,8,16994,18,21,33.481,0,0,0,0,0,0,0
9031,301.0,2401,60,38,1463,938,0,0,816,484.62,0.900,0.873,0.361,0.043,0.508,-0.973,1.984,0.3586,2.5630,0.640,0.001,0.004,0.129,-0.090,94,53,21,0,61,0,66085.12,14928.421,11267.887,24.276,6797.553,56.109,17784.455,5338.973,1246.520,4701.300,3761.040,857.509,79.457,226.742,0.000154,0.039174,1500,0,7,14,21,7,17358,18,14,24.166,0,0,0,0,0,0,0
