tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
2311,77.0,1877,964,15,279,1422,167,9,12,99.97,1.111,1.200,1.213,0.193,0.173,-0.696,2.020,0.6491,1.9676,0.686,0.036,0.021,0.140,-0.005,87,79,495,0,1,0,73828.20,7227.473,38223.943,10762.780,1750.375,12.965,19051.570,8139.921,14.890,26867.738,21494.191,10771.586,1353.582,7306.620,0.000157,-0.002350,225,0,354,141,202,66,22256,0,141,3815.574,4430,969,959,287,0,671,0
2341,78.0,1878,896,15,262,1423,185,8,15,84.30,1.126,1.216,1.252,0.209,0.168,-0.687,1.981,0.6596,1.9579,0.678,0.042,0.024,0.139,0.004,73,91,604,0,2,0,75215.16,6392.038,42312.703,13037.497,1093.791,11.792,20105.586,9012.692,18.914,29529.386,23623.510,13335.211,1490.281,10486.710,0.000164,-0.002117,136,0,485,119,182,84,23675,0,119,2921.319,5127,1158,1143,398,0,743,0
2371,79.0,1855,967,15,256,1390,204,5,18,97.59,1.144,1.225,1.292,0.230,0.170,-0.673,2.005,0.6341,1.9092,0.629,0.031,0.024,0.139,0.008,83,109,615,0,0,0,74601.73,6430.810,41874.468,13320.802,1511.289,9.785,20776.930,9815.190,24.877,29957.157,23965.726,13404.008,1316.133,10910.942,0.000206,-0.002368,193,0,506,109,166,85,24651,0,109,2532.443,5766,1521,1496,414,0,1080,0
2401,80.0,1773,979,20,190,1345,232,6,20,73.11,1.187,1.264,1.360,0.252,0.148,-0.644,2.066,0.5614,1.9587,0.619,0.026,0.021,0.133,0.026,78,94,676,0,3,0,71407.50,5800.908,43356.624,13564.510,963.002,14.040,20920.953,10653.003,27.345,29768.126,23814.501,13522.215,1391.986,13447.151,0.000202,-0.001335,120,0,511,165,219,113,26248,0,165,2931.256,6463,2000,1964,394,0,1565,0
2431,81.0,1616,1172,20,181,1190,234,11,17,80.06,1.192,1.265,1.379,0.262,0.154,-0.615,2.074,0.5323,1.9263,0.616,0.022,0.022,0.130,0.030,78,134,694,0,0,0,65524.51,4959.860,41757.415,14634.605,521.407,15.361,20292.899,11113.226,26.248,28875.738,23100.591,14502.712,1563.365,13961.272,0.000190,-0.001145,63,0,591,103,187,125,26333,0,103,1838.204,7177,2712,2682,461,0,2220,0
2461,82.0,1492,1304,20,179,1057,231,25,15,82.18,1.221,1.272,1.441,0.278,0.162,-0.586,2.094,0.5417,1.8886,0.576,0.028,0.019,0.127,0.033,80,100,662,0,1,0,61970.60,4798.669,40929.118,14288.228,572.208,11.460,19110.592,10058.959,21.219,27941.255,22353.004,14710.463,1267.001,12813.436,0.000307,-0.002308,76,0,568,94,144,94,24567,0,94,1493.543,6774,2189,2151,460,0,1688,0
2491,83.0,1486,1418,20,181,1028,241,36,12,77.99,1.229,1.267,1.460,0.293,0.163,-0.563,2.116,0.4977,1.8770,0.641,0.022,0.016,0.126,0.046,76,118,600,0,1,0,61511.44,5280.779,42299.728,13614.364,475.867,15.970,19326.135,9785.582,17.202,31262.415,25009.932,13606.339,1159.354,11506.937,0.000220,-0.003897,57,0,494,106,95,52,23621,0,106,1301.559,7059,2225,2183,418,0,1762,0
2521,84.0,1452,1432,20,137,1008,267,40,10,72.11,1.267,1.317,1.559,0.332,0.149,-0.531,2.084,0.5218,1.8713,0.649,0.036,0.016,0.126,0.062,72,99,668,0,1,0,58957.31,4935.153,42919.805,15329.160,359.638,13.189,19498.187,9830.894,15.195,32247.055,25797.644,15418.362,1367.355,13158.844,0.000177,-0.004648,44,0,520,148,197,96,22797,0,148,2818.977,7238,2162,2126,401,0,1723,0
2551,85.0,1421,1396,20,150,985,247,39,5,77.39,1.269,1.319,1.546,0.323,0.160,-0.548,2.073,0.5235,1.8710,0.608,0.020,0.017,0.129,0.048,78,147,588,0,0,0,57761.11,4275.669,43739.206,12988.107,435.788,9.408,20008.236,10470.414,10.828,30928.681,24742.946,12879.292,1112.585,11532.087,0.000122,-0.004839,61,0,505,83,153,90,23373,0,83,1749.958,7686,2125,2115,385,0,1729,0
2581,86.0,1328,1545,20,112,949,228,39,2,69.42,1.284,1.352,1.625,0.325,0.144,-0.559,2.081,0.5378,1.8928,0.594,0.018,0.019,0.130,0.052,48,145,578,0,0,0,55280.65,3928.249,40992.735,13367.553,269.216,10.900,19456.356,10020.950,5.035,27631.931,22105.545,13468.700,1273.699,11017.879,0.000120,-0.004290,34,0,461,117,142,63,22084,0,117,2046.551,6992,1860,1829,369,0,1459,0
2611,87.0,1409,1540,20,112,1012,246,39,2,61.12,1.282,1.354,1.680,0.317,0.141,-0.564,2.070,0.5161,1.8649,0.566,0.027,0.011,0.132,0.048,60,106,540,0,1,0,58649.59,3493.200,46942.135,12325.434,273.559,9.834,19811.476,9532.108,2.844,32004.541,25603.633,12131.560,1008.829,10504.107,0.000169,-0.004664,30,0,467,73,125,77,20541,0,73,1637.126,6933,1813,1790,368,0,1422,0
2641,88.0,1470,1471,20,107,1083,244,36,6,57.28,1.302,1.365,1.767,0.319,0.138,-0.581,2.107,0.5024,1.8118,0.641,0.019,0.016,0.131,0.050,59,122,576,0,0,0,61951.45,3285.413,50498.022,13094.571,265.768,9.813,21545.108,10161.616,4.670,33666.438,26933.151,13100.927,660.977,11369.558,0.000170,-0.004187,32,0,504,72,142,97,20923,0,72,1356.151,7193,1987,1965,376,0,1587,0
2671,89.0,1531,1420,20,139,1117,234,41,7,64.43,1.319,1.362,1.826,0.321,0.146,-0.588,2.099,0.4897,1.7506,0.595,0.014,0.013,0.132,0.055,56,115,523,0,1,0,63947.79,4008.977,48688.109,10874.225,404.866,8.613,23406.792,9913.446,11.734,31083.355,24866.685,10756.420,927.910,10341.999,0.000148,-0.003800,50,0,475,48,120,94,21628,0,48,864.325,7187,1879,1863,351,0,1512,0
2701,90.0,1656,1242,21,118,1309,191,38,13,65.50,1.351,1.381,1.889,0.287,0.125,-0.659,2.149,0.4557,1.7452,0.579,0.042,0.012,0.131,0.065,63,142,438,0,0,0,70172.25,4097.561,53396.155,8855.865,225.904,11.208,25588.969,10045.962,17.011,31801.257,25441.006,8799.420,779.493,8534.014,0.000168,-0.004615,25,0,333,105,104,60,20776,0,105,1534.733,5926,1441,1387,265,0,1118,0
2731,91.0,1773,1251,21,132,1442,164,35,11,66.49,1.365,1.381,1.912,0.266,0.123,-0.699,2.111,0.4600,1.7358,0.604,0.045,0.009,0.132,0.066,68,167,374,0,0,0,74278.05,3715.238,54109.034,8243.201,160.951,11.498,28379.343,10818.486,20.897,30677.682,24542.146,8199.189,521.022,7887.204,0.000158,-0.004379,22,0,318,56,103,71,21282,0,56,1020.674,5242,1585,1562,225,0,1337,0
2761,92.0,1919,1105,21,148,1588,147,36,17,69.78,1.380,1.389,1.896,0.257,0.122,-0.730,2.122,0.4842,1.7413,0.597,0.034,0.008,0.132,0.068,67,193,426,0,1,0,81586.52,4533.673,61538.853,9249.711,282.419,14.051,30819.668,11332.382,22.190,35246.352,28197.082,9200.002,990.230,8600.014,0.000254,-0.004755,43,0,343,83,124,59,23040,0,83,1365.711,4603,1343,1322,256,0,1066,0
2791,93.0,2041,889,21,103,1767,137,34,21,70.06,1.408,1.427,1.948,0.241,0.097,-0.755,2.087,0.4493,1.7580,0.641,0.029,0.010,0.130,0.067,74,185,471,0,3,0,84261.12,4171.416,62701.132,10451.022,283.287,17.736,33810.200,12081.250,29.302,36302.366,29041.893,10366.475,1309.308,9791.963,0.000162,-0.005228,40,0,342,129,196,92,24252,0,129,3264.415,4069,1425,1414,222,0,1192,0
2821,94.0,2017,765,21,100,1765,127,25,17,78.78,1.423,1.436,1.951,0.231,0.096,-0.765,2.060,0.4669,1.7651,0.540,0.020,0.010,0.129,0.070,66,245,391,0,5,0,82743.88,2888.625,59588.395,8000.375,400.933,19.577,35480.226,12327.519,30.202,29357.604,23486.084,7860.391,1540.711,8884.077,0.000219,-0.005028,56,0,341,50,139,99,24602,0,50,1128.654,4008,1500,1492,216,0,1276,0
2851,95.0,1979,730,20,109,1727,121,22,16,86.75,1.433,1.432,1.973,0.212,0.098,-0.769,2.129,0.4566,1.7266,0.489,0.018,0.010,0.128,0.068,62,248,387,0,3,0,82440.11,2816.140,58373.687,8367.012,595.246,12.677,35131.294,11880.188,23.295,28557.873,22846.299,8202.404,918.197,7993.646,0.000156,-0.005338,99,0,341,46,154,109,23786,0,46,1078.534,3600,1539,1539,223,0,1316,0
