tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,443,11347,0,134,144,78,87,0,10.77,0.870,0.803,0.211,0.192,0.210,-0.163,1.515,0.3302,1.2285,0.857,0.493,0.220,0.106,-0.012,34,0,61,0,0,0,25800.87,1272.534,9033.317,837.422,51.763,11.416,2280.792,657.189,0.000,3786.873,3029.499,845.746,1624.827,2527.814,0.000118,-0.001317,21,0,44,17,44,33,3599,6,17,369.512,634,79,57,5,0,47,5
61,2.0,603,9701,0,142,283,76,102,0,15.99,0.882,0.822,0.216,0.176,0.176,-0.321,1.514,0.3172,1.3602,0.828,0.479,0.171,0.110,-0.018,51,0,24,0,0,0,31804.93,1208.301,12830.079,288.467,76.048,18.074,2727.255,749.109,0.000,6850.105,5480.084,286.669,2045.391,1144.333,0.000136,-0.002811,32,0,19,5,18,13,4307,5,5,158.834,583,72,60,0,0,55,5
91,3.0,775,8171,0,136,450,72,117,2,25.82,0.907,0.870,0.201,0.167,0.145,-0.427,1.515,0.3176,1.5361,0.836,0.500,0.125,0.114,-0.026,74,0,45,0,0,0,37347.96,1225.700,14719.468,597.675,85.917,27.627,3744.480,1111.325,0.174,8276.696,6621.357,590.882,2175.530,1722.084,0.000163,-0.004214,37,0,37,8,33,25,6157,21,8,286.490,534,50,42,3,0,33,6
121,4.0,1017,6575,0,134,685,69,129,2,31.47,0.915,0.906,0.176,0.143,0.124,-0.511,1.523,0.3195,1.6888,0.875,0.493,0.097,0.117,-0.034,94,2,44,0,0,0,45630.67,1226.643,19405.181,304.183,169.699,26.794,4920.422,1521.383,2.697,10988.564,8790.851,314.181,1924.249,1772.656,0.000136,-0.005631,40,0,42,2,33,31,7684,3,2,32.393,519,72,62,4,0,58,0
151,5.0,1503,4291,50,131,1160,66,146,5,50.98,0.915,0.977,0.137,0.128,0.104,-0.607,1.520,0.3096,1.9826,0.874,0.504,0.079,0.119,-0.038,103,9,79,0,0,0,63374.43,1261.057,34968.186,619.996,383.799,30.578,6823.384,2455.521,3.653,21976.633,17581.307,616.753,2372.962,2437.879,0.000213,-0.006881,47,0,74,5,62,57,11300,3,5,84.042,482,52,51,8,0,43,0
181,6.0,2022,2409,50,137,1668,61,156,6,59.23,0.906,1.034,0.123,0.115,0.094,-0.655,1.526,0.3138,2.2111,0.872,0.423,0.058,0.120,-0.048,112,24,108,0,0,0,77899.74,1284.813,37014.659,951.907,639.912,25.387,9920.213,4018.086,9.263,24653.174,19722.539,996.122,1791.801,3059.941,0.000142,-0.007481,71,0,107,1,72,71,17053,1,1,11.704,444,109,109,22,0,86,1
211,7.0,2438,947,50,139,2090,56,153,6,81.31,0.892,1.081,0.111,0.108,0.089,-0.691,1.535,0.3076,2.3703,0.831,0.403,0.048,0.121,-0.052,121,51,141,0,0,0,86313.73,1321.581,35614.040,873.593,548.431,32.271,12526.564,5617.258,11.239,22562.349,18049.880,851.914,1270.394,4605.387,0.000147,-0.007934,90,0,137,4,112,108,21028,3,4,194.617,399,71,65,14,0,46,5
241,8.0,2445,599,50,140,2123,45,137,6,98.62,0.882,1.097,0.112,0.104,0.089,-0.705,1.526,0.3150,2.4439,0.818,0.336,0.033,0.120,-0.055,112,115,157,0,0,0,79174.42,1328.646,19202.653,508.397,752.608,22.089,13562.823,6618.098,11.239,10283.600,8226.880,459.668,559.378,4911.082,0.000146,-0.008168,98,0,154,3,148,145,21053,5,3,108.912,316,75,75,2,0,71,2
271,9.0,2334,454,50,134,2048,32,120,10,117.75,0.875,1.111,0.109,0.102,0.088,-0.717,1.525,0.3171,2.4768,0.861,0.306,0.031,0.121,-0.057,101,146,159,0,2,0,72065.80,1396.987,17491.914,620.402,863.835,20.232,13087.488,6303.163,13.614,7281.687,5825.350,593.311,478.407,4685.608,0.000226,-0.007050,87,0,151,8,140,132,19636,6,8,196.006,272,68,67,0,0,63,4
301,10.0,2177,406,45,126,1923,23,105,12,143.41,0.868,1.121,0.103,0.099,0.089,-0.727,1.516,0.3189,2.5280,0.856,0.310,0.032,0.122,-0.057,76,179,148,0,1,0,67085.52,1371.297,17184.802,634.974,897.882,13.719,12265.689,5674.703,21.570,6298.507,5038.806,584.105,241.904,4123.674,0.000225,-0.007806,88,0,140,8,135,127,18097,0,8,220.053,182,38,38,0,0,38,0
