tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach
31,1.0,471,11332,0,163,132,78,98,0,11.92,0.842,0.781,0.213,0.177,0.239,-0.124,1.578,0.3073,1.2050,0.795,0.411,0.227,0.099,-0.011,46,0,26,0,0,0,26403.44,1472.475,8749.080,23.451,155.998,12.131,2304.120,549.318,0.000,3494.925,2795.940,1523.468,1781.732,283.231,0.000178,-0.001971,0,39,26,0,19,19,3792
61,2.0,526,10090,0,181,168,73,104,1,20.29,0.843,0.798,0.213,0.175,0.235,-0.185,1.564,0.3301,1.2747,0.744,0.387,0.217,0.097,-0.014,65,0,22,0,0,0,28244.64,1467.540,7339.876,15.295,110.503,20.829,2509.891,572.403,0.146,2851.494,2281.196,1017.887,2140.109,170.780,0.000176,-0.002720,0,26,22,0,17,17,4249
91,3.0,638,8747,0,191,259,72,116,2,28.18,0.848,0.859,0.239,0.160,0.209,-0.269,1.566,0.3260,1.4438,0.723,0.351,0.181,0.096,-0.019,93,0,13,0,0,0,32609.00,1529.828,9835.124,11.414,129.130,25.149,2896.500,702.093,2.355,4592.225,3673.780,561.113,1780.251,151.248,0.000124,-0.004244,0,60,13,0,9,9,4793
121,4.0,855,7145,0,195,461,71,128,3,35.19,0.871,0.935,0.238,0.126,0.170,-0.361,1.572,0.3295,1.6865,0.768,0.359,0.133,0.091,-0.027,95,1,18,0,0,0,41340.04,1597.855,16848.927,23.979,101.363,25.267,3731.904,1019.993,4.860,9025.737,7220.590,735.702,2274.143,167.968,0.000166,-0.006500,0,79,18,0,11,11,5862
151,5.0,1264,4867,31,203,852,68,141,5,41.76,0.904,1.007,0.242,0.090,0.133,-0.442,1.564,0.3399,1.9286,0.776,0.355,0.101,0.084,-0.042,113,7,55,0,0,0,57742.15,1726.217,30727.247,34.690,64.363,23.114,5475.834,1814.291,6.826,18437.168,14749.735,2364.742,2405.214,331.706,0.000146,-0.006900,0,57,55,0,44,44,8911
181,6.0,1681,2889,31,216,1250,62,153,9,54.48,0.911,1.056,0.238,0.083,0.117,-0.479,1.569,0.3305,2.0890,0.770,0.343,0.068,0.084,-0.048,136,17,65,0,0,0,71212.73,1846.228,30635.779,29.799,184.449,28.050,7943.791,2907.783,11.162,19240.559,15392.447,2455.296,1542.945,332.141,0.000198,-0.006767,0,64,65,0,57,57,13741
211,7.0,1977,1385,31,233,1549,53,142,10,80.08,0.914,1.072,0.216,0.072,0.111,-0.505,1.580,0.3341,2.2073,0.741,0.305,0.058,0.082,-0.054,136,34,82,0,0,0,78746.91,2034.490,27498.778,45.255,248.139,24.446,9876.986,4023.027,17.535,15851.162,12680.930,3100.191,1285.132,571.243,0.000204,-0.004738,0,77,82,0,74,74,17323
241,8.0,2121,674,31,249,1697,48,127,15,104.11,0.918,1.071,0.211,0.069,0.113,-0.520,1.585,0.3364,2.2290,0.746,0.305,0.051,0.079,-0.055,107,42,95,0,2,0,79378.16,2225.190,20564.567,50.377,77.882,18.600,11056.558,4596.243,20.623,10964.935,8771.948,3226.549,750.762,365.158,0.000118,-0.004352,0,37,95,0,76,76,19491
271,9.0,2091,611,31,271,1673,42,105,22,124.05,0.911,1.062,0.208,0.065,0.120,-0.530,1.581,0.3399,2.2558,0.703,0.258,0.042,0.078,-0.054,99,83,110,0,2,0,73100.19,2364.915,12971.962,60.182,225.310,16.070,11279.541,4735.964,29.787,6274.273,5019.419,3388.870,544.373,441.636,0.000144,-0.006402,0,36,110,0,86,86,19900
301,10.0,2012,474,30,299,1593,32,88,33,145.88,0.903,1.051,0.196,0.059,0.130,-0.539,1.594,0.3473,2.3058,0.694,0.234,0.044,0.077,-0.056,96,124,100,0,0,0,69698.21,2607.050,14619.365,53.564,195.172,13.908,10742.237,4845.930,41.702,5505.147,4404.118,2917.661,581.235,452.160,0.000200,-0.008818,0,33,100,0,78,78,19458
