tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach
31,1.0,477,10776,0,160,120,91,106,0,10.78,0.863,0.781,0.170,0.153,0.232,-0.066,1.528,0.3180,1.3119,0.797,0.450,0.174,0.096,-0.009,41,0,23,0,0,0,26161.85,1407.769,8032.367,43.425,52.148,12.244,2238.334,584.363,0.000,3763.219,3010.575,1128.673,1478.661,206.014,0.000156,-0.000754,0,16,23,0,8,8,3520
61,2.0,532,9483,0,166,156,91,119,0,23.80,0.886,0.804,0.159,0.145,0.215,-0.117,1.529,0.3239,1.4176,0.802,0.512,0.145,0.090,-0.010,60,0,23,0,0,0,27931.12,1412.881,7850.743,56.799,44.110,18.976,2525.285,607.829,0.000,3216.777,2573.422,1320.118,2184.942,269.621,0.000139,-0.001625,0,57,23,0,12,12,4254
91,3.0,607,8184,0,166,207,89,145,1,30.19,0.914,0.834,0.142,0.132,0.192,-0.180,1.529,0.3235,1.5626,0.831,0.530,0.125,0.085,-0.012,77,0,28,0,0,0,31183.83,1412.500,10134.435,42.923,31.807,22.770,2877.487,702.961,0.138,4349.399,3479.519,1630.160,2000.840,255.682,0.000159,-0.003267,0,52,28,0,21,21,5178
121,4.0,730,6863,0,171,297,87,175,3,36.22,0.957,0.883,0.133,0.117,0.169,-0.248,1.527,0.3179,1.6964,0.865,0.503,0.104,0.077,-0.015,82,1,31,0,0,0,36698.76,1526.555,12655.192,22.611,66.826,25.142,3546.239,1007.117,2.306,6608.378,5286.703,1166.396,1405.598,240.096,0.000113,-0.003745,0,29,31,0,24,24,6925
151,5.0,909,5452,21,184,425,83,217,5,48.46,0.991,0.931,0.116,0.099,0.150,-0.308,1.517,0.3223,1.8791,0.850,0.467,0.086,0.068,-0.016,88,6,19,0,0,0,43384.38,1621.267,16008.825,22.646,86.605,24.382,4477.061,1453.175,7.019,8627.903,6902.323,843.955,2255.211,205.114,0.000157,-0.003958,0,31,19,0,14,14,9631
181,6.0,1220,3487,21,192,700,77,251,5,59.72,1.057,1.008,0.097,0.083,0.124,-0.393,1.522,0.3111,2.0588,0.815,0.458,0.074,0.057,-0.020,94,14,68,0,1,0,55489.23,1714.223,28961.785,56.213,126.296,23.184,6218.294,2570.130,8.224,17459.137,13967.310,2945.068,3069.013,324.811,0.000144,-0.004555,0,12,68,0,54,54,14700
211,7.0,1394,1967,21,200,857,67,270,6,69.14,1.076,1.030,0.094,0.080,0.115,-0.421,1.512,0.3216,2.1339,0.800,0.445,0.059,0.053,-0.020,109,21,137,0,0,0,60121.75,1776.985,25898.111,127.546,328.564,22.088,8148.844,3529.813,9.397,14682.970,11746.376,6012.502,1818.865,714.113,0.000115,-0.004356,0,59,137,0,112,112,20319
241,8.0,1460,1215,21,217,932,56,255,7,93.76,1.084,1.040,0.094,0.075,0.118,-0.442,1.516,0.3261,2.1488,0.811,0.396,0.051,0.053,-0.021,127,42,118,0,1,0,59631.94,1933.225,18144.761,44.228,141.883,25.202,9031.349,3570.202,11.989,9906.728,7925.383,4480.471,921.741,614.928,0.000168,-0.004534,0,37,118,0,106,106,23661
271,9.0,1374,960,21,224,895,40,215,10,118.00,1.082,1.035,0.094,0.070,0.127,-0.461,1.517,0.3191,2.1612,0.788,0.375,0.053,0.052,-0.019,119,79,115,0,0,0,55961.44,2139.797,12692.104,38.152,175.432,23.897,9045.007,3336.983,17.989,4680.814,3744.651,3687.493,1019.718,497.203,0.000124,-0.003228,0,33,115,0,100,100,24209
301,10.0,1282,964,20,234,824,31,193,11,131.63,1.072,1.024,0.095,0.063,0.138,-0.468,1.512,0.3185,2.1471,0.803,0.380,0.059,0.052,-0.019,115,95,95,0,2,0,52839.33,2254.741,11106.840,41.607,171.820,19.544,8299.339,2968.904,18.115,4390.768,3512.614,3024.652,743.119,593.014,0.000124,-0.002745,0,53,95,0,86,86,22992
