tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach
1771,59.0,5033,233,29,3580,1451,0,2,3579,541.98,0.632,0.735,0.284,0.112,0.487,-0.704,1.690,0.4786,2.5123,0.565,0.001,0.006,0.067,-0.006,129,29,144,0,483,0,78524.91,24041.877,10277.084,28.400,13867.028,61.315,21665.188,6032.931,6774.352,8092.022,6473.618,5881.160,44.301,6167.491,0.000126,-0.020303,0,12782,144,0,135,135,41877
1801,60.0,4537,262,29,3219,1317,0,1,3216,486.26,0.635,0.738,0.289,0.110,0.488,-0.699,1.696,0.4797,2.4805,0.590,0.001,0.006,0.067,-0.006,146,38,128,0,454,0,68542.38,22932.010,9206.597,17.304,10021.890,61.307,20034.555,5614.779,6082.488,4973.060,3978.448,4752.713,23.127,4636.176,0.000170,-0.019209,0,11877,128,0,120,120,40872
1831,61.0,4184,287,29,2930,1253,0,1,2823,523.78,0.641,0.745,0.296,0.111,0.484,-0.699,1.701,0.4778,2.4757,0.614,0.001,0.006,0.067,-0.008,134,30,104,0,355,0,61319.55,21702.955,9402.867,23.277,9110.849,58.539,18415.984,5145.315,5389.402,5477.842,4382.274,4151.090,22.505,4132.056,0.000141,-0.017510,0,11246,104,0,96,96,39062
1861,62.0,3884,293,29,2696,1187,0,1,2550,487.80,0.645,0.749,0.301,0.109,0.481,-0.700,1.706,0.4762,2.4707,0.626,0.000,0.008,0.067,-0.008,125,22,85,0,309,0,56457.95,20892.401,9573.411,10.462,7441.766,58.689,17400.629,4885.004,4771.756,4758.300,3806.640,3839.536,48.097,3441.190,0.000153,-0.017731,0,10166,85,0,83,83,38153
1891,63.0,3650,291,29,2530,1119,0,1,2289,496.70,0.645,0.749,0.302,0.107,0.482,-0.700,1.712,0.4740,2.4746,0.644,0.000,0.005,0.067,-0.009,110,30,93,0,213,0,54532.34,20331.358,10702.766,8.175,7386.981,55.004,16277.386,4577.464,4294.916,4158.927,3327.142,3558.417,72.749,3355.194,0.000147,-0.017434,0,9590,93,0,93,93,36672
1921,64.0,3498,343,29,2401,1097,0,0,2054,497.12,0.650,0.755,0.308,0.108,0.479,-0.702,1.712,0.4723,2.4526,0.667,0.000,0.006,0.067,-0.009,106,7,77,0,182,0,54245.52,20278.531,10818.705,6.277,7199.065,48.338,15635.544,4377.158,3822.180,4561.456,3649.165,3379.403,39.296,3224.469,0.000132,-0.016853,0,9272,77,0,77,77,35207
1951,65.0,3418,382,29,2293,1125,0,0,1894,563.54,0.661,0.768,0.315,0.109,0.470,-0.698,1.715,0.4696,2.4686,0.664,0.000,0.006,0.067,-0.012,112,22,41,0,154,0,56453.52,20261.201,11329.967,2.978,7772.217,47.963,15337.794,4325.724,3414.334,5578.998,4463.199,1901.458,57.716,3233.318,0.000097,-0.017320,0,8750,41,0,41,41,35464
1981,66.0,3401,407,29,2226,1175,0,0,1799,465.41,0.672,0.782,0.325,0.109,0.460,-0.699,1.718,0.4687,2.4638,0.664,0.001,0.005,0.066,-0.015,125,20,60,0,99,0,58875.87,20567.968,12799.270,7.792,8248.977,46.797,15490.896,4480.229,3169.826,6683.687,5346.950,2778.254,22.146,3674.589,0.000112,-0.017201,0,8777,60,0,60,60,35890
2011,67.0,3422,383,29,2166,1256,0,0,1769,463.25,0.688,0.799,0.340,0.112,0.447,-0.699,1.719,0.4696,2.4614,0.672,0.000,0.006,0.066,-0.019,109,21,68,0,97,0,62714.57,20858.820,14803.905,5.711,8167.652,48.011,15930.314,4766.247,3066.880,8494.255,6795.404,2594.240,59.750,3713.454,0.000141,-0.017804,0,8825,68,0,68,68,37264
2041,68.0,3464,393,29,2109,1355,0,0,1768,496.05,0.704,0.819,0.354,0.115,0.433,-0.701,1.720,0.4709,2.4540,0.675,0.001,0.005,0.066,-0.024,92,9,67,0,94,0,66552.02,21131.243,16038.773,6.519,9494.651,40.432,16498.976,5075.979,3026.878,8670.236,6936.189,2810.467,32.782,4159.950,0.000165,-0.018418,0,9736,67,0,67,67,37677
