tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore
31,1.0,436,12796,0,139,101,78,118,0,17.11,0.867,0.795,0.189,0.202,0.228,-0.050,1.563,0.3287,1.2568,0.545,0.259,0.189,0.100,0.002,43,0,18,0,0,0,24890.31,891.597,6802.377,41.535,25.511,16.310,2315.937,597.933,0.000,1992.295,1593.836,982.794,1883.801,80.396,0.000093,0.000016,7,0,11,7,2,2,2791,0,7,1.662,622,58,36,6,0,30,0,714,142,95,4,0,91,0,1414,283,1,3295.124,2802.259,16.479,0.045,0.000,325.437,84.539,1.582,12,2,0,2,0,32,1476,251,3,2684.555,1551.400,7.151,0.000,0.000,279.655,94.307,0.343,10,0,0,0,0,0,1558,296,1,3221.753,1023.976,1.090,1.021,0.000,324.814,91.496,1.265,5,2,0,2,0,29,2003,416,1,4276.880,746.451,0.370,6.410,0.951,478.058,128.597,2.483,8,4,0,4,0,101,1302,362,1,4731.690,302.626,0.422,12.843,0.670,284.408,73.817,2.949,3,2,0,2,0,33,1129,217,0,2362.500,22.523,0.000,19.554,0.041,243.092,76.682,2.479,0,1,0,1,0,14,0,1,2,0,5,1,0,0,0,0,0,1
61,2.0,468,11541,0,152,122,73,121,0,29.76,0.871,0.788,0.192,0.185,0.231,-0.111,1.562,0.3218,1.2605,0.523,0.441,0.187,0.102,0.002,57,0,20,0,0,0,25526.17,886.347,6166.098,54.296,48.047,19.771,2384.120,587.960,0.000,2016.117,1612.893,1048.091,1933.511,113.980,0.000093,-0.000337,18,0,19,1,5,4,2987,2,1,5.156,545,26,21,9,0,11,1,653,142,112,6,0,106,0,1682,247,4,3324.136,2741.057,14.326,0.099,5.156,380.697,98.850,5.009,23,6,0,6,0,167,1571,250,3,2708.592,1555.437,16.219,0.000,0.000,307.650,95.069,0.639,8,4,0,4,0,200,1655,234,5,2422.917,805.171,14.804,0.000,0.000,346.107,93.824,1.056,3,2,0,2,0,85,1940,321,0,3335.000,569.568,0.000,13.447,0.000,469.856,120.510,3.670,3,1,0,1,0,59,1249,228,4,3488.615,226.978,0.909,5.217,0.000,273.687,65.238,0.771,1,1,0,1,0,34,996,192,0,2140.000,24.326,0.000,30.377,0.000,205.426,62.818,2.522,0,5,0,5,0,221,0,0,0,0,0,0,0,0,0,0,0,0
91,3.0,535,10205,0,156,181,71,127,1,39.08,0.897,0.787,0.185,0.176,0.212,-0.218,1.570,0.3317,1.2780,0.534,0.468,0.182,0.105,0.002,81,1,12,0,0,0,27615.09,906.406,8660.166,12.326,40.331,24.607,2716.468,664.435,0.122,3249.414,2599.532,575.395,2793.447,90.228,0.000106,-0.000794,22,0,9,3,7,6,3465,15,3,4.780,489,21,18,1,0,15,2,649,97,56,2,0,54,0,2638,355,2,5754.953,4734.020,10.071,0.125,0.000,585.373,155.195,11.189,48,2,0,2,0,29,1938,316,2,3623.475,2072.797,6.349,0.484,3.394,395.571,110.111,1.744,15,2,0,2,0,159,1783,248,0,2455.000,835.475,0.000,0.000,0.000,365.904,100.437,0.426,6,1,1,0,0,84,1937,266,3,2930.344,492.899,1.321,3.349,1.079,477.549,120.473,2.473,2,2,0,2,0,142,1237,237,0,3405.000,233.376,0.000,0.000,0.307,271.317,66.548,0.284,1,2,0,2,0,139,920,170,0,1957.500,23.730,0.000,3.589,0.000,192.282,55.273,0.639,0,1,0,1,0,81,0,1,0,0,0,0,0,0,0,0,0,0
121,4.0,583,8915,0,154,235,69,125,2,41.91,0.916,0.791,0.179,0.171,0.196,-0.288,1.560,0.3463,1.3276,0.540,0.461,0.156,0.109,0.010,68,4,52,0,0,0,29278.76,938.746,11061.246,37.521,49.672,20.758,3062.879,783.010,1.979,4325.939,3460.751,2181.278,3203.110,276.394,0.000091,-0.000511,53,0,45,7,43,36,4509,34,7,16.046,519,24,21,4,0,17,0,687,58,27,6,0,18,3,3871,500,12,9473.717,7737.360,29.754,1.560,9.584,846.837,237.852,24.276,82,37,0,37,0,869,2269,347,0,3232.500,1809.644,0.000,0.146,6.462,471.737,136.347,2.585,12,1,0,1,0,93,1834,226,3,2028.851,714.069,8.243,0.464,0.000,376.091,106.863,0.983,4,6,1,5,0,425,1951,221,1,2486.250,419.603,1.300,8.049,0.000,477.192,115.956,2.447,0,2,2,0,0,206,1198,173,0,2277.500,161.709,0.000,1.843,0.000,263.793,60.325,0.456,1,2,0,2,0,189,899,150,3,1805.057,22.916,0.289,9.412,0.000,188.947,52.109,2.042,0,1,1,0,0,119,0,0,0,0,2,0,0,0,0,0,0,0
151,5.0,717,7737,67,154,371,68,124,4,48.13,0.948,0.802,0.156,0.151,0.167,-0.406,1.563,0.3338,1.4248,0.521,0.429,0.133,0.111,0.016,79,4,17,0,0,0,34350.47,931.190,13483.752,21.215,90.345,20.266,3570.933,1012.882,5.966,6392.222,5113.777,709.289,2681.157,105.781,0.000100,-0.000627,18,0,14,3,12,10,5902,6,3,8.622,499,17,10,3,0,7,0,704,78,35,1,0,33,1,6167,592,5,12098.870,9690.099,68.216,0.262,5.457,1326.237,435.777,40.972,126,8,1,7,0,340,2734,366,1,3941.463,2270.973,4.406,0.360,2.542,564.506,175.787,2.298,20,2,0,2,0,60,1840,233,2,2423.189,853.465,4.674,0.000,0.000,375.704,106.364,0.468,5,2,0,2,0,167,1822,212,4,2335.628,389.394,4.892,1.028,0.622,430.698,100.594,1.927,1,5,3,2,0,580,1200,126,0,1505.000,104.753,0.000,10.943,0.000,262.089,58.594,0.546,0,0,0,0,0,0,859,88,0,992.500,12.274,0.000,0.000,0.000,180.727,49.907,0.045,0,1,0,1,0,140,0,0,0,0,0,0,0,0,0,0,0,0
181,6.0,898,6573,67,151,561,62,124,5,66.62,0.976,0.816,0.143,0.122,0.137,-0.506,1.572,0.3396,1.5073,0.512,0.411,0.102,0.116,0.024,85,14,26,0,1,0,40486.12,948.799,17110.850,54.306,67.055,26.341,4576.748,1572.874,6.528,9120.510,7296.408,1333.861,2510.102,154.088,0.000087,-0.001406,36,0,18,8,10,8,8001,22,8,18.263,516,43,18,8,0,4,6,624,74,39,3,0,36,0,10145,781,7,16865.664,13571.590,42.144,0.225,16.429,2157.692,948.455,72.601,185,19,6,13,0,1616,3358,356,2,4137.995,2308.653,7.421,0.000,0.000,701.486,202.617,1.898,26,2,1,1,0,245,1934,176,0,1810.000,634.057,0.000,0.255,0.000,398.545,109.002,0.280,5,3,1,1,1,389,1817,213,3,2187.153,384.059,2.274,5.767,1.467,439.286,92.263,1.607,1,3,3,0,0,537,1160,102,2,1208.281,81.688,0.336,4.942,0.362,262.869,55.527,0.892,0,3,1,2,0,490,798,79,0,1065.000,14.452,0.000,24.854,0.005,172.138,44.804,4.207,0,3,2,1,0,501,0,0,0,0,0,0,0,0,0,0,0,0
211,7.0,1112,5344,67,154,790,54,114,4,90.64,0.999,0.825,0.135,0.101,0.116,-0.586,1.574,0.3416,1.5940,0.537,0.357,0.094,0.122,0.030,92,30,30,0,2,0,48371.41,999.147,21379.363,32.651,370.306,22.570,5862.066,2231.684,8.220,11525.697,9220.558,1214.069,2719.218,185.474,0.000111,-0.001261,34,0,29,1,12,12,12187,0,1,0.020,489,27,24,8,0,15,1,616,86,53,9,0,44,0,16189,1011,32,21883.450,17419.734,365.648,0.372,0.000,3421.654,1556.154,121.420,241,35,12,23,0,2664,4097,390,0,5130.000,2893.761,0.000,0.000,0.000,858.369,237.428,2.230,29,6,5,1,0,1019,1909,167,2,1630.651,561.792,4.658,0.000,0.000,386.748,102.295,0.437,1,5,2,2,1,920,1620,167,0,1515.000,278.659,0.000,15.975,0.000,378.312,80.621,4.051,0,6,4,2,0,1040,1055,66,0,652.500,43.727,0.000,2.385,0.000,231.496,46.078,0.404,0,5,5,0,0,1000,698,43,0,497.500,6.856,0.000,13.900,0.020,144.716,36.647,4.386,0,3,2,1,0,581,0,0,0,0,0,0,0,0,0,0,0,0
241,8.0,1376,4035,67,155,1070,45,106,4,113.44,1.011,0.837,0.146,0.094,0.100,-0.643,1.581,0.3489,1.6379,0.562,0.297,0.079,0.126,0.032,113,44,61,0,0,0,58467.10,1096.485,27492.951,33.108,363.711,21.671,7361.708,2949.300,8.921,15250.412,12200.330,2392.101,2403.943,360.798,0.000137,-0.001862,48,0,57,4,52,49,16644,0,4,11.071,417,54,46,5,0,40,1,586,100,74,8,0,66,0,23009,1366,35,28799.135,23213.004,337.850,2.015,1.981,4872.171,2176.468,168.411,308,71,21,50,0,4399,5054,422,4,6259.024,3617.309,25.433,0.000,6.968,1045.583,315.670,4.684,53,10,6,4,0,1324,1854,99,0,1057.500,355.660,0.000,1.321,1.822,376.661,102.253,4.099,2,5,3,2,0,1151,1452,124,0,1122.500,195.442,0.000,4.648,0.000,331.943,68.707,1.678,1,6,5,1,0,1284,916,54,0,527.500,32.974,0.000,10.662,0.300,187.467,41.815,1.435,0,4,4,0,0,918,555,31,9,462.660,5.976,0.428,3.390,0.000,103.827,23.845,0.689,0,5,5,0,0,1100,0,0,0,0,0,0,0,0,0,0,0,0
271,9.0,1704,2550,67,156,1412,38,98,8,99.80,1.027,0.858,0.161,0.084,0.087,-0.682,1.584,0.3378,1.7244,0.550,0.308,0.070,0.127,0.034,109,57,95,0,0,0,70602.17,1165.034,34548.972,48.363,618.152,22.976,9106.266,3698.217,9.524,19927.768,15942.214,3658.756,2580.828,588.153,0.000182,-0.003362,90,0,91,4,74,72,20801,0,4,6.119,318,35,34,7,1,25,1,554,121,94,13,0,61,20,30168,1694,66,36509.866,29293.870,526.555,2.959,4.530,6418.874,2816.250,214.245,399,110,34,76,0,7045,6429,420,15,8305.810,4751.879,88.762,0.962,0.000,1344.061,401.528,7.538,73,20,13,7,0,3268,1739,56,1,667.293,226.602,0.585,0.258,0.000,350.381,91.762,1.278,1,4,1,3,0,1026,1340,120,2,1199.744,207.048,0.341,17.757,1.589,296.547,64.383,3.086,2,7,3,4,0,1799,791,55,6,577.582,34.411,1.910,12.891,0.000,157.674,35.476,2.143,0,2,1,1,0,493,465,20,0,237.500,3.796,0.000,7.419,0.000,84.054,18.413,1.429,0,5,5,0,0,1310,0,0,0,0,0,0,0,0,0,0,0,0
301,10.0,1923,1674,61,150,1666,24,83,7,109.67,1.040,0.873,0.164,0.079,0.078,-0.716,1.583,0.3388,1.7915,0.543,0.260,0.063,0.128,0.037,114,73,132,0,1,0,75309.23,1197.155,31106.505,84.866,785.422,23.264,11149.671,4845.896,14.776,17656.274,14125.019,4944.071,2514.950,680.849,0.000248,-0.005386,116,0,122,10,102,94,25955,12,10,28.483,287,51,48,4,0,31,13,567,134,112,24,3,75,10,38882,1494,92,33884.448,27127.594,728.541,2.740,24.430,8280.299,3855.297,260.109,370,140,46,94,0,10005,7776,293,10,6294.820,3639.226,54.482,0.935,3.679,1674.791,480.578,8.589,50,26,7,19,0,2524,1572,43,1,570.915,187.590,1.331,0.000,0.000,315.216,84.912,0.492,0,8,5,3,0,1684,1166,62,1,641.135,117.816,0.186,37.440,0.374,253.696,62.170,7.447,0,7,6,1,0,1990,665,15,0,130.000,9.635,0.000,4.957,0.000,128.778,31.937,0.976,0,10,6,4,0,2895,319,17,0,232.500,3.799,0.000,10.312,0.000,56.427,13.462,1.498,0,4,3,1,0,1163,0,0,0,0,0,0,0,0,0,0,0,0
