tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore
6511,217.0,5995,55,26,2091,3904,0,0,4260,438.73,1.240,1.084,0.623,0.152,0.342,-0.615,1.972,0.4791,2.1674,0.618,0.066,0.248,0.122,-0.072,18,26,117,0,154,0,306468.84,55033.534,59458.120,168.178,31181.616,5.153,61376.076,21822.804,7406.580,14492.532,11594.025,8699.916,11160.012,7824.418,0.000537,0.005399,5938,0,74,43,106,73,21127,14,33,66.673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23229,625,1290,24291.347,13344.600,7397.630,36.112,27.762,10321.354,4238.626,683.250,63,32,3,12,17,10721,93492,2315,4634,87489.743,45926.693,23767.992,52.353,38.911,38899.443,14857.193,1098.008,194,198,23,62,113,71407,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6541,218.0,6000,63,26,2058,3942,0,0,4244,474.82,1.246,1.090,0.618,0.150,0.337,-0.616,1.974,0.4822,2.1569,0.616,0.057,0.216,0.122,-0.072,23,21,127,0,177,0,296178.88,53174.753,56924.964,187.483,31922.891,6.319,61857.689,22105.226,7336.816,16321.064,13056.852,9284.978,8692.735,8035.509,0.000575,0.000495,6234,0,92,35,121,90,21046,5,31,69.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24107,613,1349,24368.152,13070.046,7723.657,28.714,25.690,10744.269,4451.555,726.315,70,53,4,19,30,21006,93738,2203,4880,85236.874,43713.337,24195.615,81.422,44.012,39113.930,14858.128,1127.363,218,197,17,73,107,75105,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6571,219.0,5996,49,26,2017,3979,0,0,4220,581.24,1.253,1.096,0.612,0.145,0.331,-0.617,1.977,0.4803,2.1691,0.618,0.048,0.174,0.123,-0.072,22,23,130,0,193,0,284117.56,50850.094,56020.446,210.003,29305.825,6.741,62175.792,22166.775,7377.317,16902.326,13521.861,8889.950,7820.446,7331.104,0.000458,-0.003370,5974,0,79,51,120,76,21548,8,44,88.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24593,598,1393,23644.731,12781.200,7432.688,21.003,10.452,10978.014,4559.381,694.588,64,44,4,17,23,16347,94160,2173,4573,81543.842,43111.100,21867.305,83.103,77.809,39328.684,14895.727,1118.761,236,219,19,62,138,89657,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6601,220.0,6000,36,31,1992,4008,0,0,4185,501.44,1.259,1.101,0.605,0.145,0.328,-0.617,1.976,0.4851,2.1909,0.631,0.038,0.128,0.123,-0.071,16,19,125,0,225,0,268800.03,48702.863,52533.468,171.197,27902.972,6.026,62489.852,22508.731,7280.501,18481.911,14785.529,8646.665,5077.960,7024.968,0.000387,-0.005860,5880,0,84,41,114,82,22388,12,32,61.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25472,561,1290,21780.852,11975.255,6617.780,23.493,14.452,11391.515,4754.816,705.407,87,55,2,16,37,17383,94247,2040,4578,77522.298,40462.234,21279.352,76.139,47.322,39396.338,15027.112,1112.576,238,241,16,68,157,94947,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6631,221.0,5994,46,31,1966,4028,0,0,4139,498.90,1.264,1.106,0.603,0.142,0.324,-0.618,1.977,0.4877,2.1790,0.622,0.024,0.088,0.123,-0.071,22,26,134,0,233,0,251910.05,47245.497,50698.631,166.867,26948.398,5.545,62907.565,22820.271,7257.990,18853.093,15082.475,7780.726,3831.980,6631.832,0.000453,-0.011691,5912,0,85,49,124,83,21864,7,41,71.316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26409,619,1463,23999.528,13192.807,7312.832,33.399,34.324,11853.305,4991.086,761.049,74,57,1,14,42,19085,94181,1884,4442,71509.447,37395.679,19627.944,53.329,36.993,39500.810,15062.001,1104.883,250,247,23,71,153,99110,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6661,222.0,6000,35,31,1940,4060,0,0,4133,452.23,1.270,1.110,0.596,0.142,0.321,-0.619,1.975,0.4926,2.1603,0.623,0.013,0.042,0.123,-0.070,22,45,144,0,276,0,233981.28,44892.403,50119.637,149.451,24581.968,6.075,63121.743,23020.633,7200.847,23158.409,18526.727,7381.724,1607.593,6126.031,0.000442,-0.015167,5723,0,99,45,139,98,22777,7,41,60.146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27357,623,1418,22930.695,13207.417,6377.672,35.193,29.676,12286.289,5170.837,806.012,99,71,9,19,43,24858,94040,1850,4298,68966.417,36796.424,18194.365,50.165,30.470,39441.736,15050.815,1127.075,305,301,35,80,186,118916,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6691,223.0,5975,49,31,1945,4030,0,0,4024,472.30,1.269,1.112,0.593,0.142,0.323,-0.619,1.978,0.4913,2.1840,0.611,0.001,0.005,0.123,-0.071,16,44,119,0,329,0,209663.58,42398.286,44523.963,129.674,23460.382,4.363,63178.481,23025.226,7109.394,22793.790,18235.033,7204.399,526.148,5767.216,0.000292,-0.014700,5725,0,85,34,115,85,23639,13,30,52.610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28083,543,1492,21329.166,11559.296,6645.329,34.836,23.716,12599.629,5259.207,792.726,100,92,7,18,67,35298,93533,1658,4220,62352.615,32889.169,16807.920,39.438,28.894,39268.231,15027.104,1088.130,287,325,36,67,222,138346,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6721,224.0,5773,39,31,1928,3844,0,1,3991,489.23,1.259,1.108,0.595,0.144,0.331,-0.620,1.974,0.4987,2.1917,0.624,0.000,0.005,0.122,-0.071,17,45,92,0,376,0,189553.95,41076.639,43490.616,98.687,21649.640,5.962,61874.105,22379.667,6996.573,14905.464,11924.372,5188.747,88.420,5266.957,0.000284,-0.016801,5721,0,58,34,85,55,22860,10,30,44.675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27965,584,1436,21411.023,12421.946,5839.455,17.505,27.940,12567.574,5260.315,756.437,70,93,9,12,72,33938,90577,1566,4275,58779.693,30989.303,15801.507,26.168,16.734,38079.103,14451.921,1044.863,178,341,36,46,259,144587,28,0,0,0.000,0.000,0.000,0.000,0.000,5.280,1.442,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6751,225.0,5421,43,32,1917,3503,0,1,3749,495.20,1.238,1.095,0.600,0.148,0.349,-0.621,1.976,0.5041,2.1856,0.622,0.001,0.004,0.120,-0.072,15,93,82,0,422,0,170911.69,39831.070,39632.631,89.564,19747.125,6.226,58650.629,20959.626,6788.508,11523.416,9218.733,4604.630,138.417,4749.032,0.000359,-0.019902,5412,0,54,28,76,52,21453,3,24,44.422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26759,507,1418,19016.529,10804.468,5422.762,17.104,26.640,12033.788,5039.317,689.371,47,115,18,13,84,38408,84324,1452,3991,54050.774,28724.585,14321.669,21.572,17.782,35481.214,13397.869,986.587,136,409,74,41,294,180195,30,0,0,0.000,0.000,0.000,0.000,0.000,5.643,1.656,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6781,226.0,5077,48,32,1898,3178,0,1,3501,512.43,1.216,1.083,0.603,0.154,0.367,-0.623,1.975,0.5008,2.1948,0.632,0.002,0.004,0.118,-0.073,12,82,69,0,415,0,157255.16,37851.076,38396.429,74.432,18408.292,5.599,54065.688,19053.537,6345.018,10548.773,8439.018,3960.159,42.583,4401.733,0.000345,-0.022383,5014,0,43,26,58,40,20347,16,18,27.766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25013,514,1293,18854.451,10947.382,5147.713,10.258,14.664,11272.155,4702.880,606.368,48,92,16,7,69,34490,75433,1381,3705,50994.509,27392.623,13248.952,21.645,13.102,31744.920,12045.708,877.836,125,406,61,36,309,187423,30,0,0,0.000,0.000,0.000,0.000,0.000,5.643,1.524,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
