tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore
31,1.0,464,11303,0,140,150,78,96,1,11.57,0.881,0.822,0.225,0.169,0.212,-0.160,1.528,0.3102,1.2313,0.822,0.471,0.222,0.106,-0.008,32,0,61,0,0,0,26643.63,1286.464,11243.894,106.856,45.407,10.412,2353.020,708.372,0.141,4764.647,3811.718,3337.421,1705.383,287.649,0.000138,-0.001362,16,0,47,14,44,36,3693,0,14,34.511,691,108,86,7,0,75,4,732,226,206,6,0,199,1,2165,478,5,5717.034,4795.054,25.607,4.442,16.291,440.003,129.936,30.317,52,9,0,9,0,94,1734,389,4,4667.977,3069.100,10.707,14.561,12.549,396.336,117.055,41.745,38,16,0,16,0,179,1592,303,2,3698.003,1608.366,3.992,4.174,0.000,354.131,100.323,11.728,7,8,0,8,0,121,1122,281,2,3093.996,867.653,2.225,8.486,5.307,262.106,70.485,12.076,4,6,0,6,0,49,1348,292,3,3045.371,403.788,2.876,22.553,0.364,301.982,85.486,8.904,0,4,0,4,0,46,1136,202,0,2897.500,66.809,0.000,18.129,0.000,219.201,61.864,3.834,0,4,0,4,0,70,0,2,1,0,17,2,0,0,0,0,0,0
61,2.0,598,9681,0,148,259,78,113,3,18.02,0.932,0.888,0.302,0.150,0.178,-0.272,1.513,0.3125,1.3488,0.802,0.459,0.171,0.112,-0.025,45,0,28,0,0,0,31779.85,1251.985,13539.961,33.991,105.108,17.529,3027.653,931.370,2.339,6648.112,5318.490,1444.121,2705.073,249.543,0.000124,-0.002597,44,0,25,3,24,21,5260,12,3,10.927,720,136,118,0,0,114,4,1011,408,388,5,0,377,6,3223,550,7,8227.870,6749.294,34.915,2.272,3.554,690.081,220.466,53.611,81,6,0,6,0,166,2751,442,5,6171.815,3974.747,28.433,9.726,7.373,683.807,187.935,58.872,45,9,0,9,0,234,1852,219,7,2860.159,1283.738,27.394,3.120,0.000,426.773,118.598,25.138,14,3,0,3,0,118,1311,267,2,3305.034,939.121,7.804,7.946,0.000,307.679,82.271,10.848,7,3,0,3,0,87,1331,204,11,2340.795,298.692,4.216,0.000,0.000,305.184,79.972,7.171,2,2,0,2,0,78,1024,162,0,2422.500,54.767,0.000,0.000,0.000,196.076,47.790,1.155,0,2,0,2,0,96,1,1,0,0,5,3,0,5,0,0,0,1
91,3.0,749,7916,0,142,422,73,112,3,28.90,0.995,0.965,0.261,0.137,0.146,-0.378,1.507,0.3135,1.6139,0.854,0.465,0.142,0.120,-0.033,75,1,64,0,0,0,38412.11,1261.986,18420.029,74.290,154.516,24.114,4129.624,1467.948,5.552,9231.365,7385.092,2772.805,2590.636,311.211,0.000187,-0.004021,31,0,55,9,56,48,7915,9,9,30.198,694,152,132,0,0,128,4,1241,522,464,9,0,452,3,4798,735,8,11300.724,8991.131,98.172,0.100,8.742,1101.761,364.615,94.654,111,19,0,19,0,879,5048,677,4,10986.872,7509.579,32.130,23.218,20.641,1303.136,404.046,178.968,91,21,0,21,0,449,2108,175,4,1881.760,865.009,11.974,3.343,0.000,494.100,138.852,29.803,6,8,1,7,0,303,1373,201,5,2520.090,700.334,10.083,17.432,0.815,322.851,82.132,13.400,5,3,0,3,0,162,1319,173,1,1707.395,222.036,1.417,0.000,0.000,304.736,74.448,7.909,0,3,0,3,0,242,984,114,0,1782.500,36.084,0.000,0.000,0.000,187.585,41.702,1.179,0,2,0,2,0,176,0,0,0,0,2,0,0,3,0,0,0,0
121,4.0,1075,5651,0,141,756,67,111,3,40.55,1.067,1.062,0.238,0.121,0.111,-0.483,1.510,0.3194,1.8891,0.854,0.404,0.103,0.125,-0.044,84,7,89,0,0,0,51578.48,1281.298,31032.818,90.448,331.768,23.262,5823.003,2394.388,5.552,18451.058,14760.847,4101.344,2685.407,538.275,0.000160,-0.005343,48,0,83,6,74,68,12576,0,6,23.942,633,95,77,2,0,70,5,1192,371,355,17,0,333,5,8396,1088,23,19307.982,15169.825,209.017,6.562,2.560,2054.877,818.870,273.495,208,38,2,36,0,1413,8129,1113,12,20945.349,14426.980,110.074,19.184,17.322,2094.193,661.337,253.502,201,39,3,36,0,987,2082,147,1,1770.943,821.285,1.518,6.803,4.060,488.214,128.036,22.593,6,5,1,4,0,253,1359,112,1,1253.220,349.525,3.020,25.837,0.000,322.558,73.778,15.790,1,2,0,2,0,204,1207,91,10,1144.368,146.774,8.110,0.000,0.000,282.576,67.415,4.340,0,3,1,2,0,302,875,83,1,1220.531,20.834,0.029,8.120,0.000,170.901,36.973,3.545,0,3,0,3,0,308,1,0,0,0,1,0,0,2,0,0,0,0
151,5.0,1551,2761,31,140,1251,61,99,3,49.40,1.123,1.144,0.240,0.099,0.087,-0.560,1.518,0.3092,2.1237,0.861,0.357,0.078,0.129,-0.055,96,19,134,0,0,0,69718.52,1280.913,46414.864,102.749,485.889,21.541,9319.086,4205.270,5.552,27663.133,22130.507,5534.624,4390.472,670.855,0.000141,-0.006029,46,0,127,7,124,117,21549,0,7,26.598,587,76,72,4,0,68,0,1074,294,281,16,0,260,5,15945,1651,26,34238.645,27373.761,281.199,11.373,16.212,4115.540,1666.986,620.517,372,62,3,59,0,1816,13606,1333,15,25955.039,17728.199,194.592,29.674,10.386,3621.878,1175.064,387.726,240,62,8,54,0,2664,1901,139,3,1892.334,862.755,4.443,7.058,0.000,437.406,105.018,26.734,10,12,3,9,0,1089,1268,85,2,934.134,272.607,5.656,10.062,0.000,300.406,73.591,10.922,0,3,1,2,0,384,1125,83,0,885.000,113.923,0.000,4.354,0.000,265.917,59.680,1.783,0,6,3,3,0,760,840,51,0,732.500,12.210,0.000,13.630,0.000,166.252,35.637,6.817,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0
181,6.0,1683,1224,31,140,1396,55,92,7,63.08,1.134,1.162,0.256,0.094,0.083,-0.578,1.517,0.3035,2.1336,0.865,0.343,0.058,0.131,-0.060,87,48,234,0,1,0,67911.87,1306.716,31445.725,167.142,406.096,25.080,12382.961,5607.155,7.306,18184.744,14547.795,9807.610,2230.619,1053.643,0.000181,-0.005676,67,0,229,5,213,208,28065,10,5,21.609,511,65,59,20,0,39,0,871,286,272,6,2,262,2,22718,1150,42,24723.815,19632.587,317.897,25.634,12.863,6044.450,2447.977,907.904,260,177,22,155,0,7185,17425,776,10,15966.506,10945.360,48.514,39.936,0.000,4820.802,1457.964,476.893,142,82,15,66,1,5100,1743,78,5,1355.028,643.319,7.605,2.312,8.747,414.170,90.170,21.217,6,5,3,2,0,793,1123,44,0,452.500,123.137,0.000,3.618,0.000,275.882,60.958,6.248,1,7,5,2,0,976,982,52,0,512.500,69.521,0.000,33.115,0.000,242.597,49.319,8.414,0,2,1,1,0,354,814,9,0,102.500,2.377,0.000,40.919,0.000,167.557,34.138,13.847,0,4,1,3,0,698,0,0,0,0,1,0,0,3,0,0,0,0
211,7.0,1610,822,31,136,1349,47,78,13,90.20,1.128,1.170,0.258,0.084,0.084,-0.587,1.522,0.2975,2.1744,0.841,0.331,0.043,0.132,-0.063,86,108,164,0,2,0,57995.13,1308.799,15999.226,114.662,402.611,21.824,12744.619,5906.446,17.392,8694.377,6955.502,5755.158,485.187,691.748,0.000157,-0.003853,76,0,154,10,151,141,28955,4,10,33.568,454,71,63,8,0,47,8,808,282,260,20,0,236,4,23758,581,31,13161.248,10378.035,227.082,13.100,27.543,6333.548,2734.709,856.156,136,151,55,94,2,11129,18079,356,24,7592.689,5019.533,157.320,21.776,5.385,5045.957,1597.461,438.395,56,87,38,49,0,6960,1603,59,10,1075.650,442.701,14.268,12.922,0.640,371.638,88.928,20.405,3,13,8,5,0,2308,982,29,0,252.500,73.697,0.000,9.489,0.000,237.757,51.021,9.124,0,5,3,2,0,859,866,18,7,271.900,29.648,3.467,15.254,0.000,211.278,41.800,5.457,0,3,1,2,0,523,652,4,0,47.500,0.712,0.000,8.552,0.000,132.191,24.302,7.194,0,5,3,2,0,968,0,0,0,0,1,0,0,0,0,0,0,0
241,8.0,1426,713,31,125,1201,34,66,13,113.71,1.118,1.173,0.243,0.081,0.086,-0.598,1.524,0.3144,2.1819,0.826,0.312,0.045,0.132,-0.062,51,165,153,0,6,0,49585.48,1286.073,14109.499,129.206,611.764,16.861,11498.937,5330.968,24.880,5910.925,4728.740,5048.563,234.403,614.490,0.000202,-0.002802,75,0,136,17,133,116,26040,5,17,55.525,412,81,81,8,0,52,21,614,134,127,22,1,96,8,21847,480,45,11414.855,8859.762,444.114,9.908,45.913,5772.262,2593.011,669.339,89,166,84,79,3,14320,16494,354,22,7422.666,5023.111,149.614,17.877,8.079,4555.271,1497.067,338.101,43,113,65,47,1,12232,1386,18,3,334.352,140.340,3.288,6.199,1.534,315.016,75.564,10.149,2,10,4,6,0,1740,808,18,0,135.000,36.634,0.000,21.097,0.000,191.383,38.515,16.846,0,5,4,1,0,1113,753,8,0,95.000,15.406,0.000,10.615,0.000,177.405,36.642,4.550,0,8,4,2,2,1841,497,3,0,40.000,2.312,0.000,7.985,0.000,92.851,13.648,7.133,0,5,4,1,0,1132,0,0,0,0,1,0,0,0,0,0,0,0
271,9.0,1317,547,31,119,1115,27,56,13,129.96,1.110,1.181,0.221,0.080,0.088,-0.606,1.526,0.3136,2.2066,0.826,0.286,0.045,0.132,-0.062,68,162,86,0,0,0,46812.15,1193.915,15456.233,69.557,462.469,17.705,10109.681,4677.084,22.888,5861.873,4689.498,2851.732,250.448,408.834,0.000156,-0.001493,72,0,74,12,75,63,23486,2,12,40.231,322,38,38,2,0,31,5,573,103,102,9,0,79,14,19684,536,26,11962.084,9401.103,252.252,6.819,27.243,5155.423,2331.068,480.493,84,125,84,41,0,13307,14580,406,27,8729.044,5880.491,182.543,4.704,8.121,3977.381,1423.350,265.533,49,94,68,26,0,11296,1162,20,13,294.469,118.581,10.541,0.000,4.866,260.321,61.052,4.592,0,6,4,2,0,1154,696,5,4,68.096,17.228,4.379,14.453,0.000,164.832,32.243,10.177,0,4,2,2,0,1029,553,5,0,55.000,9.590,0.000,0.303,0.000,128.026,26.030,1.795,0,3,2,1,0,766,367,3,0,22.500,0.380,0.000,3.047,0.000,58.766,8.598,2.802,0,4,2,2,0,1031,0,0,0,0,0,0,0,0,0,0,0,0
301,10.0,1218,474,30,112,1031,24,51,14,139.77,1.110,1.188,0.213,0.074,0.089,-0.607,1.535,0.3120,2.2115,0.864,0.304,0.035,0.131,-0.062,58,124,98,0,3,0,44604.78,1187.215,15467.760,69.273,438.055,14.249,9331.550,4237.636,23.379,5433.062,4346.449,3541.234,243.814,467.396,0.000145,-0.001963,56,0,88,10,90,81,22073,4,10,25.462,262,23,22,4,0,18,0,429,49,49,5,0,42,2,18761,536,30,11975.555,9379.931,259.850,10.225,22.196,4878.000,2162.262,452.279,79,121,59,62,0,13967,13311,392,22,8735.966,5850.240,174.419,12.709,2.615,3593.402,1285.038,199.744,43,85,59,24,2,12350,990,25,0,415.000,179.398,0.000,5.386,0.000,215.371,43.714,3.878,1,4,2,1,1,1017,611,12,0,107.500,30.657,0.000,5.613,0.000,145.075,28.999,3.391,0,2,2,0,0,556,486,11,0,117.500,16.074,0.000,6.097,0.651,113.051,20.626,2.229,0,1,1,0,0,242,262,3,0,22.500,0.405,0.000,3.781,0.000,39.200,5.026,2.314,0,2,1,1,0,564,0,0,0,0,0,0,0,0,0,0,0,0
