tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
391,13.0,2110,1382,46,281,1724,14,91,17,143.32,1.029,0.759,0.074,0.070,0.124,-0.690,1.572,0.3526,1.5720,0.738,0.210,0.049,0.131,-0.009,133,85,62,0,0,0,83111.51,3183.741,26323.805,15.925,1083.732,23.374,11708.615,4729.385,18.961,13532.267,10825.814,2267.524,1181.340,562.454,0.000213,-0.004197,262,0,58,4,52,51,25111,122,4,1.621,142,27,24,1,0,7,16
421,14.0,2301,1039,46,298,1916,9,78,21,156.71,1.034,0.766,0.075,0.069,0.122,-0.710,1.587,0.3543,1.6008,0.739,0.174,0.048,0.132,-0.011,131,95,69,0,0,0,90275.93,3607.090,29682.012,30.244,1646.352,18.952,12908.903,5403.573,28.478,14793.177,11834.542,2819.736,1191.026,844.572,0.000210,-0.006036,257,0,64,5,66,61,26771,70,5,20.328,122,19,17,1,0,8,8
451,15.0,2454,1041,43,322,2058,7,67,29,162.11,1.036,0.766,0.074,0.064,0.123,-0.725,1.590,0.3461,1.6285,0.715,0.161,0.047,0.133,-0.009,158,83,98,0,3,0,94368.05,3950.259,27803.471,19.582,1701.093,22.102,13902.275,5928.239,38.654,13786.446,11029.157,3104.826,1104.962,844.952,0.000163,-0.007290,318,0,91,7,92,85,28710,81,7,10.477,44,6,6,1,1,1,3
481,16.0,2638,960,43,339,2236,3,60,37,159.04,1.042,0.766,0.076,0.062,0.121,-0.744,1.599,0.3543,1.6155,0.702,0.156,0.044,0.134,-0.008,125,91,126,0,1,0,101611.89,4335.619,33593.636,64.600,1738.323,23.094,14859.610,6311.170,55.397,16501.557,13201.246,4329.205,955.317,939.000,0.000251,-0.009111,314,0,109,17,113,98,30677,66,17,36.389,44,6,6,4,0,2,0
511,17.0,2847,798,43,352,2441,3,51,35,162.90,1.047,0.771,0.080,0.062,0.119,-0.756,1.602,0.3468,1.6431,0.677,0.131,0.042,0.135,-0.008,138,96,169,0,8,0,109059.59,4660.659,38842.399,86.520,2355.298,20.888,16201.405,7194.409,57.805,19919.780,15935.824,5904.178,1491.320,1308.797,0.000184,-0.010160,486,0,151,18,157,142,33521,131,18,59.169,30,4,3,3,0,0,0
541,18.0,2965,739,43,360,2560,2,43,41,189.14,1.054,0.774,0.084,0.060,0.118,-0.767,1.597,0.3461,1.6430,0.680,0.128,0.038,0.135,-0.006,115,99,202,0,5,0,114257.91,4954.796,38197.486,87.108,2316.960,20.505,17142.874,7596.176,55.864,17543.732,14034.986,7179.195,1189.339,1368.875,0.000296,-0.010832,428,0,180,22,196,174,35056,72,22,69.616,4,2,2,2,0,0,0
571,19.0,3197,706,43,378,2781,2,36,45,178.85,1.060,0.779,0.084,0.057,0.116,-0.775,1.606,0.3462,1.6643,0.668,0.114,0.034,0.136,-0.006,113,83,165,0,5,0,122516.43,5246.412,42125.938,32.388,2397.199,18.391,18355.734,8122.554,66.733,20312.218,16249.774,5562.886,1773.770,1202.097,0.000243,-0.012322,409,0,155,10,165,155,37149,69,10,23.700,0,0,0,0,0,0,0
601,20.0,3398,623,38,386,2980,2,30,68,164.09,1.069,0.787,0.085,0.058,0.115,-0.781,1.606,0.3484,1.6680,0.688,0.098,0.033,0.136,-0.006,121,111,205,0,3,0,130562.82,5716.662,45279.383,76.212,2939.216,19.909,19786.319,9023.326,85.604,21823.210,17458.569,6961.089,1261.334,1543.557,0.000232,-0.011876,530,0,178,27,205,178,39722,72,27,66.139,0,0,0,0,0,0,0
631,21.0,3571,587,38,399,3146,0,26,77,167.97,1.077,0.792,0.084,0.058,0.114,-0.787,1.611,0.3546,1.6705,0.656,0.088,0.031,0.136,-0.005,115,108,245,0,5,0,136925.58,5997.972,46867.803,67.010,3152.496,16.645,21206.455,9810.161,110.386,22303.505,17842.804,8261.648,1057.410,1663.266,0.000169,-0.012099,546,0,217,28,245,217,42442,73,28,55.654,0,0,0,0,0,0,0
661,22.0,3820,550,38,423,3375,0,22,103,173.03,1.083,0.795,0.085,0.056,0.114,-0.791,1.613,0.3534,1.6797,0.664,0.061,0.027,0.136,-0.004,98,106,201,0,4,0,144181.28,6277.779,48459.934,48.442,3578.294,15.920,22728.319,10591.558,134.823,23590.889,18872.711,6763.763,1013.428,1580.385,0.000276,-0.011456,595,0,185,16,201,185,44751,68,16,39.793,0,0,0,0,0,0,0
