tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer
31,1.0,467,10769,0,152,117,91,107,0,14.33,0.865,0.789,0.168,0.159,0.225,-0.058,1.534,0.3121,1.3200,0.801,0.447,0.178,0.097,-0.008,38,0,30,0,0,0,25971.27,1386.820,8213.465,53.693,15.471,12.304,2232.719,583.756,0.000,3646.252,2917.002,1459.887,1544.506,199.569,0.000153,-0.000704,19,0,22,8,13,9,3490,0,8,10.906
61,2.0,519,9437,0,154,156,89,120,0,22.94,0.887,0.811,0.155,0.144,0.206,-0.118,1.540,0.3192,1.4558,0.784,0.506,0.170,0.095,-0.006,63,0,21,0,0,0,28268.84,1321.034,8517.853,46.847,86.891,17.672,2478.550,613.601,0.000,2931.932,2345.546,1026.955,2693.571,189.101,0.000135,-0.001861,53,0,18,3,5,3,4180,38,3,3.244
91,3.0,620,8116,0,154,231,87,148,1,27.78,0.913,0.841,0.136,0.127,0.179,-0.190,1.538,0.3176,1.6013,0.819,0.545,0.139,0.095,-0.002,76,0,18,0,0,0,32196.01,1325.622,10949.146,26.078,128.909,20.771,2862.512,737.940,0.150,4766.771,3813.417,832.544,2880.434,106.742,0.000144,-0.003358,49,0,16,2,10,10,5688,43,2,0.735
121,4.0,747,6972,0,158,321,86,182,0,36.33,0.935,0.879,0.124,0.117,0.158,-0.242,1.541,0.3103,1.7610,0.848,0.551,0.117,0.092,0.002,74,1,10,0,1,0,36402.25,1397.713,10927.601,24.110,82.557,26.293,3553.333,1001.451,2.253,5577.883,4462.307,592.588,1693.975,184.004,0.000091,-0.002763,26,0,9,1,4,4,8059,11,1,0.946
151,5.0,939,5527,55,163,469,84,223,0,48.43,0.955,0.919,0.108,0.101,0.138,-0.293,1.526,0.3165,1.9347,0.847,0.503,0.089,0.087,0.007,111,7,40,0,0,0,43405.16,1461.796,17079.446,26.343,155.064,23.133,4372.370,1360.867,0.000,9696.897,7757.517,1921.712,1613.205,357.143,0.000126,-0.002466,36,0,37,3,36,35,10890,6,3,4.119
181,6.0,1214,3831,55,172,710,75,257,2,60.44,0.984,0.963,0.091,0.085,0.121,-0.352,1.528,0.3163,2.0674,0.815,0.436,0.067,0.082,0.013,98,14,72,0,0,0,52386.27,1531.269,24357.630,74.067,382.434,24.101,5917.411,2167.771,0.174,15147.135,12117.709,3394.577,1825.452,647.050,0.000123,-0.002766,64,0,69,3,61,58,16381,8,3,14.772
211,7.0,1447,2319,55,175,936,67,269,4,84.66,0.995,1.009,0.085,0.075,0.109,-0.387,1.514,0.3218,2.2347,0.784,0.383,0.056,0.078,0.019,125,32,96,0,0,0,59867.01,1563.267,25032.804,73.598,383.244,21.141,7462.903,2947.134,2.723,14987.499,11990.000,3991.099,1110.477,677.087,0.000150,-0.001676,97,0,88,8,84,77,23346,58,8,26.897
241,8.0,1572,1355,55,174,1085,54,259,6,108.33,1.006,1.035,0.080,0.069,0.102,-0.414,1.498,0.3266,2.3159,0.816,0.310,0.048,0.074,0.023,110,36,120,0,0,0,60921.30,1601.580,20950.112,85.099,767.715,19.597,8493.724,3818.282,5.052,11567.083,9253.666,4821.016,1050.435,1080.574,0.000171,-0.002755,149,0,111,9,109,101,28119,65,9,24.630
271,9.0,1560,774,55,165,1117,37,241,8,128.89,1.006,1.056,0.077,0.064,0.099,-0.436,1.509,0.3329,2.4044,0.790,0.303,0.047,0.071,0.030,116,70,143,0,0,0,58243.07,1611.294,17277.864,95.164,917.936,16.151,8899.464,4232.469,8.542,8259.475,6607.580,5048.900,697.117,1124.170,0.000108,-0.003112,179,0,131,12,124,112,30384,47,12,20.685
301,10.0,1450,755,50,165,1038,26,221,8,150.78,1.000,1.066,0.076,0.056,0.102,-0.444,1.510,0.3125,2.4779,0.807,0.255,0.040,0.070,0.031,113,97,127,0,1,0,52260.86,1633.611,11699.145,98.588,674.115,14.653,8475.106,3859.832,12.331,4682.976,3746.381,4843.069,344.505,942.115,0.000185,-0.000638,159,0,116,11,102,93,29780,53,11,17.447
