tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,516,10317,0,147,167,100,102,0,12.67,0.941,0.891,0.147,0.131,0.204,-0.147,1.600,0.3166,1.4245,0.767,0.469,0.119,0.093,0.015,38,0,33,0,0,0,28190.91,1371.331,10754.256,79.206,47.104,9.773,2576.802,749.026,0.000,6079.231,4863.385,1763.563,921.403,171.253,0.000162,-0.000691,32,0,25,8,12,7,3927,5,8,11.741,920,123,82,14,3,65,0
61,2.0,689,8484,0,153,311,97,128,0,18.43,1.007,0.986,0.128,0.110,0.166,-0.317,1.586,0.3181,1.6155,0.805,0.510,0.099,0.081,0.029,66,0,21,0,0,0,35641.14,1358.178,15030.278,18.503,66.817,16.292,3457.277,1066.091,0.000,8428.553,6742.842,1040.349,1501.480,205.818,0.000105,0.000251,34,0,18,3,15,14,5769,6,3,2.529,898,83,33,4,0,23,6
91,3.0,954,6439,0,152,548,100,154,3,26.01,1.093,1.086,0.106,0.089,0.127,-0.442,1.572,0.3180,1.8089,0.817,0.480,0.074,0.072,0.044,77,0,67,0,0,0,45829.91,1387.740,23787.232,113.487,231.811,20.328,5273.242,1967.405,0.305,14934.126,11947.301,3045.815,1359.598,466.501,0.000200,0.000300,63,0,57,10,31,29,8929,13,10,7.361,841,128,76,26,2,42,6
121,4.0,1285,4141,0,147,866,87,185,4,44.89,1.147,1.167,0.090,0.073,0.101,-0.535,1.569,0.3193,2.0439,0.791,0.361,0.060,0.066,0.055,70,13,96,0,0,0,57556.35,1393.399,31526.130,119.941,607.634,17.069,7727.663,3334.603,4.771,19798.148,15838.519,3960.597,1628.301,697.465,0.000160,0.000859,90,0,89,7,50,46,12178,5,7,12.295,792,184,152,31,3,103,15
151,5.0,1522,2462,28,140,1100,80,202,7,61.44,1.167,1.211,0.084,0.067,0.089,-0.571,1.562,0.3305,2.1418,0.811,0.307,0.054,0.063,0.063,82,31,70,0,0,0,62067.82,1337.942,26138.345,57.233,826.301,19.941,10215.063,4720.652,8.126,15054.517,12043.614,2521.047,1886.246,660.012,0.000167,0.000683,118,0,60,10,48,43,15361,0,10,23.214,779,119,88,4,0,75,9
181,6.0,1641,1108,28,137,1214,77,213,8,89.51,1.174,1.235,0.074,0.064,0.085,-0.587,1.562,0.3285,2.2357,0.810,0.270,0.043,0.062,0.068,103,81,81,0,1,0,62826.59,1304.426,23009.486,124.708,755.407,18.930,11931.075,5095.083,10.014,12663.231,10130.585,2880.213,843.464,387.358,0.000098,0.000779,100,0,76,5,32,29,15861,5,5,11.589,788,150,139,38,9,69,22
211,7.0,1625,346,28,131,1231,62,201,6,106.67,1.176,1.254,0.066,0.061,0.084,-0.606,1.556,0.3329,2.3074,0.855,0.275,0.035,0.061,0.069,88,122,86,0,2,0,58383.20,1311.818,17974.740,73.340,660.690,19.688,12549.284,5109.370,8.907,8819.885,7055.908,2738.242,1149.193,484.317,0.000148,0.000620,85,0,78,8,50,46,16559,3,8,7.666,662,114,99,14,13,59,12
241,8.0,1422,303,28,129,1073,47,173,8,124.61,1.162,1.247,0.064,0.058,0.090,-0.612,1.556,0.3425,2.3279,0.855,0.225,0.036,0.060,0.069,75,159,95,0,1,0,45878.80,1307.897,6875.085,52.056,877.495,15.844,11625.591,4838.610,7.385,2348.986,1879.189,3092.718,105.302,600.032,0.000082,0.001122,112,0,91,4,72,70,15215,0,4,5.631,462,85,80,18,1,42,19
271,9.0,1224,309,28,129,921,37,137,9,153.35,1.147,1.233,0.064,0.057,0.099,-0.617,1.561,0.3312,2.3428,0.847,0.225,0.036,0.061,0.070,55,183,45,0,1,0,37495.32,1316.624,6302.624,27.478,430.602,10.838,9913.852,4215.898,10.959,1329.937,1063.950,1298.039,26.534,298.937,0.000106,0.000649,67,0,42,3,28,27,13328,0,3,1.754,393,77,57,8,0,24,25
301,10.0,1024,301,28,131,752,25,116,8,169.60,1.124,1.213,0.063,0.058,0.111,-0.623,1.564,0.3351,2.3624,0.828,0.229,0.037,0.061,0.068,51,190,50,0,0,0,32977.77,1343.227,7985.209,27.256,450.178,12.404,8220.705,3587.938,10.587,1757.997,1406.398,1322.430,68.067,311.919,0.000085,-0.000603,69,0,50,0,29,29,11066,4,0,0.000,379,36,36,10,0,21,5
