tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both,omnivore_intents,omnivore_strikes,omnivore_consumer_in_reach,omnivore_kills_consumer,omnivore_rejected_size,omnivore_rejected_damage,omnivore_rejected_both,g1_ticks,g1_food_items,g1_bite_count,g1_plant_gross,g1_food,g1_bites,g1_kill_consumer,g1_kill_plant,g1_metabolism,g1_movement,g1_strike,g1_births,g1_deaths,g1_deaths_starvation,g1_deaths_predation,g1_deaths_disease,g1_death_age_sum,g2_ticks,g2_food_items,g2_bite_count,g2_plant_gross,g2_food,g2_bites,g2_kill_consumer,g2_kill_plant,g2_metabolism,g2_movement,g2_strike,g2_births,g2_deaths,g2_deaths_starvation,g2_deaths_predation,g2_deaths_disease,g2_death_age_sum,o1_ticks,o1_food_items,o1_bite_count,o1_plant_gross,o1_food,o1_bites,o1_kill_consumer,o1_kill_plant,o1_metabolism,o1_movement,o1_strike,o1_births,o1_deaths,o1_deaths_starvation,o1_deaths_predation,o1_deaths_disease,o1_death_age_sum,o2_ticks,o2_food_items,o2_bite_count,o2_plant_gross,o2_food,o2_bites,o2_kill_consumer,o2_kill_plant,o2_metabolism,o2_movement,o2_strike,o2_births,o2_deaths,o2_deaths_starvation,o2_deaths_predation,o2_deaths_disease,o2_death_age_sum,h1_ticks,h1_food_items,h1_bite_count,h1_plant_gross,h1_food,h1_bites,h1_kill_consumer,h1_kill_plant,h1_metabolism,h1_movement,h1_strike,h1_births,h1_deaths,h1_deaths_starvation,h1_deaths_predation,h1_deaths_disease,h1_death_age_sum,h2_ticks,h2_food_items,h2_bite_count,h2_plant_gross,h2_food,h2_bites,h2_kill_consumer,h2_kill_plant,h2_metabolism,h2_movement,h2_strike,h2_births,h2_deaths,h2_deaths_starvation,h2_deaths_predation,h2_deaths_disease,h2_death_age_sum,cross_plant_grazer,cross_plant_omnivore,cross_plant_hunter,cross_grazer_plant,cross_grazer_omnivore,cross_grazer_hunter,cross_omnivore_plant,cross_omnivore_grazer,cross_omnivore_hunter,cross_hunter_plant,cross_hunter_grazer,cross_hunter_omnivore,ticks_all_plant_aq0,ticks_deep_plant_aq0,ticks_shallow_plant_aq0,ticks_all_plant_aq1,ticks_deep_plant_aq1,ticks_shallow_plant_aq1,ticks_all_plant_aq2,ticks_deep_plant_aq2,ticks_shallow_plant_aq2,ticks_all_plant_aq3,ticks_deep_plant_aq3,ticks_shallow_plant_aq3,ticks_all_consumer_aq0,ticks_deep_consumer_aq0,ticks_shallow_consumer_aq0,ticks_all_consumer_aq1,ticks_deep_consumer_aq1,ticks_shallow_consumer_aq1,ticks_all_consumer_aq2,ticks_deep_consumer_aq2,ticks_shallow_consumer_aq2,ticks_all_consumer_aq3,ticks_deep_consumer_aq3,ticks_shallow_consumer_aq3,water_movement_plant_deep,water_movement_plant_shallow,water_movement_consumer_deep,water_movement_consumer_shallow,crossings_plant,crossings_consumer,new_region_events,food_spawned_deep,food_spawned_shallow,food_spawned_land,food_eaten,food_eaten_deep,food_eaten_shallow,plant_on_deep,plant_on_shallow,plant_on_sand,plant_on_grass,plant_on_forest,plant_on_rock,grazer_on_deep,grazer_on_shallow,grazer_on_sand,grazer_on_grass,grazer_on_forest,grazer_on_rock,omnivore_on_deep,omnivore_on_shallow,omnivore_on_sand,omnivore_on_grass,omnivore_on_forest,omnivore_on_rock,hunter_on_deep,hunter_on_shallow,hunter_on_sand,hunter_on_grass,hunter_on_forest,hunter_on_rock,plant_in_r0,plant_in_r1,plant_in_r2,plant_in_r3,plant_in_r4,plant_in_r5,plant_in_rother,plant_in_rminor,grazer_in_r0,grazer_in_r1,grazer_in_r2,grazer_in_r3,grazer_in_r4,grazer_in_r5,grazer_in_rother,grazer_in_rminor,omnivore_in_r0,omnivore_in_r1,omnivore_in_r2,omnivore_in_r3,omnivore_in_r4,omnivore_in_r5,omnivore_in_rother,omnivore_in_rminor,hunter_in_r0,hunter_in_r1,hunter_in_r2,hunter_in_r3,hunter_in_r4,hunter_in_r5,hunter_in_rother,hunter_in_rminor,region_sep,region_null,region_species,region_confined,region_confined_null,biome_sep,biome_null,biome_species,biome_confined,biome_confined_null
31,1.0,513,7688,0,144,192,73,104,1,13.33,0.826,0.840,0.220,0.164,0.198,-0.286,1.574,0.3243,1.4914,0.825,0.465,0.068,0.096,0.019,47,0,30,0,0,0,25118.48,1377.410,7870.418,55.257,78.693,14.644,2336.487,1404.605,0.110,5019.560,4015.648,1533.636,862.826,163.414,0.000114,-0.001040,19,0,21,9,15,11,3926,10,9,14.067,808,60,46,5,0,41,0,1080,122,98,11,0,81,5,2623,336,5,6179.247,5684.757,50.069,0.164,4.777,497.794,396.193,21.964,106,3,0,3,0,36,1346,113,0,1775.000,991.235,0.000,0.483,3.595,262.581,159.752,7.980,6,5,0,5,0,50,1402,110,0,1507.500,534.083,0.000,4.554,3.532,299.053,187.876,9.829,3,6,0,6,0,87,1764,159,2,1781.127,290.809,3.304,11.240,1.829,385.976,217.980,6.612,3,3,0,3,0,47,1117,117,0,1350.000,90.898,0.000,3.241,0.268,228.062,162.341,3.571,0,1,0,1,0,1,1166,119,2,1512.056,22.555,0.102,21.508,0.066,270.660,148.766,6.675,0,3,0,3,0,28,2,3,0,0,5,1,0,0,0,0,0,0,2151,21,20,2079,0,47,0,0,0,0,0,0,4677,194,320,4741,158,257,0,0,0,0,0,0,1.247,1.598,162.073,87.137,0,0,0,61,44,109,1034,57,79,1,5,61,40,6,31,33,13,38,74,10,24,6,12,48,13,6,19,7,5,28,15,4,14,138,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,86,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.3411,0.3411,1,0,0
61,2.0,712,6696,0,144,407,66,95,2,27.88,0.814,0.900,0.177,0.143,0.146,-0.554,1.586,0.3222,1.7837,0.844,0.514,0.058,0.088,0.035,65,4,47,0,0,0,30420.65,1348.995,15418.968,66.400,39.359,19.999,2939.755,3179.549,1.814,8953.459,7162.767,2002.864,1419.720,197.791,0.000143,-0.002244,21,0,39,8,23,20,6666,6,8,9.884,753,108,79,12,0,39,28,1042,132,107,11,3,88,5,7070,675,1,14414.987,13550.541,23.375,0.087,5.753,1152.798,1893.888,115.392,227,18,1,17,0,467,1416,94,8,1418.754,799.562,6.962,1.432,0.000,276.914,201.970,6.457,8,3,1,2,0,126,1346,118,0,1865.000,690.882,0.000,1.652,2.117,289.619,246.738,8.986,6,7,0,7,0,233,1597,106,1,1027.672,172.665,0.823,11.418,1.979,349.287,249.254,7.295,0,8,0,8,0,345,1063,99,3,952.294,66.256,1.650,7.810,0.000,218.088,182.587,4.090,0,2,1,1,0,105,1033,93,2,1142.444,14.645,0.042,34.117,0.036,238.595,163.350,17.453,0,5,1,4,0,219,0,1,0,0,0,0,0,1,0,0,0,0,2219,30,116,2154,0,102,0,0,0,0,0,0,5613,1055,496,7912,2204,564,0,0,0,0,0,0,1.781,5.380,1701.297,124.033,0,0,0,74,51,111,1228,342,169,2,10,60,36,5,31,162,25,95,86,6,33,15,14,36,12,3,15,11,9,22,12,4,8,132,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.2992,0.2992,1,0,0
91,3.0,969,5426,0,150,667,64,88,2,33.03,0.799,0.950,0.168,0.122,0.117,-0.683,1.589,0.3197,2.0350,0.852,0.493,0.056,0.080,0.044,72,32,61,0,1,0,37299.35,1388.276,21984.844,89.674,75.442,21.701,3957.128,6186.252,5.180,12384.973,9907.978,2451.124,1276.834,230.589,0.000147,-0.001605,31,0,58,3,39,36,11312,16,3,13.897,733,67,39,15,0,19,5,957,95,80,12,0,66,2,13805,931,8,20843.972,19721.720,70.185,0.308,13.897,2173.659,4700.027,214.813,324,69,27,41,1,2149,1711,132,2,1816.624,1019.572,2.685,3.202,0.000,342.717,327.689,3.847,12,8,0,8,0,303,1289,129,0,2192.500,790.738,0.000,2.699,0.000,275.167,241.251,7.326,6,6,2,4,0,300,1437,106,0,1005.000,174.649,0.000,9.602,0.000,316.753,258.626,3.534,0,4,1,3,0,297,992,99,2,1281.298,92.878,1.256,10.048,0.000,211.471,160.215,5.995,0,3,1,2,0,225,975,76,3,896.068,10.585,0.046,49.917,0.000,215.099,163.349,11.534,0,1,1,0,0,85,0,0,0,0,0,2,0,3,0,0,0,0,2372,94,196,2050,20,155,0,0,0,0,0,0,7535,2638,706,12674,5745,781,0,0,0,0,0,0,8.220,7.853,4148.408,219.195,0,0,0,65,57,127,1519,638,250,5,15,60,37,4,29,337,37,95,103,6,89,20,15,31,9,1,12,12,10,17,14,2,9,130,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.3860,0.3860,1,0,0
121,4.0,1512,3508,0,152,1222,59,79,3,50.65,0.764,1.012,0.140,0.116,0.087,-0.797,1.596,0.3133,2.3231,0.837,0.461,0.046,0.073,0.052,99,99,73,0,0,0,52345.50,1448.480,40802.887,89.003,268.418,22.341,5611.587,12006.255,5.537,24377.456,19501.965,2689.233,1832.442,273.676,0.000139,-0.001422,88,0,67,6,47,44,18387,62,6,15.657,727,88,85,17,1,59,8,833,118,80,21,0,58,1,25423,1673,20,40172.118,37816.023,257.820,0.421,14.763,3798.815,10235.490,348.337,677,140,84,56,0,5951,2002,207,0,3180.000,1982.808,0.000,0.454,0.000,420.924,322.333,11.589,26,9,4,5,0,704,1237,95,4,1847.237,624.114,4.465,9.085,0.000,260.672,353.231,14.529,2,5,3,2,0,436,1302,77,0,822.500,136.822,0.000,8.320,0.000,283.326,244.236,8.745,1,6,4,2,0,613,941,80,0,1160.000,84.900,0.000,8.010,0.813,203.432,139.961,4.142,1,3,1,2,0,318,943,39,2,462.148,6.933,0.216,47.055,0.081,208.304,207.581,19.718,0,3,3,0,0,346,0,0,0,0,0,0,0,1,0,0,0,0,2503,146,276,2041,41,223,0,0,0,0,0,0,10780,4199,1250,21037,12648,1294,31,31,0,0,0,0,15.706,12.221,8844.504,329.642,0,0,0,88,58,147,2211,1294,378,8,19,60,37,3,25,744,148,109,108,2,111,27,13,20,11,0,8,16,11,15,9,1,7,125,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,1.0000,1.0000,1,1,1,0.5258,0.5258,1,0,0
151,5.0,1925,1515,44,154,1648,51,72,6,58.22,0.747,1.043,0.135,0.105,0.076,-0.840,1.591,0.3277,2.5277,0.835,0.403,0.034,0.068,0.057,104,205,198,0,0,0,60130.70,1441.335,45817.002,112.222,605.444,23.270,7905.807,18526.350,6.111,27548.812,22039.050,5676.046,1377.096,584.184,0.000116,-0.000995,64,0,194,4,146,144,28581,24,4,6.670,650,122,122,36,0,86,0,868,126,118,28,0,90,0,41983,1972,34,47330.491,43964.702,555.831,0.901,0.000,6042.487,16460.066,552.117,786,373,185,188,0,17816,2595,178,3,2239.345,1313.884,40.419,2.839,0.000,571.992,461.539,12.532,19,9,5,4,0,884,1160,35,3,695.162,239.628,4.569,6.542,3.826,239.079,344.484,13.954,4,2,2,0,0,277,1185,42,0,577.500,112.456,0.000,15.243,2.845,252.001,214.879,7.536,0,7,6,1,0,1009,844,34,0,465.000,32.783,0.000,5.779,0.000,174.621,142.037,5.095,0,3,3,0,0,326,817,13,0,202.500,1.845,0.000,74.247,0.000,182.065,180.455,27.161,0,5,4,1,0,632,1,0,0,0,1,0,0,3,0,0,0,0,2582,210,303,2057,86,297,0,0,0,0,0,0,14865,6677,2972,33630,18734,6540,89,21,68,0,0,0,28.820,11.584,13918.333,1616.770,0,0,0,82,79,156,2310,887,943,13,22,57,37,5,20,670,488,259,161,4,66,29,8,14,14,0,7,19,5,13,9,2,3,119,0,0,0,0,0,0,0,490,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,1.0000,1.0000,5,5,5,0.4447,0.4096,8,0,0
181,6.0,1872,688,44,164,1622,33,53,4,77.31,0.741,1.052,0.119,0.111,0.081,-0.861,1.603,0.3219,2.6040,0.784,0.372,0.029,0.068,0.055,92,300,180,0,1,0,54780.48,1465.573,24892.229,118.202,770.952,16.820,8615.182,15072.298,7.433,14583.779,11667.024,4475.025,263.690,475.845,0.000154,-0.000949,69,0,177,3,107,105,31126,12,3,6.958,508,107,106,46,0,60,0,780,180,166,40,1,119,6,47663,1100,54,26982.525,24309.512,750.737,0.878,6.599,6926.101,12971.755,509.258,408,419,251,167,1,25580,2550,51,1,720.977,432.306,3.433,2.212,0.000,560.586,783.110,16.201,7,22,17,5,0,1716,1034,7,1,74.929,26.758,1.973,4.483,0.000,211.015,272.798,24.174,0,10,8,2,0,1401,880,9,1,120.957,14.516,8.084,22.293,0.000,190.769,152.017,6.483,0,9,9,0,0,1460,656,11,0,82.500,8.086,0.000,23.509,0.359,127.626,108.244,15.660,0,9,7,2,0,1380,578,4,0,47.500,0.660,0.000,57.868,0.000,130.630,78.219,29.472,0,9,8,1,0,1487,0,0,0,0,0,0,0,0,0,0,0,0,2703,304,387,2051,143,264,0,0,0,0,0,0,15506,6320,3224,37738,8794,12523,117,0,14,0,0,0,34.367,12.497,7550.769,2962.048,0,0,0,117,83,178,1205,195,488,16,23,60,43,4,18,322,452,462,316,13,57,23,7,8,9,0,6,12,1,8,6,4,2,125,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1.0000,1.0000,6,6,6,0.4075,0.3691,8,0,0
211,7.0,1694,422,44,159,1479,21,35,8,92.73,0.727,1.053,0.091,0.110,0.083,-0.883,1.612,0.3221,2.7461,0.785,0.340,0.024,0.069,0.053,86,269,130,0,1,0,46332.31,1483.914,15621.739,99.295,634.124,15.009,7895.387,12219.372,5.962,7272.713,5818.170,3443.368,235.293,399.188,0.000115,-0.000872,174,0,122,8,96,89,27988,117,8,31.486,342,94,93,20,0,73,0,661,99,95,19,0,76,0,45638,665,53,16893.519,15308.518,597.071,0.989,29.022,6582.750,10676.707,452.636,218,331,215,115,1,25410,1870,27,4,407.028,218.256,18.300,0.183,2.363,420.286,563.909,9.403,1,31,26,5,0,3386,684,3,0,40.000,15.896,0.000,1.334,0.000,124.860,163.687,9.334,0,9,8,1,0,1481,629,7,0,87.500,15.353,0.000,13.341,0.000,134.993,119.880,6.973,0,9,9,0,0,1778,378,8,0,112.500,8.445,0.000,27.467,0.101,67.851,45.757,12.515,0,9,8,1,0,1737,418,4,0,82.500,2.020,0.000,24.495,0.000,87.657,41.040,4.347,0,3,3,0,0,601,0,0,0,0,0,0,0,0,0,0,0,0,2741,410,454,2096,213,229,0,0,0,0,0,0,13765,4194,2415,35732,5352,8356,120,0,0,0,0,0,44.704,11.636,4526.613,1995.596,0,0,0,156,90,212,724,122,141,25,24,48,38,4,20,348,216,421,326,77,91,18,4,4,4,0,5,5,2,3,6,3,2,110,0,0,0,0,0,0,0,915,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,1.0000,1.0000,5,5,5,0.3927,0.3364,8,0,0
241,8.0,1309,475,44,157,1117,14,21,8,102.97,0.718,1.037,0.085,0.106,0.097,-0.893,1.605,0.3189,2.7130,0.804,0.325,0.025,0.069,0.052,73,377,90,0,3,0,35163.81,1501.385,9323.734,53.224,496.979,13.059,6445.026,12539.083,11.767,2896.528,2317.222,2050.491,104.940,316.231,0.000123,-0.001643,67,0,88,2,67,65,22804,16,2,5.235,249,67,57,11,0,46,0,441,55,50,21,0,29,0,38225,396,45,10240.106,9161.455,485.998,0.640,0.000,5477.329,11650.183,278.589,82,425,336,86,3,38939,1059,11,0,187.500,113.609,0.000,0.713,0.000,243.248,249.604,3.502,0,19,17,2,0,2902,455,4,0,47.500,19.216,0.000,3.263,5.235,84.994,103.603,10.422,0,8,8,0,0,1813,362,4,0,30.000,5.883,0.000,12.732,0.000,74.943,61.905,5.050,0,6,6,0,0,1214,248,2,2,40.038,2.400,0.678,18.821,0.000,42.997,22.875,7.925,0,1,1,0,0,219,260,0,4,91.309,0.000,2.415,11.820,0.000,50.853,19.979,1.310,0,6,6,0,0,1346,0,0,0,0,0,0,0,0,0,0,0,0,2734,592,474,2053,240,281,0,0,0,0,0,0,10628,3362,1582,29919,9785,3621,62,29,0,0,0,0,59.390,11.685,6993.062,872.776,0,0,0,157,84,233,421,150,71,29,25,44,37,4,18,478,112,255,112,25,135,8,2,1,5,0,5,1,2,1,5,3,2,103,0,0,0,0,0,0,0,527,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1.0000,1.0000,3,3,3,0.4465,0.3833,7,0,0
271,9.0,1000,572,44,161,816,9,14,5,119.23,0.727,0.992,0.086,0.097,0.118,-0.897,1.607,0.3209,2.5131,0.776,0.348,0.032,0.069,0.054,66,372,22,0,4,0,30231.84,1524.302,10365.741,14.141,363.793,13.215,4846.981,10566.218,10.629,3077.375,2461.900,570.726,94.433,131.695,0.000110,-0.002314,56,0,21,1,15,15,16975,9,1,0.042,228,41,38,2,0,36,0,256,29,29,12,0,17,0,28213,437,43,11204.090,10203.648,362.863,0.083,0.000,4072.881,10020.951,142.635,84,380,355,21,4,41035,711,16,0,207.500,119.270,0.000,0.000,0.000,153.204,144.501,0.000,0,5,5,0,0,880,253,3,0,22.500,8.789,0.000,3.794,0.000,44.122,47.511,5.737,0,3,3,0,0,736,251,1,0,25.000,5.621,0.000,3.858,0.000,50.808,38.382,2.266,0,4,4,0,0,1035,190,4,0,30.000,2.330,0.000,1.743,0.000,34.731,27.771,0.872,0,3,3,0,0,763,143,3,4,44.862,0.166,0.592,4.622,0.042,28.374,7.722,0.944,0,2,2,0,0,505,0,0,0,0,0,0,0,0,0,0,0,0,2714,675,441,2037,275,319,0,0,0,0,0,0,7801,2716,1204,21900,10407,2163,60,60,0,0,0,0,66.818,12.214,7257.571,526.220,0,0,0,178,115,277,473,192,81,35,27,42,41,2,14,356,102,153,96,12,97,6,0,2,3,0,3,2,1,1,2,3,0,99,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1.0000,1.0000,3,3,3,0.4682,0.3925,7,0,0
301,10.0,897,658,29,163,720,6,8,4,143.73,0.731,0.972,0.077,0.097,0.130,-0.909,1.611,0.3180,2.3863,0.816,0.337,0.031,0.069,0.056,66,208,19,0,2,0,28708.31,1649.009,10222.466,11.623,430.365,11.500,3951.616,7559.933,7.650,4415.576,3532.461,555.944,304.061,144.302,0.000121,-0.003271,45,0,17,2,10,10,12892,16,2,1.831,139,27,26,3,0,14,9,176,13,7,4,0,3,0,22201,432,26,11011.588,10062.155,360.429,0.022,0.000,3276.879,7167.400,111.169,121,209,191,16,2,27028,491,15,2,229.556,125.200,5.549,0.000,0.000,101.384,76.819,0.104,0,8,7,1,0,1652,150,3,1,44.952,15.998,1.645,0.000,0.000,26.361,30.549,0.213,0,4,4,0,0,1093,149,3,0,22.500,2.953,0.000,4.339,1.280,30.119,14.577,1.471,0,2,2,0,0,571,123,2,0,15.000,1.350,0.000,5.431,0.551,22.564,18.807,3.550,0,2,2,0,0,575,107,1,0,7.500,0.036,0.000,0.000,0.000,19.583,4.522,0.297,0,1,1,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,2833,758,520,2058,318,370,0,0,0,0,0,0,6231,1862,893,16924,7594,2035,66,60,6,0,0,0,70.865,18.952,4947.229,456.234,0,0,0,176,114,258,462,178,84,38,29,40,43,0,13,270,110,172,83,13,72,2,2,1,2,1,0,1,1,0,2,2,0,96,0,0,0,0,0,0,0,340,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1.0000,1.0000,5,5,5,0.4375,0.3824,10,0,0
