tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,495,10558,0,154,146,97,98,0,14.33,0.908,0.874,0.155,0.149,0.220,-0.089,1.595,0.3200,1.4034,0.782,0.422,0.150,0.096,0.013,39,0,33,0,0,0,27700.53,1388.796,9934.456,87.190,30.630,9.915,2498.926,670.059,0.000,5035.327,4028.262,1753.842,1007.244,156.785,0.000125,-0.000682,19,0,25,8,11,5,3653,0,8,14.830,949,130,94,16,3,75,0
61,2.0,614,9099,0,159,237,95,123,0,21.34,0.951,0.959,0.135,0.148,0.191,-0.207,1.575,0.3230,1.5967,0.834,0.465,0.127,0.089,0.024,66,0,25,0,0,0,31981.55,1416.024,11012.987,19.654,99.187,17.006,3107.106,880.578,0.000,5946.632,4757.305,1165.692,1571.386,253.555,0.000128,-0.000325,64,0,20,5,20,17,4997,36,5,6.096,924,65,59,2,0,49,8
91,3.0,812,7395,0,157,405,94,156,0,27.38,1.007,1.063,0.111,0.135,0.154,-0.318,1.564,0.3224,1.8057,0.826,0.465,0.096,0.084,0.036,68,0,65,0,0,0,40130.88,1483.140,18697.228,50.311,142.911,19.214,4253.193,1374.575,0.000,11176.302,8941.042,2498.002,1335.856,384.464,0.000160,0.000350,38,0,59,6,50,49,6880,9,6,4.517,860,105,93,8,3,81,1
121,4.0,1229,5043,0,160,777,88,204,1,37.12,1.050,1.186,0.088,0.132,0.119,-0.448,1.563,0.3453,2.1382,0.829,0.419,0.069,0.079,0.051,78,7,48,0,0,0,56395.18,1478.064,32233.938,45.086,255.996,16.792,6388.059,2370.008,0.087,19807.502,15846.002,2060.100,2340.624,372.417,0.000177,0.002728,68,0,43,5,36,32,10413,22,5,7.521,874,137,118,9,2,100,7
151,5.0,1701,2367,71,167,1198,83,253,1,47.60,1.083,1.264,0.075,0.130,0.103,-0.513,1.578,0.3422,2.3234,0.793,0.347,0.051,0.076,0.052,104,19,119,0,0,0,73275.02,1509.267,41981.828,153.734,594.302,17.946,9816.931,4051.911,1.300,26031.876,20825.501,5224.890,1672.684,790.898,0.000106,0.002478,89,0,115,4,72,69,14680,6,4,15.917,837,154,148,38,0,98,12
181,6.0,1976,841,71,164,1478,76,258,1,70.75,1.095,1.299,0.066,0.125,0.095,-0.550,1.571,0.3452,2.4033,0.829,0.262,0.045,0.074,0.055,107,46,91,0,0,0,77807.52,1518.892,30497.163,87.990,1253.921,19.488,13033.771,5615.316,1.300,17566.370,14053.097,3327.832,1174.896,905.157,0.000169,0.002992,187,0,84,7,59,57,17105,4,7,7.975,830,149,129,23,8,59,37
211,7.0,1928,412,71,153,1462,64,249,2,99.08,1.095,1.305,0.062,0.116,0.093,-0.563,1.577,0.3441,2.4291,0.869,0.190,0.041,0.074,0.056,99,87,125,0,0,0,68369.22,1519.616,15775.931,90.488,1209.780,20.598,13894.949,6009.090,1.408,7028.470,5622.776,4215.227,357.093,940.869,0.000160,0.003875,187,0,115,10,93,86,18339,2,10,15.183,748,147,139,23,4,90,21
241,8.0,1726,390,71,148,1309,51,218,0,126.03,1.089,1.301,0.059,0.109,0.097,-0.566,1.576,0.3590,2.4429,0.852,0.216,0.038,0.073,0.054,82,135,143,0,1,0,56260.58,1501.773,10659.937,92.065,530.158,15.095,12897.650,5597.481,1.777,3224.663,2579.730,4345.436,130.048,745.090,0.000155,0.004690,120,0,134,9,117,109,19098,1,9,18.448,639,107,103,16,1,66,20
271,9.0,1536,384,71,140,1166,40,190,2,141.73,1.082,1.297,0.058,0.105,0.101,-0.573,1.601,0.3607,2.4487,0.852,0.171,0.039,0.073,0.053,65,176,92,0,0,0,50108.67,1498.025,12564.736,54.960,733.162,11.644,11404.507,5049.376,0.192,3244.571,2595.657,2509.471,80.034,577.138,0.000115,0.005610,112,0,80,12,71,63,16971,0,12,14.729,509,111,85,14,0,50,19
301,10.0,1379,404,60,139,1038,32,170,6,158.35,1.077,1.293,0.057,0.104,0.107,-0.579,1.600,0.3534,2.4434,0.857,0.187,0.042,0.072,0.053,57,156,83,0,1,0,46516.73,1496.636,13081.385,59.374,552.891,8.940,10125.976,4504.876,4.276,3536.163,2828.930,2324.024,79.558,483.394,0.000104,0.005538,84,0,80,3,55,52,14626,0,3,7.330,439,57,57,10,0,35,12
331,11.0,1293,498,60,141,986,20,146,11,185.60,1.070,1.288,0.058,0.095,0.110,-0.602,1.593,0.3547,2.4782,0.833,0.177,0.041,0.072,0.055,44,125,61,0,0,0,45387.25,1551.302,14016.655,51.105,435.868,8.708,9248.261,4028.461,12.593,4197.476,3357.981,2026.352,201.229,392.152,0.000115,0.005072,67,0,56,5,48,43,14050,0,5,15.766,328,41,41,10,0,27,4
361,12.0,1240,590,60,137,975,15,113,12,211.51,1.074,1.296,0.057,0.099,0.111,-0.630,1.606,0.3552,2.5275,0.801,0.161,0.044,0.071,0.057,45,99,81,0,2,0,46196.38,1573.604,16443.530,72.840,495.241,7.561,8707.742,3842.768,19.097,5492.733,4394.187,2722.693,445.041,444.958,0.000099,0.005235,75,0,73,8,59,52,13259,5,8,17.836,242,46,38,16,0,22,0
391,13.0,1313,634,60,141,1062,12,98,12,208.60,1.080,1.309,0.056,0.105,0.108,-0.656,1.602,0.3490,2.5631,0.798,0.177,0.038,0.071,0.062,64,66,53,0,1,0,49763.95,1638.606,19242.696,69.801,581.836,7.749,8825.731,3895.459,17.448,8151.861,6521.489,1972.053,626.488,415.972,0.000118,0.004938,74,0,48,5,37,32,12482,0,5,17.540,209,40,40,12,2,21,5
421,14.0,1391,608,60,146,1145,11,89,16,199.29,1.081,1.317,0.056,0.099,0.107,-0.673,1.595,0.3520,2.5911,0.818,0.185,0.036,0.071,0.064,54,56,55,0,0,0,54452.30,1790.886,20975.004,19.024,497.425,8.299,9427.167,4222.581,23.537,7883.552,6306.842,1895.024,543.185,408.362,0.000103,0.004577,95,0,51,4,51,47,13074,21,4,6.468,180,22,22,4,0,14,4
451,15.0,1512,586,45,150,1272,9,81,20,209.70,1.090,1.329,0.057,0.096,0.104,-0.690,1.587,0.3537,2.6093,0.797,0.160,0.036,0.070,0.066,65,49,70,0,2,0,60526.91,1927.241,24596.460,42.468,820.561,8.933,10218.610,4719.070,25.727,10302.326,8241.861,2406.355,519.507,541.824,0.000110,0.004047,122,0,66,4,60,56,13812,29,4,18.603,180,23,20,10,0,7,3
