tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
9601,320.0,6000,88,26,2067,3933,0,0,4491,423.04,1.063,1.014,0.127,0.051,0.333,-0.957,1.900,0.5393,2.3622,0.637,0.041,0.242,0.157,-0.145,45,14,52,6,190,0,278205.69,45760.377,61722.317,39.657,31884.882,9.358,45299.547,19102.239,6989.326,12396.175,9916.940,4960.032,8854.516,1621.881,0.000313,-0.053404,7299,0,33,19,52,33,14985,10,19,39.539,0,0,0,0,0,0,0
9631,321.0,5997,108,26,2046,3951,0,0,4498,480.00,1.067,1.018,0.127,0.052,0.331,-0.957,1.899,0.5445,2.3324,0.658,0.046,0.304,0.157,-0.145,45,13,37,6,187,0,296736.69,47360.763,64177.994,36.803,33026.697,9.650,45516.281,19136.326,7133.908,11197.520,8958.016,4846.264,12580.405,1591.889,0.000336,-0.053856,7322,0,17,20,36,17,14697,9,19,36.471,0,0,0,0,0,0,0
9661,322.0,5998,106,26,2019,3978,0,1,4469,460.44,1.072,1.021,0.127,0.052,0.327,-0.956,1.899,0.5464,2.3593,0.662,0.054,0.352,0.157,-0.146,25,11,30,2,164,0,315530.62,48973.075,66259.296,25.198,34531.680,9.855,45723.964,19046.284,7124.628,9742.007,7793.605,4106.584,16807.675,1706.097,0.000582,-0.057078,7180,0,14,16,30,14,14597,6,16,25.159,0,0,0,0,0,0,0
9691,323.0,6000,91,26,2001,3998,0,1,4431,509.27,1.075,1.025,0.127,0.052,0.325,-0.956,1.899,0.5366,2.3637,0.657,0.058,0.397,0.157,-0.146,28,10,29,2,166,0,331084.66,49655.030,69266.780,40.472,34928.379,8.111,45957.418,19209.247,7094.181,9757.362,7805.890,5700.700,21837.746,1657.487,0.000421,-0.058550,7138,0,12,17,29,12,14571,4,17,40.445,0,0,0,0,0,0,0
9721,324.0,6000,100,26,1976,4023,0,1,4393,593.88,1.080,1.028,0.127,0.052,0.321,-0.956,1.899,0.5392,2.3805,0.661,0.057,0.442,0.157,-0.146,34,15,19,5,147,0,348141.50,50761.101,72423.023,16.240,37749.772,8.496,46160.758,19470.205,7083.041,8745.232,6996.186,5204.739,24663.611,1812.115,0.000478,-0.060426,7233,0,13,6,19,13,14194,8,6,16.232,0,0,0,0,0,0,0
9751,325.0,5998,112,27,1951,4046,0,1,4364,616.15,1.084,1.031,0.126,0.052,0.318,-0.956,1.899,0.5424,2.3571,0.664,0.059,0.497,0.157,-0.146,35,6,11,1,107,0,363460.19,51110.752,73421.523,7.362,37981.626,8.984,46415.037,19648.588,7037.997,5890.862,4712.690,4305.624,28875.716,1759.802,0.000420,-0.058917,7290,0,5,6,11,5,14389,6,6,7.349,0,0,0,0,0,0,0
9781,326.0,5997,110,27,1927,4069,0,1,4383,571.42,1.087,1.034,0.126,0.051,0.315,-0.956,1.900,0.5445,2.3654,0.660,0.075,0.542,0.156,-0.146,39,9,7,3,117,0,377024.28,51113.026,75480.469,9.302,37771.782,9.894,46698.722,19694.511,7067.890,6447.587,5158.070,4478.942,32096.950,1712.183,0.000418,-0.058652,7305,0,0,7,6,0,14260,2,6,9.154,0,0,0,0,0,0,0
9811,327.0,5998,119,27,1918,4080,0,0,4400,589.07,1.089,1.035,0.127,0.051,0.314,-0.957,1.900,0.5444,2.3710,0.685,0.089,0.586,0.156,-0.146,31,8,11,4,106,0,391429.09,53036.682,77526.606,10.226,37935.984,9.273,46866.108,19724.607,7097.401,6109.913,4887.931,4236.969,35295.095,1726.534,0.000368,-0.060262,7014,0,5,6,11,5,14422,4,6,10.215,0,0,0,0,0,0,0
9841,328.0,6000,108,27,1899,4101,0,0,4442,653.47,1.092,1.038,0.126,0.052,0.311,-0.957,1.901,0.5418,2.3827,0.663,0.078,0.613,0.156,-0.146,26,8,12,3,104,0,401225.12,52469.669,78782.345,22.050,39901.941,9.611,47111.229,19841.301,7152.885,5962.412,4769.930,4758.480,39611.679,1809.980,0.000558,-0.060979,6997,0,4,8,12,4,14116,10,8,22.049,0,0,0,0,0,0,0
9871,329.0,6000,110,27,1872,4128,0,0,4500,744.03,1.097,1.041,0.125,0.053,0.308,-0.957,1.900,0.5418,2.3720,0.687,0.087,0.633,0.156,-0.146,31,10,16,5,100,0,409123.59,52319.417,77549.130,36.204,39585.403,9.116,47396.395,19897.520,7244.718,6192.608,4954.086,5176.161,39234.172,1818.780,0.000473,-0.063389,7057,0,6,10,15,6,13980,4,9,35.991,0,0,0,0,0,0,0
