tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,455,11793,0,137,157,79,82,0,10.92,0.857,0.795,0.207,0.171,0.212,-0.194,1.532,0.3251,1.2521,0.830,0.460,0.198,0.106,-0.005,33,0,62,0,0,0,25750.48,1267.424,9921.419,86.440,59.881,11.373,2271.024,667.947,0.000,4145.452,3316.362,3065.887,1739.093,303.095,0.000148,-0.001841,22,0,44,18,50,37,3518,0,18,42.739,691,108,88,7,0,72,9
61,2.0,632,10603,0,146,317,78,91,0,15.19,0.829,0.794,0.206,0.141,0.174,-0.399,1.530,0.3258,1.3454,0.788,0.432,0.191,0.115,0.001,49,0,19,0,0,0,32744.58,1231.935,14151.831,19.994,111.367,15.475,2725.457,766.633,0.000,6895.556,5516.445,832.870,2525.339,180.255,0.000083,-0.002481,37,0,16,3,15,12,4528,5,3,10.083,637,83,63,0,0,61,2
91,3.0,979,9306,0,144,665,77,93,4,20.92,0.787,0.816,0.203,0.119,0.136,-0.597,1.535,0.3224,1.6171,0.829,0.444,0.122,0.125,0.016,61,0,19,0,0,0,44094.89,1253.532,21508.821,22.924,230.698,26.096,3826.644,1234.620,0.408,12420.410,9936.328,826.244,2899.301,163.661,0.000196,-0.004744,65,0,13,6,12,6,8562,4,6,11.907,623,65,36,0,0,30,6
121,4.0,1597,7425,0,149,1281,72,95,12,28.59,0.745,0.846,0.148,0.104,0.109,-0.725,1.538,0.3263,1.8978,0.844,0.430,0.088,0.128,0.032,92,2,105,0,0,0,64453.95,1310.333,38770.758,20.514,203.536,24.021,5603.929,2082.037,11.443,24128.647,19302.918,3683.191,3044.843,491.378,0.000176,-0.005995,57,0,105,0,97,97,16123,0,0,0.000,592,54,38,0,0,36,2
151,5.0,2591,4835,51,148,2280,69,94,20,41.12,0.730,0.900,0.122,0.095,0.093,-0.790,1.529,0.3342,2.1598,0.867,0.399,0.065,0.131,0.050,130,8,150,0,0,0,97073.26,1372.113,60542.002,70.503,726.459,30.121,8939.030,3773.140,22.422,38580.813,30864.651,4404.481,3938.823,571.248,0.000225,-0.008691,75,0,147,3,128,125,29542,2,3,8.348,604,104,102,22,0,79,1
181,6.0,3890,1826,51,147,3587,62,94,34,53.39,0.709,0.961,0.102,0.096,0.086,-0.822,1.526,0.3346,2.4033,0.871,0.340,0.040,0.133,0.070,145,21,267,0,0,0,133092.06,1382.025,77483.275,129.533,987.041,33.702,14022.209,6753.671,37.038,52806.932,42245.546,8293.105,2318.903,989.710,0.000159,-0.007367,89,0,264,3,221,218,47651,0,3,10.759,539,191,191,35,0,154,2
211,7.0,4288,965,51,149,4003,55,81,56,66.07,0.700,0.992,0.091,0.095,0.087,-0.832,1.516,0.3301,2.5190,0.874,0.302,0.028,0.135,0.077,145,55,357,0,4,0,132341.92,1426.110,42157.930,103.695,849.411,29.560,17670.739,9290.418,60.645,26896.749,21517.400,10375.175,434.978,1226.581,0.000180,-0.007059,93,0,355,2,314,312,61435,0,2,6.039,482,205,200,25,0,173,2
241,8.0,4385,558,51,148,4127,46,64,76,92.11,0.695,1.010,0.086,0.095,0.088,-0.839,1.519,0.3288,2.5835,0.841,0.264,0.023,0.136,0.079,91,99,398,0,5,0,128331.39,1493.301,38812.957,120.604,1125.460,18.122,18393.017,9812.942,82.731,19826.247,15860.998,10684.001,260.717,1238.731,0.000213,-0.009681,116,0,391,7,343,336,62558,0,7,23.122,432,206,205,20,0,183,2
271,9.0,4403,455,51,141,4173,32,57,95,123.36,0.693,1.018,0.079,0.093,0.089,-0.849,1.528,0.3306,2.6163,0.882,0.199,0.017,0.137,0.082,88,137,345,0,12,0,124274.81,1523.356,37004.534,87.671,1210.482,16.373,18687.516,9820.207,118.095,17159.544,13727.635,9278.745,213.644,1122.025,0.000192,-0.010233,136,0,336,9,318,309,62842,0,9,28.104,278,112,109,6,0,103,0
301,10.0,4363,448,49,139,4147,27,50,107,133.10,0.696,1.019,0.072,0.087,0.089,-0.853,1.523,0.3398,2.6131,0.876,0.173,0.018,0.138,0.083,75,220,295,0,13,0,123807.62,1528.565,38601.063,86.165,987.586,13.401,18520.502,9632.740,133.872,16587.837,13270.270,7929.727,203.508,945.058,0.000206,-0.011158,101,0,291,4,267,263,63190,0,4,11.603,160,57,57,16,0,38,3
331,11.0,4413,462,49,142,4210,22,39,132,145.66,0.701,1.023,0.067,0.083,0.090,-0.860,1.527,0.3359,2.6129,0.852,0.134,0.020,0.138,0.084,57,223,244,0,10,0,128510.44,1607.137,42203.923,61.502,1032.839,10.346,18501.096,9744.745,148.170,18015.980,14412.784,6174.820,243.643,754.083,0.000129,-0.011859,124,0,243,1,219,218,62817,2,1,2.906,135,51,51,13,0,38,0
361,12.0,4592,492,49,141,4399,17,35,180,146.76,0.710,1.020,0.063,0.079,0.089,-0.866,1.528,0.3453,2.5840,0.870,0.128,0.018,0.140,0.086,73,185,237,0,15,0,134141.23,1659.270,45265.811,42.660,1201.617,11.456,19149.436,10154.113,196.604,21274.441,17019.553,6549.894,188.077,843.923,0.000247,-0.014526,155,0,234,3,215,213,64626,4,3,6.728,115,28,27,6,0,21,0
391,13.0,4782,503,49,138,4604,11,29,221,167.54,0.718,1.022,0.063,0.077,0.088,-0.871,1.537,0.3397,2.5905,0.841,0.123,0.019,0.141,0.086,67,188,295,0,13,0,143353.19,1759.178,52173.859,67.339,890.039,10.786,20093.369,10697.930,264.656,23798.868,19039.095,7788.435,258.160,926.098,0.000218,-0.015229,122,0,289,6,271,265,67864,0,6,18.632,114,30,30,6,0,19,5
421,14.0,5036,481,49,136,4865,9,26,286,172.34,0.728,1.027,0.061,0.072,0.087,-0.875,1.529,0.3367,2.6039,0.843,0.081,0.019,0.142,0.087,61,163,324,0,18,0,151192.08,1806.184,54388.226,86.303,952.684,13.827,21271.999,11518.958,346.421,26391.223,21112.979,8742.878,259.941,1023.386,0.000217,-0.017022,130,0,316,8,290,282,70629,5,8,14.476,81,24,24,12,0,12,0
451,15.0,5274,502,43,136,5111,6,21,364,181.90,0.738,1.027,0.064,0.069,0.087,-0.877,1.529,0.3420,2.5703,0.822,0.096,0.018,0.142,0.088,65,193,346,0,18,0,161275.56,1792.309,59369.122,77.724,1131.424,9.809,22544.816,12174.544,447.076,27746.998,22197.599,9108.222,231.275,1100.339,0.000301,-0.018947,143,0,342,4,311,307,74882,0,4,5.755,79,32,32,11,0,16,5
481,16.0,5602,478,43,138,5439,6,19,509,162.15,0.749,1.031,0.064,0.068,0.086,-0.878,1.539,0.3467,2.5721,0.831,0.065,0.018,0.143,0.089,63,148,403,0,33,0,173403.72,1839.850,67083.806,78.777,1159.868,9.123,24128.643,13162.845,614.758,32048.509,25638.807,10921.064,362.269,1274.996,0.000136,-0.018855,163,0,400,3,374,371,79425,0,3,13.928,84,33,33,16,0,13,4
511,17.0,5832,437,43,139,5674,4,15,693,167.97,0.761,1.033,0.065,0.067,0.086,-0.881,1.541,0.3315,2.5599,0.845,0.058,0.017,0.144,0.089,63,160,499,0,41,0,182283.69,2041.918,70615.639,103.512,1114.160,10.938,25968.735,14363.857,880.677,33062.043,26449.635,14080.866,370.677,1603.877,0.000246,-0.017965,172,0,494,5,463,458,84573,0,5,15.855,71,37,37,22,0,4,11
541,18.0,6000,434,43,131,5852,4,13,935,174.66,0.776,1.039,0.066,0.066,0.084,-0.881,1.552,0.3391,2.5681,0.841,0.061,0.023,0.144,0.089,70,137,563,0,58,0,189733.67,2060.315,73751.651,93.723,1153.477,9.835,27390.311,15126.247,1230.411,33332.739,26666.191,15743.810,482.647,1815.729,0.000266,-0.019944,169,0,551,12,533,522,88791,0,12,30.744,60,14,14,9,0,3,1
571,19.0,6000,445,43,120,5865,4,11,1255,184.35,0.791,1.042,0.067,0.065,0.083,-0.882,1.563,0.3387,2.5400,0.836,0.075,0.052,0.145,0.090,45,119,555,0,93,0,199614.06,1951.847,78076.975,65.844,1182.408,7.332,28301.199,15518.323,1714.155,27642.557,22114.046,16618.487,648.942,1884.657,0.000216,-0.018795,184,0,546,9,533,525,90214,0,9,16.305,60,24,23,12,0,11,0
601,20.0,6000,444,39,118,5871,2,9,1656,205.27,0.804,1.045,0.069,0.065,0.082,-0.883,1.577,0.3491,2.5389,0.822,0.042,0.078,0.145,0.089,52,136,518,0,117,0,212697.81,1919.019,82958.229,92.166,1195.706,7.534,28830.904,15714.814,2313.284,28164.923,22531.939,16301.126,1239.308,1853.244,0.000259,-0.019788,166,0,514,4,490,486,90898,0,4,13.573,60,19,19,11,0,7,1
631,21.0,5995,432,39,115,5871,1,8,2055,183.33,0.820,1.051,0.069,0.064,0.081,-0.883,1.580,0.3426,2.5156,0.837,0.087,0.088,0.146,0.090,39,106,587,0,167,0,220751.39,1933.553,85700.838,110.089,1063.150,8.587,29437.884,16041.123,3048.215,31588.966,25271.174,20515.297,2124.746,2205.845,0.000363,-0.022380,178,0,584,3,552,549,89880,13,3,6.637,51,22,22,17,0,3,2
