tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
991,33.0,2142,1784,14,67,1678,330,67,21,80.09,1.082,1.087,1.061,0.117,0.096,-0.520,2.259,0.6589,1.8252,0.619,0.075,0.027,0.126,0.049,111,93,390,0,2,0,82507.05,1801.440,44577.487,7272.294,296.606,14.562,17773.066,7651.152,32.560,26733.773,21387.019,8115.135,1400.932,8223.786,0.000202,0.013174,56,0,361,29,78,72,28259,0,29,22.149,9568,2819,2801,276,18,2464,27
1021,34.0,2357,1528,14,73,1911,303,70,27,95.54,1.087,1.086,1.082,0.110,0.095,-0.553,2.196,0.6610,1.8125,0.612,0.068,0.026,0.129,0.042,140,118,259,0,4,0,88697.34,1951.299,44075.075,4290.587,298.225,12.724,19670.532,8457.579,39.905,24473.634,19578.908,5111.756,912.222,5039.955,0.000203,0.015098,41,0,230,29,57,52,28724,0,29,17.398,9267,3214,3197,174,3,3005,11
1051,35.0,2549,1241,14,63,2164,259,63,34,94.52,1.090,1.085,1.085,0.103,0.090,-0.596,2.218,0.7222,1.8032,0.602,0.079,0.023,0.131,0.036,133,164,309,0,4,0,94258.94,1805.348,48433.391,4423.771,214.202,13.235,21623.082,8893.828,49.817,27352.195,21881.756,5522.183,1002.520,6539.040,0.000142,0.014727,32,0,271,38,97,87,29043,0,38,37.082,8319,2547,2525,180,3,2315,26
1081,36.0,2648,1049,14,72,2266,257,53,33,105.72,1.095,1.099,1.125,0.106,0.095,-0.607,2.243,0.7320,1.7706,0.631,0.083,0.024,0.132,0.033,118,165,366,0,9,0,97049.34,1934.200,47868.287,6838.771,263.947,16.024,22987.405,9458.897,54.744,26377.068,21101.655,7472.089,1440.326,7161.978,0.000301,0.018141,41,0,343,23,71,63,30147,1,23,17.746,7457,2644,2630,280,4,2339,4
1111,37.0,2629,849,14,70,2289,225,45,36,98.93,1.098,1.106,1.163,0.105,0.095,-0.629,2.267,0.7273,1.7738,0.582,0.114,0.022,0.134,0.030,106,206,380,0,4,0,97243.18,1923.314,46534.408,6218.541,209.423,16.248,23724.082,10033.538,60.178,23325.288,18660.231,7539.651,1254.726,7205.199,0.000231,0.019080,28,0,343,37,80,71,30047,0,37,29.332,7285,3059,3033,263,8,2753,9
1141,38.0,2757,697,14,66,2476,179,36,40,116.11,1.102,1.106,1.183,0.098,0.094,-0.663,2.258,0.6950,1.7775,0.626,0.061,0.020,0.136,0.027,99,188,249,0,2,0,100874.21,1555.950,47150.895,3982.836,315.472,14.657,24268.773,9882.261,63.621,23324.843,18659.875,4825.732,887.458,4465.835,0.000190,0.020283,42,0,220,29,47,39,29172,0,29,23.130,6056,2471,2450,175,0,2259,16
1171,39.0,2790,644,14,76,2512,171,31,53,122.25,1.111,1.107,1.197,0.099,0.097,-0.670,2.247,0.7316,1.7633,0.565,0.039,0.019,0.137,0.026,104,184,279,0,2,0,102282.60,1635.440,45882.604,5126.178,409.629,15.610,25384.773,10194.187,79.126,20501.833,16401.467,5728.366,1119.938,4629.077,0.000152,0.020017,64,0,261,18,36,30,29365,0,18,15.769,5155,2144,2133,230,0,1901,1
1201,40.0,2721,636,13,64,2461,167,29,50,128.99,1.132,1.104,1.206,0.106,0.098,-0.675,2.218,0.6870,1.7305,0.621,0.062,0.020,0.137,0.023,89,151,360,0,10,0,99477.41,1636.132,42803.077,6711.153,329.882,16.286,25566.601,10165.191,93.151,19074.008,15259.207,7826.358,888.480,5600.967,0.000138,0.019509,51,0,327,33,34,24,29180,0,33,25.827,5067,2021,2005,302,0,1696,7
1231,41.0,2635,636,13,53,2414,149,19,50,139.26,1.140,1.104,1.215,0.103,0.097,-0.687,2.282,0.6785,1.7163,0.628,0.057,0.024,0.138,0.021,96,199,316,0,4,0,95550.60,1404.716,40616.558,5987.559,338.755,12.825,25262.502,9588.295,83.484,18171.968,14537.574,7344.433,967.302,5055.239,0.000176,0.020250,46,0,286,30,39,23,28402,0,30,51.690,4674,1653,1637,263,0,1359,15
1261,42.0,2527,697,13,51,2320,148,8,49,175.35,1.159,1.104,1.221,0.107,0.099,-0.690,2.296,0.6086,1.6987,0.672,0.078,0.024,0.137,0.018,90,191,320,0,10,0,92691.56,1325.069,39664.510,5719.966,260.536,13.834,24623.914,9385.637,79.648,17825.603,14260.483,6201.400,1000.070,4712.793,0.000152,0.021460,41,0,303,17,39,30,27844,0,17,28.912,4416,1719,1706,273,0,1433,0
