tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,456,11340,0,137,150,81,88,0,11.24,0.865,0.791,0.208,0.178,0.209,-0.170,1.520,0.3202,1.2091,0.815,0.467,0.210,0.109,-0.011,35,0,49,0,0,0,26314.03,1273.915,9236.780,368.725,51.233,11.710,2323.302,677.262,0.000,3750.272,3000.218,1066.212,1446.981,1652.919,0.000144,-0.001269,22,0,33,16,36,26,3688,3,16,33.388,671,109,82,5,0,68,9
61,2.0,594,9811,0,144,279,79,92,0,20.47,0.880,0.801,0.201,0.158,0.173,-0.316,1.503,0.3198,1.2824,0.796,0.465,0.173,0.118,-0.029,51,0,26,0,0,0,31152.93,1204.189,12158.150,164.848,81.611,17.934,2792.455,792.634,0.000,6070.339,4856.271,376.113,2439.985,1073.027,0.000150,-0.002844,33,0,21,5,22,17,4513,6,5,16.691,641,77,59,0,0,57,2
91,3.0,751,8209,0,142,433,78,98,1,23.93,0.875,0.824,0.177,0.151,0.143,-0.420,1.504,0.3158,1.3890,0.863,0.493,0.146,0.121,-0.035,58,0,19,0,0,0,36958.32,1244.471,13848.137,104.891,107.910,23.962,3537.160,1032.724,0.071,6480.360,5184.288,210.144,2680.754,635.178,0.000168,-0.004155,18,0,16,3,15,12,5907,0,3,7.290,600,72,54,0,0,50,4
121,4.0,973,6770,0,142,659,75,97,3,34.11,0.862,0.858,0.149,0.135,0.119,-0.506,1.513,0.3271,1.5902,0.844,0.465,0.111,0.121,-0.039,81,5,28,0,0,0,43946.09,1288.307,17323.359,97.432,226.464,23.539,4374.242,1344.486,1.291,9213.551,7370.841,302.672,2705.112,1150.821,0.000216,-0.005404,46,0,23,5,26,22,7914,0,5,11.307,574,29,26,0,0,24,2
151,5.0,1403,4666,67,139,1092,73,99,5,40.08,0.845,0.925,0.125,0.111,0.095,-0.571,1.512,0.3235,1.9264,0.883,0.453,0.091,0.121,-0.049,94,8,45,0,0,0,58202.41,1306.448,29040.361,224.111,478.050,25.095,5843.625,2032.071,4.654,17293.725,13834.980,390.992,2729.670,1854.841,0.000144,-0.004984,47,0,41,4,44,40,11837,0,4,9.865,561,43,40,1,0,37,2
181,6.0,1845,2637,67,141,1534,69,101,7,57.85,0.832,0.972,0.105,0.100,0.086,-0.603,1.511,0.3120,2.1300,0.881,0.383,0.066,0.123,-0.066,99,27,119,0,1,0,70735.99,1307.133,33026.149,708.030,453.256,30.990,8090.004,3211.421,9.482,21174.406,16939.525,943.175,2007.161,4011.606,0.000250,-0.007065,56,0,116,3,104,101,16705,4,3,9.051,547,95,93,12,0,77,4
211,7.0,2127,1230,67,139,1829,62,97,8,82.64,0.815,0.996,0.090,0.094,0.084,-0.624,1.515,0.3128,2.2575,0.885,0.374,0.050,0.124,-0.076,95,40,182,0,1,0,76560.23,1329.795,29695.825,826.435,495.866,28.233,9738.144,4273.476,9.727,17529.287,14023.430,1007.732,1279.825,6213.057,0.000206,-0.009335,70,0,178,4,164,160,19287,10,4,13.230,492,71,70,4,0,65,1
241,8.0,2157,696,67,141,1873,51,92,11,98.08,0.810,1.006,0.088,0.090,0.085,-0.632,1.517,0.3174,2.3411,0.862,0.326,0.045,0.124,-0.079,102,56,174,0,1,0,73419.62,1386.741,18418.399,808.460,366.246,29.156,10284.519,4798.421,15.290,9174.579,7339.663,852.183,852.673,5116.204,0.000174,-0.011097,40,0,172,2,134,132,20249,1,2,2.675,453,112,112,4,0,104,4
271,9.0,2135,560,67,144,1863,41,87,13,120.67,0.800,1.006,0.086,0.085,0.087,-0.642,1.513,0.3115,2.3915,0.863,0.368,0.044,0.126,-0.078,93,75,137,0,1,0,68881.19,1458.022,14441.104,555.636,420.903,25.148,10173.916,4906.033,23.127,6637.492,5309.994,698.223,392.530,3471.866,0.000170,-0.012419,73,0,133,4,116,112,19968,16,4,12.595,372,63,59,4,0,49,6
301,10.0,2044,528,60,145,1790,32,77,16,150.29,0.793,1.000,0.077,0.080,0.090,-0.653,1.511,0.3112,2.4140,0.858,0.345,0.047,0.127,-0.079,81,133,109,0,1,0,66237.14,1508.473,15011.866,583.179,516.197,23.318,9692.251,4538.379,26.285,5337.932,4270.346,808.906,549.247,3064.907,0.000122,-0.013136,61,0,106,3,89,88,18844,0,3,4.251,309,49,48,11,0,35,2
331,11.0,1985,586,60,146,1745,28,66,21,160.79,0.785,0.989,0.074,0.077,0.092,-0.664,1.523,0.3077,2.4057,0.842,0.301,0.041,0.128,-0.083,92,111,121,0,2,0,63519.14,1547.071,14782.242,773.088,816.696,14.669,9154.015,4198.505,35.133,6127.874,4902.299,1067.251,780.027,3359.897,0.000153,-0.014965,89,0,117,4,94,91,17495,0,4,15.327,305,51,51,15,0,31,5
361,12.0,1933,615,60,150,1702,20,61,20,159.66,0.785,0.980,0.068,0.073,0.094,-0.672,1.513,0.3269,2.3883,0.829,0.307,0.039,0.129,-0.085,87,105,151,0,2,0,62704.86,1615.759,17064.468,1089.201,643.025,14.491,8810.613,4103.786,37.023,7361.546,5889.237,1257.499,856.613,4045.859,0.000199,-0.016257,131,0,148,3,107,105,16680,52,3,10.128,263,55,55,20,0,35,0
