tick,sim_second,organisms,food,species,plants,grazers,hunters,omnivores,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_diet,avg_photo_area,avg_speed_plants,avg_speed_eaters,avg_light_share,ready_share_plants,ready_share_eaters,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event,energy_total,flow_photosynthesis,flow_food,flow_predation,flow_grazing,flow_symbiosis,flow_metabolism,flow_movement,flow_disease,flow_reproduction_spent,flow_reproduction_received,flow_death,flow_clamp,flow_digestion,ledger_max_residual,ledger_cumulative_residual,grazes_eat,grazes_attack,kills_consumer,kills_plant,grazer_kills,grazer_kills_consumer,attacks_no_plant_in_reach,grazes_eat_by_plant,kills_plant_by_consumer,plant_kill_energy_consumer,hunter_intents,hunter_strikes,hunter_consumer_in_reach,hunter_kills_consumer,hunter_rejected_size,hunter_rejected_damage,hunter_rejected_both
31,1.0,451,12779,0,157,102,78,114,0,16.82,0.860,0.790,0.186,0.202,0.241,-0.050,1.580,0.3354,1.2828,0.800,0.420,0.194,0.101,-0.001,49,0,17,0,0,0,25361.33,1392.468,6680.307,131.683,30.957,16.171,2346.032,626.604,0.000,2442.004,1953.603,873.322,1780.100,142.791,0.000122,-0.000391,10,0,12,5,2,2,2814,0,5,1.320,601,55,39,5,0,32,2
61,2.0,484,11474,0,169,124,75,116,0,29.70,0.874,0.785,0.185,0.189,0.240,-0.104,1.561,0.3355,1.2544,0.844,0.456,0.197,0.100,-0.001,63,0,16,0,0,0,26750.72,1481.431,6177.523,95.802,17.642,19.481,2461.406,609.932,0.000,1973.218,1578.574,795.590,1881.001,222.796,0.000074,-0.000276,11,0,15,1,6,5,2841,7,1,5.739,473,19,14,5,0,7,2
91,3.0,539,10174,0,171,174,74,120,0,37.60,0.905,0.776,0.189,0.175,0.224,-0.182,1.561,0.3385,1.2146,0.847,0.450,0.182,0.102,-0.003,72,0,10,0,0,0,29046.29,1570.384,7649.406,61.798,35.633,24.736,2772.357,680.168,0.000,2734.976,2187.981,447.837,2437.070,101.589,0.000129,0.000208,9,0,7,3,3,2,3297,4,3,4.922,451,19,13,2,0,9,2
121,4.0,617,8877,0,177,248,71,121,0,48.98,0.936,0.779,0.176,0.164,0.209,-0.272,1.559,0.3581,1.2486,0.836,0.429,0.155,0.104,-0.005,72,3,19,0,0,0,32118.89,1631.967,9311.601,43.434,36.405,23.616,3230.953,842.413,0.000,4149.290,3319.432,679.660,2151.125,180.390,0.000144,0.001201,11,0,14,5,13,10,4446,0,5,12.472,490,19,6,2,0,1,3
151,5.0,700,7722,67,186,331,69,114,0,61.81,0.961,0.769,0.156,0.142,0.197,-0.339,1.566,0.3578,1.2524,0.814,0.403,0.134,0.106,-0.008,92,7,24,0,0,0,35357.96,1692.698,10511.848,35.084,60.439,17.787,3762.064,987.988,0.000,4738.372,3790.697,817.404,2171.125,314.304,0.000108,0.002054,20,0,18,6,19,14,5540,2,6,20.038,491,15,14,1,0,9,4
181,6.0,838,6670,67,202,455,63,118,0,78.53,0.987,0.770,0.133,0.118,0.183,-0.416,1.585,0.3455,1.3001,0.795,0.366,0.119,0.109,-0.012,87,16,15,0,0,0,40239.31,1844.942,13575.484,59.001,89.244,23.666,4534.088,1196.567,0.000,7108.768,5687.015,707.945,2556.709,181.021,0.000127,0.003002,31,0,11,4,9,7,6618,4,4,17.969,506,47,31,3,0,17,11
211,7.0,1005,5440,67,211,615,56,123,1,100.05,1.020,0.788,0.120,0.096,0.167,-0.479,1.589,0.3489,1.3943,0.797,0.351,0.099,0.112,-0.016,107,35,12,0,0,0,48336.77,2029.626,18166.528,43.358,107.282,24.271,5446.447,1691.866,0.110,9188.485,7350.788,406.226,2627.870,131.831,0.000137,0.003490,25,0,8,4,1,1,7928,3,4,0.464,409,19,15,4,0,8,3
241,8.0,1190,4190,67,224,794,43,129,2,123.53,1.044,0.795,0.113,0.087,0.155,-0.529,1.588,0.3560,1.4639,0.790,0.330,0.080,0.115,-0.017,115,34,44,0,1,0,55618.53,2234.025,19982.380,123.878,277.926,26.261,6669.220,2295.648,0.376,11415.534,9132.427,1616.750,1503.935,689.495,0.000132,0.002746,73,0,41,3,29,28,9760,16,3,2.934,365,18,14,3,0,3,8
271,9.0,1407,3177,67,247,988,34,138,2,136.77,1.065,0.795,0.105,0.079,0.149,-0.565,1.580,0.3508,1.5050,0.735,0.275,0.078,0.119,-0.020,133,39,33,0,0,0,62962.45,2430.495,21687.061,95.431,691.666,26.052,8089.496,2982.240,3.157,12480.751,9984.601,1144.855,1513.707,639.453,0.000235,0.001155,128,0,31,2,23,22,12073,23,2,3.197,303,28,27,7,0,12,8
301,10.0,1637,2042,64,262,1208,26,141,3,128.28,1.077,0.820,0.095,0.073,0.140,-0.590,1.580,0.3641,1.5816,0.766,0.240,0.064,0.121,-0.023,121,40,72,0,1,0,70837.54,2724.593,26423.584,107.431,1026.662,22.217,9611.588,3692.640,3.547,14673.611,11738.889,2370.108,1536.914,1230.997,0.000110,0.001243,192,0,67,5,60,57,15190,40,5,5.802,322,22,15,7,0,1,7
