tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,639,10989,0,173,388,78,0,13.06,0.914,0.866,0.170,0.183,0.198,0.101,0.001,61,0,47,0,0,0
61,2.0,1090,8232,0,199,801,90,0,18.86,0.998,0.967,0.151,0.150,0.146,0.104,0.007,70,0,71,0,0,0
91,3.0,1700,4757,0,222,1367,111,0,25.48,1.064,1.049,0.144,0.133,0.114,0.105,0.018,107,0,192,0,0,0
121,4.0,2000,2352,0,224,1653,123,1,41.03,1.092,1.088,0.139,0.128,0.104,0.107,0.018,179,5,183,0,0,0
151,5.0,2000,920,325,230,1645,125,3,78.73,1.091,1.090,0.136,0.128,0.104,0.110,0.017,124,46,161,0,0,0
181,6.0,2000,503,325,249,1652,99,7,97.32,1.080,1.091,0.132,0.112,0.110,0.113,0.014,101,137,156,0,0,0
211,7.0,1897,343,325,259,1546,92,7,109.46,1.061,1.093,0.126,0.108,0.118,0.114,0.012,76,177,170,0,2,0
241,8.0,1787,367,325,283,1421,83,10,132.51,1.046,1.086,0.126,0.104,0.131,0.115,0.009,73,122,143,0,2,0
271,9.0,1698,413,325,308,1327,63,15,140.80,1.036,1.073,0.123,0.091,0.145,0.114,0.009,68,115,133,0,1,0
301,10.0,1639,471,226,332,1251,56,16,155.71,1.027,1.059,0.117,0.086,0.159,0.113,0.008,70,134,95,0,0,0
331,11.0,1691,496,226,390,1253,48,17,173.65,1.025,1.048,0.107,0.078,0.178,0.109,0.006,81,107,105,0,2,0
361,12.0,1789,440,226,447,1288,54,21,180.96,1.023,1.045,0.097,0.079,0.192,0.107,0.006,93,95,121,0,0,0
391,13.0,1978,455,226,522,1403,53,24,169.52,1.023,1.040,0.094,0.076,0.203,0.104,0.006,97,72,127,0,2,0
421,14.0,2000,476,226,569,1377,54,28,178.66,1.013,1.027,0.094,0.073,0.217,0.102,0.003,101,73,130,0,1,0
451,15.0,2000,525,162,602,1352,46,32,190.01,1.011,1.015,0.092,0.068,0.228,0.101,0.003,95,79,152,0,2,0
481,16.0,2000,498,162,629,1325,46,47,183.76,1.005,1.000,0.091,0.068,0.239,0.100,0.001,95,60,161,0,0,0
511,17.0,2000,529,162,654,1308,38,58,178.57,1.003,0.987,0.093,0.064,0.247,0.099,-0.001,100,62,162,0,2,0
541,18.0,2000,574,162,674,1292,34,72,204.34,1.005,0.977,0.095,0.060,0.255,0.097,-0.001,83,42,176,0,4,0
571,19.0,2000,659,162,695,1273,32,85,215.71,1.002,0.967,0.096,0.059,0.262,0.096,-0.003,94,39,150,0,2,0
601,20.0,2000,653,131,706,1262,32,92,199.57,1.001,0.962,0.100,0.058,0.268,0.095,-0.003,91,31,170,0,3,0
631,21.0,2000,606,131,723,1251,26,102,205.76,0.996,0.951,0.102,0.055,0.274,0.095,-0.004,89,29,155,0,4,0
661,22.0,2000,586,131,728,1248,24,122,227.60,0.997,0.948,0.103,0.055,0.275,0.094,-0.005,99,34,149,0,3,0
691,23.0,2000,694,131,740,1235,25,135,251.57,0.998,0.938,0.106,0.055,0.280,0.092,-0.005,89,14,181,0,1,0
721,24.0,2000,688,131,751,1224,25,148,244.63,0.997,0.933,0.111,0.055,0.284,0.090,-0.005,97,12,146,0,3,0
751,25.0,2000,607,108,732,1246,22,156,254.36,1.006,0.944,0.112,0.054,0.277,0.089,-0.001,89,20,184,0,1,0
781,26.0,2000,708,108,718,1259,23,157,278.49,1.013,0.948,0.116,0.055,0.271,0.088,0.002,84,15,192,0,2,0
811,27.0,2000,743,108,710,1268,22,190,256.70,1.022,0.950,0.122,0.054,0.269,0.086,0.004,75,11,181,0,3,0
841,28.0,2000,743,108,705,1273,22,210,265.15,1.024,0.950,0.129,0.054,0.268,0.086,0.005,80,10,170,0,3,0
871,29.0,2000,763,108,691,1286,23,228,258.11,1.029,0.955,0.138,0.053,0.264,0.086,0.007,89,15,209,0,5,0
901,30.0,2000,799,83,698,1281,21,253,277.10,1.029,0.950,0.146,0.052,0.266,0.085,0.008,99,13,137,0,4,0
931,31.0,2000,710,83,698,1278,24,265,272.75,1.032,0.953,0.152,0.054,0.266,0.085,0.010,80,12,174,0,9,0
961,32.0,2000,638,83,685,1290,25,279,248.80,1.040,0.960,0.154,0.054,0.261,0.084,0.011,90,11,138,0,10,0
991,33.0,2000,617,83,685,1289,26,279,263.17,1.045,0.961,0.156,0.054,0.262,0.083,0.011,83,14,158,0,10,0
1021,34.0,2000,608,83,678,1298,24,296,279.76,1.046,0.965,0.157,0.053,0.259,0.082,0.012,73,10,128,0,3,0
1051,35.0,2000,580,63,679,1301,20,317,328.45,1.048,0.964,0.158,0.051,0.260,0.081,0.014,93,3,119,0,4,0
1081,36.0,2000,556,63,672,1309,19,330,360.15,1.053,0.968,0.160,0.051,0.258,0.081,0.013,87,10,103,0,6,0
1111,37.0,2000,527,63,665,1317,18,347,348.23,1.058,0.972,0.162,0.051,0.256,0.080,0.014,89,9,115,0,7,0
1141,38.0,2000,540,63,662,1320,18,358,363.07,1.061,0.970,0.162,0.050,0.257,0.079,0.014,86,3,115,0,14,0
1171,39.0,2000,565,63,659,1324,17,355,324.48,1.064,0.971,0.167,0.050,0.257,0.078,0.015,79,17,112,0,9,0
1201,40.0,2000,450,52,640,1336,24,364,329.77,1.075,0.982,0.171,0.053,0.250,0.078,0.016,75,11,143,0,6,0
1231,41.0,2000,466,52,639,1338,23,383,359.59,1.079,0.985,0.173,0.052,0.249,0.077,0.016,71,7,106,0,11,0
1261,42.0,2000,394,52,635,1340,25,396,387.62,1.082,0.987,0.175,0.053,0.248,0.076,0.017,78,6,106,0,7,0
1291,43.0,2000,367,52,644,1332,24,424,372.09,1.080,0.984,0.180,0.052,0.251,0.075,0.017,79,11,100,0,17,0
1321,44.0,2000,378,52,649,1325,26,441,336.93,1.079,0.983,0.182,0.053,0.253,0.075,0.017,76,14,125,0,12,0
1351,45.0,2000,346,45,662,1313,25,425,349.24,1.073,0.978,0.185,0.052,0.257,0.075,0.017,91,12,107,0,13,0
1381,46.0,2000,339,45,679,1296,25,444,357.98,1.067,0.971,0.188,0.052,0.262,0.075,0.018,79,16,109,0,14,0
1411,47.0,2000,308,45,681,1294,25,465,363.68,1.063,0.971,0.189,0.052,0.262,0.075,0.021,85,21,81,0,10,0
1441,48.0,2000,268,45,684,1293,23,462,412.04,1.059,0.969,0.193,0.051,0.263,0.075,0.023,69,25,102,0,11,0
1471,49.0,2000,255,45,699,1280,21,457,383.17,1.054,0.962,0.193,0.050,0.268,0.074,0.022,84,20,101,0,18,0
1501,50.0,2000,211,40,726,1254,20,452,354.42,1.046,0.952,0.201,0.050,0.276,0.075,0.023,97,27,111,0,16,0
1531,51.0,2000,200,40,736,1243,21,478,375.36,1.043,0.948,0.204,0.050,0.279,0.074,0.022,77,28,79,0,9,0
1561,52.0,2000,185,40,767,1211,22,498,402.33,1.030,0.937,0.211,0.050,0.288,0.074,0.023,84,33,92,0,22,0
1591,53.0,2000,175,40,803,1179,18,505,410.11,1.015,0.923,0.214,0.047,0.300,0.073,0.023,83,39,75,0,27,0
1621,54.0,2000,144,40,844,1139,17,537,402.92,1.001,0.905,0.225,0.046,0.313,0.074,0.023,86,31,90,0,24,0
1651,55.0,2000,163,38,901,1084,15,573,435.64,0.981,0.881,0.230,0.045,0.332,0.073,0.024,87,38,63,0,27,0
1681,56.0,2000,134,38,940,1045,15,593,461.76,0.968,0.863,0.232,0.045,0.345,0.073,0.023,88,40,88,0,23,0
1711,57.0,2000,138,38,989,995,16,621,432.81,0.956,0.841,0.236,0.044,0.363,0.073,0.020,96,45,80,0,28,0
1741,58.0,2000,134,38,1047,938,15,632,403.40,0.935,0.816,0.239,0.042,0.381,0.072,0.019,83,44,69,0,21,0
1771,59.0,2000,141,38,1083,904,13,642,445.67,0.921,0.800,0.243,0.041,0.393,0.073,0.018,89,44,82,0,29,0
