tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,648,7914,0,185,384,79,1,11.09,0.859,0.829,0.157,0.169,0.207,0.099,0.014,48,0,35,0,0,0
61,2.0,964,6067,0,199,671,94,1,18.29,0.936,0.897,0.145,0.149,0.166,0.103,0.029,75,0,84,0,0,0
91,3.0,1402,3870,0,212,1064,126,2,30.50,0.984,0.963,0.135,0.146,0.137,0.104,0.037,117,0,100,0,0,0
121,4.0,1837,2160,0,224,1418,195,2,49.78,0.998,1.013,0.124,0.168,0.122,0.108,0.047,123,6,137,0,0,0
151,5.0,2000,960,318,239,1559,202,4,71.94,1.006,1.025,0.131,0.164,0.121,0.108,0.049,158,27,220,0,0,0
181,6.0,1955,492,318,235,1534,186,6,90.06,1.002,1.028,0.134,0.159,0.122,0.108,0.051,123,76,244,0,0,0
211,7.0,1728,368,318,229,1346,153,8,110.38,0.981,1.028,0.139,0.150,0.129,0.109,0.052,114,130,242,0,0,0
241,8.0,1509,354,318,229,1155,125,6,138.32,0.961,1.020,0.140,0.143,0.141,0.108,0.050,83,134,228,0,0,0
271,9.0,1272,427,318,222,970,80,12,148.29,0.962,1.006,0.151,0.120,0.157,0.107,0.048,86,93,283,0,2,0
301,10.0,1160,452,173,220,873,67,15,149.50,0.966,1.000,0.161,0.115,0.167,0.108,0.048,91,66,210,0,0,0
331,11.0,1166,554,173,255,855,56,21,161.54,0.950,0.989,0.179,0.106,0.186,0.107,0.043,82,53,131,0,1,0
361,12.0,1119,675,173,274,791,54,26,163.35,0.950,0.988,0.189,0.108,0.203,0.109,0.039,95,48,200,0,0,0
391,13.0,1186,716,173,324,816,46,24,149.38,0.944,0.977,0.202,0.099,0.225,0.111,0.036,101,36,184,0,2,0
421,14.0,1230,793,173,359,822,49,23,146.71,0.936,0.973,0.207,0.103,0.235,0.110,0.034,108,36,238,0,1,0
451,15.0,1376,812,103,422,911,43,23,134.51,0.929,0.967,0.217,0.095,0.246,0.113,0.034,128,28,212,0,2,0
481,16.0,1574,804,103,541,981,52,35,101.06,0.905,0.949,0.228,0.096,0.268,0.114,0.030,123,27,278,0,0,0
511,17.0,1708,857,103,609,1053,46,39,102.54,0.894,0.943,0.252,0.088,0.282,0.114,0.030,130,29,363,0,0,0
541,18.0,1914,747,103,727,1139,48,43,87.53,0.882,0.929,0.261,0.086,0.296,0.118,0.029,145,30,383,0,1,0
571,19.0,2000,698,103,796,1165,39,58,90.05,0.885,0.917,0.297,0.084,0.308,0.123,0.030,157,45,495,0,2,0
601,20.0,2000,796,73,858,1110,32,105,108.21,0.874,0.896,0.327,0.086,0.330,0.124,0.026,165,32,355,0,4,0
631,21.0,2000,924,73,899,1080,21,108,123.07,0.867,0.884,0.348,0.081,0.344,0.124,0.025,168,36,308,0,4,0
661,22.0,2000,840,73,853,1123,24,88,109.39,0.888,0.918,0.367,0.087,0.331,0.123,0.024,152,45,467,0,2,0
691,23.0,2000,884,73,851,1122,27,93,120.04,0.893,0.931,0.397,0.094,0.330,0.122,0.022,149,38,373,0,5,0
721,24.0,2000,898,73,844,1135,21,88,120.04,0.895,0.938,0.445,0.092,0.330,0.123,0.024,141,44,453,0,4,0
751,25.0,2000,953,55,864,1117,19,70,117.14,0.889,0.921,0.489,0.098,0.337,0.122,0.023,142,46,408,0,3,0
781,26.0,2000,958,55,851,1132,17,61,120.33,0.894,0.927,0.542,0.098,0.334,0.124,0.024,142,26,343,0,1,0
811,27.0,2000,1006,55,880,1106,14,62,130.73,0.885,0.915,0.605,0.102,0.344,0.124,0.022,141,35,278,0,5,0
841,28.0,2000,971,55,920,1066,14,74,159.20,0.865,0.896,0.652,0.104,0.357,0.124,0.023,148,31,179,0,3,0
871,29.0,2000,990,55,949,1038,13,87,173.20,0.852,0.881,0.694,0.107,0.366,0.125,0.023,125,25,181,0,2,0
901,30.0,2000,1044,40,987,1000,13,95,177.11,0.838,0.860,0.738,0.108,0.380,0.124,0.022,133,24,191,0,4,0
931,31.0,2000,1150,40,1033,959,8,132,189.74,0.819,0.835,0.779,0.107,0.395,0.123,0.021,122,26,172,0,6,0
961,32.0,2000,1160,40,1070,924,6,160,204.88,0.804,0.815,0.816,0.107,0.406,0.122,0.020,143,23,130,0,3,0
991,33.0,2000,1010,40,1085,909,6,189,228.32,0.793,0.808,0.850,0.110,0.410,0.121,0.019,136,19,104,0,4,0
1021,34.0,2000,997,40,1110,885,5,225,245.91,0.783,0.797,0.877,0.111,0.418,0.119,0.018,115,13,87,0,4,0
1051,35.0,2000,969,38,1150,845,5,256,260.98,0.764,0.778,0.908,0.114,0.430,0.118,0.017,124,15,94,0,5,0
1081,36.0,2000,1016,38,1179,816,5,307,255.43,0.751,0.760,0.928,0.114,0.440,0.117,0.018,131,9,74,0,4,0
1111,37.0,2000,1042,38,1204,791,5,349,267.76,0.742,0.747,0.946,0.115,0.448,0.116,0.017,135,11,67,0,7,0
1141,38.0,2000,1091,38,1227,769,4,365,283.54,0.731,0.736,0.963,0.116,0.455,0.115,0.017,133,7,53,0,7,0
1171,39.0,2000,1038,38,1251,745,4,398,305.11,0.722,0.722,0.979,0.118,0.464,0.115,0.016,116,12,58,0,10,0
1201,40.0,2000,983,37,1267,729,4,413,299.08,0.717,0.712,0.991,0.119,0.470,0.114,0.016,137,6,47,0,7,0
1231,41.0,2000,900,37,1289,708,3,445,327.05,0.705,0.701,1.004,0.120,0.477,0.114,0.016,138,4,45,0,15,0
1261,42.0,2000,910,37,1308,689,3,467,340.77,0.698,0.691,1.012,0.119,0.483,0.113,0.015,131,6,28,0,9,0
1291,43.0,2000,881,37,1320,677,3,484,364.62,0.692,0.685,1.022,0.119,0.487,0.113,0.015,115,5,25,0,5,0
1321,44.0,2000,826,37,1332,665,3,498,403.86,0.688,0.679,1.028,0.119,0.491,0.113,0.015,110,3,19,0,9,0
