tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
9301,310.0,2000,1273,26,1918,8,74,432,1966.27,0.616,0.399,0.127,0.066,0.626,0.141,0.047,177,1,21,6,2,0
9331,311.0,2000,1360,26,1918,8,74,434,1976.08,0.617,0.399,0.126,0.065,0.626,0.141,0.047,188,0,23,4,4,0
9361,312.0,2000,1447,26,1920,8,72,436,2090.60,0.617,0.398,0.125,0.064,0.627,0.141,0.047,150,1,20,4,3,0
9391,313.0,2000,1576,26,1920,8,72,429,2209.53,0.617,0.398,0.126,0.065,0.627,0.141,0.047,200,0,18,2,3,0
9421,314.0,2000,1808,26,1919,8,73,426,2397.96,0.616,0.399,0.125,0.065,0.627,0.142,0.047,191,0,20,6,4,0
9451,315.0,2000,1936,25,1920,7,73,420,2269.11,0.615,0.400,0.125,0.065,0.627,0.142,0.047,205,0,47,10,9,0
9481,316.0,2000,2045,25,1918,7,75,410,2259.73,0.616,0.401,0.123,0.067,0.626,0.142,0.047,206,0,18,7,6,0
9511,317.0,2000,2161,25,1916,7,77,413,2193.27,0.616,0.402,0.123,0.067,0.626,0.142,0.048,198,0,20,2,5,0
9541,318.0,2000,2248,25,1910,7,83,409,2163.83,0.617,0.405,0.122,0.069,0.624,0.142,0.048,174,0,21,4,5,0
9571,319.0,2000,2355,25,1911,7,82,407,2146.45,0.616,0.405,0.122,0.069,0.624,0.142,0.048,179,2,18,6,5,0
9601,320.0,2000,2468,25,1913,6,81,415,1921.27,0.616,0.405,0.124,0.069,0.625,0.142,0.048,179,2,30,2,8,0
9631,321.0,2000,2695,25,1915,6,79,412,1892.09,0.616,0.404,0.124,0.070,0.625,0.142,0.048,174,1,21,4,11,0
9661,322.0,2000,2866,25,1916,6,78,410,1865.62,0.615,0.404,0.125,0.069,0.626,0.142,0.048,170,0,18,4,2,0
9691,323.0,2000,2978,25,1918,6,76,421,1867.62,0.614,0.404,0.127,0.068,0.627,0.142,0.048,183,0,13,2,5,0
9721,324.0,2000,3108,25,1920,5,75,434,1880.69,0.613,0.403,0.128,0.067,0.627,0.142,0.048,201,0,22,3,4,0
9751,325.0,2000,3227,25,1921,5,74,446,1829.83,0.613,0.403,0.128,0.068,0.628,0.143,0.048,178,0,26,4,4,0
9781,326.0,2000,3347,25,1920,5,75,458,1989.87,0.612,0.403,0.129,0.068,0.627,0.143,0.048,187,0,22,6,3,0
9811,327.0,2000,3448,25,1919,5,76,460,2104.15,0.612,0.404,0.129,0.068,0.627,0.143,0.048,188,0,13,6,8,0
9841,328.0,2000,3511,25,1919,5,76,454,2115.55,0.611,0.404,0.129,0.068,0.627,0.143,0.048,199,0,16,1,7,0
9871,329.0,2000,3488,25,1920,4,76,495,2146.68,0.611,0.404,0.130,0.067,0.627,0.143,0.048,170,0,24,2,6,0
9901,330.0,2000,3486,25,1921,4,75,506,2132.89,0.610,0.403,0.132,0.066,0.627,0.143,0.047,182,0,15,3,7,0
9931,331.0,2000,3460,25,1923,4,73,517,2118.42,0.609,0.401,0.133,0.065,0.628,0.143,0.047,178,0,11,3,6,0
9961,332.0,2000,3423,25,1923,4,73,492,2155.65,0.609,0.402,0.133,0.065,0.628,0.143,0.047,165,0,10,5,6,0
9991,333.0,2000,3438,25,1924,4,72,493,2197.40,0.608,0.402,0.135,0.064,0.628,0.143,0.047,170,0,16,2,4,0
10021,334.0,2000,3348,25,1925,4,71,492,2078.05,0.608,0.401,0.135,0.064,0.628,0.143,0.047,157,0,13,3,5,0
10051,335.0,2000,3319,25,1927,4,69,494,2107.98,0.607,0.400,0.134,0.064,0.629,0.143,0.046,182,0,13,5,7,0
10081,336.0,2000,3219,25,1927,4,69,483,2028.22,0.607,0.401,0.135,0.064,0.629,0.143,0.046,184,1,15,2,6,0
10111,337.0,2000,3223,25,1927,5,68,497,2003.40,0.607,0.401,0.135,0.064,0.628,0.144,0.046,167,1,15,2,5,0
10141,338.0,2000,3232,25,1920,6,74,486,2003.58,0.609,0.404,0.138,0.066,0.626,0.144,0.047,188,0,17,3,14,0
10171,339.0,2000,3163,25,1917,6,77,495,1855.81,0.609,0.405,0.138,0.067,0.626,0.144,0.047,158,0,35,2,2,0
10201,340.0,2000,3097,25,1913,6,81,492,1838.93,0.610,0.406,0.138,0.069,0.625,0.144,0.047,169,0,13,1,6,0
10231,341.0,2000,2991,25,1909,5,86,474,1728.62,0.612,0.408,0.139,0.072,0.623,0.144,0.047,177,3,24,2,6,0
10261,342.0,2000,2799,25,1910,5,85,482,1660.12,0.611,0.407,0.139,0.072,0.624,0.144,0.047,172,1,8,3,3,0
10291,343.0,2000,2695,25,1906,6,88,476,1747.26,0.612,0.409,0.141,0.073,0.622,0.145,0.048,161,1,14,3,5,0
10321,344.0,2000,2608,25,1902,6,92,480,1734.33,0.613,0.411,0.141,0.075,0.621,0.145,0.048,172,1,19,1,4,0
10351,345.0,2000,2484,25,1901,6,93,485,1752.30,0.613,0.411,0.141,0.074,0.621,0.145,0.048,179,1,24,3,7,0
10381,346.0,2000,2354,25,1895,5,100,488,1807.16,0.615,0.414,0.142,0.077,0.619,0.145,0.048,151,4,23,2,5,0
10411,347.0,2000,2134,25,1892,5,103,481,1776.40,0.615,0.415,0.143,0.078,0.619,0.145,0.048,165,0,18,2,7,0
10441,348.0,2000,2044,25,1889,4,107,475,1806.22,0.616,0.416,0.143,0.080,0.618,0.145,0.048,183,0,13,4,6,0
10471,349.0,2000,1915,25,1887,4,109,488,1907.12,0.616,0.418,0.143,0.080,0.618,0.146,0.048,155,1,27,3,1,0
10501,350.0,2000,1773,25,1888,3,109,504,1955.58,0.616,0.417,0.144,0.080,0.618,0.146,0.048,157,1,14,2,4,0
