tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,729,10662,0,192,446,91,1,10.88,0.806,0.858,0.173,0.159,0.185,0.100,-0.017,60,0,8,0,0,0
61,2.0,1409,7394,0,231,1034,144,0,33.40,0.805,0.955,0.136,0.145,0.126,0.095,-0.027,76,0,43,0,1,0
91,3.0,2000,3764,0,259,1561,180,2,37.01,0.844,1.008,0.123,0.139,0.106,0.093,-0.029,92,0,100,0,0,0
121,4.0,2000,2060,0,266,1559,175,4,56.85,0.846,1.010,0.119,0.136,0.106,0.093,-0.030,84,2,185,0,0,0
151,5.0,2000,1058,347,283,1538,179,7,81.35,0.852,1.009,0.116,0.138,0.111,0.094,-0.029,89,27,178,0,0,0
181,6.0,2000,618,347,310,1520,170,8,110.04,0.842,1.003,0.112,0.136,0.117,0.094,-0.029,63,84,171,0,1,0
211,7.0,2000,483,347,320,1505,175,10,131.80,0.832,1.007,0.112,0.139,0.120,0.093,-0.027,53,96,148,0,1,0
241,8.0,2000,488,347,331,1496,173,10,136.15,0.829,1.004,0.112,0.138,0.125,0.092,-0.030,48,87,163,0,0,0
271,9.0,2000,479,347,360,1468,172,9,148.99,0.821,1.001,0.109,0.135,0.134,0.092,-0.030,58,73,136,0,2,0
301,10.0,2000,450,226,398,1440,162,15,164.93,0.818,0.994,0.109,0.128,0.144,0.091,-0.031,57,80,146,0,1,0
331,11.0,2000,541,226,424,1419,157,20,172.89,0.816,0.981,0.111,0.126,0.151,0.091,-0.035,64,97,142,0,0,0
361,12.0,2000,617,226,441,1406,153,22,182.95,0.816,0.976,0.110,0.123,0.157,0.091,-0.035,49,88,156,0,2,0
391,13.0,2000,657,226,479,1386,135,25,200.58,0.811,0.961,0.112,0.113,0.168,0.090,-0.036,56,76,128,0,2,0
421,14.0,2000,682,226,512,1370,118,28,198.90,0.810,0.945,0.115,0.106,0.178,0.090,-0.037,64,63,131,0,2,0
451,15.0,2000,713,172,541,1348,111,34,205.76,0.806,0.934,0.120,0.102,0.188,0.091,-0.040,77,50,156,0,0,0
481,16.0,2000,756,172,576,1330,94,47,208.49,0.804,0.925,0.124,0.094,0.198,0.091,-0.041,58,42,108,0,2,0
511,17.0,2000,764,172,606,1306,88,52,224.48,0.801,0.916,0.125,0.092,0.207,0.091,-0.040,55,35,131,0,2,0
541,18.0,2000,907,172,645,1275,80,60,228.90,0.791,0.905,0.131,0.087,0.219,0.090,-0.040,59,36,123,0,0,0
571,19.0,2000,895,172,692,1235,73,64,261.04,0.787,0.894,0.134,0.082,0.234,0.091,-0.038,55,31,140,0,0,0
601,20.0,2000,1073,145,734,1195,71,71,245.88,0.776,0.880,0.136,0.079,0.246,0.090,-0.036,61,25,135,0,2,0
631,21.0,2000,1121,145,758,1174,68,80,261.52,0.773,0.874,0.139,0.076,0.253,0.090,-0.037,68,24,106,0,1,0
661,22.0,2000,1158,145,783,1152,65,91,296.46,0.769,0.869,0.142,0.075,0.260,0.090,-0.035,57,12,111,0,5,0
691,23.0,2000,1161,145,799,1140,61,103,286.79,0.769,0.867,0.143,0.074,0.265,0.091,-0.036,72,10,112,0,1,0
721,24.0,2000,1094,145,816,1127,57,109,263.83,0.770,0.864,0.145,0.074,0.272,0.091,-0.035,64,14,120,0,2,0
751,25.0,2000,1234,125,845,1105,50,125,317.93,0.772,0.855,0.149,0.069,0.281,0.091,-0.035,54,10,118,0,1,0
781,26.0,2000,1239,125,836,1116,48,141,319.58,0.779,0.863,0.150,0.070,0.280,0.092,-0.031,65,3,101,0,1,0
811,27.0,2000,1270,125,844,1111,45,157,313.62,0.776,0.862,0.152,0.069,0.285,0.093,-0.030,62,7,122,0,8,0
841,28.0,2000,1267,125,846,1106,48,172,326.38,0.776,0.863,0.154,0.070,0.286,0.092,-0.029,53,4,75,0,2,0
871,29.0,2000,1236,125,856,1098,46,189,372.62,0.776,0.862,0.157,0.068,0.291,0.092,-0.031,62,6,99,0,4,0
901,30.0,2000,1269,114,864,1091,45,196,371.83,0.778,0.862,0.158,0.067,0.294,0.092,-0.032,54,1,84,0,6,0
931,31.0,2000,1260,114,879,1076,45,211,386.45,0.776,0.854,0.158,0.066,0.301,0.092,-0.033,54,8,72,0,6,0
961,32.0,2000,1298,114,893,1063,44,223,408.04,0.771,0.848,0.160,0.066,0.307,0.092,-0.033,59,5,87,0,2,0
991,33.0,2000,1252,114,924,1036,40,246,400.24,0.764,0.836,0.162,0.064,0.319,0.092,-0.035,51,4,96,0,4,0
1021,34.0,2000,1273,114,936,1024,40,258,394.14,0.760,0.830,0.165,0.063,0.324,0.092,-0.036,58,6,84,0,11,0
1051,35.0,2000,1224,102,938,1024,38,267,393.20,0.761,0.832,0.167,0.062,0.326,0.092,-0.037,58,2,88,0,6,0
1081,36.0,2000,1148,102,937,1025,38,285,387.98,0.765,0.838,0.170,0.063,0.325,0.092,-0.036,38,3,86,0,4,0
1111,37.0,2000,1054,102,948,1014,38,295,390.51,0.766,0.835,0.172,0.063,0.328,0.092,-0.036,47,6,60,0,5,0
1141,38.0,2000,1086,102,964,999,37,310,455.11,0.764,0.833,0.174,0.062,0.334,0.093,-0.035,57,6,80,0,5,0
1171,39.0,2000,1026,102,966,998,36,316,437.21,0.765,0.835,0.174,0.062,0.336,0.093,-0.035,52,6,60,0,2,0
1201,40.0,2000,1034,94,981,985,34,332,452.00,0.762,0.829,0.179,0.061,0.342,0.092,-0.035,45,2,61,0,4,0
1231,41.0,2000,972,94,991,976,33,330,466.47,0.760,0.826,0.180,0.061,0.346,0.092,-0.036,53,4,61,0,4,0
1261,42.0,2000,883,94,1001,969,30,325,500.98,0.757,0.824,0.185,0.059,0.351,0.092,-0.035,59,4,68,0,11,0
1291,43.0,2000,837,94,1014,959,27,323,508.08,0.756,0.818,0.189,0.058,0.356,0.093,-0.036,55,2,52,0,12,0
1321,44.0,2000,734,94,1031,943,26,321,547.05,0.753,0.812,0.192,0.056,0.362,0.093,-0.037,50,1,73,0,7,0
1351,45.0,2000,662,89,1050,923,27,335,547.20,0.749,0.806,0.194,0.056,0.369,0.093,-0.037,61,4,61,0,4,0
1381,46.0,2000,674,89,1062,911,27,329,557.73,0.750,0.803,0.198,0.056,0.373,0.094,-0.037,43,5,61,0,6,0
1411,47.0,2000,689,89,1077,897,26,340,524.46,0.748,0.801,0.200,0.056,0.378,0.095,-0.037,46,7,59,0,4,0
1441,48.0,2000,600,89,1086,886,28,327,496.20,0.747,0.800,0.202,0.057,0.381,0.094,-0.037,53,4,69,0,3,0
1471,49.0,2000,534,89,1091,880,29,337,483.22,0.746,0.798,0.205,0.058,0.383,0.094,-0.036,39,4,59,0,3,0
1501,50.0,2000,487,85,1094,877,29,347,527.57,0.745,0.798,0.208,0.058,0.384,0.094,-0.036,38,5,57,0,6,0
1531,51.0,2000,412,85,1104,869,27,353,603.55,0.743,0.795,0.211,0.057,0.387,0.094,-0.036,52,3,57,0,6,0
1561,52.0,2000,449,85,1126,848,26,347,588.06,0.738,0.783,0.214,0.056,0.396,0.095,-0.038,49,12,64,0,3,0
1591,53.0,2000,420,85,1144,832,24,345,561.32,0.730,0.774,0.219,0.055,0.403,0.094,-0.039,48,15,54,0,10,0
1621,54.0,2000,372,85,1162,815,23,343,588.30,0.724,0.769,0.224,0.055,0.409,0.094,-0.038,56,9,51,0,9,0
1651,55.0,2000,288,81,1179,803,18,355,638.28,0.719,0.762,0.223,0.051,0.414,0.094,-0.039,66,11,50,0,7,0
1681,56.0,2000,229,81,1221,760,19,341,678.05,0.707,0.744,0.226,0.051,0.428,0.093,-0.040,62,23,43,0,11,0
1711,57.0,2000,246,81,1254,729,17,326,680.41,0.696,0.731,0.232,0.049,0.440,0.093,-0.042,54,11,48,0,11,0
1741,58.0,2000,232,81,1280,703,17,332,692.02,0.689,0.719,0.234,0.049,0.449,0.093,-0.043,67,16,46,0,7,0
1771,59.0,2000,224,81,1309,675,16,357,703.49,0.680,0.706,0.239,0.049,0.459,0.093,-0.045,57,17,40,0,8,0
1801,60.0,2000,240,73,1331,653,16,355,695.30,0.673,0.696,0.240,0.048,0.467,0.092,-0.046,58,10,40,0,9,0
1831,61.0,2000,223,73,1368,618,14,357,751.65,0.660,0.679,0.244,0.047,0.480,0.093,-0.047,57,13,44,0,17,0
1861,62.0,2000,283,73,1399,588,13,351,819.78,0.652,0.665,0.246,0.046,0.490,0.093,-0.049,80,23,46,0,14,0
1891,63.0,2000,265,73,1415,573,12,351,805.68,0.644,0.658,0.250,0.045,0.496,0.092,-0.051,65,10,48,0,12,0
1921,64.0,2000,291,73,1450,539,11,355,738.95,0.633,0.642,0.252,0.045,0.509,0.092,-0.053,67,23,46,0,9,0
1951,65.0,2000,296,64,1463,528,9,377,701.62,0.629,0.638,0.254,0.045,0.513,0.092,-0.055,58,18,43,0,3,0
1981,66.0,2000,342,64,1478,513,9,388,691.67,0.628,0.632,0.254,0.046,0.517,0.092,-0.055,72,10,44,0,8,0
2011,67.0,2000,423,64,1501,490,9,400,680.36,0.620,0.621,0.255,0.046,0.525,0.091,-0.056,77,13,37,0,7,0
2041,68.0,2000,489,64,1518,474,8,406,702.46,0.615,0.612,0.257,0.045,0.531,0.091,-0.057,74,6,37,0,10,0
2071,69.0,2000,572,64,1533,460,7,416,739.71,0.612,0.605,0.260,0.044,0.536,0.091,-0.057,69,9,33,0,9,0
2101,70.0,2000,648,65,1547,446,7,424,757.32,0.606,0.598,0.260,0.043,0.541,0.091,-0.058,53,5,30,0,10,0
2131,71.0,2000,677,65,1556,437,7,433,847.73,0.604,0.595,0.259,0.043,0.544,0.090,-0.058,61,10,29,0,14,0
2161,72.0,2000,766,65,1555,438,7,424,839.18,0.602,0.594,0.261,0.043,0.544,0.090,-0.058,74,2,32,0,8,0
2191,73.0,2000,860,65,1562,431,7,441,843.09,0.600,0.591,0.264,0.043,0.546,0.089,-0.058,76,2,31,0,12,0
2221,74.0,2000,998,65,1576,417,7,447,810.22,0.596,0.584,0.267,0.042,0.550,0.089,-0.059,73,2,42,0,7,0
2251,75.0,2000,1070,62,1586,408,6,455,814.51,0.593,0.581,0.271,0.041,0.554,0.089,-0.058,70,5,36,0,10,0
2281,76.0,2000,1184,62,1585,409,6,462,785.64,0.592,0.582,0.272,0.041,0.554,0.088,-0.059,85,2,41,0,10,0
2311,77.0,2000,1309,62,1593,401,6,477,721.37,0.590,0.578,0.280,0.041,0.556,0.089,-0.059,87,1,48,0,3,0
2341,78.0,2000,1423,62,1595,399,6,508,766.18,0.589,0.579,0.285,0.041,0.557,0.089,-0.059,79,2,36,0,8,0
