tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,633,9726,0,183,381,69,0,13.74,0.893,0.865,0.226,0.153,0.203,0.095,-0.010,56,0,31,0,0,0
61,2.0,1002,7385,0,225,697,80,3,21.02,0.942,0.952,0.197,0.126,0.164,0.099,-0.008,74,0,31,0,0,0
91,3.0,1531,4919,0,247,1185,99,6,32.03,0.982,1.035,0.181,0.113,0.129,0.100,-0.000,112,2,84,0,0,0
121,4.0,2000,1931,0,249,1642,109,10,47.86,0.993,1.098,0.158,0.105,0.112,0.103,0.013,132,9,118,0,0,0
151,5.0,2000,840,347,252,1645,103,21,82.13,0.991,1.106,0.155,0.102,0.113,0.103,0.016,108,45,148,0,0,0
181,6.0,2000,445,347,277,1627,96,28,100.43,0.977,1.103,0.153,0.099,0.121,0.103,0.019,87,88,141,0,4,0
211,7.0,2000,304,347,305,1608,87,34,111.01,0.967,1.094,0.159,0.093,0.128,0.103,0.017,82,114,150,0,3,0
241,8.0,2000,289,347,345,1573,82,39,128.18,0.958,1.087,0.157,0.090,0.139,0.104,0.016,80,111,121,0,4,0
271,9.0,1908,342,347,367,1472,69,42,150.98,0.952,1.074,0.154,0.083,0.149,0.104,0.014,67,108,151,0,2,0
301,10.0,1864,389,242,422,1379,63,49,161.28,0.941,1.050,0.150,0.079,0.169,0.103,0.014,64,135,112,0,3,0
331,11.0,1831,440,242,474,1303,54,53,164.70,0.931,1.027,0.151,0.073,0.190,0.101,0.013,92,115,168,0,6,0
361,12.0,1854,493,242,529,1278,47,51,178.70,0.922,1.008,0.158,0.069,0.207,0.099,0.011,82,85,147,0,8,0
391,13.0,1965,514,242,611,1305,49,50,172.46,0.917,0.992,0.169,0.067,0.224,0.100,0.006,93,74,171,0,1,0
421,14.0,2000,566,242,696,1257,47,56,182.60,0.903,0.960,0.179,0.063,0.249,0.098,0.004,98,64,183,0,3,0
451,15.0,2000,597,179,730,1222,48,55,185.12,0.899,0.946,0.184,0.064,0.260,0.097,0.003,99,45,202,0,2,0
481,16.0,2000,609,179,787,1165,48,57,187.77,0.888,0.928,0.188,0.064,0.277,0.094,0.002,104,49,210,0,0,0
511,17.0,2000,666,179,825,1142,33,69,181.51,0.885,0.913,0.197,0.055,0.292,0.092,0.001,82,46,256,0,2,0
541,18.0,2000,740,179,882,1093,25,62,183.22,0.882,0.890,0.216,0.050,0.310,0.091,-0.001,92,28,255,0,3,0
571,19.0,2000,873,179,936,1036,28,60,197.00,0.874,0.869,0.239,0.053,0.329,0.090,-0.003,106,31,268,0,2,0
601,20.0,2000,880,128,959,1012,29,63,180.48,0.876,0.852,0.270,0.055,0.337,0.089,-0.007,103,22,295,0,2,0
631,21.0,2000,861,128,967,1008,25,52,177.29,0.879,0.844,0.307,0.054,0.341,0.088,-0.005,94,21,368,0,2,0
661,22.0,2000,993,128,953,1023,24,40,167.79,0.895,0.850,0.362,0.053,0.339,0.086,-0.009,95,17,427,0,0,0
691,23.0,2000,973,128,963,1023,14,30,182.60,0.900,0.846,0.417,0.050,0.343,0.083,-0.007,124,11,398,0,2,0
721,24.0,2000,1078,128,962,1025,13,25,172.81,0.909,0.849,0.476,0.052,0.343,0.082,-0.003,104,14,369,0,0,0
751,25.0,2000,1148,81,945,1043,12,23,181.28,0.920,0.855,0.549,0.054,0.334,0.083,0.002,100,10,380,0,0,0
781,26.0,2000,1169,81,919,1069,12,17,174.76,0.924,0.868,0.612,0.056,0.323,0.081,0.009,104,29,335,0,0,0
811,27.0,2000,1065,81,897,1091,12,16,174.55,0.932,0.877,0.675,0.059,0.313,0.080,0.015,85,12,269,0,0,0
841,28.0,2000,983,81,866,1122,12,22,191.56,0.941,0.890,0.738,0.062,0.301,0.080,0.022,90,15,218,0,0,0
871,29.0,2000,976,81,843,1145,12,24,170.68,0.945,0.899,0.787,0.062,0.291,0.078,0.032,79,17,180,0,0,0
901,30.0,2000,947,49,840,1147,13,35,201.12,0.944,0.900,0.810,0.064,0.288,0.077,0.037,81,15,94,0,0,0
931,31.0,2000,866,49,834,1153,13,41,231.88,0.942,0.900,0.844,0.066,0.287,0.077,0.040,80,20,122,0,0,0
