tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,816,10262,0,172,559,85,0,10.35,0.874,0.953,0.434,0.158,0.166,0.107,-0.004,52,0,26,0,0,0
61,2.0,1708,7065,0,179,1412,117,3,20.01,0.937,1.073,0.627,0.136,0.112,0.116,-0.001,80,0,92,0,0,0
91,3.0,2000,3673,0,175,1699,126,3,31.18,0.946,1.095,0.624,0.132,0.103,0.117,-0.001,151,11,93,0,0,0
121,4.0,2000,1461,0,179,1696,125,4,66.81,0.957,1.093,0.602,0.131,0.104,0.116,-0.002,122,87,132,0,0,0
151,5.0,2000,777,327,178,1706,116,9,94.54,0.951,1.097,0.636,0.126,0.103,0.115,0.002,98,147,156,0,1,0
181,6.0,2000,564,327,189,1696,115,16,108.12,0.950,1.097,0.621,0.127,0.105,0.113,0.005,74,134,149,0,1,0
211,7.0,2000,416,327,181,1713,106,15,123.67,0.940,1.106,0.617,0.125,0.103,0.113,0.009,70,172,143,0,6,0
241,8.0,1951,386,327,185,1668,98,14,133.86,0.939,1.113,0.592,0.120,0.105,0.114,0.010,71,163,154,0,2,0
271,9.0,1841,435,327,203,1546,92,18,144.10,0.947,1.103,0.524,0.118,0.113,0.115,0.005,72,166,117,0,2,0
301,10.0,1810,404,213,225,1508,77,23,154.24,0.964,1.093,0.450,0.108,0.122,0.115,-0.000,65,187,105,0,2,0
331,11.0,1856,406,213,255,1531,70,28,174.93,0.963,1.086,0.404,0.103,0.132,0.115,-0.004,70,131,89,0,0,0
361,12.0,1939,462,213,304,1574,61,24,166.45,0.968,1.075,0.380,0.096,0.145,0.114,-0.007,81,115,143,0,4,0
391,13.0,2000,402,213,344,1600,56,26,163.88,0.970,1.071,0.348,0.090,0.157,0.115,-0.009,90,81,103,0,2,0
421,14.0,2000,427,213,376,1572,52,25,179.44,0.966,1.063,0.326,0.086,0.168,0.114,-0.010,82,96,129,0,3,0
451,15.0,2000,457,158,407,1542,51,25,188.78,0.959,1.048,0.308,0.085,0.180,0.115,-0.014,80,95,112,0,4,0
481,16.0,2000,463,158,404,1552,44,27,201.93,0.963,1.052,0.300,0.082,0.180,0.118,-0.015,73,71,155,0,2,0
511,17.0,2000,551,158,422,1533,45,28,184.68,0.961,1.049,0.306,0.081,0.186,0.118,-0.017,82,52,132,0,1,0
