tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,896,11671,0,192,617,87,1,14.93,0.952,0.921,0.196,0.128,0.163,0.093,0.022,64,0,29,0,0,0
61,2.0,2000,6815,0,226,1610,164,2,20.66,1.001,1.030,0.214,0.118,0.108,0.097,0.029,89,0,66,0,0,0
91,3.0,2000,3635,0,233,1601,166,3,30.48,0.999,1.024,0.217,0.118,0.109,0.098,0.027,137,1,93,0,0,0
121,4.0,2000,1948,0,244,1572,184,7,73.43,0.988,1.020,0.213,0.125,0.111,0.099,0.024,106,52,133,0,1,0
151,5.0,2000,858,342,253,1561,186,11,97.63,0.970,1.018,0.211,0.129,0.112,0.099,0.023,84,117,111,0,2,0
181,6.0,2000,610,342,271,1550,179,10,113.62,0.958,1.013,0.204,0.123,0.118,0.099,0.021,98,81,118,0,1,0
211,7.0,2000,557,342,287,1547,166,18,138.46,0.947,1.011,0.202,0.118,0.122,0.099,0.021,82,86,111,0,1,0
241,8.0,2000,552,342,301,1543,156,25,153.09,0.942,1.011,0.200,0.115,0.128,0.099,0.023,78,89,100,0,0,0
271,9.0,2000,579,342,341,1515,144,26,174.38,0.932,1.001,0.193,0.106,0.139,0.101,0.024,78,83,84,0,2,0
301,10.0,2000,606,245,367,1505,128,29,180.02,0.924,0.994,0.186,0.097,0.147,0.102,0.024,65,72,104,0,2,0
331,11.0,2000,687,245,398,1482,120,27,184.15,0.915,0.986,0.188,0.092,0.156,0.103,0.024,88,64,90,0,3,0
361,12.0,2000,799,245,440,1447,113,34,201.89,0.905,0.973,0.189,0.090,0.168,0.102,0.024,72,66,110,0,1,0
391,13.0,2000,853,245,480,1418,102,37,220.40,0.899,0.959,0.188,0.085,0.179,0.103,0.024,64,50,94,0,4,0
421,14.0,2000,861,245,508,1399,93,46,235.12,0.894,0.950,0.183,0.081,0.186,0.103,0.025,78,53,70,0,0,0
451,15.0,2000,922,195,537,1372,91,54,232.85,0.889,0.942,0.182,0.080,0.195,0.103,0.025,61,40,74,0,3,0
481,16.0,2000,979,195,557,1356,87,56,237.43,0.885,0.938,0.183,0.077,0.202,0.103,0.027,61,25,49,0,3,0
511,17.0,2000,1039,195,580,1338,82,68,268.54,0.882,0.933,0.182,0.075,0.209,0.103,0.027,68,22,54,0,3,0
541,18.0,2000,1058,195,602,1321,77,74,272.38,0.879,0.928,0.183,0.073,0.216,0.103,0.027,51,17,61,0,1,0
571,19.0,2000,1128,195,621,1305,74,82,299.85,0.876,0.924,0.183,0.072,0.222,0.103,0.027,66,13,62,0,2,0
601,20.0,2000,1221,173,637,1290,73,94,321.54,0.871,0.918,0.184,0.071,0.226,0.103,0.028,68,6,54,0,2,0
631,21.0,2000,1329,173,655,1274,71,96,346.11,0.867,0.912,0.184,0.070,0.231,0.103,0.028,61,12,50,0,3,0
661,22.0,2000,1338,173,668,1262,70,98,360.92,0.865,0.906,0.185,0.070,0.235,0.103,0.028,60,13,51,0,4,0
