tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
1981,66.0,2000,579,70,1170,759,71,239,473.64,0.722,0.713,0.190,0.058,0.404,0.091,0.007,84,20,133,0,6,0
2011,67.0,2000,600,70,1193,734,73,229,468.60,0.714,0.705,0.190,0.057,0.413,0.092,0.007,84,19,91,0,9,0
2041,68.0,2000,703,70,1213,709,78,229,514.64,0.708,0.700,0.188,0.057,0.419,0.092,0.007,74,21,110,0,5,0
2071,69.0,2000,775,70,1220,709,71,232,485.92,0.705,0.697,0.187,0.057,0.421,0.093,0.007,78,20,107,0,5,0
2101,70.0,2000,904,65,1217,716,67,245,468.10,0.707,0.699,0.189,0.056,0.421,0.093,0.008,75,10,105,0,9,0
2131,71.0,2000,963,65,1226,706,68,240,515.70,0.705,0.696,0.192,0.057,0.425,0.094,0.009,79,9,121,0,5,0
2161,72.0,2000,970,65,1216,716,68,239,484.21,0.711,0.701,0.195,0.057,0.422,0.094,0.011,73,5,98,0,6,0
2191,73.0,2000,991,65,1221,711,68,259,396.52,0.711,0.697,0.198,0.058,0.424,0.094,0.009,84,3,124,0,4,0
2221,74.0,2000,1158,65,1228,708,64,244,466.83,0.710,0.696,0.200,0.058,0.426,0.093,0.010,69,7,117,0,9,0
2251,75.0,2000,1315,65,1239,705,56,248,474.68,0.705,0.689,0.202,0.056,0.429,0.094,0.008,71,3,104,0,6,0
2281,76.0,2000,1443,65,1238,708,54,246,424.61,0.706,0.691,0.206,0.055,0.429,0.094,0.012,85,3,95,0,5,0
2311,77.0,2000,1505,65,1238,713,49,244,408.80,0.707,0.688,0.215,0.055,0.428,0.095,0.011,88,6,135,0,3,0
2341,78.0,2000,1531,65,1231,725,44,252,478.36,0.710,0.693,0.220,0.054,0.425,0.095,0.011,71,3,135,0,7,0
