tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,581,7171,0,179,307,95,0,14.96,0.896,0.841,0.199,0.206,0.218,0.102,0.011,50,0,27,0,0,0
61,2.0,846,5694,0,192,471,183,1,27.40,0.978,0.940,0.165,0.291,0.176,0.103,0.029,60,0,36,0,0,0
91,3.0,1312,3517,0,206,736,370,2,26.31,1.049,1.039,0.133,0.456,0.140,0.100,0.034,82,1,131,0,0,0
121,4.0,1751,1538,0,224,1046,481,5,38.69,1.098,1.088,0.114,0.453,0.123,0.096,0.041,89,9,200,0,0,0
151,5.0,1835,500,310,239,1174,422,9,68.14,1.122,1.101,0.110,0.370,0.122,0.093,0.042,84,62,253,0,1,0
181,6.0,1672,333,310,251,1094,327,8,92.26,1.118,1.088,0.107,0.299,0.133,0.093,0.041,65,119,188,0,2,0
211,7.0,1443,268,310,251,955,237,12,116.74,1.106,1.073,0.102,0.249,0.143,0.092,0.043,57,181,140,0,0,0
241,8.0,1161,310,310,255,750,156,17,136.31,1.081,1.038,0.098,0.200,0.165,0.093,0.045,51,233,129,0,1,0
271,9.0,1049,409,310,268,644,137,14,149.76,1.062,1.014,0.099,0.198,0.182,0.093,0.046,46,114,86,0,4,0
301,10.0,993,471,171,286,574,133,11,170.62,1.047,0.993,0.096,0.197,0.198,0.094,0.047,67,85,100,0,4,0
331,11.0,999,534,171,333,540,126,10,179.10,1.020,0.958,0.096,0.179,0.224,0.096,0.048,57,55,100,0,1,0
361,12.0,1018,629,171,365,534,119,9,180.34,1.000,0.938,0.100,0.151,0.237,0.096,0.050,68,35,111,0,1,0
391,13.0,1113,660,171,418,574,121,8,161.03,0.995,0.937,0.099,0.138,0.249,0.095,0.054,62,34,131,0,0,0
421,14.0,1265,560,171,478,659,128,14,150.70,0.998,0.951,0.102,0.140,0.254,0.095,0.057,74,35,135,0,1,0
451,15.0,1398,585,114,583,677,138,15,145.82,0.968,0.911,0.104,0.131,0.281,0.098,0.060,79,35,181,0,1,0
481,16.0,1544,702,114,737,664,143,14,133.12,0.930,0.846,0.106,0.122,0.318,0.103,0.062,84,34,230,0,0,0
511,17.0,1889,695,114,1024,724,141,16,133.25,0.892,0.781,0.109,0.100,0.355,0.106,0.062,104,43,210,0,2,0
541,18.0,2000,645,114,1156,695,149,24,129.21,0.869,0.747,0.114,0.099,0.381,0.106,0.065,130,40,252,0,0,0
571,19.0,2000,717,114,1237,633,130,32,136.89,0.837,0.700,0.123,0.090,0.410,0.106,0.068,130,35,336,0,1,0
601,20.0,2000,753,71,1272,611,117,44,149.39,0.819,0.683,0.127,0.086,0.423,0.107,0.071,128,25,245,0,0,0
631,21.0,2000,816,71,1290,604,106,57,148.66,0.811,0.676,0.133,0.081,0.430,0.106,0.073,133,14,261,0,3,0
661,22.0,2000,896,71,1328,560,112,78,136.38,0.793,0.655,0.142,0.084,0.445,0.105,0.081,125,14,358,0,2,0
691,23.0,2000,934,71,1371,511,118,88,140.24,0.775,0.637,0.145,0.085,0.460,0.105,0.082,142,18,303,0,0,0
721,24.0,2000,1089,71,1409,475,116,84,158.92,0.755,0.605,0.156,0.085,0.479,0.103,0.085,114,9,346,0,1,0
751,25.0,2000,1175,62,1413,476,111,98,148.68,0.750,0.589,0.165,0.085,0.487,0.104,0.085,138,6,314,0,0,0
781,26.0,2000,1196,62,1357,516,127,125,166.60,0.768,0.601,0.173,0.096,0.477,0.106,0.088,146,10,373,0,1,0
811,27.0,2000,1198,62,1304,556,140,126,148.91,0.785,0.616,0.181,0.104,0.466,0.107,0.093,128,8,431,0,1,0
841,28.0,2000,1274,62,1264,584,152,150,159.62,0.799,0.629,0.191,0.110,0.455,0.107,0.095,134,7,309,0,2,0
871,29.0,2000,1188,62,1197,635,168,151,149.43,0.821,0.649,0.201,0.119,0.438,0.109,0.098,128,14,361,0,2,0
901,30.0,2000,1032,45,1091,696,213,138,152.68,0.860,0.683,0.216,0.137,0.411,0.112,0.103,116,7,428,0,4,0
931,31.0,2000,1007,45,1022,750,228,138,146.10,0.884,0.707,0.231,0.146,0.393,0.116,0.108,115,6,446,0,2,0
961,32.0,2000,935,45,958,795,247,123,147.58,0.902,0.728,0.242,0.154,0.377,0.119,0.114,110,13,381,0,5,0
991,33.0,2000,863,45,874,844,282,116,137.23,0.930,0.755,0.260,0.167,0.355,0.122,0.119,87,16,411,0,1,0
1021,34.0,2000,802,45,794,900,306,97,137.25,0.959,0.788,0.290,0.180,0.332,0.122,0.124,98,18,415,0,0,0
1051,35.0,2000,734,27,710,958,332,67,151.57,0.989,0.819,0.322,0.188,0.310,0.123,0.129,86,19,403,0,5,0
1081,36.0,2000,672,27,688,977,335,68,148.71,1.000,0.825,0.354,0.192,0.303,0.123,0.133,92,28,301,0,0,0
1111,37.0,2000,630,27,665,987,348,67,128.82,1.009,0.829,0.389,0.198,0.299,0.123,0.135,96,35,321,0,0,0
1141,38.0,2000,664,27,660,982,358,63,135.47,1.010,0.831,0.424,0.199,0.301,0.121,0.136,82,44,272,0,5,0
1171,39.0,2000,621,27,710,944,346,69,161.57,0.990,0.812,0.451,0.191,0.317,0.119,0.136,96,46,189,0,0,0
1201,40.0,2000,530,27,724,923,353,74,161.09,0.986,0.806,0.474,0.192,0.321,0.118,0.137,81,35,170,0,4,0
1231,41.0,2000,559,27,783,887,330,76,181.46,0.965,0.782,0.495,0.184,0.339,0.115,0.136,91,49,126,0,2,0
1261,42.0,2000,531,27,838,853,309,84,187.40,0.946,0.760,0.521,0.178,0.356,0.113,0.134,89,37,144,0,1,0
1291,43.0,2000,518,27,913,804,283,88,226.84,0.921,0.731,0.550,0.167,0.378,0.111,0.132,110,42,147,0,6,0
1321,44.0,2000,518,27,970,763,267,101,244.54,0.901,0.705,0.575,0.161,0.396,0.109,0.131,104,23,119,0,2,0
1351,45.0,2000,562,26,1029,713,258,115,229.62,0.881,0.680,0.598,0.152,0.414,0.107,0.130,117,26,126,0,4,0
1381,46.0,2000,564,26,1065,692,243,132,242.65,0.871,0.665,0.615,0.147,0.426,0.105,0.130,106,16,91,0,1,0
1411,47.0,2000,523,26,1093,671,236,117,282.40,0.864,0.652,0.626,0.144,0.435,0.104,0.129,112,16,81,0,5,0
1441,48.0,2000,525,26,1150,628,222,124,321.35,0.846,0.627,0.642,0.138,0.452,0.101,0.129,99,29,76,0,2,0
1471,49.0,2000,536,26,1201,590,209,143,302.38,0.828,0.603,0.664,0.132,0.469,0.100,0.128,113,19,77,0,3,0
1501,50.0,2000,529,24,1251,551,198,145,304.90,0.810,0.582,0.674,0.127,0.484,0.098,0.127,126,25,55,0,4,0
1531,51.0,2000,477,24,1296,517,187,159,359.83,0.794,0.564,0.693,0.121,0.497,0.096,0.126,135,19,67,0,1,0
1561,52.0,2000,452,24,1338,480,182,167,402.81,0.780,0.546,0.710,0.116,0.511,0.095,0.125,147,17,75,0,4,0
1591,53.0,2000,432,24,1368,458,174,186,392.57,0.771,0.533,0.721,0.113,0.521,0.093,0.125,150,15,63,0,2,0
1621,54.0,2000,417,24,1408,429,163,215,373.86,0.758,0.518,0.735,0.106,0.533,0.092,0.125,154,19,54,0,5,0
1651,55.0,2000,331,23,1439,404,157,225,412.70,0.747,0.505,0.745,0.102,0.542,0.091,0.124,141,14,64,0,4,0
1681,56.0,2000,367,23,1467,385,148,233,440.93,0.736,0.492,0.756,0.098,0.551,0.090,0.123,151,10,51,0,6,0
1711,57.0,2000,347,23,1493,367,140,258,444.45,0.727,0.482,0.762,0.095,0.559,0.089,0.123,172,13,31,0,7,0
1741,58.0,2000,345,23,1515,349,136,278,445.70,0.718,0.472,0.767,0.092,0.566,0.088,0.123,156,16,32,0,6,0
1771,59.0,2000,368,23,1541,332,127,281,456.60,0.709,0.462,0.774,0.087,0.574,0.087,0.122,153,11,27,0,6,0
1801,60.0,2000,358,23,1565,314,121,297,491.50,0.702,0.453,0.780,0.084,0.581,0.087,0.123,160,12,42,0,2,0
1831,61.0,2000,402,23,1575,308,117,319,524.01,0.699,0.449,0.782,0.082,0.584,0.086,0.121,191,9,34,0,7,0
1861,62.0,2000,377,23,1597,293,110,334,530.01,0.692,0.442,0.788,0.079,0.591,0.086,0.121,178,16,37,0,7,0
1891,63.0,2000,391,23,1623,275,102,348,557.53,0.683,0.431,0.797,0.076,0.599,0.085,0.120,172,12,34,0,5,0
1921,64.0,2000,455,23,1641,263,96,357,574.57,0.676,0.424,0.802,0.074,0.604,0.084,0.120,187,9,22,0,6,0
