tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,659,9696,0,183,405,71,0,13.81,0.917,0.879,0.213,0.151,0.193,0.098,-0.011,52,0,31,0,0,0
61,2.0,1120,7039,0,233,792,95,1,17.42,0.993,0.977,0.188,0.131,0.152,0.102,-0.012,72,0,57,0,0,0
91,3.0,2000,3526,0,284,1596,120,3,28.99,1.071,1.099,0.165,0.109,0.111,0.113,0.006,137,2,93,0,0,0
121,4.0,2000,1394,0,281,1598,121,8,49.78,1.073,1.105,0.170,0.109,0.110,0.114,0.008,122,10,146,0,0,0
151,5.0,2000,530,347,278,1615,107,15,85.88,1.076,1.116,0.163,0.104,0.107,0.115,0.007,116,52,144,0,0,0
181,6.0,2000,303,347,294,1602,104,17,99.78,1.072,1.120,0.154,0.103,0.112,0.116,0.010,87,146,200,0,0,0
211,7.0,1923,322,347,311,1522,90,19,126.79,1.062,1.118,0.151,0.095,0.120,0.116,0.011,91,126,154,0,2,0
241,8.0,1797,351,347,317,1395,85,22,138.18,1.053,1.108,0.143,0.094,0.129,0.115,0.010,81,130,122,0,2,0
271,9.0,1668,382,347,344,1252,72,22,145.29,1.036,1.087,0.131,0.090,0.145,0.114,0.010,77,147,128,0,5,0
301,10.0,1591,439,233,387,1142,62,20,174.40,1.024,1.065,0.125,0.085,0.168,0.112,0.011,83,134,123,0,3,0
331,11.0,1557,460,233,424,1074,59,20,174.11,1.013,1.041,0.120,0.083,0.187,0.112,0.012,87,94,155,0,1,0
361,12.0,1653,512,233,473,1135,45,22,186.33,1.008,1.034,0.118,0.075,0.197,0.112,0.009,82,75,114,0,2,0
391,13.0,1870,514,233,576,1247,47,25,169.96,1.000,1.022,0.116,0.072,0.213,0.113,0.010,105,52,108,0,3,0
421,14.0,2000,491,233,670,1293,37,28,175.59,0.987,1.002,0.115,0.065,0.233,0.111,0.008,110,62,142,0,1,0
451,15.0,2000,487,179,707,1257,36,33,188.52,0.978,0.989,0.114,0.063,0.245,0.111,0.009,104,49,135,0,2,0
481,16.0,2000,486,179,749,1221,30,36,189.45,0.966,0.973,0.118,0.059,0.260,0.110,0.010,84,70,127,0,5,0
511,17.0,2000,548,179,809,1162,29,43,196.98,0.950,0.947,0.122,0.058,0.281,0.107,0.007,80,60,112,0,1,0
541,18.0,2000,626,179,852,1121,27,54,220.42,0.939,0.933,0.122,0.058,0.296,0.106,0.005,89,43,104,0,2,0
571,19.0,2000,666,179,895,1078,27,69,220.16,0.931,0.914,0.128,0.057,0.311,0.105,0.002,78,42,154,0,1,0
601,20.0,2000,709,140,920,1058,22,75,201.12,0.925,0.904,0.132,0.053,0.320,0.104,0.001,75,23,139,0,3,0
631,21.0,2000,772,140,932,1047,21,93,230.65,0.922,0.898,0.134,0.053,0.325,0.104,-0.002,69,16,84,0,0,0
661,22.0,2000,799,140,954,1028,18,102,264.12,0.918,0.890,0.136,0.051,0.332,0.103,-0.003,73,18,100,0,1,0
691,23.0,2000,860,140,982,1001,17,116,266.38,0.909,0.878,0.139,0.049,0.341,0.102,-0.002,75,11,100,0,2,0
721,24.0,2000,828,140,1002,982,16,125,269.58,0.903,0.870,0.141,0.049,0.347,0.101,-0.001,55,13,78,0,0,0
751,25.0,2000,898,117,1036,949,15,139,301.58,0.891,0.855,0.144,0.047,0.359,0.100,-0.003,70,18,91,0,1,0
781,26.0,2000,839,117,1043,942,15,143,332.45,0.888,0.852,0.146,0.047,0.362,0.100,-0.005,73,4,109,0,3,0
811,27.0,2000,920,117,1049,935,16,153,312.69,0.886,0.851,0.148,0.048,0.362,0.100,-0.004,72,6,118,0,4,0
841,28.0,2000,990,117,1055,932,13,172,316.42,0.887,0.850,0.149,0.047,0.364,0.100,-0.004,64,3,113,0,3,0
