tick,sim_second,organisms,food,species,plants,foragers,predators,infected,avg_lifespan,avg_body_size,avg_speed,avg_armor,avg_attack,avg_photo,avg_disease_resistance,avg_symbiosis_rate,symbiotic_pairs,deaths_starvation,deaths_predation,deaths_old_age,deaths_disease,deaths_event
31,1.0,780,10334,0,169,525,86,1,11.00,0.870,0.941,0.453,0.163,0.168,0.103,0.002,55,0,20,0,1,0
61,2.0,1733,6942,0,182,1401,150,3,20.03,0.889,1.060,0.557,0.161,0.107,0.116,0.005,84,0,70,0,0,0
91,3.0,2000,3476,0,186,1650,164,7,32.60,0.894,1.081,0.567,0.158,0.100,0.116,0.008,137,14,126,0,0,0
121,4.0,2000,1350,0,185,1655,160,9,66.79,0.898,1.081,0.546,0.154,0.101,0.117,0.006,107,60,108,0,0,0
151,5.0,2000,674,323,188,1669,143,18,95.68,0.897,1.082,0.533,0.143,0.103,0.117,0.005,85,115,118,0,1,0
181,6.0,2000,541,323,192,1671,137,15,113.55,0.874,1.088,0.559,0.143,0.103,0.117,0.011,69,143,151,0,3,0
211,7.0,2000,396,323,188,1685,127,13,128.56,0.869,1.090,0.548,0.139,0.101,0.118,0.010,69,113,136,0,3,0
241,8.0,2000,368,323,202,1672,126,13,127.68,0.864,1.088,0.517,0.139,0.104,0.119,0.008,64,142,122,0,0,0
271,9.0,2000,407,323,205,1668,127,15,135.97,0.868,1.087,0.463,0.139,0.104,0.120,0.004,46,140,138,0,2,0
301,10.0,2000,430,210,220,1653,127,23,149.55,0.863,1.083,0.427,0.139,0.108,0.120,0.000,59,129,146,0,2,0
331,11.0,2000,473,210,246,1634,120,27,157.73,0.872,1.072,0.379,0.133,0.116,0.120,-0.006,65,114,142,0,3,0
361,12.0,2000,529,210,271,1613,116,30,179.45,0.876,1.061,0.344,0.127,0.124,0.119,-0.010,56,88,124,0,1,0
391,13.0,2000,516,210,318,1573,109,31,190.00,0.873,1.042,0.297,0.122,0.138,0.118,-0.016,51,114,173,0,4,0
421,14.0,2000,596,210,330,1565,105,40,203.24,0.875,1.036,0.279,0.118,0.142,0.118,-0.017,54,92,124,0,0,0
451,15.0,2000,647,162,347,1556,97,45,211.49,0.876,1.033,0.269,0.112,0.148,0.118,-0.018,56,63,122,0,2,0
481,16.0,2000,662,162,380,1528,92,44,207.37,0.872,1.021,0.267,0.108,0.158,0.117,-0.019,64,63,154,0,4,0
511,17.0,2000,718,162,402,1514,84,45,198.81,0.869,1.012,0.259,0.105,0.164,0.117,-0.020,66,52,167,0,4,0
541,18.0,2000,704,162,429,1490,81,55,218.41,0.870,1.003,0.244,0.102,0.173,0.117,-0.023,68,43,178,0,2,0
571,19.0,2000,731,162,448,1469,83,71,217.87,0.871,0.998,0.239,0.103,0.180,0.116,-0.025,60,36,136,0,1,0
601,20.0,2000,756,114,466,1453,81,84,229.73,0.871,0.994,0.230,0.100,0.185,0.116,-0.027,43,30,158,0,2,0
631,21.0,2000,767,114,471,1454,75,88,241.79,0.869,0.995,0.224,0.097,0.187,0.115,-0.029,41,29,142,0,4,0
661,22.0,2000,859,114,468,1461,71,94,221.66,0.868,0.994,0.224,0.096,0.186,0.116,-0.028,50,26,125,0,4,0
691,23.0,2000,872,114,484,1451,65,103,247.73,0.862,0.992,0.223,0.092,0.191,0.116,-0.028,52,28,101,0,4,0
721,24.0,2000,895,114,487,1456,57,106,236.50,0.862,0.990,0.222,0.088,0.192,0.116,-0.028,45,14,123,0,2,0
751,25.0,2000,919,98,483,1464,53,101,267.27,0.864,0.992,0.224,0.086,0.191,0.117,-0.027,51,24,127,0,0,0
781,26.0,2000,880,98,486,1463,51,105,287.90,0.865,0.997,0.224,0.084,0.192,0.117,-0.027,50,13,102,0,2,0
811,27.0,2000,916,98,493,1457,50,107,284.19,0.862,0.994,0.225,0.083,0.194,0.118,-0.028,49,12,90,0,1,0
841,28.0,2000,899,98,508,1442,50,124,326.59,0.862,0.988,0.224,0.084,0.199,0.118,-0.028,48,12,115,0,1,0
871,29.0,2000,862,98,511,1437,52,125,290.51,0.863,0.988,0.228,0.084,0.200,0.117,-0.028,43,12,123,0,4,0
901,30.0,2000,936,83,524,1424,52,131,294.93,0.860,0.983,0.232,0.084,0.204,0.117,-0.028,46,12,82,0,3,0
931,31.0,2000,962,83,538,1412,50,141,321.82,0.859,0.981,0.233,0.083,0.207,0.118,-0.028,38,13,127,0,2,0
961,32.0,2000,885,83,533,1422,45,141,341.35,0.861,0.984,0.233,0.079,0.206,0.118,-0.028,50,11,130,0,4,0
991,33.0,2000,856,83,533,1423,44,149,336.98,0.859,0.983,0.233,0.080,0.206,0.118,-0.028,41,7,101,0,3,0
1021,34.0,2000,878,83,513,1444,43,149,374.81,0.863,0.991,0.233,0.079,0.201,0.118,-0.026,47,16,115,0,2,0
1051,35.0,2000,802,75,509,1450,41,161,388.70,0.868,0.995,0.233,0.077,0.199,0.119,-0.026,42,8,111,0,0,0
1081,36.0,2000,684,75,511,1452,37,172,356.71,0.868,0.997,0.235,0.074,0.200,0.119,-0.027,42,11,105,0,4,0
1111,37.0,2000,758,75,510,1455,35,177,355.14,0.870,0.999,0.233,0.073,0.199,0.120,-0.027,47,7,99,0,3,0
1141,38.0,2000,710,75,495,1470,35,163,351.02,0.875,1.007,0.233,0.072,0.196,0.120,-0.028,48,11,93,0,6,0
1171,39.0,2000,679,75,492,1472,36,162,353.30,0.879,1.011,0.232,0.072,0.194,0.121,-0.028,48,14,122,0,3,0
1201,40.0,2000,677,67,489,1477,34,169,388.38,0.881,1.014,0.228,0.071,0.193,0.121,-0.027,39,10,90,0,4,0
1231,41.0,2000,588,67,502,1466,32,176,394.80,0.880,1.012,0.225,0.071,0.197,0.121,-0.027,38,16,108,0,8,0
1261,42.0,2000,556,67,506,1461,33,181,406.42,0.880,1.016,0.227,0.071,0.198,0.122,-0.026,49,14,112,0,2,0
1291,43.0,2000,524,67,503,1465,32,192,435.62,0.882,1.020,0.230,0.072,0.197,0.122,-0.025,33,14,112,0,4,0
1321,44.0,2000,519,67,511,1459,30,199,436.42,0.880,1.018,0.231,0.070,0.199,0.122,-0.024,43,15,108,0,0,0
1351,45.0,2000,451,60,522,1447,31,219,390.21,0.878,1.018,0.230,0.071,0.203,0.122,-0.024,46,12,97,0,6,0
1381,46.0,2000,415,60,524,1446,30,222,389.43,0.875,1.019,0.232,0.070,0.204,0.122,-0.023,46,26,96,0,5,0
